date,open,high,low,close,volume,vwap,transactions
2024-10-01,197.65,198.97,196.42,196.96,3878607,197.1593,66968
2024-10-02,195.66,197,194.45,196.82,2946883,196.3763,51238
2024-10-03,196.87,197.05,194.74,195.45,3453796,195.8579,45849
2024-10-04,195.1,195.64,193.045,194.29,4749856,194.4645,64870
2024-10-07,194.415,195.0918,192.835,193.61,5033832,193.7171,53981
2024-10-08,194.34,195,192.245,193.01,4419016,192.9658,56871
2024-10-09,192.85,194.885,191.95,194.75,4479107,194.0572,61762
2024-10-10,194.54,194.82,193.275,194.35,3562476,194.166,51610
2024-10-11,195,195.2362,193.58,194.19,2973025,194.2649,52390
2024-10-14,194.24,196.34,193.662,195.65,3624123,195.5246,60461
2024-10-15,194.73,196.25,191.215,191.86,6553712,192.7453,91529
2024-10-16,190.45,191.035,188.73,190.46,5575983,190.3648,75618
2024-10-17,190.54,191.62,188.46,188.57,4419002,189.0923,64438
2024-10-18,188.97,189.69,188.164,188.86,4955902,188.8303,67192
2024-10-21,188.71,189.38,185.89,186.54,4496592,187.0759,58304
2024-10-22,186.32,189.1,186.23,188.76,4210359,188.3755,47688
2024-10-23,188.7,189.27,187.5,187.88,4267078,188.0202,56146
2024-10-24,188.43,190.47,188.17,189.65,6718224,189.6097,64657
2024-10-25,189.68,189.88,187.17,187.85,4017525,188.4444,64935
2024-10-28,188.09,190.14,187.52,189.68,5291733,189.6154,53920
2024-10-29,190.49,191.16,188.515,189.45,6131530,189.4923,70467
2024-10-30,191.62,202.3499,188.545,201.5,10396361,199.0747,134424
2024-10-31,201.97,207.32,201.42,203.87,8829278,204.2426,116554
2024-11-01,204.37,204.73,202.32,203.55,4493880,203.7613,70319
2024-11-04,203.79,204.24,200.22,200.47,3531804,201.2916,58535
2024-11-05,200.49,202.42,198.35,201.68,5109348,201.3297,68013
2024-11-06,205.79,206.15,200.85,201.2,7194757,201.9985,83637
2024-11-07,201.95,202.315,199.215,200.51,4520190,200.4524,67757
2024-11-08,201.155,201.8939,199.48,199.5,4596949,200.1566,63015
2024-11-11,178.57,178.57,172.7001,174.43,20760250,175.2111,268289
2024-11-12,176.01,176.63,171.03,171.09,10556977,173.2276,150262
2024-11-13,171.67,172.64,169.65,170.35,8483499,170.7728,111521
2024-11-14,170,171.62,168.59,169.63,8442546,170.0317,98709
2024-11-15,169.63,169.63,164.72,164.99,11265398,166.136,135202
2024-11-18,165.62,166.74,164.8,166.28,8341413,165.9878,96162
2024-11-19,165.27,167.1,163.81,166.57,5245994,166.0809,73734
2024-11-20,166.91,167.91,165.65,167.76,7135608,167.3838,60751
2024-11-21,168.59,172.455,166.92,171.73,6847695,171.0642,86207
2024-11-22,174.34,178.864,173.5,176.95,11328616,177.0981,122229
2024-11-25,177.02,180.19,176.75,177.06,12464964,177.5553,103781
2024-11-26,177.09,181.65,176.67,181.14,6947512,179.6642,92746
2024-11-27,181.14,184.24,180.89,183.08,5271481,183.2559,73106
2024-11-29,183.14,183.54,182.5,182.93,2710732,182.9748,35996
2024-12-02,182.275,182.7,178.86,181.77,3936877,181.2574,63852
2024-12-03,182.28,183.51,181.48,181.5,4107553,182.1982,55204
2024-12-04,180.1,180.45,175.91,176.46,6125479,177.2104,80709
2024-12-05,174.98,176.72,173.53,176.17,5444240,175.8674,73747
2024-12-06,176,176.74,174.16,176.19,4839640,175.609,70923
2024-12-09,175.59,178.13,174.38,176.57,4394811,176.7288,65955
2024-12-10,175.53,176.92,173.83,175.67,4089569,175.646,63256
2024-12-11,175.96,176,173.84,174.37,9492204,174.5134,66515
2024-12-12,174.91,175.9061,171.99,173.19,4999451,173.3373,63303
2024-12-13,173.25,174.92,172.39,173.37,5471791,173.5976,54681
2024-12-16,171.674,173.34,170.53,171.63,8157926,171.9527,81696
2024-12-17,170.58,176.5,170.21,175.38,7663128,175.0889,75234
2024-12-18,176.03,176.5,172.82,173.02,5471574,174.4932,72584
2024-12-19,172.93,173.88,170.3411,171.52,6110511,171.861,73719
2024-12-20,171.794,176.8,170.66,175.58,18850908,175.2435,74480
2024-12-23,175.29,178.65,174.63,178.39,6945621,177.6477,59486
2024-12-24,178.41,180.17,177.8408,180,2692814,179.3428,31207
2024-12-26,179.02,180.35,178.63,179.2,2759421,179.3676,38705
2024-12-27,177.92,179.66,177.29,178.01,2745373,178.1307,41399
2024-12-30,177.02,177.34,175.5101,176.2,3405687,176.2573,44204
2024-12-31,176.35,177.84,175.92,177.7,3326732,177.309,40296
2025-01-02,178.66,179.78,177.9006,179.44,4094307,179.0493,54317
2025-01-03,179.66,181.57,178.8,181.22,4380336,180.9091,54422
2025-01-06,180.78,181.98,179.26,180.1,6302081,180.4519,62489
2025-01-07,179.63,182.1725,178.389,179.53,5905223,179.7769,58259
2025-01-08,179.2,179.24,176.18,178.5,4488519,178.1566,54119
2025-01-10,176.86,177.54,173.33,175.17,5372441,175.493,75333
2025-01-13,175.16,177.98,174.34,176.74,4731094,176.6524,65217
2025-01-14,176.61,176.78,174.09,175.55,4779147,175.2108,68784
2025-01-15,173.515,174.46,168.72,171.35,8048736,171.516,107257
2025-01-16,171.45,173.9567,170.52,173.7,5235975,172.98,66869
2025-01-17,172.88,173.99,171.27,171.56,7852525,172.0455,69489
2025-01-21,172.16,175.66,171.22,172.61,7548666,172.4719,92937
2025-01-22,170.3,170.8684,168.06,169.2,9464994,169.6444,90414
2025-01-23,170.46,170.69,168.48,170.67,7116187,170.0196,78576
2025-01-24,169.32,171.11,169.25,170.3,5584924,170.3423,69985
2025-01-27,172.66,177.45,172.59,176.9,6985212,175.9562,91910
2025-01-28,176.8,177.16,173.73,174.81,5604051,175.2808,68530
2025-01-29,174.5,176.92,174.3,175.26,3748422,175.6127,58654
2025-01-30,176.01,176.12,173.98,175.65,5209206,175.4368,70752
2025-01-31,187.3,191.77,183.67,183.9,11928323,186.5657,150307
2025-02-03,183.18,191.66,182.15,190.14,9829956,189.6135,130528
2025-02-04,187.63,191.15,187.05,189.95,7377753,189.7713,87983
2025-02-05,190.52,193.38,189.92,191.75,6449920,191.7989,81234
2025-02-06,191.9,194.49,190.56,192.97,4586688,192.9993,70930
2025-02-07,193.16,193.86,190.435,190.6,3805940,191.3432,52397
2025-02-10,191.46,191.46,189.09,190.34,3685699,190.1731,53864
2025-02-11,189.8,191.93,188.26,191.83,3977033,191.2281,52133
2025-02-12,190.5,194.37,190.39,193,4525009,192.9528,58654
2025-02-13,194.28,194.28,191.43,193.45,4108920,193.3824,61073
2025-02-14,193.95,195.18,192.78,192.87,3976903,193.7175,58838
2025-02-18,192,197.02,190.6683,196.25,6065546,195.8923,83269
2025-02-19,196.79,198.11,196.01,197.35,4888865,197.2642,64671
2025-02-20,198,201.36,196.83,200.88,5066999,200.217,80839
2025-02-21,200.32,203.975,200.015,202.08,5889360,202.2268,72544
2025-02-24,201.83,205.5,201.28,204.08,6304982,204.3703,85365
2025-02-25,205.175,206.01,202.35,204.14,7747037,204.0915,102657
2025-02-26,203.59,203.825,201.43,203.01,4767261,203.1102,66340
2025-02-27,203.06,206.8,202.25,205.02,5696853,205.1228,79796
2025-02-28,205.12,209.6,204.41,209.03,13136421,208.0809,90338
2025-03-03,209.98,212.3,208.91,211.48,7016425,211.208,111890
2025-03-04,214.47,215.66,207.67,207.76,7553973,210.1475,113199
2025-03-05,207.07,212.18,206,211.54,5749091,210.6499,79712
2025-03-06,211.45,211.98,208.5044,210.75,4344758,210.3351,68110
2025-03-07,211.11,214.99,209,214.29,6806116,213.111,104224
2025-03-10,209.99,218.66,209.2,216.66,8604021,216.8567,127782
2025-03-11,216.66,216.66,212.41,213.59,7144519,213.8878,113452
2025-03-12,212,213.87,209.31,212.06,6139777,212.1846,94965
2025-03-13,212,213.8,210.68,211.55,5559530,212.2031,87214
2025-03-14,209.78,212.82,208.285,211.77,4511554,211.554,72170
2025-03-17,212.22,215.5,209.52,214.47,5075817,214.1008,75396
2025-03-18,214.47,215.18,212.27,213.85,5088300,213.7764,67202
2025-03-19,214.03,214.5,210.78,212.25,5413299,212.0235,73563
2025-03-20,213.01,213.42,211.11,211.96,5836059,211.8879,71649
2025-03-21,211.73,212.88,208.74,210.01,16657723,210.2453,85815
2025-03-24,209.39,211.02,207.5,209.17,7393756,209.2118,95674
2025-03-25,209.22,209.26,199.38,201.34,10089066,202.2073,123071
2025-03-26,203.115,203.115,196.49,201.3,6743496,201.2081,96815
2025-03-27,202.02,203.68,201.3,202.72,4995303,202.5381,68008
2025-03-28,202.73,206.02,201.59,205.29,6478272,204.3546,91372
2025-03-31,204.43,210.805,204.43,209.52,11063101,208.8574,125521
2025-04-01,210.52,212.15,205.6,206.27,7853225,207.9326,96945
2025-04-02,207.22,207.22,200.335,205.19,9262821,204.6059,95283
2025-04-03,210.3,210.69,201.24,201.64,7593125,203.8464,120297
2025-04-04,200,200,186.17,186.96,13505194,190.9655,202004
2025-04-07,181.03,188.2,176.28,186.55,12581054,183.938,173810
2025-04-08,187.6,188.39,172.324,175.67,12517111,179.6866,167795
2025-04-09,168.3,180.6,164.39,179.84,18977764,173.6086,257225
2025-04-10,177.75,178,164.965,174.2,13969950,172.0378,184249
2025-04-11,173.81,176.97,169.3304,175.05,9047688,173.6047,113122
2025-04-14,177.44,180.19,176.2,179.1,7164364,178.8652,97832
2025-04-15,177.7,180.5,176.31,176.8,8078530,177.6768,99907
2025-04-16,176.525,176.85,169.7476,171.68,9459653,172.0944,126898
2025-04-17,172.57,175.2,171.9078,172.99,8998056,173.2949,83644
2025-04-21,173.47,174.1672,168.54,170.16,7364554,170.4209,72636
2025-04-22,171.08,174.655,170.91,173.78,6191935,173.4104,81752
2025-04-23,175,178.15,174.4,177.05,7119729,176.5009,100342
2025-04-24,177.61,181.49,176.11,180.37,8789373,179.8893,120621
2025-04-25,187.12,188.7,179.99,186.06,10482067,184.9336,155520
2025-04-28,188,193.12,187.635,192.34,10408020,190.6873,119288
2025-04-29,192.585,195.54,190.5813,193.51,6671567,193.8343,93686
2025-04-30,194.49,195.78,191.01,195.1,8400727,193.7236,89031
2025-05-01,192.88,195.815,189.8,193.34,5823568,193.6592,87787
2025-05-02,195.17,198.98,194.63,198.47,6425165,197.2342,90782
2025-05-05,198.47,198.495,195.03,196.07,5121472,196.1098,61805
2025-05-06,195.5,195.82,185.74,187.15,9392012,188.8036,124563
2025-05-07,188.17,190.18,186.75,188.09,5773879,188.3016,84721
2025-05-08,184.13,186.6615,181.64,185.58,8816708,184.7862,125969
2025-05-09,185.75,189.77,184.23,184.6,7806372,186.8212,107385
2025-05-12,180,192.69,180,190.07,12792682,189.6729,171194
2025-05-13,189.03,189.76,185.41,188,7523807,188.237,116636
2025-05-14,186.515,187.645,176.6,177.44,12211957,180.0155,168618
2025-05-15,178.015,182.11,176.57,181.68,12073301,179.1701,154170
2025-05-16,181.3,184.07,180.52,184.02,6152806,182.7836,82745
2025-05-19,184.22,185.8,182.51,185.71,5216727,185.1228,66080
2025-05-20,184.86,186,183.635,184.85,5505377,184.7355,77655
2025-05-21,183.93,184.8099,181.54,181.8,5140901,182.3252,75103
2025-05-22,181.41,183.555,180.25,182.54,4689223,182.1152,72973
2025-05-23,182.37,184.115,181.715,183.26,4027044,183.1111,58779
2025-05-27,184.27,185.99,183.9,185.72,5726691,185.3198,70817
2025-05-28,185.35,186.1,182.37,183.09,4787790,183.8148,71989
2025-05-29,183.46,186.75,182.6881,185.62,4926034,185.3164,71397
2025-05-30,185,186.6899,183.01,186.11,11609036,185.8048,88482
2025-06-02,185.73,186.99,183.1601,186.99,4435629,186.1242,76101
2025-06-03,186.9,188.73,184.82,187.25,5335592,187.2217,73625
2025-06-04,188.41,190.18,187.27,187.34,4382380,188.1254,64243
2025-06-05,187.5,188.6,185.05,187.47,4418520,187.6247,63081
2025-06-06,188.49,190.49,188.3,189.83,3607927,189.8313,63518
2025-06-09,190.51,191.79,189.008,189.16,4661638,189.6792,68170
2025-06-10,189.04,191.88,188.8,189.5,4087503,189.9172,66714
2025-06-11,189.34,192.72,189.06,191.5,3907958,191.5597,70165
2025-06-12,192.2,193.5896,187.4078,192.42,5781429,191.5923,79801
2025-06-13,191.56,193.47,190.29,191.08,4965775,191.6189,72482
2025-06-16,190.9,191.6581,188.93,190.86,4203942,190.7774,61732
2025-06-17,189.16,190.61,185.03,185.48,4733885,186.5139,86145
2025-06-18,185.25,187.12,183.7,185.49,3573152,185.853,64332
2025-06-20,186.09,187.1,184.16,185.3,12158103,185.2368,80315
2025-06-23,184.49,185.8,182.3,183.76,5157855,183.7048,76881
2025-06-24,184.52,186.1399,183.19,185.55,4074609,185.1823,75531
2025-06-25,185.3,187.09,184.64,185.39,4471108,185.8258,69402
2025-06-26,186.53,188.99,185.79,186.79,5734014,187.0168,79344
2025-06-27,187.9,188,181.73,182.31,29264650,182.8523,108501
2025-06-30,182.43,186.2499,181.75,185.62,6483021,185.073,80311
2025-07-01,185.01,191.76,184.385,189.99,5937604,189.3717,95619
2025-07-02,189.7,192.59,189.53,190.75,4658511,191.1129,69539
2025-07-03,191.15,191.465,188.871,189.28,3706116,189.4927,52091
2025-07-07,189.44,191.39,186.825,187.63,11049426,188.1632,84805
2025-07-08,186.79,193,186.67,189.77,7106896,190.1017,77077
2025-07-09,188.5,191.0921,188.32,190.62,5594464,190.1603,68365
2025-07-10,190.5,197.5,189.56,195,6049615,194.963,83368
2025-07-11,193.89,194,191.16,192.45,4990981,192.3234,75494
2025-07-14,191.72,192.665,190.04,191.52,4072779,191.2567,67389
2025-07-15,190.21,190.67,185.01,186.39,6729235,186.5119,88607
2025-07-16,186.92,191.385,186.5,190.58,6202725,190.2962,78020
2025-07-17,189,192.12,188.2609,191.4,4853051,191.0029,67734
2025-07-18,191.505,192.34,188.57,189.26,5332163,189.6484,58492
2025-07-21,189.62,189.9,184.63,184.85,4954794,186.2872,81170
2025-07-22,184.94,188.1992,184.9,187.11,4432061,186.9117,64463
2025-07-23,187.045,190.8,186.77,190.55,4344466,189.4917,67742
2025-07-24,190.76,192.24,189.99,190.83,3463089,191.0635,56546
2025-07-25,191.4,191.4,188.53,190.28,3786776,190.0914,64132
2025-07-28,191.21,191.21,187.64,188.52,3776900,188.8752,55090
2025-07-29,189.15,192.49,187.86,191.22,6715496,190.8309,76874
2025-07-30,191.77,192.7,188.01,189.31,5008390,189.8922,67870
2025-07-31,197.06,198.8256,187.62,189.02,10347929,191.9916,154296
2025-08-01,189.92,197.06,189.785,195.22,8081951,195.0946,121869
2025-08-04,194.81,197.37,193.72,197.19,4217462,196.3421,69446
2025-08-05,197.55,199.89,196.48,198.55,4153422,198.2655,69174
2025-08-06,197.23,198.05,194.67,196.3,4057267,195.8945,64174
2025-08-07,197.05,199.83,196.5,198.86,4683382,198.501,73801
2025-08-08,199.08,200.33,197.14,198.05,4101771,198.4269,65715
2025-08-11,198.18,199.43,196.89,198.64,6068073,198.0969,68764
2025-08-12,198.09,200.02,197.05,198.64,3050118,198.456,53704
2025-08-13,199.76,201.72,199.2108,201.47,3558497,201.0806,58191
2025-08-14,201.8,205.06,200.86,204.68,4635784,204.2658,68677
2025-08-15,205.91,206.84,204.32,206.69,4430974,206.0901,62256
2025-08-18,206.6,208.34,205.96,206.57,6083570,206.9407,65071
2025-08-19,206.53,207.8,205.1009,206.19,3975515,206.248,59353
2025-08-20,206.65,211.6938,206.65,209.15,5782076,209.4188,84395
2025-08-21,209.14,212.45,208.87,209.5,5324170,210.3062,70272
2025-08-22,210.84,211.47,207.12,210.6,5516870,210.0142,66073
2025-08-25,210.3,211.2969,207.05,207.55,2796185,207.9752,53368
2025-08-26,207.52,208.58,206.57,208.36,3702929,208.0799,50961
2025-08-27,208.82,210.42,207.81,208.06,3459319,208.6131,58531
2025-08-28,207.65,208.01,205.4901,207.92,4523062,207.4389,58498
2025-08-29,208,211,207.9,210.4,4265008,209.9811,59813
2025-09-02,210.14,212.1599,208.99,211.92,4335496,211.3218,72954
2025-09-03,212.42,213.42,211.48,211.86,3973731,212.1472,64556
2025-09-04,212.25,214.19,211.66,213,3531768,212.7652,60944
2025-09-05,212.55,214.34,211,212.56,4465421,212.3989,67065
2025-09-08,210.99,212,207.6116,209.79,5525921,209.3336,89268
2025-09-09,209.53,210.72,209.12,210.42,3097114,210.0077,62392
2025-09-10,210.23,212.27,208.435,211.64,4520838,210.8187,80798
2025-09-11,220.35,221.765,216.75,220.22,7648085,220.2656,120698
2025-09-12,219.12,220.375,218.225,218.34,4419123,219.037,74230
2025-09-15,219.6,219.6,214.31,217.61,5162389,216.8114,92575
2025-09-16,218.33,218.71,215.84,216.26,4251076,216.5619,64662
2025-09-17,219.1,221.55,217.3,220.81,5258357,220.2975,87597
2025-09-18,221.07,222.07,219.92,221.99,4445792,221.367,77867
2025-09-19,222.415,223.49,221.585,222.47,14415107,222.4965,77514
2025-09-22,222.46,225.16,221.43,222.59,5990698,223.5286,82931
2025-09-23,222.01,224.4025,221.925,222.61,4630091,222.9666,76901
2025-09-24,222,222.2399,218.54,219.99,5074766,219.9743,68943
2025-09-25,220.1,222.26,218.03,218.54,6666028,218.978,83378
2025-09-26,220.63,221.48,217.67,220.61,4185796,219.9127,69825
2025-09-29,220.75,223.24,219.79,223.16,4958361,222.1916,71334
2025-09-30,223.06,232.3525,222.565,231.54,9187338,230.2082,129055
2025-10-01,233.64,244.81,232,244.38,12243139,241.7697,173623
2025-10-02,240.89,242.67,234.52,236.56,8107666,237.4949,143378
2025-10-03,236.9,238.8396,233.71,233.91,6547632,235.3509,104049
2025-10-06,231.71,232.95,227.92,230.19,11940287,230.2165,111666
2025-10-07,231.29,234.08,227.59,232.83,4901000,232.1954,87029
2025-10-08,231.48,233,229.68,231.24,5413013,231.4415,70747
2025-10-09,233.27,233.79,230.62,230.69,4607869,231.3165,70985
2025-10-10,231.51,234.68,230.5,230.5,6156932,232.0168,116655
2025-10-13,230,233.805,229.2244,230.3,5411890,231.4087,85691
2025-10-14,228.07,230.65,227.51,229.13,5527553,229.1619,90184
2025-10-15,227.2,228.95,225.32,226.22,5459705,226.6691,77694
2025-10-16,226.22,228.11,225.46,226.87,4737529,226.8079,69962
2025-10-17,227.52,230.711,226.805,229.57,7150042,229.3244,66797
2025-10-20,231,232.26,230,232.06,5246946,231.4762,71781
2025-10-21,232.15,232.81,229.83,231.39,3298131,231.2034,57827
2025-10-22,231.67,232.16,228.43,228.68,3523765,229.7119,68897
2025-10-23,228.99,229.86,227.25,228.25,5818006,228.4667,71509
2025-10-24,228.78,229.04,226.25,227.99,3554688,227.7902,67623
2025-10-27,227.95,228.6,227.12,228.03,2784402,227.8779,60263
2025-10-28,227,228.4,224.31,227.54,3724183,227.386,66301
2025-10-29,227.62,227.9999,224.04,225.14,5469686,225.6944,82331
2025-10-30,227.05,229.65,226.41,228.2,5020654,228.1043,87431
2025-10-31,223,223.87,216,218.04,10825326,218.5068,169020
2025-11-03,216.68,219,211.69,211.96,8874341,213.2775,162577
2025-11-04,212.37,217.08,212.37,215.89,6184010,215.6719,101277
2025-11-05,215.74,217.43,212.6,216.77,4928394,216.0566,89723
2025-11-06,215.89,219.684,215.65,219.04,6615338,218.3356,75313
2025-11-07,219.31,220.99,217.09,219.16,4647894,218.9081,72329
2025-11-10,217,219.86,216.1498,218.71,4530984,218.2143,74028
2025-11-11,219,225.42,219,225.17,4802442,223.9208,69279
2025-11-12,225.4,234,225.29,233.23,8583201,231.9181,120030
2025-11-13,233.74,239.29,232.16,232.29,7968522,235.7768,131118
2025-11-14,233.61,235,230.3201,232.36,5461523,232.9486,84237
2025-11-17,233.26,235.35,229.23,234,5023149,233.9147,90889
2025-11-18,235,237.19,232.1131,233.87,6232602,234.3677,93833
2025-11-19,233.54,238.15,230.36,232.91,7618431,233.2893,102817
2025-11-20,233.26,234.95,228,229.45,4283604,229.8314,89547
2025-11-21,230.545,238.01,230.14,236.28,8017597,235.7194,95164
2025-11-24,236,237.62,228.48,229.51,10225855,230.8473,105790
2025-11-25,230.32,234.08,230.31,231.8,7134461,232.042,91172
2025-11-26,232.04,232.48,226.64,227.66,5921088,227.8831,79770
2025-11-28,226.85,228.09,225.51,227.7,2655563,227.2002,46778
2025-12-01,227.19,229.49,223.98,225.11,5208509,225.1914,79190
2025-12-02,224.82,226.6348,223.11,224.37,5096922,224.6594,70582
2025-12-03,224.84,230.79,224.52,230.24,4873263,229.2074,80419
2025-12-04,230.11,230.94,227.59,228.71,3733100,228.8681,63402
2025-12-05,228.93,229.25,225.05,226.08,3985199,226.2688,68006
2025-12-08,226.08,226.12,222.39,223.12,4005995,223.8813,71643
2025-12-09,223.89,224.82,220.2301,222.99,4268052,223.0099,64136
2025-12-10,225,225.98,221,225.18,8735154,224.5682,88280
2025-12-11,225.54,225.96,222.24,223.98,4170630,223.8045,72776
2025-12-12,223.685,223.82,221.1,223.32,5467638,222.6238,84058
2025-12-15,224.235,228.3,223.56,227.45,5972176,227.1082,94139
2025-12-16,226.41,226.84,221.91,223.67,6405940,223.6882,77533
2025-12-17,223.88,226.41,222.86,224.31,5243829,224.7368,73965
2025-12-18,224,226.26,222.79,222.82,4760352,224.0517,69091
2025-12-19,222.945,229.47,222.35,226.82,18968826,226.6572,102989
2025-12-22,226.11,228.65,224.25,227.91,4828087,227.4131,70710
2025-12-23,228.22,230.79,227.91,228.79,3612223,229.1197,55771
2025-12-24,229.46,230.8,228.9801,229.89,1744910,230.1148,28543
2025-12-26,229.82,230.605,228.68,229.98,1594000,229.6974,40607
2025-12-29,230.15,232.015,229.74,230.84,3803117,230.9187,52636
2025-12-30,230.77,231.205,228.62,229.74,2347973,229.6111,55236
2025-12-31,229.74,230.25,228.43,228.49,3197147,228.903,44203
2026-01-02,228.74,230.74,225.71,229.31,3336885,229.1405,61694
2026-01-05,227,227.2425,217.86,220.18,9341301,220.2139,141002
2026-01-06,219.75,224.2,219.55,223.93,9151710,223.1628,98005
2026-01-07,225.24,237.04,224.74,233.42,10285385,232.0697,128390
2026-01-08,231.125,231.54,223.1225,224.13,9365855,226.4306,120904
2026-01-09,223.75,225.12,219,220.08,6714160,221.0968,101241
2026-01-12,221.19,222.49,218.39,220.04,6546141,219.9684,79740
2026-01-13,219.53,220.75,215.85,220.75,4872602,219.4006,75815
2026-01-14,221,223.3383,217,221.89,8426842,221.2709,97505
2026-01-15,222.52,223.03,215.83,216.75,6954243,217.3164,98206
2026-01-16,215.61,217.345,213.88,214.35,8649746,214.9211,85527
2026-01-20,211.695,214.04,209.96,214.04,8251436,213.2773,101498
2026-01-21,212.47,218,211.57,216.15,10727118,215.7533,101428
2026-01-22,216.28,219.05,214.76,218.11,5650881,217.8943,82331
2026-01-23,217.26,219.82,215.88,219.26,5816700,218.7111,73516
2026-01-26,219.11,221.4771,218.5,220.77,6553387,220.3999,72871
2026-01-27,220.88,226.86,220.65,223.93,5747444,223.6135,74549
2026-01-28,223.6,224.03,216.7,218.67,5215799,219.1965,81926
2026-01-29,218,224.14,218,220.43,7834002,221.198,91193
2026-01-30,220.51,224.02,219.555,223.01,6622248,222.4586,76557
2026-02-02,224.85,229.785,224.42,225.64,5412997,225.8959,79163
2026-02-03,223.95,228.7,223.641,225.66,8158535,226.1923,98153
2026-02-04,209.775,220.85,204.27,217.11,15319669,214.3746,215789
2026-02-05,216.9,219.87,214.04,219.02,10794040,217.4388,141426
2026-02-06,218.75,225.82,218.5001,223.43,6067099,223.2331,90207
2026-02-09,223.42,223.96,220.12,223.26,6767650,222.4359,81154
2026-02-10,223.75,225.81,221.94,222.44,6044475,223.6085,72682
2026-02-11,222.27,224.15,218.05,220.89,8072636,220.867,90070
2026-02-12,221.57,229.05,220.91,227.5,8712013,226.5,103793
2026-02-13,228.42,234.74,228,231.5,8252480,231.9554,103327
2026-02-17,232.655,235.2499,231.19,232.86,7336770,232.8555,91386
2026-02-18,234,234,226.07,228.72,5495352,228.1914,92550
2026-02-19,228.97,229.37,223.02,224.35,5410847,224.4469,80937
2026-02-20,225.04,226.69,223.11,224.81,6830385,225.0838,71545
2026-02-23,225.82,231.43,225.79,229.48,5463188,228.8869,78256
2026-02-24,229,230.7585,227.67,228.44,4880790,228.5695,66007
2026-02-25,229.71,232.55,226.475,226.92,5411151,228.3465,73258
2026-02-26,227.59,227.78,221.125,224.69,5331541,224.3155,80952
