date,open,high,low,close,volume,vwap,transactions
2024-10-01,517.45,519,502.5,502.8,3730026,505.418,86625
2024-10-02,503.87,510.19,502.8201,505.81,1981848,506.8015,51659
2024-10-03,501.02,509.81,498.59,503.8,1921604,504.4954,53813
2024-10-04,507.29,508.56,503.5901,507.22,1949994,506.5345,56446
2024-10-07,503.96,504.87,486.4,487.3,4870534,492.1403,116085
2024-10-08,492.45,500,486.4,496.24,3551609,495.1327,74838
2024-10-09,495.88,495.88,492.32,494.08,2869417,493.8352,68572
2024-10-10,490.54,506.45,489.35,503.57,2708102,501.6195,74293
2024-10-11,504.78,507.9799,494.9,495.42,2992409,498.2768,80004
2024-10-14,501.8,514.26,500.41,509.65,3411497,509.4664,85001
2024-10-15,513.82,517.772,506.8,508.03,3605675,510.2295,82358
2024-10-16,506.39,506.84,500.25,502.54,1859116,503.0201,60762
2024-10-17,506.51,507.5,495.23,496.83,2769241,497.6952,62380
2024-10-18,491.29,499,491.0501,494.9,2011121,495.6705,56196
2024-10-21,494.6,500.6499,492.96,497.71,1679657,497.3958,52651
2024-10-22,496.43,497.34,488.36,493.11,2388721,492.5627,64364
2024-10-23,492,493.83,483.391,485.03,2021316,486.7018,65463
2024-10-24,486.63,488.47,480.06,482.87,2100308,483.1353,62677
2024-10-25,483.42,488.34,482.52,483.72,2426769,484.4953,57783
2024-10-28,487.65,488.49,480.48,481.04,2302255,482.7574,55095
2024-10-29,481.92,487.56,479.33,485.39,2089505,484.7979,59419
2024-10-30,482.24,492.2,482.24,486.68,2728573,487.7436,61495
2024-10-31,486,486.05,477.38,478.08,2978688,479.4053,73007
2024-11-01,475.41,485.16,475.05,482.8,2852008,482.1153,65914
2024-11-04,479.03,483.76,477.37,481.35,1955249,481.5113,55888
2024-11-05,483.09,486.659,480.47,486.42,1588149,485.0259,45899
2024-11-06,492.93,506.21,492.93,504.83,2969854,502.987,88097
2024-11-07,510.655,510.655,495.3,500.92,2640295,500.3022,80956
2024-11-08,503.83,505,493.69,494.68,2856859,495.6036,68689
2024-11-11,493.6,507.72,493.6,504.48,3536599,503.2256,69400
2024-11-12,504.39,528.91,504.27,526.42,4125288,523.8823,123685
2024-11-13,523.79,539.92,520.59,532.5,3470174,532.6108,100165
2024-11-14,530.55,534.6399,523.46,529.87,3098800,530.3104,73549
2024-11-15,520.3,524.4999,498.81,503.37,4612417,506.2918,108308
2024-11-18,505,505.51,497.69,499.51,2259651,499.9579,63032
2024-11-19,496,502.41,495.46,499.61,1961731,499.7889,60081
2024-11-20,505.41,506.36,494.61,499.5,1874910,498.2961,55401
2024-11-21,502.1,508.57,493.1,504.44,2002094,502.9518,65925
2024-11-22,502.5,513.37,502.5,512.15,2287614,510.8725,64280
2024-11-25,519.09,523.2099,513.1935,518.73,3319992,518.116,69831
2024-11-26,519.95,525.76,516.3601,525.3,2415735,522.5827,58984
2024-11-27,523.21,525.88,508.7161,513.68,2324217,514.4771,63465
2024-11-29,517.65,517.65,513.58,515.93,1450247,515.8791,33160
2024-12-02,512.85,518.77,511.53,516.2,1938863,515.6014,56047
2024-12-03,511.04,516.78,504.505,516.26,2119254,512.8365,59619
2024-12-04,523.02,541.77,521.005,536.49,3307041,536.0568,90224
2024-12-05,534.42,540.11,529.79,538.22,2627219,536.9974,70934
2024-12-06,544.15,554.37,542.9,552.96,2964064,551.5651,85241
