date,open,high,low,close,volume
2024-06-03,235.09,236.29,228.51,232.21,3087769.0
2024-06-04,231.86,232.18,228.95,230.63,2616049.0
2024-06-05,232,235.97,231.22,235.68,4016735.0
2024-06-06,234.52,238.38,233.285,237.41,2756978.0
2024-06-07,236.05,237.61,233.27,234.77,2208155.0
2024-06-10,232.29,235.98,231.19,235.37,2765658.0
2024-06-11,233.65,236.51,233.13,236.3,3098615.0
2024-06-12,239.03,240.58,236.44,238.44,2514965.0
2024-06-13,232.55,236.25,232.49,234.03,2673838.0
2024-06-14,230.1,232.57,229.45,231.19,2252494.0
2024-06-17,230.54,232.5,227.94,232.39,2414979.0
2024-06-18,231.74,236.43,231.28,235.38,2457388.0
2024-06-20,232.43,232.67,228.805,229.51,4562318.0
2024-06-21,231.535,231.88,229.07,231.05,7366423.0
2024-06-24,231.05,231.94,228.1,228.46,2413626.0
2024-06-25,231.08,231.08,225.84,230.34,2015750.0
2024-06-26,229.32,229.99,226.57,227.84,2510576.0
2024-06-27,227,228.44,225.98,226.68,2159085.0
2024-06-28,228.15,232.065,226.86,228.26,3634130.0
2024-07-01,226.7,226.95,223.92,225.18,2307800.0
2024-07-02,224.56,228.37,224.56,228.24,2417892.0
2024-07-03,228.67,230.99,227.04,230.02,1425672.0
2024-07-05,231.42,231.505,228.37,230.89,2251928.0
2024-07-08,232.18,233.75,231.67,233.34,1729502.0
2024-07-09,233.76,234.26,230.91,232.01,1315573.0
2024-07-10,234.46,239.09,233.1,238.33,4037562.0
2024-07-11,238.76,239.1999,233.67,233.74,3104524.0
2024-07-12,238.35,242.16,236.15,238.56,3105747.0
2024-07-15,237.14,239.77,236.1,237.72,2057260.0
2024-07-16,239.01,243.83,237.645,243.33,1964664.0
2024-07-17,240.48,244.14,235.41,235.61,4448188.0
2024-07-18,236.48,241.1,236.29,238.99,3688460.0
2024-07-19,240.3,240.3,230.74,231.22,2894851.0
2024-07-22,237.12,240.26,233.32,240.04,2827273.0
2024-07-23,234.1,236.92,229.03,230.32,3876208.0
2024-07-24,230.63,230.96,223.74,224.62,4589596.0
2024-07-25,221.51,227.61,217.25,220.92,5114615.0
2024-07-26,225.3,227.25,222.97,226.43,4296172.0
2024-07-29,228.74,230.27,225.33,227.4,2672195.0
