date,open,high,low,close,volume,vwap,transactions
2024-10-01,203.41,204.06,193.64,197.2,6930055,197.114,91363
2024-10-02,197.83,204.51,196.74,201.15,5536564,201.9284,74303
2024-10-03,197.71,203.125,197.71,199.59,3813269,200.0307,57388
2024-10-04,204.62,204.92,199.505,201.97,4134027,201.7099,63889
2024-10-07,199.38,201.59,198.229,200.13,3711131,200.2236,56562
2024-10-08,200.13,202.5475,198.67,200.88,3616136,200.8291,60373
2024-10-09,201.4,205.59,200.63,205.06,4141557,204.5277,63892
2024-10-10,201.02,204.25,199.95,203.96,3796758,203.0863,68498
2024-10-11,202.14,207.2299,202.14,205.06,2604134,205.3331,46645
2024-10-14,206.96,214.25,206.96,213.89,5239260,213.0875,95245
2024-10-15,213.68,215.7,189.565,191.02,16613187,196.7705,256959
2024-10-16,193.22,193.22,183.9,184.59,10972552,186.4488,186596
2024-10-17,190,190.8,183,183.24,9727114,185.7764,148070
2024-10-18,186.28,186.79,184.64,186.36,5758553,185.788,90538
2024-10-21,186.16,186.71,184.1,184.46,4918119,184.7799,75835
2024-10-22,184.6,185.28,182.57,183,6753600,183.6831,105988
2024-10-23,181.95,183.74,179.79,182.7,6015230,182.2718,105860
2024-10-24,186.88,187.8,183.23,183.75,6122134,184.4844,91154
2024-10-25,186.49,189.1999,186.17,186.52,4794657,187.342,76428
2024-10-28,186.52,187.64,184.41,185.34,4101018,185.5832,74429
2024-10-29,185.34,191.53,184.651,190.12,6007375,189.0373,91846
2024-10-30,187,188.19,184.7,185.3,5851339,185.7325,91424
2024-10-31,185.21,185.21,179.28,181.58,7307475,181.1341,114983
2024-11-01,181.83,185.47,181.22,183.38,6318878,183.7257,86441
2024-11-04,183.2,183.86,180.46,181.82,3857564,182.212,66826
2024-11-05,183.3,186.75,183.1,186.48,4053013,186.0075,65370
2024-11-06,188.96,189.38,184.75,187.52,6393318,187.3094,94018
2024-11-07,190.96,194.33,190.96,194.09,5274709,193.1289,84338
2024-11-08,192.29,194.1,191.265,192.03,4767343,192.4715,79304
2024-11-11,192.31,193.2,186.46,188.56,5475193,188.6932,88460
2024-11-12,188.71,189.75,184.4704,186.61,5478424,186.7715,95017
2024-11-13,184.07,185.48,182.52,182.79,8634649,183.0977,98375
2024-11-14,186.775,187.615,185.09,186,11747404,185.0012,141379
2024-11-15,168.335,174.07,167.33,168.88,16287484,170.0728,227174
2024-11-18,167.68,171.67,166.8501,170.73,8331082,170.225,107210
2024-11-19,168.34,169.96,167.49,169.31,8651084,168.9434,92757
2024-11-20,169.31,170.525,167.06,170.49,6197305,169.2371,93109
2024-11-21,171.22,177.07,171.0501,175.75,8917431,174.6382,114857
2024-11-22,175.12,176.08,173.38,174.88,4242578,174.5399,82214
2024-11-25,176.71,177.19,171.9326,174.55,8926467,174.4609,95186
2024-11-26,175.34,175.485,170.93,173.2,6517076,172.8184,88207
2024-11-27,173.2,173.34,168.7604,171.32,4348730,170.656,75970
2024-11-29,176.38,178.43,174.26,174.71,5944388,175.6914,77717
