date,open,high,low,close,volume,vwap,transactions
2024-10-01,164.48,165.4,158.08,159.75,31831860,160.4724,347496
2024-10-02,159.31,163.1,158.6689,159.78,24630431,160.8175,278246
2024-10-03,159.71,166.7894,159.4,162.85,29598787,163.592,324908
2024-10-04,166.533,171.21,164.42,170.9,44633096,168.5252,471615
2024-10-07,171.08,172.41,168.21,170.97,38379930,170.4073,415127
2024-10-08,171.75,173.6,170,172.8,34730152,172.0401,362414
2024-10-09,174.05,174.05,169.55,171.02,33890735,170.9848,366659
2024-10-10,169.76,172.01,162,164.18,75109320,165.9981,676641
2024-10-11,164.185,169.35,163.0101,167.89,42136175,166.6025,430673
2024-10-14,167.77,168.9,165.15,165.27,31747005,166.6213,336755
2024-10-15,163.21,164.13,155.74,156.64,50759024,158.1847,607838
2024-10-16,158.075,158.28,154.9159,156.13,30575773,156.5492,324511
2024-10-17,160,160.44,156.2,156.25,29471853,157.8384,319486
2024-10-18,157.41,158.01,155.56,155.97,23822985,156.3889,247105
2024-10-21,155.76,158,154.15,157.9,25781212,156.3881,274907
2024-10-22,156.6,156.74,151.91,154.09,34330852,153.74,377252
2024-10-23,153,153.445,150.52,152.91,26095933,152.264,298394
2024-10-24,154.74,155.19,152.35,153.44,22877016,153.6835,265847
2024-10-25,155.4,158.91,155.05,156.23,29608489,157.1169,318364
2024-10-28,158.5,160.28,157.045,159.92,36010134,159.2244,352125
2024-10-29,161.1,167.5099,158.94,166.25,71896038,162.753,697750
2024-10-30,153.01,153.12,148.1,148.6,87701674,150.1672,968062
2024-10-31,147.8,148.68,143.33,144.07,44199981,144.7902,550023
2024-11-01,144.44,144.54,141.32,141.86,39018374,142.4341,430156
2024-11-04,141.7,143.64,139.72,140.71,28730421,141.5635,330592
2024-11-05,141.94,143.08,140.8,141.66,26767330,141.7581,282584
2024-11-06,144.95,145.625,141.52,145.1,32911499,144.0214,376479
2024-11-07,146.68,150.12,145.66,149.82,30326430,148.7713,372355
2024-11-08,149.39,150.71,147.525,147.95,27542342,148.7762,319318
2024-11-11,147.38,148.57,144.91,147.35,29863395,146.5717,344334
2024-11-12,147,147.45,141.5501,143.63,33560287,143.963,371677
2024-11-13,142.86,144.49,139.07,139.3,35146648,141.0207,402440
2024-11-14,140.34,141.4,138.56,138.84,31617410,139.598,328262
2024-11-15,136.575,137.35,133.65,134.9,44192480,135.3234,471779
2024-11-18,138.185,140.9,137.21,138.93,38782434,139.3605,371770
2024-11-19,137.41,139.75,137.14,139.39,23131352,138.6499,254143
2024-11-20,138.96,140.77,135.48,137.6,28643065,137.1436,317228
2024-11-21,138.87,140.2799,134.93,137.49,29300642,137.2463,344815
2024-11-22,137.35,139.13,137.04,138.35,21774728,138.1422,248915
2024-11-25,140.49,142.35,139.05,141.13,30923110,140.8707,350967
2024-11-26,142.55,142.8,136.62,137.72,32092378,138.1219,366875
2024-11-27,137.2,137.94,132.96,136.24,30165927,135.0407,363765
2024-11-29,136.24,138.5876,135.78,137.175,16085714,137.5112,189516
2024-12-02,137.915,142.82,137.8,142.06,33102438,141.26,369555
2024-12-03,142.58,143.4495,141.0801,141.98,22665348,142.06,282886
2024-12-04,142.96,144.12,141.18,143.99,25942650,142.8298,291119
2024-12-05,143.68,143.95,140.38,141.36,29356925,141.8935,317576
2024-12-06,141.48,142.7852,137.4,138.59,33576839,139.9336,375340
2024-12-09,135.71,135.77,130,130.87,57034758,132.2591,712823
2024-12-10,131.56,131.56,127.07,127.74,38902398,128.7682,526888
2024-12-11,128.52,131.21,126.2201,130.15,45588138,128.9888,492613
2024-12-12,130,132.32,129.07,130.6,34264166,130.4943,383300
2024-12-13,131.3,131.3,124.77,126.91,67544738,126.9142,737018
2024-12-16,126.01,127.76,123.12,126.69,42084677,126.0292,498180
2024-12-17,124.45,127.08,123.15,125.02,43304439,124.8995,486853
2024-12-18,125.43,127.75,120.43,121.41,49424442,124.5988,514301
2024-12-19,122.16,123.38,118.45,118.88,46160667,120.0185,553012
2024-12-20,118,121.86,117.9,119.21,53591212,119.6672,451397
2024-12-23,120.71,126.3387,120.47,124.6,47777898,124.4619,489983
2024-12-24,127.51,127.51,124.66,126.29,24800814,125.9087,267643
2024-12-26,125.52,127.2999,125.05,125.06,25085138,125.8003,265745
2024-12-27,124.37,126.18,122.26,125.19,32921511,124.5419,350550
2024-12-30,123.562,124.1,122.35,122.44,30501637,122.9991,335514
2024-12-31,123.1,123.55,120.138,120.79,30198506,121.3885,340482
2025-01-02,122.29,123.14,119.44,120.63,34256182,121.1728,368989
2025-01-03,121.65,125.56,121.42,125.37,36779299,123.9456,363393
2025-01-06,129.07,130.73,127.36,129.55,48020190,129.4789,511143
2025-01-07,130.51,131.71,126.8537,127.33,38720408,128.6637,401429
2025-01-08,124.51,125.3,120.1201,121.84,46702736,121.974,518865
2025-01-10,118.18,118.71,114.4501,116.04,58903114,115.9066,718053
2025-01-13,115.28,117.48,114.41,117.32,37798897,116.0936,410942
2025-01-14,118,118.66,114.5,116.09,37005279,115.9824,416157
2025-01-15,117.55,120.42,117.46,119.96,38180219,119.2675,356623
2025-01-16,120.24,121.09,118.25,118.44,29414126,119.0968,314732
2025-01-17,120.78,122.74,120.55,121.46,35752724,121.3521,322521
2025-01-21,122.39,123.75,121.1201,122.28,31578832,122.5643,331121
2025-01-22,123.08,125.65,121.912,123.75,35022582,123.9431,352890
2025-01-23,121.425,123.71,120.63,123.04,24171108,122.7838,263827
2025-01-24,124.55,125.25,122.23,122.84,31570300,123.3828,310238
2025-01-27,117.8,118.08,112.8,115.01,61020338,115.5829,783171
2025-01-28,115.175,116.15,112.95,114.17,39887460,114.208,462757
2025-01-29,115.77,118.52,114.96,117.35,40186902,117.0722,405512
2025-01-30,118.53,120.44,117.09,118.86,29788383,118.6694,326024
2025-01-31,119.14,119.565,115.33,115.95,40533565,117.3968,448246
2025-02-03,113.875,115.16,112.98,114.27,34564051,114.1296,400035
2025-02-04,115.45,119.85,114.79,119.5,69412094,116.4252,756567
2025-02-05,107.61,112.09,106.5,112.01,110601743,109.1885,1059264
2025-02-06,110.93,112.56,109.02,110.16,50426590,110.1779,481866
2025-02-07,109.13,109.92,106.79,107.56,46082431,107.9084,476529
2025-02-10,108.44,111.4,108.15,110.48,34905359,110.2547,367513
2025-02-11,108.98,113.07,108.94,111.1,35033759,111.4146,311400
2025-02-12,109.52,111.8356,109.0649,111.72,25319729,110.6601,272668
2025-02-13,112,114.6,110.4,111.81,40911804,112.4071,415424
2025-02-14,112.65,114.63,111.7,113.1,32477159,113.1674,325369
2025-02-18,114.05,115.55,113.45,114.28,31720307,114.1377,352042
2025-02-19,114.245,116.11,113.14,114.69,28807709,114.7797,290828
2025-02-20,115.01,116.55,113.105,114.17,27219565,114.2168,294033
2025-02-21,114.845,115.76,110.43,110.84,41353683,112.2542,403218
2025-02-24,111.49,111.6,107.98,108.11,29072208,109.136,338033
2025-02-25,107.885,108.64,103.62,103.96,39169161,105.4423,474390
2025-02-26,104.945,105.7999,103.99,104.74,29166325,104.8107,326296
2025-02-27,105.08,105.76,99.5,99.51,47260722,101.7579,479054
2025-02-28,99.56,101.8,98.69,99.86,45194576,99.9487,435277
2025-03-03,101.515,102.34,97.09,98.23,38957988,99.5773,437596
2025-03-04,96,103.18,95.89,100.75,54156941,99.2778,552610
2025-03-05,100.36,101.84,98.87,101.67,27855488,100.6371,297610
2025-03-06,99.05,101.08,98.27,98.85,28948978,99.3101,333067
2025-03-07,98.88,100.65,96.39,100.31,33254367,98.9254,381051
2025-03-10,98.57,101.29,95.83,96.63,38704927,97.9139,435544
2025-03-11,96.79,98.1599,94.73,96.76,34078300,96.8548,387306
2025-03-12,99.045,101.715,98.17,100.79,34234753,100.2287,367547
2025-03-13,99.715,100.07,97.27,98.11,28575150,98.5644,304948
2025-03-14,99.64,101.22,99.58,100.97,24715265,100.5117,266528
2025-03-17,102.6,106.15,102.6,104.59,43689523,104.9861,419910
2025-03-18,103.85,104.55,102.97,103.51,27152827,103.6634,285121
2025-03-19,104.42,107.9,101.96,106.23,32287496,105.3,334183
2025-03-20,105.12,108.26,105.12,107.14,26869239,107.0698,267191
2025-03-21,105.33,107.25,104.33,106.44,30135863,106.0131,243485
2025-03-24,109.73,114.85,109.4,113.85,53342002,112.9721,513469
2025-03-25,113.265,114.95,112.71,114.81,29077507,113.7354,321369
2025-03-26,114.11,115.8999,108.68,110.19,39976485,111.0414,421638
2025-03-27,106.11,107.62,105.5499,106.65,32773714,106.5082,350650
2025-03-28,105.525,106.51,102.48,103.22,31069114,103.6881,331140
2025-03-31,100.235,102.82,98.8,102.74,30865342,101.4999,314093
2025-04-01,102.16,102.83,100.93,102.78,23523230,102.0126,271184
2025-04-02,101.52,104.185,100.76,102.96,20793989,102.7047,256447
2025-04-03,97.79,99.4499,93.64,93.8,50472542,95.8585,608991
2025-04-04,90.1,91.08,83.67,85.76,65800021,86.8684,790925
2025-04-07,80.68,89,77.75,83.64,70515292,82.7718,758481
2025-04-08,86.145,88.93,76.48,78.21,69910233,82.6789,766916
2025-04-09,79.22,97.91,78.87,96.84,97759852,89.4208,988375
2025-04-10,91,92.95,85.06,88.7,65210565,88.6036,737793
2025-04-11,90.51,94.76,90.5,93.4,57892600,92.6943,555963
2025-04-14,97.11,97.3699,93.45,94.5,36002970,95.1989,379579
2025-04-15,94.66,96.85,94.62,95.29,28094036,95.1119,301252
2025-04-16,87.61,90.47,85.295,88.29,61795016,88.3371,626255
2025-04-17,88.84,89.03,86.515,87.5,34801437,87.5482,340531
