date,open,high,low,close,volume,vwap,transactions
2024-10-01,322.05,322.2043,316.92,320.32,2069670,319.8157,42504
2024-10-02,317.63,320.67,316.18,319.73,2614461,319.3455,31507
2024-10-03,317.11,319.73,315.46,317.48,1525282,317.4347,30835
2024-10-04,318.72,320.74,316.43,319.66,1467846,319.2872,29254
2024-10-07,320.08,320.205,315.92,317.45,1262262,317.8174,31256
2024-10-08,319.165,319.95,316.4775,317.68,1453273,318.0004,30100
2024-10-09,316.66,322.99,314.7,322.41,1379414,320.5538,32572
2024-10-10,320.95,322.57,318.7501,321.01,1254591,320.9139,29078
2024-10-11,322.2,329.17,320.1001,328.35,1567233,326.4029,32453
2024-10-14,325.59,326.95,322.59,324.62,1613451,324.9412,31493
2024-10-15,326.03,327.3325,324.03,325.09,1956202,325.4354,39991
2024-10-16,326.2,326.73,321.32,321.63,1776795,322.7172,34413
2024-10-17,325.92,325.92,320.5,321.33,1635581,321.7525,38636
2024-10-18,320.61,322.56,319.18,321.66,1552126,321.2392,28891
2024-10-21,320.16,321.8,315.87,316.74,1533183,317.6846,34578
2024-10-22,315.24,321.08,313.98,319.66,2106533,318.6818,35400
2024-10-23,316.01,318.55,313.7,314.9,1526505,315.2138,36007
2024-10-24,314.43,317.24,313.63,315.69,1326947,315.441,30627
2024-10-25,318.49,319.2,314.88,316.98,1604649,317.0469,36350
2024-10-28,318.06,320.14,315.9,317.17,1815992,317.5969,37802
2024-10-29,317.01,319.21,314.82,316,1466737,316.189,32248
2024-10-30,311.95,317.905,310.63,315.54,2223592,315.5403,45348
2024-10-31,317.69,323.4,315.65,320.16,2713469,320.4214,51917
2024-11-01,318.69,321.695,316.91,319.22,1826772,319.4024,42847
2024-11-04,320.58,320.58,314.61,316.91,2090104,317.1554,42768
2024-11-05,316.16,319.52,313.0201,319.29,1472342,318.3474,38340
2024-11-06,325,325.39,318.17,321.79,2208869,321.9238,53647
2024-11-07,322,322.97,318.5419,321.91,2654860,321.579,43666
2024-11-08,322.48,328.25,321.28,325.28,1978146,325.545,43037
2024-11-11,325.91,327.58,321.61,321.81,2457168,323.3777,40271
2024-11-12,319.59,321.22,293.8017,298.84,6680281,302.9079,106811
2024-11-13,306,307.43,298.91,301.44,3725596,302.6651,72970
2024-11-14,297.91,298.48,292.325,295.93,3515674,296.0214,72196
2024-11-15,291.5,291.5,279.62,283.61,5325131,283.2282,95933
2024-11-18,279.38,281.36,276.56,278.76,3175879,278.4832,69690
2024-11-19,277.67,281.5997,275.56,279.95,3210454,279.5546,48941
2024-11-20,281.1,288.48,278.56,287.87,4759332,284.2541,56953
2024-11-21,288.18,291.11,284.1435,289.9,3553436,289.0392,54430
2024-11-22,290.84,295.48,288.78,294.53,3053317,294.0067,52818
2024-11-25,293.55,297.3235,293.5001,294,4695856,294.3319,50975
2024-11-26,264.22,280.34,257.8,280.01,17010332,268.6605,249946
2024-11-27,279,282.69,278,280.07,6622764,280.0664,90498
2024-11-29,279.455,283.64,277.64,282.87,2232846,282.3639,37402
2024-12-02,282.08,282.391,276.89,278.1,4677815,278.2477,64364
2024-12-03,277,281.3799,276.5,278.32,5332347,278.6464,69753
2024-12-04,275.81,279.41,273.855,278.26,4174137,277.6435,60938
2024-12-05,277,279.04,273.15,274.33,3186985,275.1451,51981
2024-12-06,275.01,275.355,271.48,272.58,3970337,272.8217,55325
2024-12-09,273.16,280,272.28,277.63,3222458,277.275,62351
2024-12-10,277.86,277.9,272.36,275.75,2791398,275.8748,50595
2024-12-11,276,276.28,270.58,273.41,4493511,273.6858,57587
2024-12-12,273.81,275.875,272.15,274.06,3749225,273.9603,51014
2024-12-13,272.96,274.065,270.02,270.62,2906477,271.145,53883
2024-12-16,270.62,272.69,266.22,266.5,3711146,268.4478,67096
2024-12-17,265.46,270.2561,264.8085,265.95,4742547,266.7099,65581
2024-12-18,265.18,267.19,258.68,258.78,4093576,261.6175,65520
2024-12-19,258,261.805,253.3,261.19,4726141,259.9212,78727
2024-12-20,269,269.61,262.21,263.38,13687968,264.6812,78522
2024-12-23,263.11,264.8,260.87,264,3025799,263.2717,51143
