date,open,high,low,close,volume,vwap,transactions
2024-10-01,184.9,186.19,183.4519,185.13,35993006,184.7142,440039
2024-10-02,184.44,186.6,184.04,184.76,23704056,185.1407,314477
2024-10-03,183.045,183.44,180.875,181.96,30204302,182.1979,398492
2024-10-04,185.75,187.6,183.6,186.51,41039211,185.7319,431146
2024-10-07,182.95,183.6,180.25,180.8,42364201,181.2782,520248
2024-10-08,181.915,183.09,180.92,182.72,26372086,182.3367,314225
2024-10-09,182.82,185.845,182.05,185.17,26343117,184.5009,345913
2024-10-10,187.13,188.134,185.83,186.65,27780363,186.8877,353744
2024-10-11,186.63,189.9284,186.3,188.82,25751557,188.8012,342262
2024-10-14,189.78,189.83,187.36,187.54,22608807,188.1982,328272
2024-10-15,187.63,188.41,184.58,187.69,32144200,186.8603,433034
2024-10-16,187.05,187.78,185.61,186.89,23456812,186.6747,325887
2024-10-17,188.22,188.94,186,187.53,25005314,187.6634,327335
2024-10-18,187.15,190.74,186.28,188.99,37381410,189.1223,375967
2024-10-21,188.05,189.46,186.4,189.07,24631393,188.3148,329959
2024-10-22,188.35,191.5201,186.975,189.7,29631593,189.6999,333873
2024-10-23,188.85,189.16,183.69,184.71,31937089,185.6853,402057
2024-10-24,185.25,187.11,183.86,186.38,21612195,186.1395,300447
2024-10-25,187.85,190.45,187.53,187.83,29323810,188.7111,357520
2024-10-28,189.565,190.21,188.21,188.39,27930836,188.9501,330722
2024-10-29,188.58,191.4599,187.815,190.83,35690158,190.3437,371710
2024-10-30,194.695,195.61,192.42,192.73,37706550,193.4991,478471
2024-10-31,190.51,190.6,185.23,186.4,75146387,188.8446,836767
2024-11-01,199,200.5,197.02,197.93,99611847,198.8004,1003135
2024-11-04,196.45,197.33,194.3101,195.78,38484562,196.0049,476482
2024-11-05,196.04,199.82,195.99,199.5,30564784,198.4642,372051
2024-11-06,200.01,207.55,199.14,207.09,72292166,204.3931,848125
2024-11-07,207.44,212.25,207.19,210.05,52878383,210.1282,610078
2024-11-08,209.72,209.9633,207.44,208.18,35919966,208.648,443814
