date,open,high,low,close,volume,vwap,transactions
2024-10-01,172.16,172.25,165.8,167.47,23746016,167.6931,261222
2024-10-02,167.55,172.84,167.0201,170.66,14317834,171.0603,196119
2024-10-03,169.62,174.94,169.19,171.89,13072281,171.8349,177025
2024-10-04,176.3,176.8998,172.6,176.64,17941387,175.6915,222936
2024-10-07,174.82,178.31,173.86,175.08,15588333,176.0892,192877
2024-10-08,175.42,181.6,174.89,180.73,20774189,179.6108,252999
2024-10-09,179.24,186.42,176.42,185.95,25504058,183.6681,316045
2024-10-10,183.56,186.31,182.53,185.69,16317969,184.9642,225533
2024-10-11,181.14,182.59,177.4,181.48,23070023,180.5447,297081
2024-10-14,183.3,184.951647,180.13,182.31,17195824,182.172,242221
2024-10-15,180.79,181.7,173.3652,175.98,27657529,176.2339,346165
2024-10-16,178.51,179.25,175.33,176.82,15285054,176.996,191704
2024-10-17,181.37,185.51,180.69,181.53,25232427,182.8954,303860
2024-10-18,182.32,182.71,178.68,179.89,17835247,180.4081,198410
2024-10-21,179.38,181.7199,178.25,179.99,13690149,179.6852,170509
2024-10-22,178.66,180.69,177.41,179.38,12062648,179.2303,167452
2024-10-23,177.585,178.98,172.57,173.51,19513713,174.5715,227774
2024-10-24,174.26,174.3,169.5,171.35,20485174,171.3505,261603
2024-10-25,174.19,176.796,172.72,173,19977679,174.0097,212313
2024-10-28,173,173.9728,171.345,172.02,13195829,172.3508,201201
2024-10-29,172.435,180.23,171.2101,179.24,23702344,177.5032,280749
2024-10-30,177.47,179.19,175.62,176.64,17911488,177.1098,214401
2024-10-31,174.45,174.45,167.38,169.77,26086587,169.4705,316568
2024-11-01,168.26,171.3255,167.5,168.92,17847038,169.4092,219486
2024-11-04,169.28,172.45,168.42,168.55,13582910,169.6392,170130
2024-11-05,170.05,174.4,170.05,173.9,13441752,173.2622,160099
2024-11-06,179.63,180.21,175.96,179.55,24300746,178.7593,279918
2024-11-07,181.9853,184.8722,181.79,183.81,18970581,183.6848,237301
2024-11-08,182.99,185.05,181.83,183.64,13503154,183.6362,185384
2024-11-11,183.4,183.63,176.8201,178.91,17036660,178.8278,208198
2024-11-12,178.9,179.56,173.2,176.22,15861981,175.9864,233389
2024-11-13,174.705,175.5926,172.6,173.58,17462513,173.9189,207160
2024-11-14,174.77,175.57,169.87,170.38,20638855,171.3464,223783
2024-11-15,168.47,169.135,163.43,164.84,20836160,165.4914,263857
2024-11-18,165.66,166.3463,162.22,165.67,17870329,165.3326,196545
2024-11-19,166.66,166.8,164.31,165.35,17968901,165.2853,188132
2024-11-20,165.54,165.54,160.86,163.25,17196728,162.727,219497
2024-11-21,166.25,166.34,160.6,163.94,24835252,164.0473,258845
2024-11-22,164.3,164.9092,162.4,164.23,17332473,163.9306,184990
2024-11-25,165.395,167.225,162.89,164.82,26850591,164.5936,261511
2024-11-26,164.6,166.37,162.69,164.74,16308772,164.5306,214969
2024-11-27,163.2,163.2,157.54,159.67,19722723,159.4656,248865
2024-11-29,159.57,162.69,159.08,162.08,11024005,161.6923,134618
2024-12-02,162.95,168.3797,162.75,166.51,21472442,166.4428,240171
2024-12-03,164.48,168.27,164.03,168.15,17022684,167.5191,173387
2024-12-04,173.44,175.39,168.56,170.56,32748246,170.4254,281969
2024-12-05,170.75,172.3981,169.2,170.47,18189993,170.4863,194091
2024-12-06,170.1,180.68,169.3301,179.53,27830828,177.86,293221
2024-12-09,178.95,180.7933,176.0209,178.94,20885105,178.3615,232440
2024-12-10,177.81,178.5,169.73,171.81,27762632,172.3018,291916
2024-12-11,180.01,184.87,176.4296,183.2,41272679,181.8635,392464
2024-12-12,180.93,182,175.99,180.66,46958170,183.8315,531173
2024-12-13,213.9,228.7,211.11,224.8,121336628,219.285,1241498
2024-12-16,231.79,251.88,230.81,250,111573166,244.7972,1116202
2024-12-17,240.65,242.47,233.8,240.23,70322134,238.7437,856251
2024-12-18,239.41,239.85,219.22,223.62,53960103,228.5076,683711
2024-12-19,227.91,228.05,217.58,218.32,40845167,221.1026,513382
2024-12-20,220.36,230.29,218.91,220.79,131910354,222.0042,566055
2024-12-23,226.69,233.3994,225.13,232.35,40643778,230.7644,466042
2024-12-24,240.115,240.228,234.8,239.68,22827188,238.2191,314257
2024-12-26,240,247.28,237.6,245.36,28537540,243.9944,383545
2024-12-27,245.64,245.78,236.3532,241.75,29282230,240.3944,366380
2024-12-30,234.695,238.77,231.62,235.58,27316797,235.4316,334636
2024-12-31,235.88,237.46,231.31,231.84,17927719,233.6953,228854
2025-01-02,236.155,239.5,230.2425,231.98,31525830,233.8721,392195
2025-01-03,233.59,236.4893,229,232.55,24973192,232.6873,322934
2025-01-06,236.5,241.75,233.3,236.41,34028377,236.8209,406247
2025-01-07,239.5,239.5,227.6,228.64,25861406,230.6624,361102
2025-01-08,229.7,232.47,226.06,229.31,18756487,229.1859,260394
2025-01-10,227.3,227.83,221.25,224.31,23864005,223.9887,327472
2025-01-13,219.99,229.26,219.51,225.29,23772091,225.2261,300491
2025-01-14,226.57,230.26,223.1,224.7,18143124,225.8045,241043
2025-01-15,228.55,230.34,225.58,228,21745616,227.9302,249147
2025-01-16,235.22,238.6,229.21,229.41,23471871,232.6193,291247
2025-01-17,237.08,238.1,232.66,237.44,31196642,236.4377,291451
2025-01-21,241.5,242.75,237.4,240.31,30902556,240.4124,397810
2025-01-22,246.75,246.99,240.69,240.91,29610501,243.1686,333085
2025-01-23,238.41,240.4,236.12,240.28,17653942,238.6846,240738
2025-01-24,244.7,249.59,241.91,244.7,25387725,245.0901,323620
2025-01-27,213.4,218.43,196.23,202.13,90569144,206.0013,1323849
2025-01-28,208.01,209.95,198.89,207.36,50315987,204.9256,665389
2025-01-29,208.84,211.45,202.77,206.35,32533735,207.0354,407317
2025-01-30,218.57,221.96,213.7,215.66,42448758,217.7103,514867
2025-01-31,219.66,226.8,216.3,221.27,41130475,222.2231,421239
2025-02-03,215.46,220.9377,213.51,217.73,24507274,217.7141,364769
2025-02-04,219.35,223.03,215.3,222.43,23768517,221.8216,304502
2025-02-05,233.94,237.9299,227.5,232,29250582,233.0969,406813
2025-02-06,234.5,234.8,228.56,231.36,21169529,231.0078,259740
2025-02-07,235,235.65,224.11,224.87,22117465,227.193,325845
2025-02-10,227.43,235.82,227.12,235.04,23901643,233.5998,298612
2025-02-11,232.48,237.89,229.9739,235.04,18476200,234.5242,245671
2025-02-12,230.355,236.48,230,236.35,16397336,234.5832,217808
2025-02-13,236.06,236.95,230.7276,235.8,20962031,234.0854,263740
2025-02-14,234.53,235.74,228.9,233.04,16988777,232.9532,223718
2025-02-18,230.1,232.2,224.3001,228.53,26080547,227.8003,350971
2025-02-19,227.85,229.0653,224.4,228.73,16375487,227.3174,236537
2025-02-20,228.645,228.98,222.75,226.74,16103996,226.1226,210922
2025-02-21,225.65,227.75,215.63,218.66,24881356,220.2103,311311
2025-02-24,218.6,219.48,207.54,207.93,33050425,211.276,389092
2025-02-25,207,208.6425,200.92,202.54,33100814,203.3843,412819
2025-02-26,206.91,213.54,206,212.94,21365182,211.3724,285122
2025-02-27,217.28,219.25,197.4,197.8,27572887,203.8944,362353
2025-02-28,195.76,201.19,193.15,199.43,39741998,197.9011,423427
2025-03-03,204,204.06,184.53,187.37,37415603,190.6577,490273
2025-03-04,189.215,193.95,180.48,187.48,37910477,186.9477,492398
2025-03-05,191.86,194.08,187.1,191.58,25607040,191.0274,322912
2025-03-06,181.04,186.83,177.61,179.45,56824949,184.0183,714177
2025-03-07,187.73,195.48,181.56,194.96,74525500,190.0325,815737
2025-03-10,189.6,191.978,180.43,184.45,44217115,184.3779,557200
2025-03-11,188.05,195.6155,185.345,190.09,42153248,190.4742,475155
2025-03-12,196.215,199.98,192.4527,194.23,30409728,195.587,369300
2025-03-13,193.15,196.32,189.465,191.36,27236137,192.3553,297779
2025-03-14,196.2,197.5,193.2,195.54,25900939,195.3227,313609
2025-03-17,188.05,196.72,187.5,194.5,26811124,193.8364,308953
2025-03-18,190.44,192.89,186.9,188.67,24950760,189.1359,319442
2025-03-19,189.34,198.27,186.9,195.57,37962698,194.4151,290285
2025-03-20,191.52,193.8365,188.94,190.54,31430022,190.9678,285853
2025-03-21,188.21,192.07,187.37,191.66,43086517,190.8592,226991
2025-03-24,194.295,196.69,190.67,191.25,33180280,192.4025,269657
2025-03-25,190.885,191.6,187.68,188.26,23416050,189.0816,247879
2025-03-26,186.66,188.06,177.582,179.27,30670536,181.2188,410315
2025-03-27,177.655,178.38,170.46,171.99,32151667,173.1299,425671
2025-03-28,171.93,173.3,166.47,169.12,30384279,168.9159,369929
2025-03-31,164.485,167.94,160.62,167.43,35656449,165.0751,397264
2025-04-01,166.37,168.71,163.42,168.52,20472443,166.8768,291766
2025-04-02,166.08,173.43,165.5,172.09,19523663,170.5982,269401
2025-04-03,160.54,163.425,153.7,154.01,44354859,157.1402,604809
2025-04-04,148.17,152.8,139.1701,146.29,72289904,146.0724,889212
2025-04-07,144.49,160.43,138.1,154.14,68503505,150.9598,808922
2025-04-08,167.62,169.78,153.09,156.03,58882703,161.5627,664059
2025-04-09,160.5,187.33,157.51,185.15,72708307,175.8435,764754
2025-04-10,175.3,176.95,166.4,172.3,51212217,172.8025,622041
2025-04-11,173.62,182.66,173.31,181.94,33964143,179.1081,402038
2025-04-14,185.075,186,175.82,178.36,25748301,179.5814,336936
2025-04-15,179.725,182.2644,178.08,178.95,17242350,179.4549,221290
2025-04-16,170.43,176.08,166.92,174.61,34638639,172.7058,404506
2025-04-17,176.25,176.25,169.9156,170.99,22501785,172.0795,249491
2025-04-21,166.99,168,161.61,166.21,23469794,164.7651,269309
2025-04-22,167.43,170.52,165.2229,169.58,18504860,168.7778,216807
2025-04-23,177.78,180.45,175.82,176.91,24380470,177.974,291639
2025-04-24,179.69,188.57,178.295,188.15,27566900,186.1584,327215
2025-04-25,186.92,193.37,186.89,192.31,21242342,190.8044,277547
2025-04-28,190.53,193.1,187.68,192.47,16385846,191.0384,216395
2025-04-29,191.72,193.25,190.1,191.17,14630015,191.5965,188136
2025-04-30,185.895,193.2,184.02,192.47,22768862,190.8399,231446
2025-05-01,198.14,201.4,196.235,197.33,24939695,198.576,313027
2025-05-02,203.9,205.68,201.08,203.64,17766751,203.7994,248260
2025-05-05,200.25,203.2347,200,200.72,14025425,201.3856,176895
2025-05-06,196.44,201.91,195.94,200.09,16348806,199.7428,194388
2025-05-07,199.285,206.23,198.43,204.81,20277825,202.8365,251153
2025-05-08,208,211.1625,203.69,207.77,18460929,207.9684,262586
2025-05-09,209.33,209.96,206.52,208.2,13289174,208.0724,176797
2025-05-12,219.49,221.8,215.88,221.58,25437672,219.6388,349757
2025-05-13,222,235.28,222,232.42,28790536,230.7425,404885
2025-05-14,230.23,233.5,228.35,232.12,19751445,231.7028,293413
2025-05-15,230.16,234.455,228.07,232.64,18803678,231.747,269475
2025-05-16,232.32,232.64,226.39,228.61,23094606,228.8308,305796
2025-05-19,221.85,231.2499,221.6,230.63,15355450,228.8366,240982
2025-05-20,226.49,231.77,226.34,231.68,11787156,230.076,179740
2025-05-21,228.39,236.5,227.8301,229.73,17642941,231.4653,260704
2025-05-22,228.34,233.6899,227.43,230.53,14340230,231.0421,213956
2025-05-23,226.94,230.65,226.18,228.72,15385632,229.0467,232635
2025-05-27,232.865,236.48,231.1308,235.65,17941668,234.8362,241208
2025-05-28,237.15,240.99,234.425,239.43,20443004,238.5152,305833
2025-05-29,245.905,246.07,237.4,241.97,20768031,241.2607,310649
2025-05-30,241.215,243.17,234.9,242.07,27088559,240.8786,308536
2025-06-02,243.25,250,243.19,248.71,19197009,248.0441,319860
2025-06-03,250.075,257.88,249.4,256.85,30380248,254.6922,403155
2025-06-04,258.06,265.43,257.59,261.08,31536047,260.7949,451223
2025-06-05,262.95,264.89,259.06,259.93,42334079,260.7166,607387
2025-06-06,251.14,255.32,246.1348,246.93,41146653,250.117,675706
2025-06-09,245.045,248.17,241.11,244.28,25334081,244.5829,448790
2025-06-10,244.215,246.2795,241.4,244.63,25491286,244.2876,327790
2025-06-11,246.355,254.77,243.8,252.91,24598987,250.9014,377946
2025-06-12,250.185,257.89,249.5,256.07,20410901,255.3662,277142
2025-06-13,250.66,254,248.35,248.7,19028440,250.743,295025
2025-06-16,250.35,255.19,249.565,252.1,20363010,252.0588,308245
2025-06-17,250.95,253.96,247.92,249.37,22014312,250.1988,318178
2025-06-18,250.89,255.64,249.41,251.26,30435494,251.703,312118
2025-06-20,253.21,253.52,244.17,249.99,42134900,249.6068,329353
2025-06-23,249.105,254.21,246.46,253.77,19747034,251.6002,275319
2025-06-24,258.77,265.87,258.77,263.77,32764864,262.7292,403108
2025-06-25,266,269.87,263.43,264.65,18894163,265.6214,314704
2025-06-26,265.075,271.67,264.125,270.17,23569585,269.0443,304124
2025-06-27,270.3,271.85,266.88,269.35,27477575,269.5831,267302
2025-06-30,274.73,277.705,272.13,275.65,24708432,275.0551,314815
2025-07-01,274.4,274.5,262.6555,264.74,28847626,266.5251,427651
2025-07-02,263.99,272,262.73,269.9,17582090,268.8019,268965
2025-07-03,270.73,275.8,270.12,275.18,10591613,274.203,186068
2025-07-07,275.13,277.56,272.66,274.18,16760617,275.1134,266953
2025-07-08,276.345,276.345,271.1545,271.8,14869407,273.3245,231737
2025-07-09,272.96,279.45,272.72,277.9,20133002,277.0362,271477
2025-07-10,279.785,281.18,272.7,275.4,17891599,275.3822,326924
2025-07-11,274.14,276.47,271.89,274.38,14274674,274.2472,246919
2025-07-14,274.13,278.355,269.58,275.6,11934236,275.0409,223512
2025-07-15,279.805,283.36,277.8501,280.94,17918352,280.9446,282963
2025-07-16,280.105,281.51,275.67,280.81,15031022,279.3078,260949
2025-07-17,281.14,288.28,279.91,286.45,17231099,285.8331,304924
2025-07-18,287.11,287.53,281,283.34,15012409,284.0497,243859
2025-07-21,283.955,290.54,283.63,288.21,17726804,287.9402,248063
2025-07-22,287.655,288,276.43,278.59,16564831,279.921,316075
2025-07-23,276.78,284,273,283.69,20556237,280.8459,313697
2025-07-24,289.79,291.2,283.5,288.71,16413778,287.9724,265171
2025-07-25,288.07,292.5943,287.27,290.18,12476248,290.3981,184875
2025-07-28,292.46,295.45,290.59,294.3,13683375,293.3711,205020
2025-07-29,297.5,302.19,294.87,297.42,19210780,298.0425,289361
2025-07-30,297.15,303.255,295.8,302.62,16738929,301.1384,265778
2025-07-31,302.8,306.949,290.225,293.7,25488478,296.5702,374550
2025-08-01,286.535,292.6365,281.61,288.64,21428128,287.99,345776
2025-08-04,292.2,298.48,291.4,297.72,17164629,296.8106,262009
2025-08-05,297.81,301.2,291.45,292.93,18477469,294.6649,252636
2025-08-06,292.9,302.81,291.9044,301.67,17392100,299.2883,278961
2025-08-07,306.17,310.34,299.8807,303.76,16319444,304.7956,275260
2025-08-08,304.05,307.87,302.5518,304.97,12458746,304.9723,223692
2025-08-11,305.05,308.31,301.29,303.9,12396384,305.2693,214606
2025-08-12,306.63,313.44,304.665,312.83,17624009,310.4944,251032
2025-08-13,316.75,317.35,304.75,309.09,17371167,309.6429,296122
2025-08-14,307.01,314.1651,307.0001,311.23,15717631,310.9576,278110
2025-08-15,311.03,311.5,299.76,306.34,22806938,305.5624,303354
2025-08-18,302.7,306.17,299,305.76,14724667,303.562,258352
2025-08-19,302.415,302.8999,292.39,294.91,20149581,296.3522,357468
2025-08-20,295.46,295.49,281.87,291.17,23600512,288.0054,434205
2025-08-21,290.06,292.385,286.17,289.6,14946309,289.1416,242466
2025-08-22,291.745,300.09,289.0101,294,16301330,295.6915,284055
2025-08-25,292.81,298.4016,291.71,294.23,15124746,295.5321,253113
2025-08-26,294.35,300.2499,293.99,298.01,25689111,297.8417,250755
2025-08-27,297.53,301.18,293.78,300.25,13830302,298.8474,221814
2025-08-28,302.928,311,302.333,308.65,18907053,308.1984,285751
2025-08-29,307.01,307.01,293.66,297.39,21610682,297.1505,360330
2025-09-02,289.34,298.71,287.17,298.24,19693016,295.1678,322748
2025-09-03,302.29,304.45,296.4,302.39,18529390,301.5545,338459
2025-09-04,305.06,308.78,302.2501,306.1,31220803,307.3158,470477
2025-09-05,355.78,356.34,331.42,334.89,78401554,339.7299,1041743
2025-09-08,342.75,354.1656,341.2501,345.65,43535639,347.1698,600954
2025-09-09,349.545,350.98,335.83,336.67,26972315,340.0742,438440
2025-09-10,351.52,372.97,350.55,369.57,51086826,365.1417,707273
2025-09-11,371.18,374.23,358.7604,359.63,29430947,363.3931,475260
2025-09-12,362.91,364.385,357.16,359.87,31949795,360.4597,318161
2025-09-15,359.87,365.5,356.34,364.09,21792185,362.5549,328637
2025-09-16,365.425,365.69,356.99,360,21306508,360.517,372098
2025-09-17,358.85,359.93,341.5,346.17,45197133,348.9739,572282
2025-09-18,350,350.7,343.79,345.35,24663891,346.3921,415070
2025-09-19,344.65,346.27,336.43,344.94,41240071,344.1636,386837
2025-09-22,342.425,346.67,337.94,338.79,28660030,340.7645,478869
2025-09-23,340.24,345.215,337.0216,338.94,21944079,340.2355,324621
2025-09-24,339.755,340.0799,333.81,339.31,19677304,338.3011,295971
2025-09-25,332.99,338.062,327.3,336.1,21678187,334.2589,357716
2025-09-26,337.43,339.08,330.5801,334.53,15464697,334.5282,247008
2025-09-29,336,341.05,327.55,327.9,21336001,331.4768,350451
2025-09-30,330.12,331.05,324.61,329.91,20109459,328.0559,331837
2025-10-01,328.145,337.95,324.5,333.39,21122687,332.6372,355114
2025-10-02,347.61,347.61,335.25,338.18,19917622,339.9101,375108
2025-10-03,341.5,344.4,335.74,338.37,14749068,339.4461,316057
2025-10-06,335.92,344.13,334.56,335.49,18465729,337.1967,375791
2025-10-07,337.025,338.11,326.58,336.41,18086705,333.8634,416174
