date,open,high,low,close,volume,vwap,transactions
2024-10-01,271.28,271.83,266.5167,268.6,2429482,268.8832,46954
2024-10-02,268.6,271.39,266.25,270.92,2009621,270.1979,43508
2024-10-03,269.64,271.1,267.638,268.59,1614588,268.7226,39164
2024-10-04,272.25,276.79,270,275.97,2240183,273.6662,52014
2024-10-07,274.35,276.31,271.55,273.79,3287461,273.5444,54566
2024-10-08,271.25,272.5,266.16,269.11,3332787,269.1246,56562
2024-10-09,268.81,271.59,268.415,271.42,2086991,270.6255,47128
2024-10-10,270.93,272.9,269.88,270.47,2052769,270.9982,41991
2024-10-11,271.38,277.11,271,276.16,1723286,275.6579,41760
2024-10-14,276.16,277.7,275.1101,276.52,1398955,276.5264,40248
2024-10-15,280.57,281.42,276.9,277.31,2264560,278.5055,54077
2024-10-16,278.88,281.87,277.69,281.68,2243627,280.3318,43745
2024-10-17,284,286.36,282.4818,285.78,3571930,285.2336,70782
2024-10-18,276.8,279.2,269.05,276.79,7884358,275.0165,135893
2024-10-21,275,276.3643,269.53,270.74,4092739,271.2749,76210
2024-10-22,270.62,272.83,268.58,272.4,2595361,271.4599,57446
2024-10-23,272,273.35,268.96,271.23,2051063,270.9638,41820
2024-10-24,270.23,271.23,268.71,269.98,3490640,269.8569,56518
2024-10-25,271.65,273.17,266.345,267.35,2993298,268.7129,63331
2024-10-28,269.24,271.97,267.675,271.47,2336884,270.7955,45943
2024-10-29,270.3,271.8,269.5801,270.43,1748966,270.7889,41752
2024-10-30,271,275.07,270.27,274.08,2152864,273.9392,52538
2024-10-31,273.7,274.08,268.64,270.08,2315384,270.5857,52866
2024-11-01,272.3,274.7453,270.95,272.69,2508471,273.0046,57403
2024-11-04,272.33,272.82,269.71,270.19,1944015,270.8947,46130
2024-11-05,271.72,276.18,271.1935,275.94,1859581,275.111,47614
2024-11-06,288,296.83,286.81,295.16,5380812,292.8339,114697
2024-11-07,292.32,293.035,284.6474,286.82,3877331,287.4165,78323
2024-11-08,286.68,290.1002,285.945,287.6,1814377,287.9421,56325
2024-11-11,290.49,294.18,290.43,292.97,2299530,292.9408,51465
2024-11-12,292,293.55,287.58,288.51,2251660,289.1253,52903
2024-11-13,287.92,290.61,287.435,287.64,2118132,288.3903,50021
2024-11-14,288.34,290.555,287.355,288.3,2979782,288.8379,46998
2024-11-15,288,290.55,285.49,286.87,2614568,287.3076,53027
2024-11-18,286.94,287.52,283.61,285.54,2074634,285.4998,47676
2024-11-19,281.89,286.6199,281.31,285.55,2512936,285.2973,40618
2024-11-20,286.15,288.33,285.09,287.71,2387656,286.996,43673
2024-11-21,289.82,294.07,287.53,293,2410469,292.3911,57923
2024-11-22,293.4,301.92,292.51,301.3,3788898,299.5589,69515
2024-11-25,303.05,305.8,302.5001,305.21,3478440,304.8579,64188
2024-11-26,305.61,306.97,302,305.57,2130705,304.7846,53822
2024-11-27,307,307.82,302.7901,304.25,1697344,304.3834,43027
2024-11-29,307.25,307.79,304.67,304.68,1326646,305.3339,27732
2024-12-02,306.21,306.85,299.91,302.26,2167054,302.4114,47738
2024-12-03,303.84,304.99,301.14,302.11,2128671,302.7266,46674
2024-12-04,302,303.53,300.71,302.6,1561228,302.2929,40241
2024-12-05,302.28,303.425,300.32,300.53,2793669,301.4486,51982
2024-12-06,301.64,304.74,300.62,303.99,1797667,303.4255,43823
2024-12-09,304.07,305.07,296.16,296.72,2377947,298.496,68567
2024-12-10,297.43,304.98,296.51,302.11,2968061,302.6869,72526
2024-12-11,303.37,304.1299,299.54,302.34,2071545,302.113,46568
2024-12-12,303.63,304.45,300.26,300.3,1668441,301.1997,39696
2024-12-13,302.46,304.32,301.245,302.14,1661963,302.4442,41408
2024-12-16,303.7,304.2,300.835,303.57,1813997,303.288,46122
2024-12-17,302.33,303.03,299.7,301.34,3611578,301.1306,60012
2024-12-18,302.6,303.59,286.43,287.78,3541224,293.2673,65988
2024-12-19,293.02,296.86,291.2,293.08,3541351,293.44,63480
2024-12-20,292.35,302.72,292,298.65,6232414,298.0669,55333
2024-12-23,296.48,299.76,295.185,298.8,1902436,298.0196,43556
2024-12-24,299.29,303.615,298,303.46,862881,302.058,22392
2024-12-26,301.48,304.8899,301.01,303.99,1228978,303.7948,28014
2024-12-27,300.85,305.09,298.71,301.05,1676011,301.0643,40668
2024-12-30,297.35,299.7,294.13,297.33,2187351,297.9389,46402
2024-12-31,298.05,298.87,295.67,296.79,1231551,296.8945,31966
2025-01-02,300,300.34,294.619,298.43,1930118,297.8808,49559
2025-01-03,300.68,303.425,297.53,303.08,1979833,301.8822,44099
2025-01-06,304.32,305.1536,300.1701,301.88,2713975,302.644,52894
2025-01-07,304,304.375,296.85,302.02,2059050,301.6454,46751
2025-01-08,301.9,304.2,298.85,302.85,2061411,302.5135,40147
2025-01-10,300.43,301.315,293.16,293.3,2685527,294.8707,56123
2025-01-13,292.52,297.71,291.1557,297.02,2202977,296.1061,48207
