date,open,high,low,close,volume,vwap,transactions
2024-10-01,151.46,156.4,149.49,154.22,12588778,153.1871,153314
2024-10-02,153.765,154.8499,152.835,152.89,4257023,153.5003,63688
2024-10-03,152.12,152.74,150.51,150.52,5704814,151.1756,89599
2024-10-04,152.26,155,150.85,155,6680591,153.0456,90911
2024-10-07,155,158.7599,154.68,155.91,6267890,156.5179,88815
2024-10-08,155.99,156.7,154.14,154.65,5336289,155.0576,72974
2024-10-09,152.05,152.19,148.8,149.37,12488480,150.1877,161231
2024-10-10,149.07,149.11,146.26,146.62,11275836,147.4495,151349
2024-10-11,146.3,151.12,146.3,151.02,10688553,149.7417,116949
2024-10-14,148,150.09,146.02,148.99,9736998,148.2771,130101
2024-10-15,150.5,153.95,148.55,152.35,11241668,151.4269,148566
2024-10-16,151.91,154.99,151.34,154.9,8356210,153.5866,112590
2024-10-17,155,157.14,154.25,155.31,6291759,155.7324,91260
2024-10-18,155.84,156.37,153.9,155,6030173,154.8697,74997
2024-10-21,160.25,163.44,158.36,159.82,13277553,160.6238,171419
2024-10-22,160.5,160.66,158.37,159.88,7380826,159.736,107403
2024-10-23,160,161.4725,153.53,157.06,15931493,156.8268,200535
2024-10-24,152.61,155.89,151.98,155.2,9774355,154.2346,125399
2024-10-25,156.2,157.48,154.5202,155.01,8152969,155.7249,103798
2024-10-28,153.5,155.2,150.61,150.69,20992479,152.3267,221942
2024-10-29,147.86,155.99,147.58,152.98,66163677,152.4691,548325
2024-10-30,152.51,156.91,152.51,154.29,50738362,154.7498,271497
2024-10-31,154.31,154.48,147.88,149.31,29388204,149.773,247900
2024-11-01,152.78,156,151.23,154.59,18894509,154.0181,189827
2024-11-04,154.62,156.72,152.46,155.07,9906187,155.3416,112848
2024-11-05,157.47,157.66,150.65,151,23126635,153.1588,234444
2024-11-06,152.3,153.2,144.13,147.16,28069287,147.4871,323782
2024-11-07,148.8,152.8,148.03,150.98,14709235,150.7968,151936
2024-11-08,151.12,152.6,149.43,151.68,12996805,151.3262,133147
2024-11-11,152,152.5,148.07,148.96,12799077,149.3383,144938
2024-11-12,148.4,148.5,143.85,145.17,16743530,145.6526,201065
2024-11-13,145.58,145.58,139.1,139.97,21249600,141.3931,236318
2024-11-14,140.8,141.55,137.22,138.14,15637710,139.0314,171482
2024-11-15,138.14,140.3247,137.03,140.19,12120095,139.3411,134360
2024-11-18,140.255,144.69,138.2,143.87,12259932,142.589,126637
2024-11-19,143,145.99,142.6901,145.6,8247289,144.888,99215
2024-11-20,146.04,147.3,145.0201,146.08,9232114,146.1115,91259
2024-11-21,146.39,146.42,141.34,143.41,7845135,143.5864,104643
2024-11-22,143.61,150.339,143.49,149.29,13353083,148.0428,149496
2024-11-25,150.7,153.28,150.26,153.1,11479406,152.0656,133651
2024-11-26,152.5,153.1398,149.8,150.76,8234985,151.3761,100256
2024-11-27,151.11,152.91,150.25,152.4,5178947,151.7389,70831
2024-11-29,153,157.5025,152.85,155.44,7100090,155.6621,80739
2024-12-02,155.91,160.35,155.7,156.54,10097911,157.8941,123253
2024-12-03,156,156.6486,154.42,155,6130313,155.6619,76288
2024-12-04,155.88,160.2,154.21,158.28,9269316,157.77,105658
2024-12-05,158.5,160.02,156.0475,156.67,7119832,157.5352,94797
2024-12-06,157.03,158.9533,153.37,153.93,8182668,155.3812,94239
2024-12-09,154.27,161.95,154.27,157.04,13540021,158.7213,146730
2024-12-10,160,166.68,159.42,164.1,17149192,164.1283,205548
2024-12-11,165.52,169.3,164.381,165.96,13116634,166.6455,169034
2024-12-12,168.23,168.82,165.6501,167.75,10617736,167.6751,129311
2024-12-13,168,170.43,166.33,169.65,9754901,169.0608,114611
2024-12-16,168.09,175.2,166.1,173.17,13050714,172.0941,161430
2024-12-17,173.04,175.7866,171.71,173.03,13557076,173.3195,144244
2024-12-18,173.28,177.94,171.002,172.62,15437178,174.9039,175112
2024-12-19,175,179.5788,173.72,177.04,14777065,177.0747,177964
2024-12-20,176.86,182,175.31,177.35,23233668,178.3151,161401
2024-12-23,178.12,179.65,174.2901,177.69,8486421,176.8297,107132
2024-12-24,177.69,180.95,177.5,179.34,4316969,179.3368,56256
2024-12-26,178.98,182.57,178.33,180.38,5917678,180.819,80372
2024-12-27,180.01,181.43,179.4,180.72,6806925,180.5852,83153
2024-12-30,173.72,178.17,170.15,176.55,18082312,175.1975,206622
2024-12-31,177.54,179.3499,175.82,177,9748554,177.1767,107164
2025-01-02,178.31,179.19,169.82,171.87,12399954,172.4358,149021
2025-01-03,171.4,173.98,169.8,169.9,10513769,170.9765,104656
2025-01-06,173.5,173.9442,170.19,170.78,11133425,171.3567,107704
2025-01-07,171.165,175.02,170.8,172.51,7036767,172.9038,83617
2025-01-08,171.15,173.78,169.61,171.76,5108711,172.0692,68136
2025-01-10,171.49,173.535,167.41,172,7556765,170.9069,96233
2025-01-13,171.18,172.5,167.91,170.57,6049552,170.3768,76466
2025-01-14,171.37,171.88,164.62,167.02,7966857,167.1893,108499
