date,open,high,low,close,volume,vwap,transactions
2024-10-01,39.51,39.56,38.94,39.22,26291185,39.277,137802
2024-10-02,39.25,39.54,39.045,39.23,23302745,39.2303,115089
2024-10-03,38.98,39.27,38.725,39.25,26030228,39.1397,114319
2024-10-04,39.93,40.25,39.615,40.11,34255929,40.0314,156577
2024-10-07,40.21,40.435,39.71,39.96,27177530,40.0732,133317
2024-10-08,40.05,40.145,39.805,39.93,26023649,39.9973,128180
2024-10-09,39.87,40.385,39.72,40.19,27420997,40.1452,130638
2024-10-10,40.01,40.13,39.77,39.97,26182261,39.9214,122834
2024-10-11,40.5,42.17,40.4,41.95,50660740,41.8081,238230
2024-10-14,41.96,42.1799,41.72,41.91,28098947,41.9688,164138
2024-10-15,43.225,43.3615,42.05,42.14,61489989,42.5483,292036
2024-10-16,42.21,43.1,42.145,42.8,42437818,42.8011,185444
2024-10-17,42.83,43,42.465,42.6,31708564,42.7705,151945
2024-10-18,42.43,42.645,42.11,42.32,30593526,42.3829,143720
2024-10-21,42.25,42.41,41.74,41.76,26577739,41.943,116859
2024-10-22,41.65,42.405,41.57,42.3,37054909,42.1299,126823
2024-10-23,42.2,42.47,42.0199,42.34,28319350,42.2972,120170
2024-10-24,42.32,42.66,41.97,42.65,28392010,42.4075,139735
2024-10-25,42.92,42.98,41.785,41.89,27466909,42.0918,120932
2024-10-28,42.07,42.745,42.005,42.62,24527603,42.4957,104569
2024-10-29,42.59,42.81,42.47,42.53,22313522,42.5832,106340
2024-10-30,41.71,42.9,41.64,42.31,38100539,42.4306,158036
2024-10-31,42.29,42.55,41.8,41.82,28138240,41.9934,127118
2024-11-01,42.15,42.43,41.75,41.76,31220003,41.9763,122334
2024-11-04,41.61,42.02,41.11,41.33,31110086,41.4257,141359
2024-11-05,41.51,42.01,41.375,41.88,30851406,41.8221,109111
2024-11-06,44.8,45.55,44,45.41,110086715,45.1307,463047
2024-11-07,45.04,45.23,44.505,44.77,48339732,44.8644,232490
2024-11-08,45.14,45.5,44.945,45.13,38331814,45.2133,174737
2024-11-11,45.6,46.5175,45.58,46.08,43293527,46.1777,185149
2024-11-12,46.14,46.45,45.84,45.86,38155885,46.0715,169239
2024-11-13,46.2,46.48,45.83,45.87,36903859,46.0355,145007
2024-11-14,45.95,46.16,45.73,45.9,35733066,45.9622,148108
2024-11-15,45.62,46.84,45.62,46.75,40488863,46.4852,172500
2024-11-18,46.75,47.02,46.485,46.72,31862271,46.7689,130924
2024-11-19,45.99,46.615,45.95,46.41,28534097,46.4008,115768
2024-11-20,46.57,46.64,45.92,46.06,28021049,46.1093,129122
2024-11-21,46.39,47.05,46.3,46.46,45336463,46.6608,155831
2024-11-22,46.37,47.22,46.28,47,37996162,46.9395,143733
2024-11-25,47.26,47.74,47.16,47.5,42616057,47.5042,173563
2024-11-26,47.505,47.84,47.21,47.75,30301526,47.6426,121749
2024-11-27,47.82,47.98,47.65,47.77,23278393,47.7949,110134
2024-11-29,47.8,48.08,47.5,47.51,23262009,47.7031,90366
2024-12-02,47.74,47.82,46.85,47.04,35891499,47.1556,147093
2024-12-03,47.37,47.4778,46.65,46.82,38123774,46.8911,142406
2024-12-04,46.69,46.78,46.13,46.37,24941282,46.3567,123443
2024-12-05,46.56,47.24,46.5,47,31480296,47.014,133753
2024-12-06,47.06,47.06,46.4,46.75,28931688,46.6776,125548
2024-12-09,46.56,46.745,45.895,45.91,34660938,46.1254,136510
2024-12-10,45.91,46.29,45.585,45.75,35665762,45.8714,135652
2024-12-11,46,46.16,45.47,46.08,36662464,45.8968,148804
2024-12-12,46.14,46.47,45.92,46.08,24017311,46.2113,125400
2024-12-13,46.09,46.1,45.38,45.67,32902264,45.6525,124622
2024-12-16,45.59,45.68,45.16,45.47,27330402,45.4546,123604
2024-12-17,45.19,45.19,44.62,45.05,33054645,44.9591,160216
2024-12-18,45.14,45.43,43.35,43.5,41771890,44.2876,183855
2024-12-19,43.97,44.48,43.3103,43.38,38583594,43.6679,191465
2024-12-20,43.2,44.395,43.1024,44.17,74222240,44.0714,165236
2024-12-23,43.9,44.11,42.78,43.89,35374791,43.6152,182101
2024-12-24,43.93,44.415,43.93,44.38,12054354,44.2626,61005
2024-12-26,44.21,44.58,44.105,44.55,16079707,44.423,85488
2024-12-27,44.24,44.78,44.06,44.34,17972488,44.3417,99073
2024-12-30,43.89,44.14,43.55,43.91,16109771,43.9295,100797
2024-12-31,44.04,44.23,43.705,43.95,16110352,43.9391,100314
2025-01-02,44.14,44.5868,43.8,44.29,25610575,44.2378,129249
2025-01-03,44.75,44.85,44.15,44.81,23455711,44.5869,122903
2025-01-06,45.155,46.15,45.0999,45.4,30518458,45.5447,165613
2025-01-07,46.28,46.65,45.65,46.08,41111204,46.1478,210109
2025-01-08,45.9,46.26,45.69,46.21,40246008,46.0893,171459
2025-01-10,46,46.05,44.735,45.11,40741349,45.1549,181779
2025-01-13,45.1,45.34,44.69,45.06,34353617,45.0028,155942
2025-01-14,45.6,45.92,45.23,45.78,36379011,45.6647,181374
2025-01-15,47.12,47.46,46.84,47.1,57143804,47.1729,245579
2025-01-16,47,47.51,45.82,46.64,56339293,46.6272,264885
2025-01-17,46.61,46.88,46.08,46.53,44455694,46.5651,198658
2025-01-21,46.62,47.15,46.54,46.66,52089087,46.7568,193728
2025-01-22,46.6,46.73,45.76,45.79,40296223,45.9999,183885
2025-01-23,46.05,46.89,46.045,46.39,35324065,46.5472,164139
2025-01-24,46.23,46.86,46.15,46.52,24655102,46.603,124155
2025-01-27,46.55,47.14,46.38,47.09,44260048,46.861,165291
2025-01-28,47.08,47.4358,46.71,46.84,27156644,46.9618,137157
2025-01-29,46.75,47.39,46.64,46.75,23681527,46.8922,132390
2025-01-30,47.11,47.165,46.4,46.72,31199866,46.7889,133253
2025-01-31,46.7,46.83,46.16,46.3,30392921,46.3955,133848
2025-02-03,45.42,46.48,45.11,46.21,36497705,45.9784,179492
2025-02-04,46.35,47.13,46.27,46.71,32893992,46.7728,139384
2025-02-05,46.98,47.13,46.6448,47.11,27696614,46.9408,112433
2025-02-06,47.44,47.98,47.17,47.74,39793386,47.6993,137220
2025-02-07,47.84,47.97,47.38,47.4,26504696,47.5964,128598
2025-02-10,47.48,47.555,46.4,46.67,26725206,46.7789,126249
2025-02-11,46.55,46.93,46.275,46.79,20314881,46.7265,114557
2025-02-12,46.57,46.58,45.935,46.21,28877070,46.1927,145040
2025-02-13,46.52,46.57,45.97,46.33,26815396,46.2459,130416
