date,open,high,low,close,volume
2024-06-03,33.48,33.52,31.87,32.15,7403174.0
2024-06-04,31.98,31.98,31.23,31.63,5407724.0
2024-06-05,31.74,31.9295,31.55,31.75,4661443.0
2024-06-06,31.62,31.84,31.4,31.75,8449303.0
2024-06-07,31.72,31.85,31.5176,31.64,6770490.0
2024-06-10,31.75,32.585,31.64,32.44,11739507.0
2024-06-11,32.12,32.29,31.75,32.24,7952656.0
2024-06-12,32.42,32.6,31.955,32.24,6306852.0
2024-06-13,32.28,32.28,31.29,31.63,4681340.0
2024-06-14,31.55,31.61,30.93,31.09,5243299.0
2024-06-17,31.01,32.13,30.93,32.03,5642073.0
2024-06-18,32.04,32.49,32.01,32.14,5903502.0
2024-06-20,32.17,33.05,32.12,32.97,5775013.0
2024-06-21,33.2,33.21,32.775,32.93,14462825.0
2024-06-24,33.16,34.53,33.12,34.41,6892141.0
2024-06-25,34.4,34.915,34.205,34.85,6346196.0
2024-06-26,34.84,34.85,34.29,34.47,5758137.0
2024-06-27,34.61,34.76,34.255,34.42,5117592.0
2024-06-28,34.75,35.3,34.63,35.17,10110746.0
2024-07-01,35.35,35.44,34.7,34.94,4998926.0
2024-07-02,35.1,35.3,34.56,34.69,4665427.0
2024-07-03,34.69,34.94,34.37,34.47,2796590.0
2024-07-05,34.45,34.64,33.935,34.22,3822131.0
2024-07-08,34.14,34.24,33.905,34.17,4252877.0
2024-07-09,34,34.175,33.35,33.43,4475468.0
2024-07-10,33.45,33.99,33.31,33.84,3274932.0
2024-07-11,33.84,34.59,33.71,34.51,6847901.0
2024-07-12,34.72,34.8,34.36,34.5,4748116.0
2024-07-15,34.61,36.21,34.5,35.71,8736630.0
2024-07-16,35.56,36.61,35.45,36.3,8267703.0
2024-07-17,36.34,36.61,36.035,36.16,4747530.0
2024-07-18,36.13,36.56,35.845,35.89,4572723.0
2024-07-19,35.72,36.35,35.16,35.93,5022919.0
2024-07-22,35.8,35.96,35.5,35.66,3784323.0
2024-07-23,35.61,35.83,35.27,35.65,3992092.0
2024-07-24,35.72,35.8,34.85,34.9,4957112.0
2024-07-25,34.99,35.84,34.81,35.58,7021835.0
2024-07-26,36.32,37.78,36.28,37.65,10250156.0
2024-07-29,37.78,38.585,37.37,38.47,13529831.0
2024-07-30,38.51,38.67,37.9,38.24,9968930.0
2024-07-31,38.67,39.05,38.51,38.72,7336237.0
2024-08-01,38.42,38.58,37.42,37.65,8541153.0
2024-08-02,37.53,37.67,35.37,35.74,8698273.0
2024-08-05,35.05,35.6,34.25,34.51,8537285.0
2024-08-06,34.18,34.75,33.9,34.21,7351327.0
2024-08-07,34.92,35.49,34.12,34.24,7056019.0
2024-08-08,34.22,35.315,34.2,35.2,5944580.0
2024-08-09,35,35.25,34.87,35.07,6919160.0
2024-08-12,35.35,35.72,35.115,35.15,3971712.0
2024-08-13,34.92,35.04,34.5,34.82,4209753.0
2024-08-14,34.91,35.13,34.62,34.75,4057961.0
2024-08-15,34.98,35.36,34.783,35.08,6022822.0
2024-08-16,35.02,35.14,34.64,34.94,4874958.0
2024-08-19,34.99,35.49,34.84,35.16,4639758.0
2024-08-20,35.07,35.18,34.19,34.21,5306709.0
2024-08-21,34.58,34.68,34.255,34.45,5082845.0
2024-08-22,34.49,34.76,34.3203,34.62,5329813.0
2024-08-23,34.98,35.37,34.8,35.22,3101087.0
2024-08-26,35.64,35.8251,35.15,35.43,3191255.0
2024-08-27,35.3,35.46,35.1,35.4,3608283.0
2024-08-28,34.82,35.175,34.73,34.96,3496534.0
2024-08-29,35.3,35.725,34.61,35.26,4783361.0
2024-08-30,35.1001,35.24,34.71,35.17,6170930.0
2024-09-03,34.56,34.56,33.73,33.99,4791839.0
2024-09-04,34.31,34.71,33.975,34.06,5825587.0
2024-09-05,34.44,34.46,33.94,34.11,4806080.0
2024-09-06,34.17,34.59,33.5763,33.94,8507776.0
2024-09-09,34.06,34.22,33.65,33.69,6309994.0
2024-09-10,33.58,33.72,32.905,33.17,5434289.0
2024-09-11,33.31,33.31,32.25,32.93,14656154.0
2024-09-12,33.22,33.75,32.86,33.29,11432801.0
2024-09-13,33.33,33.925,33.135,33.4,7288675.0
2024-09-16,33.78,34.07,33.65,33.98,5487629.0
2024-09-17,33.96,34.765,33.89,34.73,5497108.0
2024-09-18,34.7,35.215,34.42,34.67,4929998.0
2024-09-19,35.59,37.05,35.4,36.36,13646405.0
2024-09-20,36.41,36.45,35.77,36.04,12710291.0
2024-09-23,36.14,36.64,35.9,36.45,6891095.0
2024-09-24,37.02,37.14,36.08,36.34,6221859.0
2024-09-25,36.51,36.66,35.705,36.05,7287967.0
2024-09-26,35.22,35.65,34.19,34.77,14136667.0
2024-09-27,34.91,36.25,34.91,36.18,9948183.0
2024-09-30,35.97,36.49,35.84,36.15,5943364.0
2024-10-01,35.87,37.035,35.76,36.75,7049976.0
2024-10-02,37.31,37.69,36.825,37.22,4484087.0
2024-10-03,37.29,37.98,36.99,37.55,5916264.0
2024-10-04,37.89,38.03,37.48,37.93,4583897.0
2024-10-07,38,38.2993,37.78,37.96,4553388.0
2024-10-08,37.6,37.665,36.94,37.46,5199250.0
2024-10-09,37.28,37.855,37.11,37.59,3345759.0
2024-10-10,37.75,38.04,37.41,37.61,3149709.0
2024-10-11,37.61,37.835,37.5,37.7,4836008.0
2024-10-14,37.4,37.695,37.29,37.635,2987784.0
2024-10-15,36.55,36.91,36.275,36.32,5208676.0
2024-10-16,36.35,36.91,36.35,36.74,3188367.0
2024-10-17,36.9,37,36.49,36.88,4010332.0
2024-10-18,36.73,36.9433,35.985,36.4,6345594.0
2024-10-21,36.59,36.905,36.275,36.45,5129168.0
2024-10-22,36.55,36.65,35.92,35.98,6439210.0
2024-10-23,36.31,37.5,36.09,37,8646631.0
2024-10-24,37.1,37.19,36.34,36.78,8790678.0
2024-10-25,37.64,37.735,37.02,37.52,5667431.0
2024-10-28,36.63,37.67,36.5,37.4,8516174.0
2024-10-29,37.38,37.47,36.56,37.09,6206114.0
2024-10-30,37.17,37.62,37.17,37.49,6525655.0
2024-10-31,37.64,38.24,37.515,38.08,8904498.0
2024-11-01,38.13,38.29,37.54,37.85,7921211.0
2024-11-04,37.83,38.36,37.75,38.17,5398278.0
2024-11-05,38.32,38.98,38.26,38.58,5592858.0
2024-11-06,40.74,43.23,40.14,42.74,13754284.0
2024-11-07,42.76,43.185,41.83,43.1,11973358.0
2024-11-08,43.04,43.67,42.505,43.015,7007642.0
2024-11-11,43.14,44.32,42.9484,44.11,5350971.0
2024-11-12,44,44.495,43.475,43.67,7213102.0
2024-11-13,43.76,43.845,42.91,43.07,7168415.0
2024-11-14,43.24,43.3,42.59,43.18,7369151.0
2024-11-15,43.2,43.72,42.645,42.94,4724753.0
2024-11-18,43.54,43.7899,42.95,43.07,4437352.0
2024-11-19,42.61,43.1493,42.61,42.87,3552355.0
2024-11-20,43.01,44.37,42.78,44.31,8106137.0
2024-11-21,44.535,45.17,44.15,44.88,6019131.0
2024-11-22,44.6,44.92,44.11,44.25,7642061.0
2024-11-25,44.29,44.64,43.22,43.55,12214319.0
2024-11-26,43.75,43.93,43.05,43.53,4985714.0
2024-11-27,43.5,43.92,43.34,43.61,3149258.0
2024-11-29,43.8,44.06,43.69,43.95,2275652.0
2024-12-02,43.9,44.22,43.08,43.69,3992283.0
2024-12-03,44.23,44.23,43.255,43.67,3583617.0
2024-12-04,43.67,43.753216,42.22,42.56,5837908.0
2024-12-05,42.61,42.89,42.18,42.51,5541912.0
2024-12-06,42.36,42.46,41.275,41.31,7458053.0
2024-12-09,41.46,42.1,41.32,41.43,7336818.0
2024-12-10,40.89,41.66,40.35,41.21,7366455.0
2024-12-11,41.61,42.805,41.05,42.46,7588959.0
2024-12-12,42.3,42.76,42.08,42.33,5817742.0
2024-12-13,42.49,42.72,42.02,42.15,4937684.0
2024-12-16,41.91,42.13,41.62,41.8,4290009.0
2024-12-17,41.45,41.7479,40.92,41.41,7536476.0
2024-12-18,41.47,41.825,40.01,40.04,6670714.0
2024-12-19,40.97,41.02,39.6,39.8,5971354.0
2024-12-20,39.38,40.46,39.32,40.32,17974920.0
2024-12-23,40.01,40.26,39.68,40.15,4094437.0
2024-12-24,40.19,40.9,39.89,40.79,2122012.0
2024-12-26,40.79,40.9,40.27,40.88,2289751.0
2024-12-27,40.71,41.12,40.52,40.8,3282597.0
2024-12-30,40.74,41.005,40.29,40.94,4607724.0
2024-12-31,41.1,41.3871,41,41.02,4630647.0
2025-01-02,41.59,41.89,40.89,41.56,5527015.0
2025-01-03,41.99,42.855,41.54,42.66,7476350.0
2025-01-06,42.68,43.63,42.61,42.83,4686529.0
2025-01-07,42.91,43.73,42.67,43.4,5899803.0
2025-01-08,43.16,43.47,42.92,43.44,4992978.0
2025-01-10,43.91,44.25,42.75,43.26,6879718.0
2025-01-13,43.32,45.04,43.3,44.83,7483567.0
2025-01-14,44.91,45.3,44.53,45.07,7528791.0
2025-01-15,45.62,45.899,45.21,45.72,6172478.0
2025-01-16,45.62,46.75,45.35,46.33,7401862.0
2025-01-17,46.87,47.47,46.395,46.54,8479649.0
2025-01-21,46.69,47.075,45.82,47.04,9639294.0
2025-01-22,47.04,47.08,45.725,45.81,6904804.0
2025-01-23,45.88,46.25,45.345,45.66,6010226.0
2025-01-24,45.67,45.86,45.37,45.55,4567703.0
2025-01-27,44.77,44.99,43.36,43.55,10310972.0
2025-01-28,43.48,43.92,42.93,43.28,7010576.0
2025-01-29,43.22,44.11,42.965,43.07,6898608.0
2025-01-30,43.82,44.69,43.38,44.6,11039138.0
2025-01-31,46.1,47.6,45.8,46.18,21166504.0
2025-02-03,46.92,47.585,46.05,47.4,14432698.0
2025-02-04,46.63,48.04,45.87,47.96,9354040.0
2025-02-05,48.21,48.94,47.7,48.85,8248984.0
2025-02-06,49.4,49.4,46.56,46.98,9236040.0
2025-02-07,47.01,47.2,46.155,46.2,7669542.0
2025-02-10,47.09,47.52,46.93,47.41,6340137.0
2025-02-11,47.18,47.75,46.64,47.11,5240525.0
2025-02-12,46.755,46.99,45.915,46.41,6681215.0
2025-02-13,46.3,46.42,45.71,46.15,5189197.0
2025-02-14,46.54,46.74,46.03,46.4,4850861.0
2025-02-18,46.73,47.11,46.24,46.98,5026790.0
2025-02-19,47.04,47.175,46.29,46.89,5059868.0
2025-02-20,46.76,46.97,46.38,46.91,4672121.0
2025-02-21,46.73,46.79,45.41,45.62,7898881.0
2025-02-24,46.17,46.17,44.515,44.62,10371715.0
2025-02-25,44.42,44.96,43.77,44.04,7407781.0
2025-02-26,43.74,44.43,43.29,43.51,4633496.0
2025-02-27,44,44.5591,43.515,43.58,4553533.0
2025-02-28,43.44,44.68,42.97,44.59,8584518.0
2025-03-03,45.07,45.3,43.08,43.6,9119235.0
2025-03-04,43,43.595,41.61,42.86,9330256.0
2025-03-05,42.59,42.71,41.56,42.32,10630557.0
2025-03-06,41.79,42.225,41.36,41.9,8611723.0
2025-03-07,42.135,43.445,41.85,42.89,9118620.0
2025-03-10,42.7,42.91,40.5046,41.16,10966841.0
2025-03-11,41.74,42.365,41.27,41.85,8457626.0
2025-03-12,41.88,43.135,41.85,42.48,7129881.0
2025-03-13,42.32,42.915,41.51,41.74,5773559.0
2025-03-14,42.22,42.97,41.91,42.84,4683613.0
2025-03-17,43.1,44.075,43.06,43.88,5451463.0
2025-03-18,44,44.26,43.37,43.7,5013705.0
2025-03-19,43.67,45.07,43.65,44.6,6839886.0
2025-03-20,44.62,45,44.0801,44.69,6101968.0
2025-03-21,44.2,44.68,43.685,44.11,20139231.0
2025-03-24,44.8,45.18,44.43,44.6,9529018.0
2025-03-25,44.845,45.22,44.7,45.18,7541334.0
2025-03-26,45.25,45.36,43.845,44.02,5953036.0
2025-03-27,44.24,44.28,43.355,43.63,4462067.0
2025-03-28,43.57,43.76,42.745,43.08,4460077.0
2025-03-31,42.74,44.04,42.535,43.95,9272159.0
2025-04-01,43.77,44.82,43.53,44.8,6977585.0
2025-04-02,44.19,44.995,44.02,44.92,7060878.0
2025-04-03,42.31,42.605,40.38,40.86,11060505.0
2025-04-04,39.29,39.68,35.275,35.41,20974611.0
2025-04-07,34.62,37.28,33.6,35.71,16798510.0
2025-04-08,36.64,37.07,34.25,35,13604621.0
2025-04-09,34.63,39.38,34.065,38.75,17307250.0
2025-04-10,37.345,37.49,35.85,36.66,12788220.0
2025-04-11,36.87,38.105,36.01,37.93,9066414.0
2025-04-14,38.535,38.55,37.35,37.81,6014601.0
2025-04-15,37.78,38.5123,37.73,38.16,5100271.0
2025-04-16,37.99,38.815,37.755,38.13,6154382.0
2025-04-17,38.77,39.48,38.64,38.91,5548886.0
2025-04-21,38.32,38.515,37.39,37.8,6139079.0
2025-04-22,37.88,38.76,37.23,38.36,10034590.0
2025-04-23,36.8,38.16,35.72,35.89,13337748.0
2025-04-24,36.25,36.45,35.5,36.38,9679187.0
2025-04-25,35.94,36.495,35.63,36.45,7103075.0
2025-04-28,36.5,36.68,35.93,36.21,6833355.0
2025-04-29,36.03,36.16,35.485,35.92,7427987.0
2025-04-30,35.43,35.53,34.56,35.4,10530942.0
2025-05-01,35.11,36.63,35.1,36.19,8903649.0
2025-05-02,36.74,37.15,36.18,37.1,7294623.0
2025-05-05,36.43,36.925,36.1303,36.75,6809911.0
2025-05-06,36.8,36.9,36.22,36.4,9078297.0
2025-05-07,36.61,36.79,36.15,36.31,7172253.0
2025-05-08,36.76,37.35,36.19,36.25,15274171.0
