date,open,high,low,close,volume,vwap,transactions
2024-10-01,51.95,52.97,51.61,52.9,17432225,52.5688,139327
2024-10-02,52.83,54.54,52.41,53.76,22198297,53.9067,162424
2024-10-03,53.85,54.29,53.4057,54.2,15398442,54.0397,117864
2024-10-04,53.4,54.01,53.2965,53.96,12831885,53.8191,97280
2024-10-07,54,54.42,53.41,53.44,11150594,53.7802,84403
2024-10-08,53.5,53.83,52.46,52.48,9900263,52.7541,85173
2024-10-09,52.25,53.15,51.51,52.8,10408183,52.592,85662
2024-10-10,53.03,53.42,52.325,52.4,6799483,52.5889,59887
2024-10-11,52.58,52.66,52,52.2,6041711,52.2198,52637
2024-10-14,52.135,52.71,51.9387,52.67,6891045,52.5683,53675
2024-10-15,51.31,53.39,51.31,52.76,10579060,52.6295,79602
2024-10-16,52.63,53.58,52.51,53.37,7624283,53.278,69128
2024-10-17,53.19,53.58,52.83,53.18,7948531,53.2059,67571
2024-10-18,53.26,53.33,52.335,53.22,7184496,53.0921,58732
2024-10-21,53.28,53.3,52.1,52.12,5353059,52.3813,52069
2024-10-22,52.03,53.06,52.03,52.76,7122751,52.7219,53477
2024-10-23,52.8,53.11,52.535,53.06,5833437,52.9184,54082
2024-10-24,52.9,53.4,52.415,52.92,7103152,52.8594,65803
2024-10-25,52.68,52.9,51.82,51.92,7127425,52.1208,61972
2024-10-28,51.95,52.755,51.81,52.64,8528863,52.5046,61069
2024-10-29,52.34,52.735,52.14,52.5,8371612,52.5142,75338
2024-10-30,52.5,53.15,52.29,52.66,9646140,52.679,84581
2024-10-31,53.8,56.2,53.56,55.77,18743964,55.2751,147309
2024-11-01,55.88,55.9,54.2,54.32,12894832,54.6764,108198
2024-11-04,54.33,55.77,54.32,55.45,10808504,55.263,93292
2024-11-05,55.14,56.28,54.72,55.95,9278022,55.8393,76813
2024-11-06,56.34,56.8,55.135,55.28,11775982,55.8179,111622
2024-11-07,55.19,55.515,54.49,54.71,12042156,54.9653,95611
2024-11-08,54.7,54.785,53.97,54.14,9218631,54.2194,87221
2024-11-11,60.72,61.08,59.53,59.82,27898366,60.2792,223351
2024-11-12,59.82,60.62,58.81,59.02,15141264,59.3731,126004
2024-11-13,59.21,59.49,57.84,58.41,11214962,58.41,94663
2024-11-14,58.91,59.73,58.26,58.5,11494244,58.6474,92191
2024-11-15,58.16,58.36,55.82,56.22,21250228,56.5812,166048
2024-11-18,56.18,56.84,55.84,56.8,10705173,56.6309,98589
2024-11-19,56.5,58.65,56.095,58.23,13129945,57.998,111173
2024-11-20,58.605,58.83,57.67,57.88,11239654,58.0259,79374
2024-11-21,58.16,58.48,57.47,58.23,7441383,58.139,68597
2024-11-22,58.35,58.915,57.62,58.87,7412808,58.6711,61531
2024-11-25,59.98,60.68,58.63,58.78,14119725,59.0085,90802
2024-11-26,58.84,59.08,58.06,58.74,7432822,58.5582,64220
