date,open,high,low,close,volume,vwap,transactions
2024-10-01,459.11,459.79,454.82,457.41,3043696,457.6095,78581
2024-10-02,458.7,458.7,454.19,456.67,2803429,455.9947,65833
2024-10-03,455.47,455.97,450.92,452.96,2564713,452.6409,67950
2024-10-04,455.01,462.18,453.81,461.97,3093491,459.4767,71597
2024-10-07,462.34,462.34,452.4101,453.5,3222061,455.2682,84463
2024-10-08,455.96,457.56,452.85,453.8,2234137,454.3944,60468
2024-10-09,452.75,457.875,452.355,455.9,2206063,455.7001,60372
2024-10-10,457.5,457.505,452.7249,454.93,2375788,454.471,59974
2024-10-11,455.9,463.45,455.9,460.21,3243402,460.6219,73870
2024-10-14,461.92,462,458.1,459.98,2969790,460.4063,71326
2024-10-15,460.99,466.66,460.51,462.68,3929879,463.2581,89999
2024-10-16,463.25,466,462.2,465.69,3166265,465.1848,70723
2024-10-17,466.1,467.8393,464.27,465.85,2520903,465.8349,63625
2024-10-18,467,467,463.25,464.8,5635463,464.885,66103
2024-10-21,464.53,465.7899,461.68,464.16,3131480,463.8415,68845
2024-10-22,464.11,465.1453,457.6,461.45,3315151,461.1402,72497
2024-10-23,460.15,463.26,458.745,460.61,3655203,460.9594,70793
2024-10-24,460.9,461.05,453.96,457.77,3793479,457.1286,78812
2024-10-25,458.6,459.45,453.03,454.01,2838884,454.9085,79797
2024-10-28,455.59,459.24,455,458.49,4094599,457.9509,63863
2024-10-29,458.6,458.92,454.39,454.62,3985180,455.2126,70961
2024-10-30,454.67,457.6699,453.82,454.96,2692082,455.6037,61263
2024-10-31,455.19,456.84,450.57,450.92,3660308,452.7758,76840
2024-11-01,451.49,455.12,450.7,452.14,2971342,453.0011,71004
2024-11-04,450.37,450.7,437.9,442.29,5733184,441.8875,141419
2024-11-05,442.29,445.23,441.1,445.06,3154357,443.593,83541
2024-11-06,461,469.26,459.4801,468.9,6906833,465.6565,149336
2024-11-07,468.27,468.46,460.1,460.13,4237986,461.9833,100526
2024-11-08,461.98,466.35,459.5001,463.41,3521802,463.2396,79860
2024-11-11,466.01,470.51,464,467.36,4119111,467.8613,84458
2024-11-12,467.69,468.42,465.15,466.29,4400521,466.6394,70086
2024-11-13,466.41,468.4,464,468.1,2861709,467.0613,66342
2024-11-14,468.81,469.4493,466,467.7,3777267,467.8543,72190
2024-11-15,466.74,472.2551,465.19,470.28,5817672,469.4552,87719
2024-11-18,470.98,472.6713,468.36,472.2,3358434,471.6048,73505
2024-11-19,470.77,470.77,465.01,468.86,3656243,468.1146,69749
2024-11-20,470,470.6149,466.11,468.83,3019456,468.6741,59048
2024-11-21,469.445,474.66,467,472.06,4116801,471.9837,76463
2024-11-22,472.27,477.4399,471.61,476.57,3885177,476.0693,66091
2024-11-25,479.13,482.5,476.79,477.43,5232167,478.6012,89445
2024-11-26,478.2,479.4,472.85,478.56,3331974,477.1098,70985
2024-11-27,481,491.67,480.87,483.08,5359291,485.6535,99977
2024-11-29,485.37,486.01,482.05,483.02,2969703,483.6577,59326
2024-12-02,484.8,485.09,474.75,477.33,5031497,478.0228,105026
2024-12-03,478.16,478.3,468.805,470.19,4931573,471.3946,103585
2024-12-04,471.09,471.34,466.5,468.32,3941100,468.2734,88349
2024-12-05,468.78,472.74,468.72,470.57,3320231,470.6348,69016
2024-12-06,470.58,472.08,467.82,470.5,3270943,470.0147,70176
2024-12-09,470.6,471.7,463.42,463.87,3748171,465.5241,99103
2024-12-10,464.42,464.99,459.5,462.49,3648541,462.5867,85150
2024-12-11,463.33,465.48,458.77,461.39,3876913,460.9724,87805
2024-12-12,462.16,463.57,458.08,458.63,2571349,459.7204,71770
2024-12-13,460.51,460.51,457.01,457.9,3474337,458.4825,77770
2024-12-16,459.17,460.4244,454.58,455.2,4513980,456.5609,85256
2024-12-17,454.695,456.62,452.06,455.66,5057506,455.1828,87453
2024-12-18,457.06,458.73,446.09,446.59,4361857,451.2685,105523
2024-12-19,451.73,453.8,448.89,449.34,4645222,450.496,92528
2024-12-20,449.11,458.65,447.19,453.2,12943914,452.8501,95033
2024-12-23,453.19,454.55,449.82,454.35,3836007,453.1184,74505
2024-12-24,455.41,458.99,454.07,458.66,1761174,457.4317,40319
2024-12-26,457.265,459.48,455.795,459.08,2160799,458.6622,50783
2024-12-27,457.3,461.13,454.48,456.51,3237722,456.7944,71111
2024-12-30,454.245,454.69,449.1765,452.16,2831375,452.3714,74821
2024-12-31,452.205,454.33,451.11,453.28,3380714,453.0006,57633
2025-01-02,455.96,456.8899,450.03,451.1,3747594,452.5327,85296
2025-01-03,452.53,454.526911,450.12,453.56,2887160,453.0075,67413
2025-01-06,453.85,456.2399,450.57,451.41,4072913,452.7264,89971
2025-01-07,452.8,456.515,451.1,452.92,3507166,453.5595,80267
2025-01-08,453.63,454,449.63,451.84,3927059,451.4731,73814
2025-01-10,452.66,453,440.1,442.66,5471869,443.6698,127170
2025-01-13,442.04,445,441.15,443.91,3636998,443.7136,75133
2025-01-14,445.5,450.3,443.92,450.03,4055602,447.6732,73796
2025-01-15,455.55,459.09,453.27,458.51,4712311,457.609,85260
2025-01-16,458.93,462.96,458.3001,462.81,3475694,460.9792,71888
2025-01-17,464.71,470.18,462.4547,467.95,6466973,467.3024,86289
2025-01-21,471,473.17,467.72,468.57,4910195,469.2482,90125
2025-01-22,468.59,468.89,455.28,460.51,5838478,459.9486,128727
2025-01-23,461.68,464.76,458,459.83,4424526,460.3202,69517
2025-01-24,459.2,463.81,457.08,463.19,3070305,462.1704,69546
2025-01-27,464.3,474.93,464.3,474.7,4535629,470.8851,107920
2025-01-28,473.93,473.93,469.3,469.97,3261260,470.7105,73606
2025-01-29,469.88,473.92,468,469.26,2524211,470.6675,66628
2025-01-30,472.2,474.0643,469.15,472.35,2552240,472.0279,63158
2025-01-31,471.84,472.55,467.0101,468.67,5442624,469.026,68963
2025-02-03,461.3,466.74,454.6,464.61,4232007,462.4769,104056
2025-02-04,464.94,467.91,462.7,467.49,3238419,466.5904,63276
2025-02-05,469.81,474.24,468.89,473.73,3766304,472.4526,72877
2025-02-06,475.46,478,473.28,477.22,3832693,476.582,66387
2025-02-07,477.41,478.25,472.34,472.74,3205136,474.1636,72281
2025-02-10,473.96,474.2,469.3701,470.17,2907341,470.7112,62240
2025-02-11,470.05,473.05,466.715,472.61,2322610,471.0874,61867
2025-02-12,470.44,472.15,468.09,471.73,3297561,471.0256,58849
2025-02-13,471.55,481.19,471.2,480.49,3274693,477.8414,73684
2025-02-14,481.47,484.55,479.45,479.59,2825755,481.2431,63481
2025-02-18,480.4,484.06,477.63,482.82,3351014,481.8862,75598
2025-02-19,482.82,484.72,480.68,483.77,2436465,483.3888,61132
2025-02-20,484.125,484.2,478.14,481.8,2650957,481.1167,72192
2025-02-21,480.95,483.64,477.74,478.74,4085076,480.0754,84233
2025-02-24,483.5,503.9599,483.24,498.42,9862446,497.8547,168595
2025-02-25,503.15,507,491.9,499.82,6757512,499.9313,148179
2025-02-26,499.115,499.9,493.05,494.1,3542191,495.4575,93582
2025-02-27,496.45,504.95,495.61,502.41,4507714,502.269,116391
2025-02-28,507.46,515.37,504.3333,513.83,6850339,510.796,135028
2025-03-03,516.22,518.77,506.48,510.08,5112297,511.6442,130001
2025-03-04,507.27,508.73,493.6091,495.86,6126619,498.5525,163678
2025-03-05,496,500.93,492.32,498.5,4715777,497.4994,98925
2025-03-06,496.835,499.1,491.6314,497.84,3982162,496.4252,100727
2025-03-07,496.29,498.27,490.11,495.62,3842150,494.927,101350
2025-03-10,490,500.449,490,497.1,6261980,496.1725,133915
2025-03-11,496,499.15,491.3101,496.25,5358269,495.3199,117548
2025-03-12,497.6,498.3233,488.75,495.94,3871096,495.1677,97282
2025-03-13,496.46,507.398,494.75,504.25,5104202,503.7599,124847
2025-03-14,506.95,515.84,502.92,514.6,5766838,512.5895,126110
2025-03-17,514.62,524.71,513.21,523.01,5343389,520.753,124983
2025-03-18,525.45,528.38,521.42,523.14,4857806,523.7582,112597
2025-03-19,525.69,526.71,520.655,525.27,3797997,524.1804,96935
2025-03-20,524,530.6091,522.67,528.73,4065426,528.275,92433
2025-03-21,528.31,528.96,520.73,521.91,8546279,523.7099,118014
2025-03-24,523.1,527.3,521.48,525.85,4858877,525.0142,109148
2025-03-25,527.185,533.29,525.8804,528.87,3964761,528.5654,92905
2025-03-26,531,537.63,530.98,533.21,5010845,533.0237,110442
2025-03-27,533.25,537.38,529.3537,534.52,5154608,534.5116,118318
2025-03-28,535.35,536,524.6791,526.31,5321395,527.4909,134857
2025-03-31,521.4,536.52,519,532.58,7139333,530.3373,137323
2025-04-01,531.88,536.41,527.5001,532.99,4130570,532.4563,99478
2025-04-02,532.13,539,530.82,537.72,4079044,535.3921,93030
2025-04-03,527.62,538.8,525.14,530.16,6410854,532.7665,168175
2025-04-04,519,521,492.98,493.54,12605032,503.0383,333157
2025-04-07,467.415,505.8451,462.1,490.38,12749745,483.6168,329484
2025-04-08,509.025,516,484.19,492.64,9470118,501.5484,242935
2025-04-09,490,523.93,485.5596,521.41,10153675,508.053,229378
2025-04-10,518.3,521.41,498.6088,515.81,7475863,513.6763,196308
2025-04-11,515,526.58,510.77,524.11,6231015,520.9948,149984
2025-04-14,531,536.52,526.98,529.52,5327121,530.8863,138288
2025-04-15,532.62,535.92,527.36,528.17,4329208,530.917,102836
2025-04-16,529.3,530.13,512.89,516.45,5889277,519.3804,144819
2025-04-17,518.895,523.88,514.5701,518.21,5322242,519.4018,119633
2025-04-21,517.53,518.67,498.08,506.92,4908377,505.8286,149417
2025-04-22,514.23,522.22,511.65,520.79,4768491,518.1346,118294
2025-04-23,527.5,532.27,523.885,526.81,4294462,527.2165,113661
2025-04-24,526.81,533.13,523.16,531.64,3173404,529.9947,90570
2025-04-25,531.75,532.4399,526.79,530.96,2742786,529.9918,87732
2025-04-28,533.63,536.82,526.58,530.94,4238653,531.3922,111931
2025-04-29,531,535.34,528.29,534.57,3177729,533.0411,93764
2025-04-30,531.51,535.72,524.0032,533.25,5251647,531.5092,120112
2025-05-01,531,533.265,528.3,530.23,4693069,530.4821,122013
2025-05-02,536.75,542.07,535.2581,539.8,4945569,538.9039,127561
2025-05-05,520.08,521.18,502.8001,512.15,16380216,512.5374,445886
2025-05-06,509.57,515.75,507.99,512.33,6088592,512.4108,167087
2025-05-07,515.015,520.25,513,518.22,5581423,517.5826,138241
2025-05-08,520.98,521.2591,513.0401,513.25,5018581,516.5777,132747
2025-05-09,514.25,515.91,510.2533,513.74,3621402,513.3999,101422
2025-05-12,520.3,520.3,510.25,514.3,6368046,513.1163,187496
2025-05-13,515.64,515.75,511.8,511.88,4504120,513.4096,133820
2025-05-14,511.85,511.85,502.8,503.4,6384053,505.0849,179622
2025-05-15,502.375,509.78,501.62,507.33,5040862,506.9877,129230
2025-05-16,509.63,514.33,506.8,514.31,4997321,512.3287,129314
2025-05-19,513.615,513.79,510.1,512.39,3441451,512.1175,104933
2025-05-20,511.11,512.075,506.5514,508.74,3736959,509.0321,108791
