date,open,high,low,close,volume,vwap,transactions
2024-10-01,62.22,62.3505,61.01,61.81,13550137,61.7312,147152
2024-10-02,61.7,62.53,61.31,62.03,7260801,61.9427,78376
2024-10-03,61.5,61.66,60.93,61.31,7939793,61.264,95663
2024-10-04,62.465,62.93,61.805,62.64,10100488,62.4452,107553
2024-10-07,62.485,63.03,62.07,62.6,6954304,62.6275,83829
2024-10-08,62.9,63.36,62.49,63.24,8245749,63.129,79443
2024-10-09,63.17,64.25,63.04,64.12,8636390,63.9545,97100
2024-10-10,64,64.11,63.11,63.48,8613595,63.4393,94933
2024-10-11,64.12,66.0981,64.1,65.74,15512381,65.6151,141072
2024-10-14,65.81,66.43,65.65,66.01,14682927,66.1216,129979
2024-10-15,66.75,67.16,62.53,62.64,35348068,63.7652,351006
2024-10-16,63.44,64.44,63.4,64.25,20208795,64.0987,162082
2024-10-17,64.73,65.17,63.77,63.97,13439619,64.2741,107401
2024-10-18,64.12,64.12,62.725,62.85,13841159,63.0778,116830
2024-10-21,62.79,62.91,61.73,61.83,12188498,62.0189,103916
2024-10-22,61.59,63.69,61.3,63.56,14347258,63.0269,126435
2024-10-23,63.18,63.63,62.624,63.1,8720491,63.1282,82163
2024-10-24,63.01,63.2999,62.39,63,11420336,62.9533,89241
2024-10-25,63.645,63.74,61.685,61.76,9697845,62.1825,95135
2024-10-28,62.35,64.35,62.22,64.16,14633371,63.9081,118470
2024-10-29,64.07,64.93,63.83,64.69,12934091,64.5719,117883
2024-10-30,64.2,65.23,64.14,64.5,11717621,64.6963,96474
2024-10-31,64.56,65.02,64.0901,64.17,10042771,64.3984,96153
2024-11-01,64.33,64.81,63.685,63.71,11557690,64.0646,91053
2024-11-04,62.99,63.63,62.23,62.35,9419573,62.6661,95033
2024-11-05,63,63.735,62.73,63.67,12649844,63.4996,110238
2024-11-06,68.4,70.09,68.29,69.03,41957729,69.2548,347726
2024-11-07,68.2,68.95,67.76,68.11,18581984,68.3688,162793
2024-11-08,68.72,69.13,68.09,68.63,14973327,68.6556,148283
2024-11-11,69.5,70.2,69.2,69.8,19173131,69.9048,140376
2024-11-12,69.53,69.99,68.87,69.02,15766481,69.4046,123785
2024-11-13,69.07,69.79,68.81,68.89,10525270,69.1708,107498
2024-11-14,69.3,69.3,67.475,68.15,15043455,68.2939,135396
2024-11-15,68,68.9601,67.8901,68.76,15373056,68.6357,118345
2024-11-18,68.68,69.28,68.37,69,11519729,68.9194,94153
2024-11-19,68,68.885,67.7,68.6,14428229,68.4578,118272
2024-11-20,69.14,69.49,68,68.28,10495623,68.4922,97427
2024-11-21,68.8,69.465,68.41,68.95,11262318,69.0684,96916
2024-11-22,68.91,70.2,68.45,69.84,16671558,69.6896,123149
2024-11-25,70.44,71.19,70.0299,70.75,19558064,70.7204,122974
2024-11-26,70.36,70.48,69.33,69.75,11605202,69.7303,96289
2024-11-27,69.765,70.4,69.66,70.16,9736083,70.05,85331
2024-11-29,70.27,71.09,70.22,70.87,8606466,70.7732,70628
2024-12-02,71.26,71.645,70.88,71.39,11932638,71.3206,108550
2024-12-03,72.19,72.8,71.27,71.42,17544163,71.67,121234
2024-12-04,71.5,71.725,70.5,71.5,12331924,71.3012,99632
2024-12-05,71.825,72.845,71.64,72.23,14307607,72.4539,127797
2024-12-06,72.31,72.6,71.71,72.15,8781054,72.0685,91442
2024-12-09,72.3,72.8,71.84,71.86,11957539,72.1532,109867
2024-12-10,72,73.38,71.5785,72.5,16833442,72.6874,152907
2024-12-11,73,73.26,71.27,71.96,22533564,71.8445,139613
2024-12-12,71.855,72.325,71.41,71.43,8887345,71.6971,86213
2024-12-13,71.71,71.91,70.76,71.01,9819965,71.098,87556
2024-12-16,71.265,71.77,70.83,71.49,11833756,71.3768,109960
2024-12-17,70.9,71.345,70.8044,71.12,12639036,71.1293,102244
2024-12-18,71.18,71.47,67.916,68.12,18027979,69.4355,144504
2024-12-19,69.21,69.84,68.32,68.42,13464308,68.785,143054
2024-12-20,68.29,70.26,68.03,69.19,27720073,69.2494,114548
2024-12-23,69.36,69.875,68.87,69.77,8247985,69.5419,89280
2024-12-24,70.1,71.21,69.935,71,6544890,70.8361,54836
2024-12-26,70.54,71.475,70.51,71.35,6342529,71.14,66907
2024-12-27,70.86,71.53,70.54,71,7743071,70.9718,85013
2024-12-30,70.18,70.83,69.79,70.39,6664399,70.4049,76432
2024-12-31,70.55,70.96,70.15,70.39,6392952,70.4625,73372
2025-01-02,70.94,71.16,69.65,69.94,9769464,70.2155,95734
2025-01-03,70.88,71.09,69.85,71,11343450,70.5928,108517
2025-01-06,72.23,73.985,71.88,72.74,19199650,73.0267,174551
2025-01-07,73.9,74.29,72.74,73.68,18309418,73.7723,153859
2025-01-08,73.45,73.47,72.69,73.26,13742834,73.1422,104978
2025-01-10,72.46,72.46,71.0213,71.4,13217665,71.5195,128647
2025-01-13,70.98,73,70.98,72.77,16720571,72.2211,144484
2025-01-14,73.315,73.99,73.14,73.5,19565456,73.5428,175423
2025-01-15,76.2,79.25,75.86,78.27,44880629,78.0212,364843
2025-01-16,77.83,78.76,77.76,78.51,21463146,78.3368,182552
2025-01-17,78.55,80.45,78.16,79.99,22084847,79.517,176190
2025-01-21,80.425,81.845,79.9204,81.67,21297409,81.398,164654
2025-01-22,81.47,82.275,81.23,81.69,14725746,81.7825,123617
2025-01-23,82,82.77,81.8001,81.98,14435224,82.2271,111963
2025-01-24,81.49,82.12,81.34,81.48,16025174,81.6605,100210
2025-01-27,80.75,81.41,80.215,81.07,12782803,80.8203,112511
2025-01-28,81.22,81.4,79.479,79.94,16521716,80.0796,130450
2025-01-29,79.88,81.6,79.88,80.63,10572967,80.9045,105172
2025-01-30,81.29,82.62,80.99,81.86,10775489,81.9068,117363
2025-01-31,81.69,82.34,81.07,81.43,12821407,81.5771,119282
2025-02-03,78.5,79.905,76.89,79.61,20998500,78.8309,200472
2025-02-04,80.105,80.24,78.36,78.48,13417660,78.9408,118709
2025-02-05,79.04,79.6,78.21,79.46,10736146,78.9355,97485
2025-02-06,80.24,82.5,79.93,82.33,19545662,81.6027,134132
2025-02-07,82.43,82.91,81.35,81.72,10310532,82.053,115036
2025-02-10,81.63,81.82,80.07,80.73,10659576,80.6586,89849
2025-02-11,80.46,81.525,80.22,81.11,9994233,81.0611,94547
2025-02-12,80.17,81.29,80.01,81.27,10448063,80.8274,87102
2025-02-13,81.4,82.13,80.775,82.1,11108411,81.6841,95515
2025-02-14,82.41,84.67,82.23,84.61,16034997,84.1349,131097
2025-02-18,83.94,84.74,83.55,84.63,17906959,84.3912,110644
2025-02-19,84.06,84.23,83.45,83.94,9584795,83.8869,91946
2025-02-20,83.84,84.06,80.94,81.34,15160298,81.5645,124719
2025-02-21,81.8,81.91,79.61,79.65,14907784,80.3316,112210
2025-02-24,80.22,80.69,77.07,78.54,12829963,78.9403,124392
2025-02-25,79.18,79.57,76.46,78.14,14501410,77.8566,150714
2025-02-26,78.8,80.09,78.47,79.07,13114994,79.318,116173
2025-02-27,79.56,80.37,78.66,78.87,8485897,79.4502,105852
2025-02-28,79.22,79.97,77.61,79.95,21233584,79.1585,167372
2025-03-03,80,80.43,76.25,77.17,20121073,78.1151,201494
2025-03-04,74.54,74.856,70.63,72.35,33983885,72.2465,337466
2025-03-05,72.6,73.525,71.7,72.96,17214150,72.6797,156430
2025-03-06,71.81,72.39,70.035,70.58,18550843,70.9002,173378
2025-03-07,70.18,70.74,68.07,70.46,18212862,69.7233,180543
2025-03-10,68.49,68.73,66.05,67.41,22378378,67.3413,221135
2025-03-11,67.29,68.475,66.17,67.5,21269242,67.3749,208062
2025-03-12,68.79,69.1099,66.87,67.95,16131078,67.9925,148829
2025-03-13,68.4,69.14,66.73,67.23,17125226,67.5869,158234
2025-03-14,67.97,69,67.58,68.78,12719309,68.5408,132655
2025-03-17,68.89,70.36,68.68,69.94,12531717,69.7777,127769
2025-03-18,69.97,70.49,69.59,70.22,12289926,70.1349,117688
2025-03-19,70.36,72.18,69.67,71.44,14400625,71.2397,136321
2025-03-20,70.98,72.98,70.535,71.82,15315604,72.1377,140065
2025-03-21,71.28,72.245,70.765,71.98,21724002,71.719,129720
2025-03-24,73.255,74.345,72.67,74.04,15302800,73.8316,127102
2025-03-25,74.35,74.8,73.72,74.47,10913241,74.2854,104640
2025-03-26,74.82,75.06,73.055,73.24,12375717,73.7979,122808
2025-03-27,72.99,72.99,71.7612,71.85,13155844,72.3125,128157
2025-03-28,71.59,72.2,69.68,70.33,13619145,70.3661,124952
2025-03-31,69.5,71.2,68.41,70.99,15568435,70.2647,135289
2025-04-01,70.38,70.88,69.28,70.54,10951132,70.2702,97597
2025-04-02,69.67,71.96,69.6,71.76,9731742,71.353,113451
2025-04-03,66.17,66.8,62.9,63.05,39469487,64.2275,343734
2025-04-04,60.25,60.42,56.305,58.13,51651469,58.1962,432983
2025-04-07,56.16,61.33,55.51,58.85,37487669,58.1355,314978
2025-04-08,61.24,62.66,57.565,58.77,30272287,60.1005,273865
2025-04-09,56.76,65.75,56.07,64.15,49437867,61.3334,406081
2025-04-10,62.09,62.5,59.08,61.59,25912826,61.15,248705
2025-04-11,60.88,62.31,59.92,61.64,24776014,61.3734,206731
2025-04-14,63.35,64.43,62.7,63.22,20349919,63.517,196363
2025-04-15,64.19,66.29,63.8401,64.33,24738355,64.9004,213159
2025-04-16,63.06,63.82,61.303,62.1,21922551,62.2833,168563
2025-04-17,62.18,63.78,61.84,63.25,14656305,63.0938,141535
2025-04-21,62.75,63.14,61.95,62.69,15136003,62.5636,108542
2025-04-22,63.52,64.97,63.51,64.55,13252293,64.4402,106712
2025-04-23,66.47,68.82,66.16,66.3,17243864,67.1901,169222
2025-04-24,66.26,68.34,65.78,68.16,13672251,67.6577,108432
2025-04-25,67.855,68.71,67.76,68.43,12253389,68.3178,103036
2025-04-28,68.655,69.4,67.77,68.28,14304784,68.3455,102192
2025-04-29,68.03,69.11,67.97,68.88,8862754,68.7131,94197
2025-04-30,67.51,68.66,66.72,68.38,15756452,68.058,124829
2025-05-01,68.21,68.9,67.89,68.14,9682265,68.4431,101573
2025-05-02,69.58,70.8288,69.36,70.59,13291221,70.3697,133065
2025-05-05,69.28,70.935,69.24,70.24,10318498,70.4367,103973
2025-05-06,69.45,70.27,69.17,69.47,7744285,69.7773,85307
2025-05-07,69.75,70.69,69.65,70.25,11620349,70.2415,100207
2025-05-08,71,72.24,70.95,71.64,12698415,71.7636,112316
2025-05-09,72.04,72.26,71.29,71.45,8941922,71.6159,85239
2025-05-12,74.6,75.645,74.29,74.91,18464084,75.072,169991
2025-05-13,75.13,76.27,75.03,75.57,12397768,75.7017,116156
2025-05-14,75.63,75.86,74.965,75.29,11371971,75.3471,110841
2025-05-15,74.59,76.165,74.47,75.96,12627659,75.4165,122509
2025-05-16,75.38,75.89,75.12,75.72,14008740,75.6152,104709
2025-05-19,75,76.315,74.79,76.13,12691742,75.9584,114950
2025-05-20,75.85,76.0482,75.42,75.9,8930861,75.8363,94388
2025-05-21,74.98,75.42,73.2,73.42,17143788,73.945,140098
2025-05-22,73.22,73.91,72.915,73.42,12067794,73.4092,110925
2025-05-23,71.65,73.4,71.65,73.09,9851855,72.9575,91446
2025-05-27,74.16,75.55,73.485,75.47,12148522,74.9865,118117
2025-05-28,75.57,75.75,74.79,75.03,9993152,75.1386,82624
2025-05-29,75.6,75.725,74.68,75.53,11882718,75.2792,96337
2025-05-30,75.31,75.515,74.48,75.32,12512196,75.169,113712
2025-06-02,75.16,75.9,74.3,75.8,9073444,75.4151,99093
2025-06-03,75.63,76.74,75.44,76.53,9802627,76.3801,79023
2025-06-04,76.5,77.58,76.35,76.4,10119555,76.7463,95019
2025-06-05,76.605,77.265,75.66,76.67,14762421,76.6426,124531
2025-06-06,77.71,78.41,77.48,78.26,11515154,78.0985,100859
2025-06-09,78.6,78.905,78.11,78.17,9288041,78.3838,87320
2025-06-10,77.83,78.32,77.52,78.03,10942352,77.9448,95352
2025-06-11,78.2,78.915,77.86,78.38,9030460,78.4295,92833
2025-06-12,77.8,78.255,77.34,78.23,6740035,78.0067,71041
2025-06-13,77.04,77.23,76.11,76.36,11987496,76.5152,117422
2025-06-16,77.125,78.3,76.95,78.07,10396617,78.0009,93357
2025-06-17,77.5,77.99,77.11,77.36,8078606,77.509,83561
2025-06-18,77.4,78.97,77.2601,78.35,14866083,78.4577,129136
2025-06-20,78.88,79.265,78.33,78.45,17336808,78.5703,102628
2025-06-23,78.37,79.45,77.505,79.36,12007154,78.862,102726
2025-06-24,80,81.45,79.875,81.14,18392978,81.1172,149651
2025-06-25,81.14,82.71,81.075,82.63,13221912,82.2009,111514
2025-06-26,82.67,84.79,82.67,84.37,18600516,84.2673,164203
2025-06-27,84.49,84.565,83.805,84.38,21872396,84.2956,122382
2025-06-30,84.9,85.44,84.61,85.12,18035180,85.0802,130564
2025-07-01,85,86.4755,84.77,86.27,17088874,85.9283,137288
2025-07-02,86.49,86.93,85.46,86.76,13420246,86.3946,134381
2025-07-03,87.13,88.8,86.85,88.72,13229453,88.3207,107978
2025-07-07,88.13,88.83,87.14,87.6,12407329,87.8094,127553
2025-07-08,87.61,87.79,85.48,85.57,18075627,85.9678,155152
