date,open,high,low,close,volume,vwap,transactions
2024-10-01,119.2,119.35,117.5,119.11,1421318,118.854,29379
2024-10-02,117.98,119.56,113.8,115.78,5299948,116.0432,56133
2024-10-03,115.64,115.64,113.15,114.29,2655482,114.1178,35788
2024-10-04,112.03,112.03,110.46,111.48,3314710,111.248,51269
2024-10-07,110.57,111.58,110.06,111.2,2351200,110.9685,29625
2024-10-08,111.68,112.27,110.79,112.1,2073228,111.7781,27646
2024-10-09,111.41,111.85,110.55,111.47,2749709,111.381,32003
2024-10-10,110.06,112.035,109.67,109.94,2047438,110.2815,32655
2024-10-11,110.57,111,109.725,110.81,1243338,110.4528,22161
2024-10-14,110.45,112.425,110.14,112.03,1276296,111.9488,21745
2024-10-15,113.13,115.33,112.85,114.3,2866009,114.4119,44837
2024-10-16,114.42,115.89,114.26,115.68,2110864,115.5114,37022
2024-10-17,112,112.93,110.54,111.75,3863365,111.7158,50674
2024-10-18,111.91,113.025,110.6,112.38,2336240,112.2856,30037
2024-10-21,112.2,113.13,109.96,110.19,2111352,110.4058,31132
2024-10-22,109.22,110.3,108.73,109.77,3016551,109.7751,32170
2024-10-23,110,110.71,109.33,110.68,3753576,110.2953,40040
2024-10-24,110.8,111.98,110.8,111.45,2609351,111.5388,29851
2024-10-25,111.7,112.11,108.88,108.91,1873838,109.6131,31416
2024-10-28,109.82,110.45,108.98,109.05,1727274,109.3282,24957
2024-10-29,107.77,108.85,106.15,106.61,1974535,107.0383,34440
2024-10-30,107,108.7531,107,107.81,2234321,107.8695,33283
2024-10-31,106.95,108.97,106.75,107.49,1702728,107.9669,27150
2024-11-01,108.04,108.4,106.42,106.58,1815682,107.0505,30704
2024-11-04,107.49,108.44,107.05,108.36,1975557,107.8865,33289
2024-11-05,107.47,109.07,107.11,108.7,2142464,108.5909,27799
2024-11-06,106.14,107.02,102.07,103.47,3666320,103.2573,59068
2024-11-07,104.12,105.18,103.41,104.21,2634843,104.2363,37009
2024-11-08,104.96,106.1959,104.35,105.85,1606701,105.6568,31532
2024-11-11,104.6,106.1171,103.91,104.1,1576711,104.6117,28372
2024-11-12,103.27,103.62,101.52,102.25,1928980,102.3267,33621
2024-11-13,103.51,104.1599,102.06,102.76,2316683,102.7751,28406
2024-11-14,102.32,103.915,101.8855,102.92,2404236,102.988,29974
2024-11-15,102.8,104.1625,102.705,103.8,2293374,103.5271,30703
2024-11-18,103,104.77,102.92,104.59,1580619,104.3226,26748
2024-11-19,104.48,105.2725,103.48,104.47,2254679,104.5552,21687
2024-11-20,104.2,104.82,103.69,104.37,6769344,104.3039,23401
2024-11-21,104.16,105.01,103.38,104.5,1456021,104.5012,24593
2024-11-22,105.31,105.8,104.92,105.44,1541972,105.4847,23400
2024-11-25,106.25,107.39,105.68,106.08,4158154,106.1047,41690
2024-11-26,105.71,106.85,105.1241,106.3,2914041,106.2213,28848
2024-11-27,106.88,107.5,106.6605,106.7,1977283,106.9765,27371
2024-11-29,106.64,107.32,106.16,106.25,1838391,106.7258,22395
2024-12-02,106.15,106.235,104.91,105.32,2514905,105.5132,38932
2024-12-03,105.35,105.82,104.66,104.69,1938512,104.9994,24229
2024-12-04,104.44,105.15,102.85,103.45,3404048,103.3519,31010
2024-12-05,102.8,103.64,102.78,103.32,2284798,103.246,31615
2024-12-06,103.94,103.995,101.4,101.85,2965187,102.0075,36934
2024-12-09,101.55,102.77,101.47,102,4257096,102.1526,50405
2024-12-10,100.9,102.15,100.17,100.56,3232759,100.9156,47407
2024-12-11,100.35,101.13,98.88,99.18,2749868,99.3216,37276
2024-12-12,99.1,99.81,98.67,98.77,3351722,99.0145,41049
2024-12-13,96.55,97.76,96.51,97.11,3698427,97.0905,43096
2024-12-16,96.91,97.71,95.57,95.72,8087962,96.1089,50609
2024-12-17,95.9,97.07,94.78,94.88,5386862,95.3766,45445
2024-12-18,94.5,95.54,92.77,92.9,6212736,93.4577,57445
2024-12-19,92.05,92.77,90.69,90.73,7923677,91.2481,59430
2024-12-20,90.47,91.8101,89.64,90.66,8378449,90.7045,55877
2024-12-23,90.22,91.06,89.49,90.75,3638488,90.5453,42146
2024-12-24,90.22,91.32,89.9,91,1323886,90.7144,17414
2024-12-26,90.51,91.21,90.31,91.14,2271181,90.9776,26315
2024-12-27,90.75,92.02,90.365,90.56,2915341,90.893,33439
2024-12-30,90.68,90.725,88.92,89.78,2356881,89.5136,33490
2024-12-31,90,91.39,89.585,90.76,3087257,90.6165,34731
2025-01-02,90.77,90.91,89.095,89.26,2464351,89.6387,35678
2025-01-03,89.25,90.265,88.65,89.99,2108319,89.8456,29742
2025-01-06,89.7,89.701,88.26,88.54,2427583,88.9738,36727
