date,open,high,low,close,volume
2024-06-03,35.67,35.72,34.39,34.72,3849166.0
2024-06-04,34.26,34.87,34.04,34.17,5428693.0
2024-06-05,34.36,34.4,33.885,34.11,3703320.0
2024-06-06,34.18,34.39,33.865,34.06,3224230.0
2024-06-07,33.66,34.41,33.64,34.15,3702293.0
2024-06-10,33.92,34.68,32.82,34.38,12071763.0
2024-06-11,33.98,34.15,33.495,33.97,6270684.0
2024-06-12,34.92,35.815,34.92,35.16,7147949.0
2024-06-13,34.91,35.11,34.335,34.49,4897049.0
2024-06-14,34.01,34.35,33.71,34.07,3156427.0
2024-06-17,34.04,34.51,33.67,34.5,4936985.0
2024-06-18,34.35,34.995,34.15,34.77,6284246.0
2024-06-20,34.6,34.87,34.47,34.68,3691673.0
2024-06-21,34.72,34.89,34.365,34.77,7296304.0
2024-06-24,34.96,35.6902,34.8,35.39,3601206.0
2024-06-25,35.27,35.47,34.89,34.99,6662143.0
2024-06-26,34.825,34.89,34.4,34.78,2782143.0
2024-06-27,34.4,34.72,34.2,34.63,3865220.0
2024-06-28,35,36.06,34.86,36.03,8195652.0
2024-07-01,36.21,36.49,35.83,35.83,4038445.0
2024-07-02,35.61,36.4,35.58,36.38,4813070.0
2024-07-03,36.49,36.56,35.9,36.05,2517215.0
2024-07-05,35.98,36.11,35.15,35.24,6431275.0
2024-07-08,35.51,35.8,35.21,35.55,5211247.0
2024-07-09,35.51,36.51,35.46,36.3,5263313.0
2024-07-10,36.36,36.76,36.205,36.68,4769783.0
2024-07-11,37.18,38.27,37.05,38.2,6667530.0
2024-07-12,38.2,38.3653,37.84,38.2,3809805.0
2024-07-15,38.8,39.16,38.34,38.66,4354780.0
2024-07-16,38.8,39.68,38.71,39.6,8452049.0
2024-07-17,39.02,41.365,38.88,40.92,14373214.0
2024-07-18,40.72,41.94,40.485,40.75,9121404.0
2024-07-19,40.57,41.16,40.33,41,5799130.0
2024-07-22,40.84,41.41,40.43,41.4,6648360.0
2024-07-23,41.3,42.62,41.3,42.3,8802870.0
2024-07-24,42.41,43.075,42.01,42.22,7490227.0
2024-07-25,42.2,43.725,42.2,43.24,9362650.0
2024-07-26,43.49,43.96,43.015,43.23,5802931.0
2024-07-29,43.32,43.5,42.83,43,8362392.0
2024-07-30,43.28,43.75,43.13,43.2,5560824.0
2024-07-31,42.58,43.455,42.52,42.67,5603044.0
2024-08-01,42.6,42.76,40.56,40.71,5431796.0
2024-08-02,39.79,39.84,38.53,39.2,7856190.0
2024-08-05,37.75,38.495,36.853,38.3,6728498.0
2024-08-06,38.16,39.515,37.87,38.85,5405649.0
2024-08-07,39.59,40.04,38.36,38.39,5941740.0
2024-08-08,38.96,39.81,38.845,39.77,4651086.0
2024-08-09,39.75,39.99,39.43,39.59,3250322.0
2024-08-12,39.9,40.84,39.37,39.5,5377814.0
2024-08-13,39.81,40.015,39.3,39.69,4491379.0
2024-08-14,39.93,40.21,39.66,40.11,2691032.0
2024-08-15,40.83,41.21,40.485,40.59,4645101.0
2024-08-16,40.59,41.3899,40.59,41.23,3917597.0
2024-08-19,41.2,41.62,41.08,41.6,2594552.0
2024-08-20,41.37,41.57,41.115,41.21,3523802.0
2024-08-21,41.5,41.61,40.725,41.13,2980053.0
2024-08-22,41.23,41.78,41.11,41.38,2971584.0
2024-08-23,41.77,43.3,41.55,42.89,5900096.0
2024-08-26,43.17,43.29,42.66,42.71,4037096.0
2024-08-27,42.56,42.72,42.215,42.27,4177489.0
2024-08-28,42.27,42.9,42.16,42.71,7314290.0
2024-08-29,42.82,43.1011,42.21,42.68,5514042.0
2024-08-30,42.75,43.07,42.59,43.05,5165112.0
2024-09-03,42.75,43.08,42.445,42.67,4884486.0
2024-09-04,42.5,42.89,41.85,41.97,4787956.0
2024-09-05,42.42,42.52,41.415,41.6,5204035.0
2024-09-06,41.6,42.09,40.56,40.69,4990580.0
2024-09-09,41.05,41.735,40.76,41.45,5711501.0
2024-09-10,41.6,41.6,39.62,40,8306249.0
2024-09-11,39.49,39.8,38.51,39.66,7187765.0
2024-09-12,39.7,40.05,39.29,39.71,4846048.0
2024-09-13,39.99,40.57,39.72,40.09,4415630.0
2024-09-16,40.24,40.8324,40.24,40.6,3794058.0
2024-09-17,40.72,41.41,40.34,40.54,3195364.0
2024-09-18,40.49,41.56,40.31,40.72,4328022.0
2024-09-19,41.69,42.41,41.05,42.21,6338599.0
2024-09-20,42.03,42.04,41.385,41.65,9965718.0
2024-09-23,41.73,42.025,40.94,41.06,4410207.0
2024-09-24,41.11,41.49,40.495,40.76,3808304.0
2024-09-25,40.7,40.84,40.1,40.24,4774291.0
2024-09-26,40.66,40.81,40.265,40.52,4408207.0
2024-09-27,40.74,41.1,40.38,40.8,3554888.0
2024-09-30,40.79,41.205,40.43,41.07,4017901.0
2024-10-01,40.66,40.82,39.5,39.92,5415248.0
2024-10-02,39.7,40.43,39.61,40.05,4139334.0
2024-10-03,39.82,40.065,39.34,40.03,4191102.0
2024-10-04,40.83,41.38,40.65,41.18,4677875.0
2024-10-07,41.32,41.7,40.83,41.17,3604043.0
2024-10-08,41.18,41.545,41,41.21,5272796.0
2024-10-09,41.1,41.755,41.07,41.47,3959573.0
2024-10-10,41.26,41.77,41.11,41.3,3741159.0
2024-10-11,41.5,42.7979,41.49,42.61,4844662.0
2024-10-14,42.64,43.36,42.3,43.27,4091119.0
2024-10-15,43.62,44.39,43.26,43.48,5528536.0
2024-10-16,42.33,44.23,41.43,42.41,10866262.0
2024-10-17,42,42.47,41.58,42.13,7366640.0
2024-10-18,42.33,42.57,41.8,42.47,5760325.0
2024-10-21,42.26,42.605,40.93,41.06,6356883.0
2024-10-22,41.04,41.745,40.76,41.61,4904750.0
2024-10-23,41.29,41.68,41.085,41.44,3323518.0
2024-10-24,41.6,42.01,41.22,41.74,2952035.0
2024-10-25,42.28,42.29,41.4,41.51,4645467.0
