date,open,high,low,close,volume
2024-06-03,340.61,344.73,339.22,341.49,1500548.0
2024-06-04,338.25,338.25,331.27,337.06,1654853.0
2024-06-05,337.62,338.58,329.52,334.18,1552024.0
2024-06-06,334.14,339.49,333.43,337.91,1632273.0
2024-06-07,338.44,341.4,336.92,338.1,1208098.0
2024-06-10,337.51,339.56,336.2,338.65,1002682.0
2024-06-11,337.81,339.67,335.77,337.94,896521
2024-06-12,338.08,339,333.94,336.05,1249626.0
2024-06-13,334.38,337.63,329.5,334.15,1177567.0
2024-06-14,332.49,334.81,328.61,333.29,907518
2024-06-17,331.38,334.11,329.28,333.9,1157006.0
2024-06-18,335.56,337.55,333.445,334.8,1206235.0
2024-06-20,334.8,338.15,331.35,337.88,1692630.0
2024-06-21,334.83,340,334.61,339.98,4076118.0
2024-06-24,342.16,345.955,340.11,343.14,1276146.0
2024-06-25,343.98,344.37,337.31,338.8,1268078.0
2024-06-26,338.59,338.59,332.91,337.58,1491555.0
2024-06-27,336.95,336.95,331.405,334.15,1300760.0
2024-06-28,339.5,340,328.26,330.57,2645258.0
2024-07-01,330.58,335,325.83,326.27,1386265.0
2024-07-02,326.96,327.335,324.22,325.91,1055924.0
2024-07-03,327.42,327.89,321.69,325.43,900742
2024-07-05,324.53,325.01,316.55,319.12,1611976.0
2024-07-08,320.09,324.02,318.015,323.78,1753494.0
2024-07-09,322.2,328.69,319.67,328.37,1379456.0
2024-07-10,329.51,332.81,323.27,329.91,1981992.0
2024-07-11,327.01,333.84,327.01,333.56,1144007.0
2024-07-12,333.56,335.61,330.53,334.79,820208
2024-07-15,336.6,338.77,330.5501,331.42,1266462.0
2024-07-16,333.83,342.46,333.83,339.71,1166652.0
2024-07-17,339.59,345.49,339.39,344.76,1441943.0
2024-07-18,343.06,347.37,340.46,340.52,1028831.0
2024-07-19,343.67,343.67,335.53,335.84,1169194.0
2024-07-22,335.76,338.08,334.59,335.79,756286
2024-07-23,336.05,337.31,333.79,336.17,603380
2024-07-24,337.67,342.71,334.93,342.21,1029808.0
2024-07-25,343.99,349.27,340.45,341.15,775038
2024-07-26,342.69,346.66,342.49,343.64,1135664.0
2024-07-29,343.65,348.46,343.075,346.54,1021540.0
2024-07-30,346.01,355.56,346.01,352.77,909724
2024-07-31,349.25,353.9999,347.62,348.67,1462153.0
2024-08-01,336,339.15,324.55,332.6,2495507.0
2024-08-02,333.27,338.7,321.51,337.33,3193740.0
2024-08-05,337.71,339.68,321.36,325.71,2507392.0
2024-08-06,323.69,329.91,323.145,329.29,2441879.0
2024-08-07,329.9,335.39,325.75,329.01,1933697.0
2024-08-08,329.06,337.27,328.275,335.02,1164913.0
2024-08-09,333.8,338,333.075,336.14,969003
2024-08-12,330.96,331.78,326.46,328.1,1720518.0
2024-08-13,328.74,333.38,328.455,332.72,1057580.0
2024-08-14,335,337.0999,332.75,334.9,621091
2024-08-15,337.48,337.99,332.9,336.7,1003065.0
2024-08-16,336.82,342.91,335.74,342.32,865340
2024-08-19,342.68,343.7,341.26,342.33,907568
2024-08-20,341.7,344.4,339.68,342.6,900770
2024-08-21,343.99,345,340.215,342.4,694537
2024-08-22,343.19,346.82,338.8244,346.47,733990
2024-08-23,347.5,354.49,346.15,353.99,1425818.0
2024-08-26,354.69,356.835,352.25,353.94,1361100.0
2024-08-27,354.75,355.51,352.385,353.89,1058167.0
2024-08-28,356.51,359.82,354.052,357.93,1314617.0
2024-08-29,360.09,361.71,355.12,361.06,1024703.0
2024-08-30,360.72,362.515,359.92,361.81,1148195.0
2024-09-03,362.28,367.0799,360.71,365.48,1433539.0
2024-09-04,366.4,370.6399,364.0096,366.64,1194436.0
2024-09-05,362.06,364.41,348.8,355.12,2528316.0
2024-09-06,357.46,359.46,352.99,353.49,2363544.0
2024-09-09,356.55,359.32,351.45,357.61,1102418.0
2024-09-10,358.51,360.61,355.65,358.1,868399
2024-09-11,356.85,358.21,350.43,357.78,748689
2024-09-12,357.26,362.66,355.16,362.17,962242
2024-09-13,362.17,368.16,360.765,364.72,882661
2024-09-16,367.51,370.825,365.58,366.85,668049
2024-09-17,364.66,366.9055,354.64,356.23,863318
2024-09-18,356.23,362.25,354.855,355.39,824419
2024-09-19,357.16,358.83,354.77,357.26,753277
