date,open,high,low,close,volume,vwap,transactions
2024-10-01,57.755,57.87,56.744,57.17,8718237,57.1355,82454
2024-10-02,56.75,57.81,55.94,57.68,7418579,57.2301,72932
2024-10-03,57.5,57.56,56.23,56.7,7004114,56.6498,69506
2024-10-04,56.995,57.25,56.435,57.11,6054338,56.9359,61590
2024-10-07,57.14,57.47,56.425,56.73,7545016,56.8019,81572
2024-10-08,57.26,58.35,57.15,57.98,9100981,57.9663,81774
2024-10-09,58.09,58.4,57.54,57.93,8542933,57.9511,66730
2024-10-10,57.81,58.355,57.015,58.33,5154941,58.0413,53007
2024-10-11,58.5,59.48,58.485,58.65,7292845,58.8741,69976
2024-10-14,59.28,59.6,58.6942,59.28,5988207,59.1608,65759
2024-10-15,59.69,60.09,58.91,59.81,8134880,59.6975,81713
2024-10-16,59.91,60.08,58.85,59.12,5865652,59.2201,65170
2024-10-17,59.24,59.385,58.52,58.86,6326135,58.839,64891
2024-10-18,59.3,59.495,58.75,59.39,5863721,59.1712,57660
2024-10-21,59.74,59.845,59.21,59.7,6425005,59.656,60485
2024-10-22,59.69,60.1,59.25,59.88,7377493,59.8567,63649
2024-10-23,59.56,59.58,58.42,59.02,9522630,58.9574,85901
2024-10-24,59.27,59.63,58.97,59.44,7048490,59.3631,61682
2024-10-25,59.84,59.86,59.225,59.44,6074205,59.4882,56826
2024-10-28,59.85,61.25,59.84,60.6,12121403,60.8037,104008
2024-10-29,60.76,60.7891,59.94,60.49,23959227,60.0982,167223
2024-10-30,57.36,58,55.51,55.73,28560332,56.3793,257178
2024-10-31,55.17,57.42,55.02,55.77,14595408,56.4066,114269
2024-11-01,56.34,58.96,56.25,58.59,19877771,58.2463,140097
2024-11-04,58.39,58.4,56.37,56.38,10752327,57.0436,103135
2024-11-05,56.27,56.765,55.885,56.18,10315018,56.2031,92059
2024-11-06,57.7,58.26,57.19,57.69,10743777,57.8304,103216
2024-11-07,58,59.14,57.81,58.21,7974460,58.4341,75867
2024-11-08,58,59.425,58,58.81,8153189,58.9866,72932
2024-11-11,58.98,59.3799,58.31,59.27,12985641,58.9012,95055
2024-11-12,59.29,60.7762,59.17,60.49,15552264,60.2604,122721
2024-11-13,60.89,61.27,59.19,59.27,9405998,59.9244,85072
2024-11-14,59.01,60.725,58.79,59.91,7523985,60.0472,65710
2024-11-15,59.27,59.44,58.525,58.63,6673957,58.8077,72584
2024-11-18,58.68,59.38,58.462,58.81,5898535,58.9439,63041
2024-11-19,58.41,59.0484,57.67,58.73,9562479,58.5471,62116
2024-11-20,58.96,59.22,58.19,58.88,6399904,58.6956,61214
2024-11-21,58.91,60.065,58.71,59.98,7508499,59.7383,68623
2024-11-22,60.33,62.425,60.24,62.01,11366476,61.8989,105626
2024-11-25,62.135,62.59,61.81,62,11569986,62.1066,86669
2024-11-26,62.07,62.74,61.85,62.71,6629765,62.5164,64967
2024-11-27,62.555,62.69,61.51,62.05,5779490,61.9314,60790
2024-11-29,62.1,62.13,61.52,61.52,3845883,61.6537,37828
2024-12-02,61.56,62.11,60.51,60.54,7894029,60.8777,71719
2024-12-03,60.84,60.99,60.41,60.94,6011635,60.8005,57435
