date,open,high,low,close,volume,vwap,transactions
2024-10-01,274.14,274.7,269.69,270.87,4369918,271.3766,73513
2024-10-02,273.72,282,270.8517,279.48,8512272,278.9282,116841
2024-10-03,278.99,281.12,277.73,280.91,3868447,279.9831,65462
2024-10-04,283.86,287.89,281.47,287.75,6131284,285.8106,98377
2024-10-07,286.58,288.17,283.38,284.57,4794652,285.5739,76638
2024-10-08,286,292.63,284.1035,291.57,5199209,289.5389,83939
2024-10-09,290.82,291.57,287.08,287.92,4850952,288.3907,72709
2024-10-10,287.92,290.23,284.62,290.17,3965512,288.2276,73517
2024-10-11,289.21,290.24,286.3,288.1,3597035,288.1093,61377
2024-10-14,289.92,292.4499,288.25,291.64,3642540,290.7954,61234
2024-10-15,293.46,293.58,288.0004,288.35,3850782,289.3541,70200
2024-10-16,287.55,290.92,284.23,290.86,3496969,289.2595,60768
2024-10-17,291.96,293.34,290.1,291.11,2830025,291.2345,55537
2024-10-18,292.04,294.71,290.15,292.94,3087902,293.0435,56015
2024-10-21,289,292.92,288.04,291.29,2712571,291.0092,52424
2024-10-22,289.75,291.942,287.65,288.33,3097025,289.03,52651
2024-10-23,287.73,288.3032,282.6176,284.43,3227071,284.7877,63267
2024-10-24,286.56,288.91,285.18,286.76,3210656,286.9474,58905
2024-10-25,290,294.38,288.83,290.46,3351560,291.1126,71751
2024-10-28,293.6,296.07,292.49,293.77,3848816,293.9531,70219
2024-10-29,294,300.595,292.81,298.89,4280743,298.5164,74996
2024-10-30,297.07,299.54,296.35,296.4,2826545,297.6119,54842
2024-10-31,292.6,296.09,289.55,291.37,4301498,291.6798,71807
2024-11-01,290.23,296.99,290,294.72,3527502,294.4365,62693
2024-11-04,297.99,300.18,292.92,298.01,5108329,297.6399,77287
2024-11-05,297.44,298.81,294.74,297.49,4456064,297.0546,62157
2024-11-06,305,308.56,303.07,306.9,5874885,306.4089,97197
2024-11-07,307.5,312.19,306.0001,310.78,5722636,310.664,92760
2024-11-08,310.03,322.81,309.437,321.95,8484970,318.1068,129556
2024-11-11,325.25,344.88,325.25,341.73,13954199,338.7596,187226
2024-11-12,339.29,348.86,338.51,341.15,7659675,343.3254,141404
2024-11-13,345.5,348.1906,338.77,341.72,6902936,343.0802,110760
2024-11-14,342.44,346,330.82,331.65,7630619,333.5841,117288
2024-11-15,326.93,330.26,324.18,325.26,7093003,326.003,111654
2024-11-18,327,327,320.205,322.25,4251074,322.4426,79285
2024-11-19,319,324.7,316.0001,323.43,5469892,322.4088,95201
2024-11-20,325.29,327.26,322.01,325.7,3760525,324.5654,67512
2024-11-21,331.35,342.9396,328.6,335.78,8364165,337.1313,129195
2024-11-22,338.95,342.81,335.78,342.02,5649365,340.2186,99178
2024-11-25,345,347.85,338.29,339.11,7116142,340.8303,100482
2024-11-26,341.98,343.81,339.14,343.18,4492772,341.9737,80259
2024-11-27,336.46,337.38,328.88,330.01,7471475,331.3775,132398
2024-11-29,329.34,331.99,327.25,329.99,3517586,330.598,58787
2024-12-02,332,334.5,330.11,331.01,6063387,331.4858,101172
2024-12-03,327.4,332.7999,323.65,331.43,12619610,334.7219,194763
2024-12-04,366.81,369,356.65,367.87,24733140,363.7801,339940
2024-12-05,360.78,365.45,356.67,361.38,10942124,360.4847,171671
2024-12-06,364.99,367.15,361.0908,361.99,5738864,363.4648,102362
2024-12-09,361.7,361.7,350.79,351.57,6475001,353.5254,120198
2024-12-10,351.35,355.49,347.43,348.82,5916962,350.7086,96790
2024-12-11,353.49,360.2,351.88,354.85,7546604,356.2263,109185
2024-12-12,355,360,352.92,358.03,5422002,357.7951,96768
2024-12-13,364,364.8,352.5,354.31,5512520,356.3351,97339
2024-12-16,350.78,358.07,350.56,357.23,5482323,355.4147,93697
2024-12-17,356.9,357.23,349.11,350.97,6910983,351.4712,117456
2024-12-18,354.5,354.77,335.24,337.23,8400030,345.0208,137663
2024-12-19,341.695,343.53,335.43,336.23,7423351,338.164,121299
2024-12-20,332.74,346.45,331.1395,343.65,14932307,342.5275,121403
2024-12-23,342.25,343.8457,336.68,342.9,5305267,341.3906,91125
2024-12-24,343,344.95,340.83,344.43,1810961,343.5442,38260
2024-12-26,344.88,344.88,341.0312,341.72,3484545,342.4773,60980
2024-12-27,340.35,342.27,335.27,338.45,3218302,338.1828,67791
2024-12-30,333.47,338.1078,331.61,335.74,3411528,335.6372,69517
2024-12-31,336.27,337.15,332.41,334.33,3026017,334.5201,61340
2025-01-02,336.31,338.92,327.81,330.66,4807138,331.4372,97338
2025-01-03,332.1,333.44,329.27,332.9,4102503,332.242,76844
2025-01-06,334.02,336.6,327.28,330.53,5785333,331.3503,113583
2025-01-07,330.5,331.5,322.91,324.93,4643133,326.616,90710
2025-01-08,327.74,328.8,323.11,326.9,3788206,326.1228,85911
2025-01-10,322.765,322.765,316.02,317.85,6539973,318.8558,111994
2025-01-13,314.6,320.55,313.8,319.07,4583023,318.3494,83710
2025-01-14,325,329.935,321.5,323.54,5932821,324.8479,101288
2025-01-15,329.88,331.53,320.78,321.16,6042674,323.2809,102929
2025-01-16,322.94,327.72,319.55,320,5051487,322.3429,94168
2025-01-17,328.72,329.5699,323.07,324.56,6303558,326.2215,102950
2025-01-21,329.4,329.52,322.45,326.84,6397166,326.7432,108495
2025-01-22,331.25,335.2288,327.28,332.62,7259285,331.7751,120971
2025-01-23,332.33,335.46,329.6,334.66,4355877,333.5543,83861
2025-01-24,336.3,338.65,331.785,333.88,3299074,334.4899,68913
2025-01-27,332.36,353.15,330.5,347.1,15661109,345.8519,242519
