date,open,high,low,close,volume,vwap,transactions
2024-10-01,146.35,150.52,145.45,149.7,9489121,149.398,162281
2024-10-02,151.68,152.28,149.26,150.95,8105420,150.6979,125537
2024-10-03,151.31,152.17,150.02,151.25,6553282,151.4487,102009
2024-10-04,152.48,152.5,150.135,150.74,7895285,150.9375,124311
2024-10-07,151.5,152.75,150.69,151.12,5895852,151.4185,96109
2024-10-08,149.2,149.6,147.73,148.75,5892739,148.5545,101519
2024-10-09,147.51,150.37,147.36,149.65,4973453,149.3139,84973
2024-10-10,150.68,151.55,149.85,150.62,4420891,150.7076,80635
2024-10-11,150.38,152.33,150.25,151.42,5051314,151.6367,81424
2024-10-14,150.52,151.9,150.18,151.78,4214721,151.3634,86426
2024-10-15,148.8,149.955,147.56,147.73,6704610,148.6695,122336
2024-10-16,148.35,149.0312,148.21,148.73,4303737,148.6807,80695
2024-10-17,149.26,151.33,148.97,151.2,6593136,150.381,92306
2024-10-18,150.815,151.08,149.375,150.75,5208202,150.4555,77694
2024-10-21,152,152.48,150.49,150.88,5073999,151.1162,78934
2024-10-22,151.25,151.68,150.22,150.92,4416409,150.9444,76943
2024-10-23,150.36,151,149.2909,150.48,5248853,150.202,82226
2024-10-24,151.13,151.45,149.38,150.45,5474258,150.3034,83711
2024-10-25,151.39,152.12,150.46,150.81,6839894,151.019,91039
2024-10-28,148.25,150.7,148.16,150.54,8892039,150.228,105588
2024-10-29,150.04,150.415,147.87,148.52,6014676,148.7754,102606
2024-10-30,149.08,149.65,147.66,148.05,5784011,148.5122,101363
2024-10-31,148.755,149.57,147.89,148.82,8400855,148.7869,111371
2024-11-01,152.48,155.9303,151.7,153.07,11727977,153.6952,171936
2024-11-04,154.42,154.42,152.6199,153.97,6129961,153.6572,102837
2024-11-05,154.53,154.67,152.55,153.41,5978897,153.5018,105279
2024-11-06,157.1,158.61,156.12,157.72,12118908,157.6773,188704
2024-11-07,157.94,158.01,156.4,156.77,8143245,156.9787,131306
2024-11-08,156.6,157.58,155.67,156.93,6041457,156.7249,103796
2024-11-11,157.14,157.94,155.9,156.5,7771691,156.5518,100396
2024-11-12,157.3,157.47,155.12,155.29,5681869,155.9034,96968
2024-11-13,156.07,159.02,154.53,158.72,8824013,157.8814,124521
2024-11-14,159.84,161.83,159.68,161.8,10111234,160.9652,138004
2024-11-15,161.52,162.38,160.76,161.42,9022753,161.5137,115082
2024-11-18,160.56,161.52,159.07,160.76,6092141,160.5726,95555
2024-11-19,159.98,160.4272,158.751,159.6,4657409,159.6353,83279
2024-11-20,159.91,161.44,159.78,161.33,6391252,160.9487,88596
2024-11-21,162.02,162.65,161.29,161.63,7945531,161.9822,107502
2024-11-22,161.51,162.61,161.15,162.36,7006293,162.119,96027
2024-11-25,162.15,163.17,159.83,160.36,10702395,160.8593,105388
2024-11-26,162.31,162.94,161.4,162.53,7369944,162.2461,113865
2024-11-27,162.76,164.68,161.61,162.11,7674474,162.869,102375
2024-11-29,162.25,162.7499,160.66,161.93,5076953,161.5641,70698
2024-12-02,162.29,162.95,160.11,162.21,6229596,161.5757,95692
2024-12-03,162.98,163.197,161.39,161.92,5900066,162.1152,79672
2024-12-04,161.83,161.84,157.86,158.32,7860808,158.8323,115458
2024-12-05,159.29,160.67,158.69,159.33,6358358,159.5977,97642
2024-12-06,158.75,158.83,155.17,155.24,9701694,155.7695,134069
2024-12-09,157,160.08,156.82,157.08,9404473,157.9786,132049
2024-12-10,159.06,159.52,156.7,157,9126158,158.085,128124
