date,open,high,low,close,volume
2024-06-03,53.81,54.07,53.33,53.67,5037130.0
2024-06-04,53.415,53.72,53.09,53.28,4399067.0
2024-06-05,52.99,53.14,52.44,52.52,3437301.0
2024-06-06,52.3,53.05,52.18,52.27,3399812.0
2024-06-07,51.7,52.01,51.36,51.44,4802618.0
2024-06-10,51.26,51.66,50.75,51.46,4894563.0
2024-06-11,51.1,51.85,50.955,51.53,4103057.0
2024-06-12,52.11,52.22,50.635,50.8,3497681.0
2024-06-13,50.81,51.13,50.4,50.69,2948173.0
2024-06-14,50.4,50.645,50.02,50.43,2163942.0
2024-06-17,50,50.04,49.2145,49.45,6136226.0
2024-06-18,49.45,49.7553,49.18,49.42,3827868.0
2024-06-20,49.7,50.38,49.5,49.81,3887744.0
2024-06-21,49.95,50.04,49.135,49.21,6347977.0
2024-06-24,49.25,49.95,49.11,49.9,4045795.0
2024-06-25,49.7,49.95,49.09,49.19,2643459.0
2024-06-26,49,49.39,48.66,49.25,2823481.0
2024-06-27,49.24,49.64,49.01,49.61,2823725.0
2024-06-28,49.5,49.61,48.4725,49,6707023.0
2024-07-01,49.09,49.4,47.99,48.01,3525946.0
2024-07-02,48.15,48.625,48.03,48.54,3012132.0
2024-07-03,48.78,49.45,48.56,49.21,2091856.0
2024-07-05,49.21,49.27,48.75,49.11,2381008.0
2024-07-08,49.11,49.43,48.88,49.33,3086108.0
2024-07-09,49.21,49.93,49.03,49.48,2696045.0
2024-07-10,49.67,49.79,49.18,49.75,2046653.0
2024-07-11,50.14,51.73,49.95,51.63,3767307.0
2024-07-12,51.75,52.34,51.52,51.97,3423730.0
2024-07-15,51.82,51.82,50.7,51.03,2796458.0
2024-07-16,51.23,51.74,51.16,51.29,2592909.0
2024-07-17,51.55,52.56,51.29,52.04,4046299.0
2024-07-18,51.65,52.46,51.5223,51.57,2896148.0
2024-07-19,51.82,51.82,50.959,51.41,2680003.0
2024-07-22,51.58,51.92,51.32,51.8,2509143.0
2024-07-23,51.64,51.74,50.675,50.72,4193723.0
2024-07-24,51.23,52.295,50.67,52.13,4168761.0
2024-07-25,52.44,53.24,51.985,52.3,3806275.0
2024-07-26,52.52,52.97,52.3,52.7,2994129.0
2024-07-29,52.78,53.105,52.21,52.91,2063182.0
2024-07-30,52.86,53.315,52.65,53.21,2541155.0
2024-07-31,53.34,53.47,52.73,53.46,6131247.0
2024-08-01,53.59,55.66,52.87,55.44,5732850.0
2024-08-02,56.08,57.6,55.01,56.08,5501213.0
2024-08-05,56.27,56.84,53.79,54.04,5070748.0
2024-08-06,54.12,54.63,53.9,54.17,5067348.0
2024-08-07,54.35,55.57,53.9,55.09,4275672.0
2024-08-08,54.58,55.08,54.07,54.19,3428506.0
2024-08-09,54.27,54.64,53.3703,54.47,2942182.0
2024-08-12,54.5,54.8,54.24,54.72,2673799.0
2024-08-13,54.89,55.19,54.59,55.08,3102332.0
2024-08-14,54.92,56.14,54.78,55.51,4207245.0
2024-08-15,55.1,55.5,54.84,55.29,3750572.0
2024-08-16,55.56,56.22,55.22,56.01,3470916.0
2024-08-19,56,56.57,55.8,56.29,2782643.0
2024-08-20,56.29,56.78,56.08,56.3,2816530.0
2024-08-21,56.3,56.615,56.16,56.41,1964580.0
2024-08-22,56.51,56.56,56.17,56.44,1853693.0
2024-08-23,56.62,56.83,56.3,56.47,2021702.0
2024-08-26,56.61,56.96,56.36,56.52,2575100.0
2024-08-27,56.47,56.71,55.9,56.03,2295928.0
2024-08-28,56.14,56.42,55.875,56.15,4821945.0
2024-08-29,56.19,56.21,55.41,56.12,3315657.0
2024-08-30,55.56,56.005,55.305,55.9,5450438.0
2024-09-03,55.69,57.15,55.65,56.73,4220493.0
2024-09-04,57.12,57.73,56.87,57.49,3273124.0
2024-09-05,57.97,58.13,57.06,57.34,2574324.0
2024-09-06,57.49,57.86,57.02,57.11,2582535.0
2024-09-09,57.18,57.64,56.82,57.37,4087550.0
2024-09-10,57.64,58.11,57.49,57.71,2789095.0
2024-09-11,57.45,57.575,56.555,57.23,4236327.0
2024-09-12,57.2,57.55,56.85,57.18,3121785.0
2024-09-13,57.47,58.18,56.925,58.16,2986603.0
2024-09-16,58.42,58.94,58.08,58.53,3284005.0
2024-09-17,58.4,58.715,57.92,58.35,3504475.0
2024-09-18,58.29,58.35,57.02,57.41,2980641.0
2024-09-19,57.22,57.665,56.8301,57.48,4107476.0
2024-09-20,57.74,57.99,57.18,57.93,9329876.0
2024-09-23,58,58.175,57.57,57.86,4276765.0
2024-09-24,57.46,58.06,56.955,57.02,5644380.0
2024-09-25,57.38,57.38,56.73,57.22,5106000.0
2024-09-26,57.14,57.9,56.95,57.13,4702783.0
2024-09-27,57.36,57.56,57.005,57.16,3656185.0
2024-09-30,57.47,57.8,57.07,57.79,3564671.0
2024-10-01,57.69,58.729133,57.41,58.24,4088314.0
2024-10-02,58,58.45,57.9,58.36,2125137.0
2024-10-03,58.48,58.59,57.96,58.08,2216322.0
2024-10-04,57.44,58.305,57.23,58.23,2459670.0
2024-10-07,58,58.02,56.88,57.09,2467193.0
2024-10-08,57.42,57.44,56.81,56.81,3150531.0
2024-10-09,56.78,57.2254,56.02,56.38,2736230.0
2024-10-10,56.58,56.86,55.47,55.49,5511169.0
2024-10-11,55.49,56.29,55.42,56.22,3479279.0
2024-10-14,56.19,56.985,56.02,56.93,3353762.0
2024-10-15,57.22,58.16,57.21,57.61,3086858.0
2024-10-16,58.75,60.72,57.74,60.55,8468419.0
2024-10-17,60.58,60.73,59.64,59.74,4926394.0
2024-10-18,59.77,60,59.14,59.92,4053132.0
2024-10-21,60.16,60.67,59.84,60.03,3522025.0
2024-10-22,59.45,60.2,58.79,60,4221632.0
2024-10-23,59.95,60.93,59.79,60.93,2643083.0
