date,open,high,low,close,volume,vwap,transactions
2024-10-01,415.175,420.47,411.12,416.44,1089177,416.9372,28243
2024-10-02,416.12,417.58,414.14,416.49,863795,416.0868,21876
2024-10-03,412.69,413.83,407.7214,408.74,1103915,409.5368,22712
2024-10-04,412,412.14,405.07,407.99,877896,407.6542,24017
2024-10-07,407.87,409.09,404.385,406.04,942080,406.7594,23909
2024-10-08,403.54,405.91,398.78,400.28,981526,400.9613,26430
2024-10-09,401.5,406.37,401.5,405.48,760351,404.8839,24521
2024-10-10,404.77,406.55,401.86,405.76,578148,404.6288,17800
2024-10-11,405.05,412.37,404.465,411.08,653446,410.7683,16722
2024-10-14,408.03,408.78,399.46,407.72,996423,405.1363,28532
2024-10-15,405.02,409.04,401.48,401.99,834560,404.6365,24294
2024-10-16,403.23,410.445,403.115,409.37,867752,408.0449,24408
2024-10-17,408.12,409.25,396.53,405.14,1398486,403.5848,36182
2024-10-18,406.99,409.58,404.2,408.73,749969,407.7715,20351
2024-10-21,408,410.725,405.92,406.96,838747,407.7184,23020
2024-10-22,407.05,407.9,401.81,406.65,610159,406.0546,20501
2024-10-23,407.25,411.732,406.26,408.64,1112959,408.8492,22564
2024-10-24,408.99,411.7643,407.1685,411.07,718315,410.0677,21749
2024-10-25,413,414.75,407.42,407.93,591048,409.854,19981
2024-10-28,409,413.33,408.245,412.35,828317,411.6243,22920
2024-10-29,410.2,411,405.21,406.04,758578,407.1839,22118
2024-10-30,402.66,408.14,401.3285,404.69,785077,405.2659,22830
2024-10-31,404.26,407.305,402,404.69,746280,405.0366,21377
2024-11-01,405.8,407.0764,398.31,400.42,1522533,401.2304,32294
2024-11-04,400.42,406.86,399.5141,401.68,801931,402.195,25078
2024-11-05,398.31,404.01,396.79,400.37,902554,400.117,27967
2024-11-06,412.62,415.5,402.105,405.71,1664267,405.7797,42174
2024-11-07,407.61,411.97,406.3101,411.16,1073506,410.2777,30376
2024-11-08,402.1,406.49,393.72,394.06,1623152,397.2421,45459
2024-11-11,397.18,402.88,393.17,402.65,1143472,399.7629,32065
2024-11-12,402.19,402.19,393.12,393.75,1144922,395.4003,32040
2024-11-13,391.05,392.13,387.03,389.45,1474846,389.5033,34016
2024-11-14,390.42,395.52,387.79,394.64,1225339,393.493,33591
2024-11-15,392.67,399.57,390,398.95,1168176,397.7038,28691
2024-11-18,396.21,406.98,396.14,404.53,1457301,404.5203,35145
2024-11-19,399.51,402.62,397.75,400.09,1076748,400.5952,26961
2024-11-20,404.16,408.94,400.64,404.96,1487015,403.7164,34116
2024-11-21,412.75,442.05,410.9593,437.54,4148994,432.5161,89841
2024-11-22,435.93,447.5,432.21,446.65,2202297,443.812,48936
2024-11-25,448,469.39,446.7,462.69,3266857,462.7887,66925
2024-11-26,456.64,463.3445,454.39,461.04,1747268,460.1253,38130
2024-11-27,461.91,467.06,461.095,466,1258787,465.1581,32956
2024-11-29,466,469.09,464.17,465.9,732229,466.7841,17634
2024-12-02,463.7,464.3,458.85,462.95,1318644,461.9443,33195
2024-12-03,464.01,465.54,458.95,459.25,1166248,460.5918,29124
2024-12-04,459,462.23,453.3,456.26,1056418,455.9632,28530
2024-12-05,457.98,458.365,447.93,448.12,1159719,451.0098,30761
2024-12-06,446.5,448.96,442.97,444,1130085,444.8023,32840
2024-12-09,445,453.2534,444.12,449.41,1209323,450.394,34529
2024-12-10,447.13,448.69,441,443.96,1215691,444.8825,31580
2024-12-11,447.96,449.76,446.0822,448.03,1677747,448.0167,32199
2024-12-12,447.63,447.63,438.46,439.48,867306,440.2812,25418
2024-12-13,440,442.12,437.0201,440.44,900756,440.0826,26697
