date,open,high,low,close,volume
2024-06-03,135.18,139.95,133.63,139.56,3879680.0
2024-06-04,139,141.24,133.89,134.51,2795801.0
2024-06-05,133.68,135.57,131.06,134.42,2665818.0
2024-06-06,131.47,132.19,128.33,129.53,3336010.0
2024-06-07,128.97,130.208,125.99,126.61,2211300.0
2024-06-10,126.53,128.155,126,127.69,1893169.0
2024-06-11,127.29,128.3,126.4,126.77,1790278.0
2024-06-12,127.09,127.76,123.6,124.93,2619219.0
2024-06-13,125.06,125.06,122.21,124.12,1856856.0
2024-06-14,123.62,125.86,122.86,125.79,1708918.0
2024-06-17,125.08,126.98,123.6,126.89,1982875.0
2024-06-18,126.81,127.86,124.96,126.59,2495051.0
2024-06-20,126.34,127.8,124.82,127.5,2802172.0
2024-06-21,128.15,129.89,127.5,128.77,3292960.0
2024-06-24,129.2,131.47,128.5,130.49,2449662.0
2024-06-25,129.73,129.87,127.93,128.52,1521698.0
2024-06-26,128.88,129.78,126.7,129,2570665.0
2024-06-27,128.135,130.6,127.7,130.28,2343276.0
2024-06-28,131,132.39,130.765,132.23,9278104.0
2024-07-01,131.96,134.39,130.49,130.58,3546567.0
2024-07-02,130.54,130.54,127.825,129.47,1532893.0
2024-07-03,129.53,129.7504,125.43,125.43,1302424.0
2024-07-05,125.41,128.47,124.51,128.2,1570544.0
2024-07-08,129.26,130.72,127.9319,130.12,1874215.0
2024-07-09,129.32,129.47,127.26,128.54,1572856.0
2024-07-10,129.04,129.26,126.15,127.5,1855948.0
2024-07-11,128.34,132.31,127.79,131.59,2147390.0
2024-07-12,132.32,135.46,132.04,132.42,1728853.0
2024-07-15,132.48,132.48,125.61,126.96,2714402.0
2024-07-16,127,128.615,126.28,127.48,1852041.0
2024-07-17,123.1,125.98,122.4001,124.36,3395918.0
2024-07-18,124,124.42,120.675,121.57,2548422.0
2024-07-19,122.28,122.98,120.31,122.42,2153691.0
2024-07-22,122.66,124.61,122.3,123.28,2067828.0
2024-07-23,123,123.11,120.18,120.4,1880378.0
2024-07-24,120.5,120.5,115.98,117.05,2763894.0
2024-07-25,117.24,119.725,116.57,118.31,2354563.0
2024-07-26,118.9,119.68,117.57,118.09,1577358.0
2024-07-29,118.1,119.77,116.22,117.36,1810532.0
2024-07-30,117.32,120.415,116.39,120,1595371.0
2024-07-31,119.92,122.25,119,120.39,2501872.0
2024-08-01,121.55,122.09,118.625,120.16,2286900.0
2024-08-02,119.36,123.53,117.445,121.59,3169507.0
2024-08-05,120.43,123.75,119.45,122.89,2956774.0
2024-08-06,123.21,125.03,121.55,123.25,2129798.0
2024-08-07,124.4,124.74,118.33,118.5,2186004.0
2024-08-08,118.85,119.38,116.42,118.17,2528272.0
2024-08-09,117.88,118.74,116.4,116.81,1520943.0
2024-08-12,116.54,118.95,114.91,117.6,2119400.0
2024-08-13,115.72,117.99,114.17,116.84,2901383.0
2024-08-14,116.56,117.8,115.3,116.54,2253106.0
2024-08-15,120.4,123.585,119.05,120.54,2730106.0
2024-08-16,120.18,123.43,119.915,123.27,1687439.0
2024-08-19,123.275,124.77,121.98,122.09,1534337.0
2024-08-20,122.05,123.25,120.96,121.59,1798061.0
2024-08-21,125.37,126.98,123.35,123.71,2160789.0
2024-08-22,123.75,124.27,122.42,123.24,2019652.0
2024-08-23,123.8,124.53,122.66,123.6,1553323.0
2024-08-26,124.69,125.25,123.93,124.34,1783924.0
2024-08-27,124.33,125.31,123.755,125.12,2507936.0
2024-08-28,124.99,125.42,122.47,123.84,3124666.0
2024-08-29,92.2,97,84,84.03,41654977.0
2024-08-30,84.4,87.38,82.68,82.97,21069424.0
2024-09-03,83.02,86.1,83.02,83.79,11628739.0
2024-09-04,81.73,82.48,79.36,81.08,10616781.0
2024-09-05,81.09,81.71,77.96,80.41,10493254.0
2024-09-06,81.035,83.4625,80.5,82.58,6320897.0
2024-09-09,81.96,82.93,80.74,80.98,5319833.0
2024-09-10,81.16,81.76,79.68,80.69,5181499.0
2024-09-11,80.27,81.4499,78.71,80.57,5678658.0
2024-09-12,80.79,84.27,80.3101,83.21,4589389.0
2024-09-13,84.67,86.29,84,84.75,4279955.0
2024-09-16,85,86.25,84.64,85.75,3681618.0
2024-09-17,85.745,86.34,85.36,86.01,3521158.0
2024-09-18,85.77,87.75,85.77,86.86,3514912.0
2024-09-19,87.73,87.76,85.95,86.5,4372417.0
2024-09-20,86.18,86.39,84.53,86.01,7965091.0
2024-09-23,85.985,86.73,85.2214,86.04,3010872.0
2024-09-24,86,86.4,84.99,84.99,2843772.0
2024-09-25,85.05,85.05,83.6,84.26,2876539.0
2024-09-26,84.8201,87.75,84.8201,86.94,3884171.0
2024-09-27,86.54,88.1,86,87.32,4011677.0
2024-09-30,86.73,86.73,83.74,84.57,4784709.0
2024-10-01,84.44,84.68,82.58,84.47,3582124.0
2024-10-02,84.18,84.25,81.58,81.77,3821547.0
2024-10-03,81.38,82.03,81.2,81.92,2858498.0
2024-10-04,82.955,84.98,82.51,84.35,3792959.0
2024-10-07,84.89,85.08,83.08,84.3,3696807.0
2024-10-08,83.74,84.08,82.68,83.55,2203027.0
2024-10-09,83.48,83.6,82.25,82.86,3775890.0
2024-10-10,82.86,82.86,82.01,82.44,3671384.0
2024-10-11,82.5,82.9,81.9,82.49,6849266.0
2024-10-14,82.18,82.38,79.65,79.76,5953728.0
2024-10-15,79.635,81.765,79.55,80.57,6580512.0
2024-10-16,80.75,83.18,80.22,82.23,4794667.0
2024-10-17,82.1,82.53,80.92,81.9,6300871.0
2024-10-18,81.65,81.97,80.1442,80.6,4808603.0
2024-10-21,80.78,81.531,80.3,81.13,4412139.0
2024-10-22,81.68,82.23,80.12,81.12,3850494.0
2024-10-23,81.12,81.63,80.42,81.04,3069007.0
2024-10-24,81.18,81.67,80.7,81.4,2378748.0
2024-10-25,81.65,82.67,80.18,80.38,2869727.0
2024-10-28,80.74,82.36,80.64,81.1,3468013.0
2024-10-29,80.76,82.48,79.79,79.8,3993986.0
2024-10-30,79.87,80.4761,78.82,78.94,3071873.0
2024-10-31,79.23,80.8199,78.45,80.04,3509038.0
2024-11-01,80.57,81.86,79.86,81.76,3126563.0
2024-11-04,82.31,84.39,81.76,82,4571090.0
2024-11-05,82.01,82.04,80.675,81.57,4522889.0
2024-11-06,80.3,80.75,77.22,77.41,6752639.0
2024-11-07,78.41,79.42,77.78,78.07,4150670.0
2024-11-08,78.08,78.25,76.76,76.95,3885503.0
2024-11-11,77,77.5999,76.07,76.29,4613611.0
2024-11-12,75.87,75.98,73.51,75.12,5638744.0
2024-11-13,75.12,77.0388,75.12,76.78,3379331.0
2024-11-14,76.91,78.4,76.2101,77.05,2821808.0
2024-11-15,76.94,77.75,75.05,75.88,3704309.0
2024-11-18,75.88,78.7,75.88,77.09,3252912.0
2024-11-19,77.46,78.27,76.38,76.5,2261689.0
2024-11-20,75.75,75.75,72.12,73.27,7419040.0
2024-11-21,73.47,74.43,73.27,73.92,3162302.0
2024-11-22,74.22,75.92,74.02,74.93,3828101.0
2024-11-25,75.92,77.75,75.8713,76.59,4951319.0
2024-11-26,75.83,76.24,74.2,74.64,3195683.0
2024-11-27,75.5,76.37,74.71,76.26,3306426.0
2024-11-29,77.97,77.985,76.3,77.27,2440054.0
2024-12-02,77,77.93,76.045,77.79,3658238.0
2024-12-03,77.77,79.93,77.48,79.02,3812956.0
2024-12-04,79.74,80.17,78.375,79.5,5933644.0
2024-12-05,80.165,80.795,75.35,79.6,11391814.0
2024-12-06,81.32,84.75,80.88,81.59,6926885.0
2024-12-09,81.59,81.76,79.885,80.8,3471603.0
2024-12-10,80.92,82.975,79.24,82.39,3400468.0
2024-12-11,82.18,82.69,79.74,79.82,3205586.0
2024-12-12,80.09,80.21,77.94,78.42,2738666.0
2024-12-13,78.5,78.67,75.61,76.94,3770999.0
2024-12-16,76.35,76.902,74.96,75.27,3316400.0
2024-12-17,75.205,76.27,75.135,76,3389103.0
2024-12-18,75.76,78.09,75.61,75.94,4537778.0
2024-12-19,75.58,75.82,72.81,73.89,4032397.0
2024-12-20,73.79,76.805,73.785,76.4,5865587.0
2024-12-23,75.56,75.78,73.38,74.62,5089440.0
2024-12-24,74.5,75.01,74.1159,74.64,1542336.0
2024-12-26,74.75,75.82,74.1573,75.63,3601876.0
2024-12-27,75.39,76.52,75.19,75.89,2660052.0
2024-12-30,75.77,76.24,74.76,75.69,3775739.0
2024-12-31,75.69,76.325,74.92,75.82,3500350.0
2025-01-02,76.3,78.04,75.24,75.63,2675819.0
2025-01-03,75.905,75.905,74.45,74.67,3120883.0
2025-01-06,74.92,77.45,74.46,75.85,3234794.0
2025-01-07,75.65,78,74.08,74.17,3592243.0
2025-01-08,73.79,74,70.15,71.62,5786143.0
2025-01-10,71.19,71.87,70.78,71.36,4669626.0
2025-01-13,71.565,72.27,70.37,71.59,4094790.0
2025-01-14,71.5,72.03,69.33,69.38,3946515.0
2025-01-15,70.805,71.32,68.52,68.57,3489765.0
2025-01-16,67.81,69.45,66.43,69.26,5026119.0
2025-01-17,69.52,70,68.1,68.44,3386378.0
2025-01-21,69.09,72.55,69.09,71.94,7589557.0
2025-01-22,71.81,71.85,70.41,70.72,3184829.0
2025-01-23,70.6,71.37,69.9,71.33,2454794.0
2025-01-24,71.66,72.2,71.24,71.78,2207862.0
2025-01-27,72.79,73.7,72.42,73.3,2762120.0
2025-01-28,73.05,73.295,71.43,72.71,2721474.0
2025-01-29,73,73.3999,71.63,72.04,2229290.0
2025-01-30,72.46,73.22,71.75,72.15,2240774.0
2025-01-31,72.03,73.1,71.03,71.06,3130114.0
2025-02-03,70.09,72.69,69.32,71.47,3853298.0
2025-02-04,71.01,73.05,71.01,71.8,2545441.0
2025-02-05,72.34,73.8799,72.2,72.82,2973942.0
2025-02-06,73.7,73.75,72.245,72.61,2592981.0
2025-02-07,72.5,73.48,71.71,72.49,3511794.0
2025-02-10,72.78,74.17,71.6206,74.14,3031307.0
2025-02-11,73.92,74.31,72.9186,74.13,2882155.0
2025-02-12,73.07,73.91,72.7472,73.81,2311793.0
2025-02-13,73.96,74.11,72.665,72.84,2803039.0
2025-02-14,73.7,73.95,72.01,72.56,2809330.0
2025-02-18,72.7,75.32,72.3559,75.03,3788323.0
2025-02-19,75.23,75.9,74.49,75.63,2447687.0
2025-02-20,74.95,78.15,74.22,76.13,4486124.0
2025-02-21,76.2,76.75,74.97,76.69,3528428.0
2025-02-24,76.34,79.88,76.2808,79.03,4826964.0
2025-02-25,78.85,79.2825,77.0895,78.58,4423291.0
2025-02-26,78.16,78.31,73.31,74.19,5391119.0
2025-02-27,73.73,74.67,72.7301,73.98,2156207.0
2025-02-28,74.65,74.94,73.13,74.18,3051439.0
2025-03-03,73.57,74.55,71.26,71.89,3695651.0
2025-03-04,70.52,74.02,70.01,72.92,3426140.0
2025-03-05,72.63,73.87,72.52,73.7,2615311.0
2025-03-06,73.73,76.7499,73.596,76.24,3082626.0
2025-03-07,75.57,82.62,75.555,81.84,7380800.0
2025-03-10,81.74,85.075,80.59,82.8,7211591.0
2025-03-11,83.095,83.095,77.24,78.64,4468457.0
2025-03-12,79.275,79.35,74.67,74.85,4955481.0
2025-03-13,78.62,81.14,76.44,79.95,8555993.0
2025-03-14,79.91,79.99,77.52,79.02,5170934.0
2025-03-17,79.9,80.8,78.1,79.85,3230530.0
2025-03-18,79.825,81.74,79.095,81.41,3101409.0
2025-03-19,80.81,82.64,80.51,82.33,3385693.0
2025-03-20,82.08,83.21,81.249,81.67,3225168.0
2025-03-21,81.17,84.14,80.5101,83.66,6957563.0
2025-03-24,82.48,83.56,81.67,83.16,4698370.0
2025-03-25,83.215,84.23,82.23,82.58,3894192.0
2025-03-26,82.285,85.81,81.75,84.7,4877198.0
2025-03-27,85.33,87.86,85.1,87.54,4717019.0
2025-03-28,87.4,87.75,85.13,86.1,3901936.0
2025-03-31,85.4,88.5,85.4,87.93,5923331.0
2025-04-01,88.48,89.576,86.81,87.6,3601201.0
2025-04-02,87.43,90.545,87.43,90.2,4966265.0
2025-04-03,89.36,95,88.3,94.41,11232390.0
2025-04-04,92.26,97.8483,92.26,92.62,10628972.0
2025-04-07,92.48,94.6499,90.62,92.02,7925053.0
2025-04-08,92.95,93.2,86.78,87.7,7396327.0
2025-04-09,86.99,91.19,84.7,86.02,9408534.0
2025-04-10,86,88.89,85.6024,87.13,6501386.0
