date,open,high,low,close,volume,vwap,transactions
2024-10-01,278.62,278.62,273.02,274.56,1367222,274.8476,28846
2024-10-02,274.49,275.6,271.03,273.91,1111813,274.0005,21559
2024-10-03,272.86,273.3,269.57,270.52,1332096,270.588,25482
2024-10-04,271.56,272.56,268.65,270.03,1132669,270.0066,23511
2024-10-07,268.5,270.5,267.47,268.79,1153297,268.8544,23869
2024-10-08,266.98,270.35,266.5,268.81,1431916,268.7868,22938
2024-10-09,269.78,270.48,266.82,269.23,1507978,269.3233,26051
2024-10-10,268.37,269.12,265.5,266.45,1531832,266.5392,27485
2024-10-11,267.64,272.15,267.12,270.33,1747177,270.531,28677
2024-10-14,270.4,272.31,268.87,271.56,1901419,271.2624,24269
2024-10-15,272.38,275.52,271.81,272.68,1905384,273.2058,33146
2024-10-16,271,271.815,266.3,268.03,2820017,267.9044,44271
2024-10-17,277.5,279.41,270.97,271.98,3222112,273.6497,49721
2024-10-18,272.53,275.51,271.31,274.38,1949849,273.8247,29618
2024-10-21,273.1,274.21,270.29,272.09,2359613,271.7716,40974
2024-10-22,264.03,269.24,260.61,261.28,4496440,263.6108,69327
2024-10-23,258.44,260.88,254.2,256,4717150,255.8974,70030
2024-10-24,255.25,255.698,247.82,248,3989252,250.7031,63775
2024-10-25,250.3,250.384,244.89,245.39,3226925,246.523,54649
2024-10-28,246.12,247.35,243.03,244.12,2031600,244.4392,36391
2024-10-29,243.18,244.94,241.76,242.69,3547215,243.2195,55973
2024-10-30,242.14,244.419,241.1,242.32,2553468,242.2749,44374
2024-10-31,243.89,248.5,242.34,245.66,4948759,246.3181,74721
2024-11-01,248.96,252.95,247.27,247.76,2638494,248.6886,48753
2024-11-04,248.78,251.47,245.99,247.18,1836428,247.7645,37371
2024-11-05,245.66,250.82,245.32,250.07,1697740,249.2826,37931
2024-11-06,252.07,252.94,245.15,247.76,2930331,247.9698,47461
2024-11-07,249.7,250.04,245.74,246.1,2528016,246.6453,41491
2024-11-08,247.05,247.13,244.12,245.39,2941170,245.7922,47238
2024-11-11,245,246.1499,241.43,243.25,3475317,243.2986,52060
2024-11-12,244.51,244.51,239.29,239.6,3077031,240.6391,50810
2024-11-13,239.6,242.06,238.974,241.53,2133727,241.0586,32578
2024-11-14,240.59,240.94,237.31,239.38,3154264,239.4719,51181
2024-11-15,236.15,237.43,228.9976,230.5,5435775,231.2732,78979
2024-11-18,230,230.725,228.25,230.06,3932989,229.748,65723
2024-11-19,229.66,231.91,228.73,230.84,2608255,230.5675,46043
2024-11-20,229.5,233.73,228.89,233.1,2662158,232.0909,42289
2024-11-21,233.92,235.18,230.38,235.05,2537010,233.2586,44080
2024-11-22,234.49,236.93,234.49,235.84,2330161,235.918,38601
2024-11-25,236.17,239.38,235.45,237.68,4460644,237.7122,46547
2024-11-26,237.5,238.1,233.1501,236.58,2377740,235.5455,43960
2024-11-27,237.25,240.945,235.67,238.83,2271494,239.3542,35541
2024-11-29,239.53,241.61,238.3,239.69,1931402,239.8521,24444
2024-12-02,239.41,241.58,238.2,241.29,2520245,240.66,42198
2024-12-03,240.66,241.67,238.87,240.87,3035317,240.566,42656
2024-12-04,238.96,239.47,234.1905,236.26,4167450,236.7407,58498
2024-12-05,235,235.75,227.2,227.87,5335656,228.6993,81645
2024-12-06,228.45,231.01,228.005,230.12,3099532,229.8587,49334
2024-12-09,229.58,236.325,229.29,235.91,2625321,234.8231,48857
2024-12-10,236.93,237.185,233.9,234.34,2753312,235.1976,44129
2024-12-11,235.8,237.715,234.34,235.4,3370358,235.8563,42193
2024-12-12,234.2,236.4175,233.41,234.5,3996846,234.8943,51554
2024-12-13,234.13,235.5,232,234.89,2417967,234.183,41929
2024-12-16,234.765,236.83,233.6779,234.18,4474422,234.8376,46702
2024-12-17,234.13,237.96,233.255,233.53,3211094,234.6553,51146
2024-12-18,230.89,234.33,228.09,228.3,5221601,230.5638,56154
2024-12-19,228.1,231.07,225.84,226.16,4553880,227.2276,61335
2024-12-20,226.96,230.81,225.42,228.55,7073596,228.7632,63770
2024-12-23,227.94,229.63,226.76,229.16,2798812,228.402,40487
2024-12-24,228.53,231,228,230.75,988300,230.0748,17799
2024-12-26,229.33,231.49,229.17,231.28,1512536,230.8732,26232
2024-12-27,229.4,232.14,229.4,231.1,2130520,231.1514,34784
2024-12-30,229.47,230.56,227.58,229.65,2008091,229.6156,35437
2024-12-31,230.46,232,228.665,229.55,2077923,229.6072,37879
2025-01-02,230.85,231.85,228.5714,229.81,2762037,229.9655,37972
2025-01-03,230.08,235.93,229.56,234.84,2381138,234.0362,41111
2025-01-06,234.15,240.2301,233.7,238.2,3674564,238.4948,51411
2025-01-07,238,243.15,238,239.1,2989329,239.7195,43998
2025-01-08,238.61,239.39,235.5,238.09,2527729,237.9034,49742
2025-01-10,235.55,238.71,234.5,235.07,2863272,235.7747,44855
2025-01-13,235.05,240.97,234.01,239.88,3301781,239.672,48752
2025-01-14,241.17,242.15,232.045,237.62,4137624,236.6981,61064
2025-01-15,238.98,241.69,232.96,237.97,4129048,237.65,51448
2025-01-16,237.72,242.1088,234.6,241.9,3148925,239.5353,42110
2025-01-17,242.17,243.05,238.17,238.36,3075288,239.8774,43587
2025-01-21,239.95,244.49,239,244.11,2338322,243.4507,41577
2025-01-22,243.44,246.25,242.5,244.18,2050108,244.8378,35877
2025-01-23,244.93,245.85,241.8003,245.66,2512460,244.6451,41894
2025-01-24,245.6,247.53,245.02,245.8,1911411,246.3219,36474
2025-01-27,247.52,250.76,246.46,250.59,2748518,248.947,49868
2025-01-28,257.67,258.23,247.19,247.84,4273748,249.6873,69665
2025-01-29,235.02,235.74,223,223.73,11407445,227.6608,143502
2025-01-30,225,228.99,221.34,223.08,6668401,223.9336,96488
2025-01-31,223.3,227.5,222.365,222.74,4785871,224.4154,65857
2025-02-03,218,219.94,214.03,214.26,5787848,216.0352,88088
2025-02-04,210.5,215.15,210.04,215.01,7520700,212.719,101827
2025-02-05,216.36,216.44,210.93,212.13,5112712,212.6053,69581
2025-02-06,213,214.31,209.1,210.01,4367117,210.282,63638
2025-02-07,210.37,210.7925,205.79,206.76,5230997,207.2193,77571
2025-02-10,205.85,206.98,203,203.5,7038796,204.194,93653
2025-02-11,202.25,203.1,199.75,201.62,6509791,200.9534,87206
2025-02-12,199.46,203.945,196.8,202.18,7207947,201.1969,88469
2025-02-13,202.63,205.65,201.25,203.59,7198798,204.02,87126
2025-02-14,204.095,207.15,203.93,206.3,4791773,206.2573,72751
2025-02-18,205.435,207.27,202.78,204.53,5589044,204.4539,71197
2025-02-19,203.46,205.58,201.21,204.98,4572702,203.6348,62295
2025-02-20,206.57,211.06,205.66,207.95,4718396,208.472,61440
2025-02-21,210.61,213.64,209.4,210.23,6216961,211.1806,68268
2025-02-24,209.61,212.7,207.95,211.14,4878208,211.3412,50413
2025-02-25,210.9,212.14,209.45,210.41,5209638,210.3177,56738
2025-02-26,210.07,212,208.255,209.44,4746992,209.8001,61423
2025-02-27,207.94,209.99,204.145,205.71,4494222,207.0404,54816
2025-02-28,207.05,208.1,204.9401,207.76,3819051,207.2192,44564
2025-03-03,209.46,209.485,204.86,205.69,3222972,206.4035,53780
2025-03-04,205.68,208.26,202.39,205.91,5652418,205.4492,75785
2025-03-05,205.44,211.83,204.94,210.56,5137390,209.7714,67105
2025-03-06,210.72,216.15,209.66,214.81,5829595,214.2203,75534
2025-03-07,213.34,215.13,209.78,212.07,5937300,212.6364,77220
2025-03-10,209.185,211.22,204.74,205.23,5710025,206.9551,76871
2025-03-11,205.17,207.8702,202.65,205.61,4400770,205.4166,66680
2025-03-12,205.52,208.75,203.89,204.96,3316462,205.2371,48348
2025-03-13,204.06,206.82,203.2158,204.09,2456303,204.4929,43864
2025-03-14,206.13,211.92,205.11,210.74,4183075,210.2707,54074
2025-03-17,211.37,213.78,210.85,212.6,3156862,212.5204,45772
2025-03-18,213.6,213.6,210.53,212.78,2466964,212.2458,38697
2025-03-19,211.98,212.4047,208.65,210.26,4125425,210.8032,45897
2025-03-20,210.24,211.65,207.5,210.25,2651177,210.3247,41289
2025-03-21,210.73,212.56,208.39,211.36,6457728,210.9822,52239
2025-03-24,213,215.39,211.2562,212.8,3615103,212.6954,42012
2025-03-25,212.85,214.19,210.37,212.4,3077248,212.4549,44527
2025-03-26,211.06,213.77,208.59,210.41,2669424,210.533,41059
2025-03-27,210.15,212.22,207.73,210.11,2989706,210.3794,42236
2025-03-28,210.07,210.3,205.35,205.85,2389890,206.4763,43718
2025-03-31,204.46,206.13,199.15,205,3809492,203.6022,55820
2025-04-01,205,205.05,199.78,200.39,3020278,201.5616,55364
2025-04-02,199.24,205.48,199.24,205.16,2974455,203.7495,48904
2025-04-03,202.3,204.5756,197.5,197.9,5413397,199.2034,80082
2025-04-04,195.46,195.46,181.2,181.77,7117814,185.4743,103444
2025-04-07,176.415,187.35,171.92,180.62,8557888,180.0046,103630
2025-04-08,185.04,186.5,171.87,174.64,5664485,178.391,75030
2025-04-09,172.06,192.86,171,191.89,8180435,184.5674,112515
2025-04-10,192.45,192.45,175.51,180.76,6293496,180.8778,84127
2025-04-11,181.14,190.1,178.78,188.73,4764101,186.4851,74578
2025-04-14,192.89,193.95,190.39,192.97,4039313,192.6224,59581
2025-04-15,192.2,194.99,188.56,189.92,3472062,190.4013,51631
2025-04-16,192.46,195.95,189.128,190.66,3620256,191.6974,59201
2025-04-17,188.99,189.74,185.83,186.83,3667737,187.8657,52922
2025-04-21,185.28,185.64,181.94,184.96,4857563,183.7818,68699
2025-04-22,198.235,199.64,191.82,192.07,6687652,194.5585,95433
2025-04-23,200.02,205.11,196.005,196.31,6494106,199.5403,96772
2025-04-24,196.7,196.94,193.25,196.5,4453540,196.0151,52020
2025-04-25,196.645,198.28,193.95,197.14,2608685,196.8129,42205
2025-04-28,198.83,199.44,194.29,195.91,2715228,196.0827,46001
2025-04-29,196.36,199.48,195.045,198.93,3719880,198.4734,49755
2025-04-30,198.79,199.96,196.9,199.33,3729653,198.6039,51032
2025-05-01,198.38,200.32,196.28,196.71,3687497,198.1521,41347
2025-05-02,200.9,202.82,198.0826,199.05,3159166,199.503,43941
2025-05-05,198.18,200.2,196.01,197.4,1915688,198.4149,33548
2025-05-06,195.84,197.592,189.8851,190.05,4479791,192.4539,52732
2025-05-07,191.66,193.98,189.67,193.09,2903046,192.4531,44115
2025-05-08,193.81,197.77,192.62,194.82,3612564,195.5043,47198
2025-05-09,194.32,195.57,189.32,189.73,4535963,191.7781,55536
2025-05-12,193.74,200.95,192.52,200.83,7207174,197.8288,97911
2025-05-13,200.92,201.715,196.36,196.61,2648636,197.9366,50548
2025-05-14,197.3,197.63,187.46,187.82,4489178,189.6504,72492
2025-05-15,186.69,191.21,180.19,190.95,6579441,187.7253,89627
2025-05-16,191.65,196.41,189.51,196.11,3868650,194.3589,60640
2025-05-19,194.22,196.5,193.68,196.41,2724519,195.5554,49470
2025-05-20,195.66,198.16,195.435,197.77,2873250,197.1618,50844
2025-05-21,195.74,195.74,186.45,186.81,5613313,189.6536,85961
2025-05-22,185.69,188.41,184.32,187.48,3104381,186.7227,49511
2025-05-23,184.36,185.985,183.05,184.54,2814317,184.4102,51115
2025-05-27,187.6,190.16,186.99,189.18,2990613,188.9527,49053
2025-05-28,188.81,191.3,188.57,189.01,2879645,189.7689,50900
2025-05-29,191.45,192.485,188.63,190.47,2814483,190.4468,52089
2025-05-30,190,190.99,187.78,189.9,6514326,189.8204,57489
2025-06-02,188.22,190.25,187,189.23,3027727,188.9887,51640
2025-06-03,188.17,192.96,186,192.06,3526004,191.5691,47177
2025-06-04,193,195.66,192.05,193.08,2596847,194.0478,49495
2025-06-05,193.9,194.65,189.88,192.15,3096514,192.2633,46084
2025-06-06,194.34,196.65,192.9,196.02,2802240,195.9043,50095
2025-06-09,197.51,200.285,195.34,199.2,4119507,199.076,66699
2025-06-10,200.77,203.47,198.02,202.62,4626322,201.9114,75949
2025-06-11,203.07,207,202.67,204.72,4491411,204.5862,67423
2025-06-12,203.54,205.77,202.73,205.1,3661182,204.8246,51461
2025-06-13,203.55,204.27,200.43,200.67,3391439,201.9244,49821
2025-06-16,201.95,202.39,197.4495,201.11,3143427,200.854,49140
2025-06-17,199,200.28,195.37,195.75,2968766,196.9609,48510
2025-06-18,195.4,197,193.12,194.44,3236286,195.2905,54972
2025-06-20,196.53,196.6,194.22,196.39,6590936,195.5855,46282
2025-06-23,195.25,197,192.88,196.34,3943216,195.7169,49417
2025-06-24,197.35,198.725,195.945,197.47,2739862,197.3063,46283
2025-06-25,196.895,201.37,195.7,201,4379798,199.2939,61401
2025-06-26,201.98,205.61,200.6,201.46,5685505,202.2808,72818
2025-06-27,202.05,203.5,197.7,198.8,5619708,199.3459,59628
2025-06-30,198.92,200.45,196.02,197.54,4537447,197.8572,62890
2025-07-01,196.99,205.04,196.38,201.1,3976362,201.6417,68503
2025-07-02,202.18,203.3953,199.3,202.5,3503741,201.7159,54720
2025-07-03,203.3,204.295,202.355,203.2,1390834,203.1304,26657
2025-07-07,202.05,202.5,198.655,199.63,2388405,200.1418,46548
2025-07-08,199.18,204.61,198.98,200.68,4225610,200.9038,61180
2025-07-09,200.99,202.215,197.12,200.96,2050837,199.9382,41026
2025-07-10,201.41,208.15,200.59,205.51,3088283,205.7121,52308
2025-07-11,205.51,205.81,203.51,204.85,2369231,204.9391,43937
2025-07-14,200,200.06,194.89,197.75,4925428,198.536,77107
2025-07-15,199.41,200,192.38,192.86,4522247,194.5394,65649
2025-07-16,193.39,194.28,191.15,193.3,2662400,192.9569,46287
2025-07-17,193.88,195.09,192.42,194.79,3064883,194.0816,50244
2025-07-18,195.66,196.195,189.08,190.05,4240600,190.7944,60424
2025-07-21,189.89,190.33,187.55,188.07,5898554,188.9659,83666
2025-07-22,186.75,196.33,185.5,189.91,7053268,189.2069,107677
2025-07-23,200.515,201.73,194.8103,197.89,6374511,197.8157,88735
2025-07-24,198.01,204.68,198.01,202.81,7411441,202.9402,106280
2025-07-25,203.53,206.39,202.66,205.48,5355733,205.2616,76738
2025-07-28,204.2,206.0375,202.23,202.94,5160223,203.9873,74939
2025-07-29,203.1,207.53,202,206.85,4973413,206.0392,72794
2025-07-30,206.94,207.47,203.075,203.99,5693152,205.0549,80244
2025-07-31,201.5,204.02,196.8,197.16,6060857,199.7583,91078
2025-08-01,195.33,197.16,192.26,197.09,5736723,195.3916,87989
2025-08-04,196,197.685,194,197.46,3176924,196.6669,50301
2025-08-05,197.38,200.65,196.5,199.04,4001127,199.0081,55139
2025-08-06,198.6,199.05,194.15,195.17,5123122,196.1513,76533
2025-08-07,197.1,199.08,195.55,198.49,2670142,197.9585,46251
2025-08-08,198.49,200.7424,197.2501,200.56,2963139,199.1922,49187
2025-08-11,200.84,202.2,199.16,199.76,2566302,199.9031,41932
2025-08-12,200.17,205.88,199.66,205.72,2830129,204.9155,46170
2025-08-13,206.035,209.32,206.035,209.14,3241681,208.3297,53576
2025-08-14,208.74,210.47,207.1623,210.22,2634524,209.4946,43733
2025-08-15,212.02,212.395,209.83,210.93,3210474,210.9491,48091
2025-08-18,211,212.15,208.7,209.01,2860239,210.0997,40613
2025-08-19,209.745,213.06,208.8664,212.2,4851334,212.0532,63059
2025-08-20,212.2,214.01,210.79,211.4,3302571,211.5625,52568
2025-08-21,210.32,210.71,203.89,203.9,3172772,205.6916,54735
