date,open,high,low,close,volume
2024-06-03,145.35,145.655,142.46,143.04,1196176.0
2024-06-04,142.93,146.05,141.94,145.12,1403919.0
2024-06-05,145.65,147.38,144.68,147.36,1047210.0
2024-06-06,147.3,147.51,146.18,147.12,807573
2024-06-07,145.27,147.21,144.76,146.35,1070138.0
2024-06-10,146.25,149.46,145.36,149.09,1506778.0
2024-06-11,148.89,150.51,148.4343,149.88,1337616.0
2024-06-12,152.97,153.02,149.07,149.59,1748242.0
2024-06-13,150.68,151.15,149.42,149.76,1496252.0
2024-06-14,149.11,150.85,148.5801,149.92,974278
2024-06-17,149.06,150.55,148.5,149.01,1192236.0
2024-06-18,150.35,151.14,149.38,149.56,1095749.0
2024-06-20,149.28,150.61,147.695,147.89,1315063.0
2024-06-21,148.225,148.5,145.91,148.35,3589364.0
2024-06-24,148.73,150.93,146.84,147.01,1502578.0
2024-06-25,146.96,147.4693,145.295,146.44,1218783.0
2024-06-26,147.5,148.42,145.93,146.89,1748629.0
2024-06-27,147.57,150.29,146.91,148.72,1660919.0
2024-06-28,150.43,153.25,150.25,152.05,3406272.0
2024-07-01,151.95,152.93,150.61,152.13,1483900.0
2024-07-02,152.18,153.78,151.92,152.91,1162857.0
2024-07-03,153.38,154.06,151.7,151.71,879721
2024-07-05,151.8,152.515,150.35,151.44,1261809.0
2024-07-08,151.49,153.99,151.43,153.66,1149357.0
2024-07-09,153.75,154.13,151.61,153.3,1080441.0
2024-07-10,154,155.78,153.26,155.63,1459771.0
2024-07-11,157.7,160.46,157.01,157.73,1678382.0
2024-07-12,158.55,159.57,158.05,158.35,1284221.0
2024-07-15,158.93,159.7,157.54,159.5,943399
2024-07-16,160.39,162.58,159.2712,162.33,1192944.0
2024-07-17,161.24,162.33,156.18,156.83,2012370.0
2024-07-18,156.37,157.22,154.23,154.6,1414604.0
2024-07-19,155.66,155.98,154.21,155.17,1168831.0
2024-07-22,155.33,156.6799,154.1,155.56,1347930.0
2024-07-23,155.18,156.725,154.87,155.09,1128317.0
2024-07-24,154.75,155.61,151.49,151.66,1568091.0
2024-07-25,151.65,151.86,146.14,147.37,2490088.0
2024-07-26,142.86,146.4,141,145.65,3204947.0
2024-07-29,145.63,147.5,144.57,147.19,1628374.0
2024-07-30,147.49,147.56,144.06,145.04,1699619.0
2024-07-31,147.52,150.99,146.905,149.49,3344199.0
2024-08-01,150.26,153.1923,150.26,152.29,2019968.0
2024-08-02,151.75,152.9,148.235,150.84,1642273.0
2024-08-05,147.52,150.13,144.18,144.47,2320863.0
2024-08-06,144.88,150.75,144.07,148.63,1378882.0
2024-08-07,149.07,151.83,146.86,147.14,1210753.0
2024-08-08,147.45,149.97,147.31,149.66,1160716.0
2024-08-09,149.96,150.76,148.38,150.12,803426
2024-08-12,149.78,150.23,147.09,148.75,1105770.0
2024-08-13,149.99,150.4849,149.08,149.57,1435832.0
2024-08-14,149.85,152.84,149.5789,151.18,1202288.0
2024-08-15,151.12,151.9,148.69,149.86,1504735.0
2024-08-16,149.4,150.57,148.76,149.6,1257764.0
2024-08-19,149.24,150.7,148.05,148.62,1400934.0
2024-08-20,148.77,149.33,147.91,149.1,1041069.0
2024-08-21,149.06,150.37,148.65,149.76,1480067.0
2024-08-22,150.04,151.26,149.43,150.69,874883
2024-08-23,151.18,152.74,150.18,152.18,1604181.0
2024-08-26,152.9,153.5,150.02,150.59,925397
2024-08-27,149.14,151.14,148.8075,150.61,1076934.0
2024-08-28,150.61,151.595,149.27,150.11,1096356.0
2024-08-29,149.74,150.85,148.68,149.5,1148085.0
2024-08-30,150.36,152.1,149.31,151.61,3050948.0
2024-09-03,150.36,150.97,149.14,149.79,1605440.0
2024-09-04,150.14,150.47,147.3,149.09,1233831.0
2024-09-05,149.1,150.08,148.15,149.91,1299747.0
2024-09-06,149.99,150,147.21,148.22,1741665.0
2024-09-09,148.03,149.65,147.7,149.34,1499779.0
2024-09-10,150.11,157.11,150.025,156.76,1794896.0
2024-09-11,155.4,158.835,154.54,158.42,1922811.0
2024-09-12,158.48,160.52,157.67,160.49,1372422.0
2024-09-13,160.45,160.83,158.29,158.93,1466992.0
2024-09-16,159.46,161.385,158.74,160.87,1467818.0
2024-09-17,160.74,161.61,157.19,157.58,1824720.0
2024-09-18,157.87,159.9,156.56,158.25,1515278.0
2024-09-19,160,160.34,157.45,158.9,1803184.0
2024-09-20,157.38,160.34,157.15,158.7,7232250.0
2024-09-23,159.74,161.91,159.19,160.96,1651656.0
2024-09-24,160.61,163.31,159.92,162.13,1680131.0
2024-09-25,163.17,165.17,162.23,162.9,1675414.0
2024-09-26,165,165,161.235,162.06,1459478.0
2024-09-27,163.24,163.24,161.09,161.16,1549241.0
2024-09-30,160.29,162.13,159.47,161.83,2220697.0
2024-10-01,162.85,162.85,159.08,160.27,1345954.0
2024-10-02,158.68,160.18,158.205,159.6,1361111.0
2024-10-03,160.03,160.49,156.965,157.3,1199155.0
2024-10-04,157.29,157.84,155.6,157,1120926.0
2024-10-07,155.8,156.7084,155.16,156.47,988227
2024-10-08,157.13,158.72,155.71,158.28,954015
2024-10-09,158.5,159.31,157.51,159.13,822582
2024-10-10,158.36,160.16,158.23,158.85,881103
2024-10-11,159.05,160.8,158.86,160.73,1346362.0
2024-10-14,161.07,162.88,160.32,161.98,1371936.0
2024-10-15,163.07,164.6,160.84,161.21,2637220.0
2024-10-16,161,162.67,160.525,162.13,1307701.0
2024-10-17,161.51,164.25,160.79,163.69,1178433.0
2024-10-18,164.01,165.65,163.47,165.38,986022
2024-10-21,164.44,165.6,163.42,165.2,1891317.0
2024-10-22,164.61,166.29,164.13,165.25,1540344.0
2024-10-23,165.1,166.57,164.96,165.8,1240818.0
2024-10-24,166.54,166.6,164.5,165.13,1479829.0
2024-10-25,184.46,193.88,180.36,181.01,6093376.0
2024-10-28,182,185.17,181.27,183.31,2698019.0
2024-10-29,183,185.32,182.39,182.8,2154159.0
2024-10-30,183.21,184.63,181.13,182.17,2079285.0
2024-10-31,180.75,181.7,178.09,178.23,2014460.0
2024-11-01,178.06,179.48,174.96,176,1517369.0
2024-11-04,175.94,177.49,175.06,177.32,1269974.0
2024-11-05,177.46,181.12,176.4,181.02,1404186.0
2024-11-06,177,178.27,171.25,173.62,4619703.0
2024-11-07,174.1,179.71,173.8,178.47,3991591.0
2024-11-08,179.74,183.35,179.245,181.98,2229733.0
2024-11-11,182.2,184.29,181.76,182.85,2015857.0
2024-11-12,183,184.2,180.39,180.79,1935990.0
2024-11-13,181.96,182.03,178.05,178.13,1862864.0
2024-11-14,178.83,179.09,177.368,178.21,2127469.0
2024-11-15,177.5,180.87,177.01,179.67,2998646.0
2024-11-18,179.4,183.48,178.9842,183.29,2316475.0
2024-11-19,183.39,187.485,182.5,187.27,1657754.0
2024-11-20,185.54,186.13,183.5553,185.91,1433841.0
2024-11-21,186.4,188.17,185.03,187.37,1886363.0
2024-11-22,188.72,190.91,188.35,189.84,2526522.0
2024-11-25,191.5,193.29,191.01,192.82,4657089.0
2024-11-26,192.62,194.31,191.19,194.02,1962696.0
2024-11-27,195.41,195.93,194.02,195.28,1719249.0
2024-11-29,195.93,198,195.5,195.69,1492298.0
2024-12-02,194.85,195.38,191.29,192.16,2293854.0
2024-12-03,192.4,192.88,190.71,191.07,1186598.0
2024-12-04,192.1,192.1,190.0601,190.84,1506289.0
2024-12-05,189.7,191.13,188.55,191.08,1507514.0
2024-12-06,192.12,192.8,190.21,192.69,2073824.0
2024-12-09,193.48,194.22,186.91,188.17,2309553.0
2024-12-10,188,188.672,185.2,185.71,1865963.0
2024-12-11,186.69,188.43,186.165,187.22,1836416.0
2024-12-12,186.88,189.21,186.5,187.13,2061173.0
2024-12-13,186.78,187.35,184.915,185.04,1566862.0
2024-12-16,185.22,187.8,184.9,185.47,1258087.0
2024-12-17,184.4,186.37,183.48,185,1507994.0
2024-12-18,184.76,185.27,176.66,176.96,2407587.0
2024-12-19,177.52,180.7,176.31,176.81,2977405.0
2024-12-20,176.81,181.47,175.78,178.57,4801685.0
2024-12-23,178.69,179.12,176.55,178.47,2167104.0
2024-12-24,178.37,180.4,177.95,180.4,683745
2024-12-26,179.19,179.9899,178.5,179.5,693638
2024-12-27,178.22,179.615,177.33,178.14,822874
2024-12-30,176.47,177.0016,174.46,176.22,1027680.0
2024-12-31,178.33,178.5,176.0955,177.33,1434049.0
2025-01-02,177.69,178.88,176.06,177,1286112.0
2025-01-03,178.11,181.98,177.835,181.74,1574307.0
2025-01-06,181.94,183.77,179.24,179.6,2021310.0
