date,open,high,low,close,volume
2024-06-03,118.16,118.38,114.33,115.23,4058266.0
2024-06-04,115.63,117.06,114.68,116.71,2904439.0
2024-06-05,116.77,120.48,116.06,118.08,3873946.0
2024-06-06,117.5,118.175,114.2,115.3,3509857.0
2024-06-07,114.73,116.58,114.2416,115.79,3009534.0
2024-06-10,115.05,116.9599,114.62,116.57,2298436.0
2024-06-11,116.92,118.12,115.72,116.9,2223270.0
2024-06-12,116.6,118.8,115.96,117.2,2385508.0
2024-06-13,115.16,116.33,113.67,113.81,2064703.0
2024-06-14,113.55,116.01,113.23,115.95,1813855.0
2024-06-17,115.18,117.91,114.65,116.53,3379666.0
2024-06-18,116.53,117.49,116.13,116.64,2192895.0
2024-06-20,116.94,117.12,115.49,116.07,1875319.0
2024-06-21,117.18,117.27,114.22,116.64,7133365.0
2024-06-24,116.41,116.6,109.7505,110.57,4690341.0
2024-06-25,111.36,111.82,108.71,110.31,4093632.0
2024-06-26,110.28,113.83,110.16,113.51,2543965.0
2024-06-27,112.69,114.97,112.49,114.54,2473875.0
2024-06-28,114.29,114.58,111.86,113.38,5429492.0
2024-07-01,113,115.295,111,112.17,2583626.0
2024-07-02,112.17,113.08,111,112.49,1778550.0
2024-07-03,112.4,112.49,109.81,110.91,1353061.0
2024-07-05,111.17,113.83,110.03,113.69,1347262.0
2024-07-08,113.5,113.5,110.63,110.97,1648272.0
2024-07-09,111.32,111.5185,110.44,110.84,1291141.0
2024-07-10,110.84,111.29,109.42,110.79,2151162.0
2024-07-11,111.125,113.7999,110.8,112.66,2013224.0
2024-07-12,112.65,115.34,111.67,114.06,2300403.0
2024-07-15,113.54,114.77,112.05,113.01,1922836.0
2024-07-16,112.93,116.12,112.08,116.06,2520629.0
2024-07-17,116.04,117.19,114.58,114.61,2562757.0
2024-07-18,114.49,116.345,110.65,110.7,2848504.0
2024-07-19,111.73,112.155,110.04,111.66,2274469.0
2024-07-22,112.76,113.25,110.75,111.65,1728965.0
2024-07-23,111.65,113.28,110.441,112.13,2370361.0
2024-07-24,111.97,113.08,110,111.94,3614773.0
2024-07-25,111.17,112.55,107.56,107.85,11417975.0
2024-07-26,66,67.44,62.34,64,53914127.0
2024-07-29,65.03,68.93,64.1701,67.48,18397278.0
2024-07-30,68.54,70.8,67.82,69.7,15509806.0
2024-07-31,69.9,70.88,67,67.82,11128852.0
2024-08-01,68.15,71.23,68.11,70.32,11193750.0
2024-08-02,69.45,72.61,68.91,72.3,7633973.0
2024-08-05,69.16,75.1498,68.81,72.43,10692291.0
2024-08-06,72.92,77.32,72.69,75.25,9063692.0
2024-08-07,72.0054,73.31,69.07,69.32,10012543.0
2024-08-08,69.8,71.76,69.795,71.5,5554353.0
2024-08-09,71.56,72.34,69.62,69.76,3933835.0
2024-08-12,69.76,72.12,69.01,71.27,3348449.0
2024-08-13,71.01,72.15,70.37,71.02,5309438.0
2024-08-14,70.4,71.02,69.655,70.05,5101958.0
2024-08-15,70.97,72.46,69.9,72.36,4827378.0
2024-08-16,72.57,74.73,72.51,74.65,3122863.0
2024-08-19,74.78,77.77,74.5,77.69,3645990.0
2024-08-20,76,77.58,72.39,72.85,7704715.0
2024-08-21,73.75,73.75,72.15,73.2,4152511.0
2024-08-22,73.67,74.56,72.18,72.28,3570087.0
2024-08-23,72.35,75.195,72.08,74.07,3358127.0
2024-08-26,73.66,75,73.51,73.67,2570091.0
2024-08-27,74.14,74.31,71.95,72.24,3458221.0
2024-08-28,72.06,72.22,70.31,70.48,4090379.0
2024-08-29,71.15,71.5,69.45,69.62,3876367.0
2024-08-30,70,70.43,68.99,69.34,4614225.0
2024-09-03,68.91,73.28,68.91,72.36,5226589.0
2024-09-04,71.45,71.71,69.33,69.82,4308057.0
2024-09-05,69.655,69.8,67.52,69.05,4701197.0
2024-09-06,69.24,69.27,66.95,68.61,3698941.0
2024-09-09,68.87,71.56,68.74,69.71,3632786.0
2024-09-10,69.83,70.01,68.06,68.55,2559305.0
2024-09-11,68.38,68.56,66.86,68.47,3962477.0
2024-09-12,68.47,69.3,67.3441,68.82,3595249.0
2024-09-13,68.97,69.9,68.14,69.51,2615490.0
2024-09-16,70.42,71.52,69.93,70.09,4171770.0
2024-09-17,69.99,70.97,68.59,68.94,5084246.0
2024-09-18,69.4,70.63,69.08,69.46,3421445.0
2024-09-19,70.88,72.34,70.2671,71.92,4184210.0
2024-09-20,71.91,71.91,69.71,70.43,7711855.0
2024-09-23,70.47,70.92,69.61,69.7,3301829.0
2024-09-24,69.86,69.9999,68.5544,68.66,3242519.0
2024-09-25,68.61,68.68,66.32,66.73,4131292.0
2024-09-26,67,67.71,66.33,67.53,3295219.0
2024-09-27,68.3,68.6,67.14,67.29,4237583.0
2024-09-30,67.77,68.27,66.495,67.04,4106205.0
2024-10-01,67.39,67.39,65.29,66,3937864.0
2024-10-02,65.7,67.19,64.76,67.1,3771585.0
2024-10-03,66.82,67.1499,65.58,65.68,3457495.0
2024-10-04,66.45,68.99,66.22,68.11,6336526.0
2024-10-07,68.1,69.5717,67.81,68.62,3605425.0
2024-10-08,68.86,69.63,68.57,69.43,3944442.0
2024-10-09,69.17,69.725,68.83,69.62,2625079.0
2024-10-10,69.16,70,68.57,69.56,4719426.0
2024-10-11,69.98,70.02,69.06,69.21,3942344.0
2024-10-14,69.81,69.81,68.19,69.18,3482918.0
2024-10-15,69,69.09,67.04,67.1,5620116.0
2024-10-16,67.59,69.96,67.585,69.9,4703733.0
2024-10-17,69.9,70.4,69.2033,69.55,3801182.0
2024-10-18,69.5,72.4,69.26,72.38,3695232.0
2024-10-21,71.87,73.79,71.81,72.61,3233057.0
2024-10-22,72.1,73.12,71.84,73.08,2777881.0
2024-10-23,72.32,73.23,72.2,72.48,4293271.0
2024-10-24,73.21,75.13,73.03,74.85,9945217.0
2024-10-25,73.4,76.06,70.88,73.44,14562597.0
2024-10-28,73.48,74.6,71.6,72.1,5566362.0
2024-10-29,72.25,72.58,70.88,72.24,4164505.0
2024-10-30,72.1,72.56,71.09,71.8,3566753.0
2024-10-31,71.5,71.61,69.74,70.48,4043935.0
2024-11-01,70.1,71.09,69.88,70.35,2735060.0
2024-11-04,70.88,71.01,69.65,69.7,3058490.0
