date,open,high,low,close,volume
2024-06-03,112.69,112.79,108.67,109.03,2870468.0
2024-06-04,108.28,108.88,106.5,106.87,3013056.0
2024-06-05,107.49,108.33,107.04,108.28,2030321.0
2024-06-06,108.36,108.53,105.8,105.97,2385045.0
2024-06-07,106.15,108.13,105.8691,107.98,3173694.0
2024-06-10,107.98,109.51,107.69,108.73,1871419.0
2024-06-11,108.2,108.54,106.64,107.61,1566522.0
2024-06-12,108.54,109.14,107.25,108.5,2109720.0
2024-06-13,108.24,108.73,107.29,108.53,1865720.0
2024-06-14,107.36,107.75,105.88,106.46,1829226.0
2024-06-17,106.52,107.41,105.7,107.37,2017405.0
2024-06-18,107.35,108.84,106.775,108.68,2078185.0
2024-06-20,108.74,108.7508,107.71,108.14,1984594.0
2024-06-21,108.25,108.61,106.69,108.41,3029264.0
2024-06-24,109.02,110.15,108.67,109.32,2043948.0
2024-06-25,109.21,109.56,107.5,107.87,2014624.0
2024-06-26,107.38,107.76,105.7,106.12,2500483.0
2024-06-27,106.5,108.32,106.2501,108.29,3473027.0
2024-06-28,108.76,111.05,108.44,110.16,4756234.0
2024-07-01,111.06,111.34,107.94,108.05,2422318.0
2024-07-02,108,109.34,107.86,109.27,2474958.0
2024-07-03,109.73,110.73,109.11,109.56,1074795.0
2024-07-05,109.42,109.9,108.27,109.46,1468588.0
2024-07-08,110.51,110.88,109.93,109.97,1511043.0
2024-07-09,109.45,110.59,109.01,109.59,1266744.0
2024-07-10,109.71,111.61,109.63,111.5,1877714.0
2024-07-11,111.77,114.29,111.45,114.15,2236238.0
2024-07-12,115.01,115.42,113.91,114.59,2082607.0
2024-07-15,114.83,117.35,114.74,116.97,2694504.0
2024-07-16,117.5,119.53,117.05,118.87,2423704.0
2024-07-17,118.35,118.75,117.14,118.25,3751271.0
2024-07-18,117.155,118.8,116.02,116.54,4303985.0
2024-07-19,117.36,117.425,114.96,115.68,2657799.0
2024-07-22,116.47,117.96,115.67,117.83,2424144.0
2024-07-23,117.52,118.67,117.115,117.62,1403333.0
2024-07-24,117.09,117.78,113.955,114.08,2151341.0
2024-07-25,114.33,116.43,113.51,114.59,2127364.0
2024-07-26,115.65,117.66,115.18,116.84,1488603.0
2024-07-29,116.9,118.07,116.36,117.8,1905010.0
2024-07-30,118.18,118.96,114.87,115.7,3039441.0
2024-07-31,117.58,118.04,116.63,117.11,2020029.0
2024-08-01,117.06,117.245,112.3,113.09,2533536.0
2024-08-02,110.94,111,107.48,109.21,3194669.0
2024-08-05,106.35,107.78,105.13,106.39,2618645.0
2024-08-06,106.82,109.364,106.44,107.78,3020284.0
2024-08-07,103.64,106,99.29,99.54,8060514.0
2024-08-08,100.85,104.86,100.46,104.61,4877074.0
2024-08-09,104.46,104.57,102.25,103.69,3644583.0
2024-08-12,103.81,103.99,102.3014,103.07,2542876.0
2024-08-13,103.65,104.31,102.96,104.1,2598641.0
2024-08-14,102.5,103.99,102.37,103.49,3920981.0
2024-08-15,105,105.47,103.73,104.29,3309702.0
2024-08-16,103.64,103.82,102.24,103.09,3416285.0
2024-08-19,103.65,104.37,102.93,103.84,1761815.0
2024-08-20,103.92,104.26,102.8,103.12,2500649.0
2024-08-21,103.24,104.69,103.09,104.02,2262020.0
2024-08-22,104.35,105.03,103.48,104.36,2419839.0
2024-08-23,105,105.77,104.03,104.64,2774436.0
2024-08-26,105.32,105.67,104.19,104.91,1773337.0
2024-08-27,104.56,104.8763,103.77,103.86,1586559.0
2024-08-28,103.84,104.79,103.48,103.91,2414830.0
2024-08-29,104.22,105.46,103.74,104.09,2953633.0
2024-08-30,104.29,105.5,103.89,105.39,3476241.0
2024-09-03,104.58,104.8,101.55,102.02,3380563.0
2024-09-04,101.75,102.4,100.23,100.86,2767412.0
2024-09-05,100.37,100.59,98.32,99.97,4207710.0
2024-09-06,99.96,100.77,97.35,98.19,2780873.0
2024-09-09,99.26,100.1514,98.9,99.58,2843072.0
2024-09-10,99.76,99.83,98.1,99.1,3004715.0
2024-09-11,98.87,100.07,96.6201,99.91,2335513.0
2024-09-12,100.24,101.6,99.1409,101.47,3728800.0
2024-09-13,102,102.73,101.5285,102.03,2156726.0
2024-09-16,102.69,103.5,102.02,102.39,2361963.0
2024-09-17,102.81,104.58,102.81,103.9,3125787.0
2024-09-18,104.18,105.4,103.41,103.68,2129816.0
2024-09-19,106.06,106.25,105.02,105.91,2748327.0
2024-09-20,105.23,105.89,104.275,105.16,8125416.0
2024-09-23,105.74,106.46,104.555,105.05,2428242.0
2024-09-24,106.25,108,106.045,106.34,2909137.0
2024-09-25,106.37,106.94,104.31,104.4,2817258.0
2024-09-26,105.64,109.16,105.48,108.9,4063239.0
2024-09-27,109.47,110.46,108.87,109.22,3174227.0
2024-09-30,108.65,109.56,108.12,109.37,2917187.0
2024-10-01,109.19,110.24,108.51,109.26,2823739.0
2024-10-02,109.26,110.99,108.95,110.47,3160440.0
2024-10-03,110.01,110.32,108.95,109.63,3236688.0
2024-10-04,111.88,111.88,109.925,111.44,2082847.0
2024-10-07,110.66,112.77,110.35,112.52,2775964.0
2024-10-08,111.45,111.62,108.57,109.42,2299541.0
2024-10-09,109.91,111.15,109.6,110.88,1531896.0
2024-10-10,110.79,111.28,109.8501,110.88,1916271.0
2024-10-11,110.96,112.71,110.955,112.06,2113290.0
2024-10-14,112.06,112.75,111.45,112.64,1201951.0
2024-10-15,112.22,112.74,109.15,109.25,2585836.0
2024-10-16,109.64,111.18,109.17,110.59,1656858.0
2024-10-17,111.27,111.27,109.87,110.45,2099137.0
2024-10-18,110.99,110.99,109.79,110.44,2124052.0
2024-10-21,110.51,110.81,109.6,110.41,2077697.0
2024-10-22,108.9,110.01,108.55,109.48,1536670.0
2024-10-23,108.72,109.58,107.91,108.51,3743837.0
2024-10-24,108.65,108.67,107.445,108.26,1845216.0
2024-10-25,108.67,109.0799,107.97,108.13,1524135.0
2024-10-28,108.36,109.29,108.15,108.66,2150948.0
2024-10-29,108.26,109.67,107.78,108.91,1979410.0
2024-10-30,108.41,109.96,108.365,109.02,2345450.0
2024-10-31,108.54,109.45,107.82,108.27,3097530.0
2024-11-01,108.3,109.37,108.05,108.46,1853615.0
2024-11-04,107.75,110.76,107.46,109.81,3434116.0
2024-11-05,115.75,119.61,115.38,117.67,7193849.0
2024-11-06,126.47,127.74,123.13,126.86,7129301.0
2024-11-07,126.2,127.38,124.46,127.19,3582430.0
2024-11-08,126.32,128.56,126.32,127.26,2748179.0
2024-11-11,126.12,130,126.12,129.2,3139197.0
2024-11-12,129.18,130.3,127.465,128.4,3086005.0
2024-11-13,129,131.56,128.8,130.16,3125272.0
2024-11-14,129.77,130.75,128.92,129,3694172.0
2024-11-15,128.46,129.12,126.53,126.78,2672017.0
2024-11-18,126.93,129.47,126.83,129.16,3399141.0
2024-11-19,127.2,129.66,127.2,129.56,2729146.0
2024-11-20,130.1,130.57,128.49,129.1,2277284.0
2024-11-21,129.03,130.1,128.07,128.27,2810270.0
2024-11-22,128.69,130.6,128.21,130.07,2212844.0
2024-11-25,130.8,133.54,130.68,132.75,5740185.0
2024-11-26,132.95,134.17,132.3,133,3254760.0
2024-11-27,132.87,133.635,131.85,132.59,1869302.0
2024-11-29,132.8,133.54,132.29,132.6,1531727.0
2024-12-02,133.5,134.05,132.61,133.77,2922011.0
2024-12-03,133.68,133.91,131.04,133.4,3092056.0
2024-12-04,133.54,134.85,133.05,134.33,2632752.0
2024-12-05,134.16,134.45,132.75,133.15,2377869.0
2024-12-06,133.53,133.77,130.84,130.98,2628216.0
2024-12-09,131.28,132.71,130.32,130.43,2859406.0
2024-12-10,129.71,130.38,128.0575,129.15,2838414.0
2024-12-11,130.56,131.29,129.89,130.87,2305620.0
2024-12-12,130.915,132,130.2471,131.16,2310598.0
2024-12-13,131.36,131.94,129.65,130.2,3097685.0
2024-12-16,129.98,130.58,128.7,130.19,3206093.0
2024-12-17,129.69,130.43,127.54,128.08,3604016.0
2024-12-18,127.63,127.724,121.88,122.38,4162798.0
2024-12-19,124.22,125.38,122.15,122.35,3272200.0
2024-12-20,121.25,124.755,121.09,124.09,10501968.0
2024-12-23,123.8,124.41,122.58,123.93,2258870.0
2024-12-24,124.1,126.3,123.81,126.23,1243270.0
2024-12-26,126.11,126.83,125.22,126.39,1530231.0
2024-12-27,125.18,126.58,124.9,125.71,1653503.0
2024-12-30,124.19,124.97,122.99,124.26,2621068.0
2024-12-31,124.28,124.91,123.5,123.93,2171591.0
2025-01-02,125.4,125.5,121.2414,122.18,1837739.0
2025-01-03,122.61,123.565,121.78,123.44,1621172.0
2025-01-06,124.13,124.6051,121.75,122.09,2311151.0
2025-01-07,122.57,123.68,119.78,120.68,2622194.0
2025-01-08,120.5,120.5,118.59,120.3,2562498.0
2025-01-10,118.44,119.1,117.22,117.94,3736104.0
2025-01-13,116.73,118.6,116.5,118.47,2185890.0
2025-01-14,119.41,120.585,118.64,119.79,2074201.0
2025-01-15,122.07,122.5,120,120.72,2405515.0
2025-01-16,120.58,123.496,120.51,123.29,2872347.0
2025-01-17,124.6,125.405,123.7,124.53,4240161.0
2025-01-21,126.23,129.6,125.6253,129.48,4432892.0
2025-01-22,131.2,131.63,129.8001,129.94,2860506.0
2025-01-23,129.74,132.06,128.9236,131.17,4078333.0
2025-01-24,131.34,131.81,130.22,130.6,2726228.0
2025-01-27,128,130,127.4,128.98,4261869.0
2025-01-28,129.61,130.76,127.3,130,3647997.0
2025-01-29,130,130.53,128.74,128.85,2188937.0
2025-01-30,129.7,131.71,129.08,130.44,2441455.0
2025-01-31,130.94,131.57,129.23,129.95,4719029.0
2025-02-03,126.87,129.09,126.24,127.85,3850912.0
2025-02-04,129.05,129.95,127.41,127.69,3209934.0
2025-02-05,127.03,127.05,122.37,124.76,4814898.0
2025-02-06,126.08,128,125.02,127.48,3931559.0
2025-02-07,128.24,128.24,123.79,124.37,3012387.0
2025-02-10,125.62,126.8,124.85,126.75,2444489.0
2025-02-11,126.15,127.08,125.5,126.91,1920598.0
2025-02-12,124.71,125.62,123.9,124.5,2078023.0
2025-02-13,124.52,125.3525,123.93,125.3,1951803.0
2025-02-14,125.27,125.5,123.08,123.34,2151901.0
2025-02-18,124.3,125.6899,123.58,125.01,2296124.0
2025-02-19,124.3,124.55,122.94,124.43,1781258.0
2025-02-20,124.45,124.8,122.96,124.75,1438913.0
2025-02-21,124.95,125.22,120.89,121.85,2334382.0
2025-02-24,122.03,122.275,119.89,120.68,2758809.0
2025-02-25,119.47,120.97,118.23,119.72,2529171.0
2025-02-26,120.58,121.4,119.64,119.86,2173593.0
2025-02-27,120.37,122.13,119.89,120,2575410.0
2025-02-28,120.14,121.83,119.12,121.61,2590561.0
2025-03-03,122.84,123.03,116.4,117.17,2585557.0
2025-03-04,115.12,116.67,112.63,114.03,4194619.0
2025-03-05,114.74,116.6,113.69,115.84,2853847.0
2025-03-06,114.52,116.87,113.59,116.34,3488631.0
2025-03-07,115.33,118.9,114.9435,118.61,3986837.0
2025-03-10,113.1,115.15,110.8,111.83,5156081.0
2025-03-11,112.13,112.24,109.02,110.72,5095008.0
2025-03-12,112.46,113,110.4,110.84,2263698.0
2025-03-13,110.56,111.58,108.68,109.2,2256863.0
2025-03-14,110.9,112.15,110.03,111.93,2058296.0
2025-03-17,112.1,114.32,111.41,113.59,2616866.0
2025-03-18,112.85,113.31,111.0445,111.85,2724831.0
2025-03-19,111.89,112.95,110.9,112.39,4095399.0
2025-03-20,110.87,112.209,109.72,111.8,3573702.0
2025-03-21,110.66,113.13,109.93,113.11,9228904.0
2025-03-24,114.59,115.7,114.3,115.37,2781902.0
2025-03-25,115.61,116.246199,114.58,115.3,1656166.0
2025-03-26,115,116.11,113.03,113.59,1986316.0
2025-03-27,113.6,113.61,111.32,112.08,2719235.0
2025-03-28,111.57,111.85,108.1,108.64,3085436.0
2025-03-31,107.97,110.25,106.499,109.64,3372702.0
2025-04-01,109.35,110.395,108.18,110,2490601.0
2025-04-02,108.34,111.99,108.26,111.54,2036458.0
2025-04-03,105.99,107.22,101.45,101.89,3730368.0
2025-04-04,97.05,97.31,92.23,94.57,5816522.0
2025-04-07,94,99.91,90.0553,96.97,6936845.0
2025-04-08,99.89,100.445,91.94,94.15,4820033.0
2025-04-09,93.29,105.07,92.36,104.43,4978078.0
2025-04-10,101.53,102.32,96.01,99.73,3565956.0
2025-04-11,99.19,101.35,97.61,100.49,3621147.0
2025-04-14,102.16,102.16,99.7436,101.04,3387971.0
2025-04-15,100.86,101.6429,99.88,100.44,2972896.0
2025-04-16,99.52,100.36,97.7198,98.67,2460362.0
2025-04-17,99.2,101.0479,99.2,99.57,2879178.0
2025-04-21,97.89,98.54,95.31,96.42,2721637.0
2025-04-22,97.65,100.11,97.605,99.79,2797670.0
2025-04-23,103.31,106.79,100.79,101.07,3838128.0
2025-04-24,101.05,105.235,100.69,105.05,2762752.0
2025-04-25,104.62,105.97,104.52,105.28,2636092.0
2025-04-28,105.12,106.295,103.42,104.5,2676572.0
2025-04-29,104.31,105.4,103.8,105.09,1635313.0
2025-04-30,103.89,105.33,102.84,105.11,3842208.0
2025-05-01,105.64,107.02,104.52,105.81,2687189.0
2025-05-02,108,109.39,106.51,108.32,2569992.0
2025-05-05,107.1,109.25,106.74,108.38,2551561.0
2025-05-06,107.06,108.555,106.53,107.27,4424879.0
2025-05-07,114.96,115,108.37,109.86,5066125.0
2025-05-08,110.52,113.44,109.5272,112.38,3481469.0
2025-05-09,113.26,113.54,112,112.55,2581418.0
2025-05-12,118.73,120.14,117.01,119.41,4028434.0
