date,open,high,low,close,volume,vwap,transactions
2024-10-01,120.81,127.25,120.55,126.96,3539894,126.0936,63168
2024-10-02,129.21,129.35,126.53,128.33,2636674,127.7381,51566
2024-10-03,128.66,131.045,127.57,130.79,2606333,130.3048,51424
2024-10-04,132,133.26,131.03,133.12,2720440,132.5472,49519
2024-10-07,133.25,135.5,133.12,134.24,2887667,134.5829,52372
2024-10-08,132.5,132.59,129.33,130.37,2566524,130.2952,45709
2024-10-09,130.38,131.35,129.43,130.96,2233884,130.7222,38397
2024-10-10,131.87,132.61,130.34,132.19,1637397,132.0263,35620
2024-10-11,131.68,133.575,131.56,132.45,1460830,132.6989,32284
2024-10-14,131.37,132.06,130.81,131.47,1702098,131.4026,32213
2024-10-15,127.93,128.845,126.78,127.28,2949248,127.8218,55094
2024-10-16,127.37,127.99,126.98,127.36,1939414,127.4811,37921
2024-10-17,126.84,127.585,126.19,127.04,2975622,126.8735,48246
2024-10-18,126.67,127,125.455,126.62,2990804,126.3683,38355
2024-10-21,127.85,128.11,125.57,125.71,2403001,126.27,41303
2024-10-22,126.24,126.52,124.98,125.07,1709488,125.6135,35562
2024-10-23,124.9,125.155,123.73,124.73,1639690,124.5052,35463
2024-10-24,125.18,125.49,123.63,124.44,1927854,124.3543,33261
2024-10-25,125.28,125.735,122.58,123.17,3050759,123.6382,54968
2024-10-28,119.75,122.64,119.3646,122.07,2390494,121.9084,44177
2024-10-29,122.07,122.08,120.31,120.49,2207256,120.7101,37934
2024-10-30,121.47,121.47,120.35,120.52,2467068,120.7166,38379
2024-10-31,121.53,122.57,120.56,121.96,2999232,121.7356,51626
2024-11-01,122.84,122.9745,120.34,120.84,2256118,121.2165,44418
2024-11-04,122.03,123.45,121.51,122.93,1702083,122.8178,36967
2024-11-05,123.23,123.5404,121.51,122.11,3282306,122.3644,42221
2024-11-06,125.56,128.74,124.71,127.2,3516659,127.2055,60345
2024-11-07,127.2,127.6,124.87,126.46,2309345,126.3232,43854
2024-11-08,131.635,134.98,128.2,134.12,5335478,133.0165,80881
2024-11-11,133.48,135.09,132.39,133.1,2987686,133.3169,49685
2024-11-12,133.1,133.82,132.71,133.13,2757183,133.092,45914
2024-11-13,134.04,134.755,132.06,134.35,3578916,134.1158,42578
2024-11-14,135,135.4,133.2551,135.19,2545833,134.5687,42348
2024-11-15,135.01,136.85,134.05,134.56,2279909,134.8094,43254
2024-11-18,136.32,137.21,135.11,136.54,3060757,136.5323,45719
2024-11-19,135.33,136.76,134.84,135.18,2903442,135.3829,39251
2024-11-20,134.68,136.46,134.655,136.23,2063051,135.8527,39210
2024-11-21,136.92,137.72,135.19,135.5,2875444,136.1501,49736
2024-11-22,135,136.84,134.84,136.35,2545809,136.3208,43122
2024-11-25,136.39,137.2,131.7,131.98,5440294,132.7541,53035
2024-11-26,132.29,133.08,131.105,132.54,3129891,132.2148,51269
2024-11-27,132.75,134.61,132.74,133.09,2004145,133.3453,33786
2024-11-29,133.5,134.67,132.53,133.26,1837737,133.3293,28473
2024-12-02,133.5,133.715,130.24,131.24,2835137,131.1854,41871
2024-12-03,132.38,132.69,130.22,131.8,2362149,131.8053,38676
2024-12-04,131.64,131.89,128.38,129.53,3222456,129.3505,50238
2024-12-05,129.88,131.85,129.6385,130.02,2623872,130.292,42931
2024-12-06,129.11,129.74,126.31,127.81,2928012,127.5868,51155
2024-12-09,129.29,129.55,127.63,127.85,3046982,128.5326,51798
2024-12-10,128.78,129.36,126,126.61,3440491,127.5545,54281
2024-12-11,126.65,128.11,126.09,127.56,5778576,127.3662,51829
2024-12-12,127.45,127.58,126.325,126.57,2169587,126.8474,38332
2024-12-13,126.58,127.21,125.32,126.77,1878838,126.5885,38552
2024-12-16,126.2,126.88,124.19,124.62,2898651,125.027,48888
2024-12-17,123.94,124.845,121.765,123.15,3820108,122.816,66402
2024-12-18,123.15,123.78,119.54,119.63,4507103,121.2542,62724
2024-12-19,120.69,121.075,118.13,118.22,3589764,118.7119,55049
2024-12-20,117.62,119.92,117.51,119.04,10044350,119.0138,54580
2024-12-23,118.66,120.24,118.09,119.85,2554632,119.363,44097
2024-12-24,120.16,120.98,119.1,120.83,1325818,120.3435,21340
2024-12-26,120.9,120.98,120.19,120.41,2104006,120.5146,30266
2024-12-27,120.1,121.72,119.84,120.4,2048392,120.6639,36906
2024-12-30,120.71,121.32,119.48,120.58,3197082,120.5265,44263
2024-12-31,120.89,122.82,120.55,122.58,3302510,122.1498,51412
2025-01-02,124,125.61,123.55,124.71,2920565,124.7518,49582
2025-01-03,125.62,126.9388,125.22,126.57,3012049,126.4004,43368
2025-01-06,127,128.51,126.085,126.39,2678483,127.0285,47729
2025-01-07,126.98,128.6,126.4293,127.56,2766949,127.7275,42003
2025-01-08,127.74,128.885,126.905,128.46,3052946,128.2059,44778
2025-01-10,131.28,134.84,130.05,131.41,4882870,131.7621,71720
2025-01-13,131.91,135.92,131.67,134.49,5523612,134.5879,75469
2025-01-14,133.72,135.975,133.7,135.77,3223814,135.1776,52331
2025-01-15,135.92,137.215,135.07,137.06,2530010,136.3124,43663
2025-01-16,136.28,138.18,136.2,138.05,2712697,137.5787,47220
2025-01-17,136.85,137.86,136.1,136.58,2839004,136.7696,39428
