date,open,high,low,close,volume
2024-06-03,253.38,253.99,246.71,248.62,1409883.0
2024-06-04,248,248.33,244.26,245.95,1253621.0
2024-06-05,247.9,248.335,244.47,248.05,930390
2024-06-06,248.05,251.29,247.31,250.27,1171199.0
2024-06-07,247.96,251.37,247.145,247.73,1281900.0
2024-06-10,247,254.21,245.915,253.72,1475471.0
2024-06-11,252.16,252.5875,249.9,252.43,1176868.0
2024-06-12,253.38,254.3,248.13,248.6,1555991.0
2024-06-13,249.14,249.5,244.26,248.6,1015640.0
2024-06-14,246.55,247.91,242.92,246.43,1245761.0
2024-06-17,245.54,250.47,244.85,250.06,1248643.0
2024-06-18,250.2,252.41,247.6,248.09,1506100.0
2024-06-20,248.76,253.3499,248.465,252.52,1488600.0
2024-06-21,252.98,255.89,251.6101,253.66,3145207.0
2024-06-24,253.98,257.3085,253.14,256.51,1897242.0
2024-06-25,256.15,256.8,252.6001,256.38,6309559.0
2024-06-26,288.425,296.86,284,296.19,11126144.0
2024-06-27,293.12,295.85,288.41,295.47,3989167.0
2024-06-28,293.9,302.4084,293.44,299.84,4278920.0
2024-07-01,298.12,301.28,297.21,298.68,2442072.0
2024-07-02,296.49,301.21,296.49,298.22,1834588.0
2024-07-03,299.24,299.5,292.655,293.71,1274326.0
2024-07-05,293.71,294.97,292.07,294,1480190.0
2024-07-08,294.51,297.8936,293.615,295.53,1532993.0
2024-07-09,296,296.84,292.52,292.73,1252354.0
2024-07-10,292.73,293.66,289.46,293.27,1466553.0
2024-07-11,294.99,300.94,294.675,299.54,1860782.0
2024-07-12,298.56,301.01,297.68,299.02,1445706.0
2024-07-15,300.46,305.59,299.06,305.02,2068704.0
2024-07-16,305.84,313.84,305.775,313.52,2812578.0
2024-07-17,310.43,313.6691,308.1,310.43,1588345.0
2024-07-18,308.98,313.16,305.64,306.62,1603002.0
2024-07-19,306.62,308.73,304.02,306.31,1294627.0
2024-07-22,307,307.74,301.4,307.43,1414201.0
2024-07-23,299,304.0875,297.75,300.8,2268483.0
2024-07-24,300.81,300.81,296.58,298.28,1541125.0
2024-07-25,298.29,303.29,298.01,298.59,1262657.0
2024-07-26,299.85,302.18,297.47,300.14,1200882.0
2024-07-29,300.32,301.97,298.06,299.23,865086
2024-07-30,299.96,303,299.305,300.88,1038532.0
2024-07-31,301.05,305.61,300.8812,302.25,947414
2024-08-01,303.22,305.8721,296.29,297.83,1532574.0
2024-08-02,292.98,294.54,287.73,292.3,2252729.0
2024-08-05,284.61,289.18,279.6,283.09,2684030.0
2024-08-06,284.8,289.7,282.57,285.73,1424722.0
2024-08-07,289,289,277.06,278.13,1790974.0
2024-08-08,279.12,281.8,276.465,278.62,1573352.0
2024-08-09,277.44,277.97,274.15,277.41,1256175.0
2024-08-12,279.21,281.41,277.49,279.15,1247323.0
2024-08-13,280.23,283.39,279.2,283.1,1232043.0
2024-08-14,283.31,285.03,282.815,283.33,768241
2024-08-15,287.3,291.7,282.64,284.18,1292881.0
2024-08-16,284,285.55,279.15,285.4,1318335.0
2024-08-19,285.88,288.87,285.5235,288.42,804192
2024-08-20,287.99,289,286.46,288.44,591742
2024-08-21,290.76,292.625,289.29,291.52,787399
2024-08-22,292.6,294.63,290.67,294.28,980082
2024-08-23,295.91,298.57,294.84,297.18,865593
2024-08-26,298.57,299.31,295.75,297.24,771591
2024-08-27,297.23,297.64,292.73,294.9,828694
2024-08-28,294.91,297.58,294.2,296.13,712298
2024-08-29,297.75,299.19,295.46,296.25,729970
2024-08-30,297.09,299.1,294.7101,298.77,1096965.0
2024-09-03,296.06,297.16,291.56,293.48,1138831.0
2024-09-04,293.91,295.36,291.995,292.84,719195
2024-09-05,293.46,293.95,283.75,285.31,1301998.0
2024-09-06,285.38,288.005,282.65,283.04,1117464.0
2024-09-09,283.5,286.1842,282.93,283.3,880031
2024-09-10,283.92,284.82,280.0755,283.85,940090
2024-09-11,282.66,285.37,277.885,284.86,937701
2024-09-12,285.67,288.31,284.33,286,862185
2024-09-13,287.57,287.57,280.865,286.38,1142647.0
2024-09-16,289.74,293.81,288.35,292.63,1141728.0
2024-09-17,296,300.45,294.7,297.34,1331334.0
2024-09-18,295.52,301.01,295.52,298.17,1368510.0
2024-09-19,304.13,308,297.87,300.39,4220491.0
2024-09-20,260.775,262.5614,253.5,254.64,17455457.0
2024-09-23,255.51,260.7299,255.5,258.79,3730597.0
2024-09-24,259.12,268.33,259.12,267.13,4108980.0
2024-09-25,266.01,267.7699,262.85,263.77,2593692.0
2024-09-26,267.09,270.9891,265.21,266.33,1862548.0
2024-09-27,267.1,270.48,266.5,267.55,1819238.0
2024-09-30,269.62,276.75,269.0601,273.68,2908280.0
2024-10-01,273.86,275.3199,268,269.56,1703842.0
2024-10-02,268.93,269.52,266.36,266.93,1406439.0
2024-10-03,266,266.24,261.37,262.08,1733135.0
2024-10-04,264.8,265.03,259.27,260.84,1638679.0
2024-10-07,259.38,261.21,258.1001,260.5,1342256.0
2024-10-08,260.94,262.2999,259.36,261.4,1073116.0
2024-10-09,263.53,267.09,262.74,264.64,1308338.0
2024-10-10,263.35,265.98,263.2,264.27,872825
2024-10-11,265.35,267.18,264.17,264.36,965705
2024-10-14,264.34,267.9,263.95,267.45,922317
2024-10-15,267.77,269.07,265.64,265.92,1363221.0
2024-10-16,269,272.9,268.41,271.8,1713680.0
2024-10-17,271.72,275.55,270.16,274.26,1603015.0
2024-10-18,276.12,276.12,272.51,274.4,1217071.0
2024-10-21,272.74,273.32,267.7577,268.81,1443007.0
2024-10-22,267.99,271.0992,267.72,269.79,971993
2024-10-23,269.2,270.44,266.83,268.05,1153174.0
2024-10-24,277.92,278.69,270.7975,272.87,1635802.0
2024-10-25,274.27,275.68,271.88,272.12,835534
2024-10-28,272.62,275.85,272.12,275.45,1179784.0
2024-10-29,273.64,277.12,273,275.04,1190146.0
2024-10-30,274.08,278.54,273.91,274.08,1197151.0
2024-10-31,273.38,276.72,273.01,273.85,1099532.0
2024-11-01,273.78,277.48,273.17,274.35,1370415.0
2024-11-04,274,274.98,270.69,271.18,1020139.0
2024-11-05,271.14,275.45,269.515,275.42,945309
2024-11-06,276,281.2,271.62,280.06,2639846.0
2024-11-07,281.94,285.5,280,283.21,1317201.0
2024-11-08,283.78,289.1,282.86,286.28,1734576.0
2024-11-11,288.7,293.45,288.7,289.79,1594026.0
2024-11-12,289.71,291.2675,285.42,287.27,1235636.0
2024-11-13,287.38,294,287.38,291.89,1896947.0
2024-11-14,293.07,295.24,291.72,292.29,1248469.0
2024-11-15,290.95,295.87,290.95,294.46,1506570.0
2024-11-18,293.61,297.58,293.41,295.21,1460032.0
2024-11-19,291.59,295.24,290.99,293.06,1474784.0
2024-11-20,293.91,294.43,285.25,288.03,1392808.0
2024-11-21,288.05,295.54,288.05,295.16,1596920.0
2024-11-22,296.19,302.375,295.17,299.97,1846044.0
2024-11-25,301.64,308.53,300.59,305.15,2415851.0
2024-11-26,303.06,304,299.61,302.98,1669324.0
2024-11-27,303.74,304.78,301.57,303.39,919462
2024-11-29,303.04,304.76,301.87,302.67,665504
2024-12-02,301.59,302.025,293.82,296.69,1578745.0
2024-12-03,294.5,294.5,282.7,282.85,2629007.0
2024-12-04,281.71,285.8982,280.02,283.43,1840131.0
2024-12-05,284.19,285.78,279.22,279.42,1512440.0
2024-12-06,281.39,282.45,277.75,280.68,2079315.0
2024-12-09,280.89,282.82,279,279.53,1365829.0
2024-12-10,279.81,280.9599,277.515,279.32,902869
2024-12-11,279.7,282.2,278.76,281.16,1207003.0
2024-12-12,281.51,284.5,279.37,283.69,1084894.0
2024-12-13,283.33,284.11,281.85,283.42,964658
2024-12-16,283.38,286.28,282.76,283.44,1587310.0
2024-12-17,281,282.4449,274.75,277.43,2426691.0
2024-12-18,277.72,281.31,272.85,273.16,1907526.0
2024-12-19,274.52,278.48,273.185,275.88,4203477.0
2024-12-20,294,295.244,270.9,275.73,8126797.0
2024-12-23,275,275.11,265.0901,269.01,3500725.0
2024-12-24,269,272.53,267.6,271.84,1013074.0
2024-12-26,270.35,280.3,270.3036,278.66,1777485.0
2024-12-27,277.33,281.6018,276.54,280.36,1553177.0
2024-12-30,276.81,282.41,275.5,280.55,1587522.0
2024-12-31,281.52,284.13,280.58,281.33,1296955.0
2025-01-02,281.54,281.98,273.06,274.28,1279337.0
2025-01-03,274.6,275.9,271.8,274.41,1181532.0
2025-01-06,275.88,278.7,272.37,273.97,1651375.0
2025-01-07,274.05,278,273.43,275,1518015.0
2025-01-08,275.02,276.92,274.08,274.9,1965565.0
2025-01-10,274.51,274.51,270.45,270.73,1475602.0
2025-01-13,268.5,275.21,268.22,274.59,1367765.0
2025-01-14,275,277.96,274.27,277.62,1360895.0
2025-01-15,280.5,281.08,276.28,276.59,1848405.0
2025-01-16,276.6,277.96,273.72,277.37,1417615.0
2025-01-17,276.85,277.46,274.7,275.1,1581845.0
2025-01-21,275.49,278.3,272.86,275.57,1465556.0
2025-01-22,274.27,274.82,269.41,270.43,1958616.0
2025-01-23,270.6,271.33,268.08,270.03,1758793.0
2025-01-24,270,273.5,269.53,273.29,1544752.0
2025-01-27,273.84,281.9,273.84,281.53,1553087.0
2025-01-28,280.98,281.07,278.065,278.65,1043326.0
2025-01-29,278.65,279.38,275.01,275.06,1078367.0
2025-01-30,265,271.11,263.3,269.24,2827618.0
2025-01-31,270.1,270.99,263.79,264.87,2341601.0
2025-02-03,257.54,258.79,246.72,247.34,3774703.0
2025-02-04,249.02,251.269,246.98,250.95,2185720.0
2025-02-05,250.49,252.79,248.5,252.41,1535366.0
2025-02-06,253.48,259.7,252.99,258.77,2539796.0
2025-02-07,258.94,259.245,254.87,256.08,1392936.0
2025-02-10,257.12,258.75,254.08,258.23,1216439.0
