date,open,high,low,close,volume
2024-06-03,300.89,302.42,296.445,298.26,723502
2024-06-04,298.37,299.24,296.9,297.32,618207
2024-06-05,297.9,299.65,295.635,299.45,469258
2024-06-06,299,300.5,298.1,298.27,988175
2024-06-07,298.2,300.16,297.87,299.14,684271
2024-06-10,300,300,293.86,294.68,1013889.0
2024-06-11,293.6,293.66,291.135,292.65,1068734.0
2024-06-12,292.985,295.2,292.2,294.34,871953
2024-06-13,293.68,294.57,290.725,292.52,686683
2024-06-14,290.7,292.04,288.455,291.78,639947
2024-06-17,291.18,294.1871,290.6601,293.83,510982
2024-06-18,293.57,298.05,293.17,298,748596
2024-06-20,298,299.65,297,299.63,751556
2024-06-21,299.56,300.22,296.68,298.25,1686985.0
2024-06-24,299.48,302.7486,298.47,298.53,1124477.0
2024-06-25,298.21,299.09,294.72,295.28,1110356.0
2024-06-26,294.31,295.58,293.32,294.53,1215403.0
2024-06-27,295.35,295.35,291.83,292.5,989536
2024-06-28,293.92,294.48,289.54,290.14,2259932.0
2024-07-01,291.35,293.01,286.58,287.87,1431088.0
2024-07-02,285.3,286.34,284.02,285.81,1274376.0
2024-07-03,286.47,287.26,284.05,284.88,656719
2024-07-05,284.26,284.26,280.46,281.68,1039502.0
2024-07-08,281.7,283,279.55,280.47,1222693.0
2024-07-09,280.22,281.34,279.42,279.51,803812
2024-07-10,279.66,281.98,279.07,281.91,957641
2024-07-11,281.37,285.265,281.37,284.15,935541
2024-07-12,285.72,286.465,283.6925,283.89,1072025.0
2024-07-15,285.51,287.2,284.01,285.42,1017100.0
2024-07-16,285.57,291.78,285.57,291.59,1125137.0
2024-07-17,292.24,294.77,291.78,291.99,900255
2024-07-18,291.4,295.5,291.17,293.27,960060
2024-07-19,294.36,294.36,287.83,288.22,973642
2024-07-22,288.43,291.48,287.54,291.21,745320
2024-07-23,292.68,295.62,292.05,294.46,1288242.0
2024-07-24,286,286.49,276.79,284.67,3268633.0
2024-07-25,286.61,296.19,286.61,290.98,1809784.0
2024-07-26,290.99,292.7,287.635,290.4,1079838.0
2024-07-29,290.57,291.04,288.37,289.49,1171630.0
2024-07-30,291.02,293.66,290.06,293.01,858073
2024-07-31,294.8,299.96,293.17,298.71,1609458.0
2024-08-01,300,300.75,291.535,293.45,1108414.0
2024-08-02,292.69,296.89,289.51,292.39,990893
2024-08-05,288.92,290.925,282.32,285.9,1094084.0
2024-08-06,286.45,290.44,285.2,285.38,815078
2024-08-07,287.21,290.88,286.355,287.17,890718
2024-08-08,287.45,293,287.45,290.8,823820
2024-08-09,293.29,296.7,291.565,292.99,1028622.0
2024-08-12,294,294.59,290.655,291.2,1054806.0
2024-08-13,291.85,292.795,289.53,292.2,888759
2024-08-14,291.71,295.17,291.71,293.73,756961
2024-08-15,294.99,296.31,293.1639,295.95,890703
2024-08-16,296.36,297.1,294.74,296.59,852433
2024-08-19,296.93,297,294.769,295.6,685233
2024-08-20,295.36,296.12,294.215,295.8,589247
2024-08-21,296.51,296.51,293.02,294.07,1029146.0
2024-08-22,294.25,294.74,292.99,293.45,676227
2024-08-23,294.34,294.8299,291.29,291.45,864741
2024-08-26,292.45,293.18,290.42,291,814847
2024-08-27,291.01,291.46,289.83,290.2,1005336.0
2024-08-28,290.99,297.18,290.5,296.64,1553612.0
2024-08-29,298,300.95,295.5,297.83,1640388.0
2024-08-30,297.53,299.68,295.18,299.36,1033038.0
2024-09-03,299,300.98,293.34,294.92,961640
2024-09-04,295.45,297.76,293,294.35,930731
2024-09-05,296.51,299.83,294.16,297.29,1518801.0
2024-09-06,297,298.41,292.24,292.78,1362362.0
2024-09-09,295.71,303.1,295.71,301.56,1922398.0
2024-09-10,303.31,306.51,300.47,302.4,1040604.0
2024-09-11,301.21,301.21,293.36,299.59,1067209.0
2024-09-12,299.34,300.94,297.41,300.67,875408
2024-09-13,301.08,305.84,301.05,304.8,797557
2024-09-16,307.38,309.967,306.15,307.55,874521
2024-09-17,304.75,305.6963,302.57,303.85,1045631.0
2024-09-18,303.9,306.9,301.65,302.38,1155805.0
2024-09-19,304.84,306.645,302.52,304.73,1188154.0
2024-09-20,304.77,307.76,303.185,306.87,7899210.0
2024-09-23,307.31,309.72,306.75,308.09,951842
2024-09-24,308,308.515,304.07,304.67,951787
2024-09-25,305.52,306.55,301.02,301.69,915630
2024-09-26,300.93,302.92,299.66,300.49,904455
2024-09-27,300.34,302.35,299.97,300.13,909250
2024-09-30,300,302.26,297.6601,302.2,1364162.0
2024-10-01,297.64,307.05,294.5,305.33,1486552.0
2024-10-02,305.5,306.62,303.1,303.92,1218397.0
2024-10-03,304.04,304.865,299.04,299.61,1124345.0
2024-10-04,300.04,301.24,297.84,300.66,877409
2024-10-07,299.3,300.51,296.715,297.29,874200
2024-10-08,297.95,298.11,295.05,296.9,843373
2024-10-09,296.1,300.13,295.67,298.69,726520
2024-10-10,298.5,298.615,295.02,296.05,902423
2024-10-11,295,299.7725,294.29,299.44,986347
2024-10-14,299.59,302.36,298.68,301.86,583622
2024-10-15,303.59,303.8562,299.85,300.21,898661
2024-10-16,300.14,306.06,300.14,304.87,838123
2024-10-17,307,308.32,305.64,308.23,919149
2024-10-18,310,310.58,307.61,308.48,1316379.0
2024-10-21,309.13,310.85,307.01,308.08,1059841.0
2024-10-22,307.7,308.7651,303.91,305.99,1145609.0
2024-10-23,304.85,313.111,300.715,304.4,1506597.0
2024-10-24,301.73,304.99,300.52,301.27,1331812.0
2024-10-25,304.52,304.99,302.07,302.52,1405397.0
2024-10-28,303.04,304.71,302.1401,303.92,968680
2024-10-29,303.23,305.16,301.73,301.75,950599
2024-10-30,301.82,304.12,301.16,301.37,855063
2024-10-31,300.32,301.37,291.31,291.61,1704336.0
2024-11-01,292.96,294.87,292.314,292.99,1355480.0
2024-11-04,293.62,295.5573,292.35,293.6,1056112.0
2024-11-05,294.56,296.99,294.53,296.65,750549
2024-11-06,305.035,309.01,302.78,308.46,1659195.0
2024-11-07,308.51,309.065,304.52,306,887173
2024-11-08,307.5,310.2199,306.18,309.47,855115
2024-11-11,312.08,315.93,311.29,313.91,925476
2024-11-12,315,315,310.625,312.05,778643
2024-11-13,313.44,316.9,311.68,314.03,906763
2024-11-14,314.1,314.85,291.805,292.42,1927468.0
2024-11-15,290.83,295,285.68,287.99,1997358.0
2024-11-18,287,288,285.29,286,1287210.0
2024-11-19,287.29,288,279.61,280.96,1772396.0
2024-11-20,281.47,282,278.12,280.05,1766384.0
2024-11-21,280.7,283.5,279.01,279.93,1832227.0
2024-11-22,280.76,283.6,279.9201,281.81,1434009.0
2024-11-25,283.26,284.1452,279.29,281.35,1569406.0
2024-11-26,281.08,283.37,279.56,282.02,1095225.0
2024-11-27,282.92,286.01,282.26,282.31,994524
2024-11-29,283.18,284.41,282.48,284.01,538180
2024-12-02,282.9,283.155,275.62,276.44,1936909.0
2024-12-03,276.48,278.1262,274.44,277.42,1130908.0
2024-12-04,276.47,278.578041,274.99,277.66,1307554.0
2024-12-05,277.5,278.7267,275.15,275.15,1511844.0
2024-12-06,275,275.86,271.05,271.8,1879450.0
2024-12-09,271.35,272.71,269.4,269.57,2143158.0
2024-12-10,269.49,272.09,267.25,270.43,1279858.0
2024-12-11,269.56,270.025,263.4218,265.43,2263713.0
2024-12-12,260,264.15,257.2588,263.04,2408985.0
2024-12-13,263,265.07,261.93,263.11,1673421.0
2024-12-16,263.11,269.69,262.71,266.07,3087460.0
2024-12-17,264.47,267.7344,263.7901,265.22,1964000.0
2024-12-18,265.2,269.5,262.1,262.27,2241592.0
2024-12-19,259.95,262.83,257.88,260.28,2169997.0
2024-12-20,259.08,267.44,257.8,263.64,3546177.0
2024-12-23,265.8,265.8,262.895,265.19,1552933.0
2024-12-24,264.67,265.9,263.63,265.9,500914
2024-12-26,265.89,268.33,265.25,266.78,851474
2024-12-27,264.78,267.591,264.7201,266.14,1001380.0
2024-12-30,263.19,265.11,261.06,263.38,1550288.0
2024-12-31,264,265.52,262.15,263.49,895021
2025-01-02,264.9,265.83,260.5,261.01,1748979.0
2025-01-03,261.18,264.16,260.265,263.37,1287646.0
2025-01-06,262.32,264.285,257.56,257.99,1898171.0
2025-01-07,258.76,262.93,258.061,259.65,1303705.0
2025-01-08,258.76,262.5,258.76,261.47,1120620.0
2025-01-10,260.52,261.955,258.65,259.38,1722894.0
2025-01-13,259.38,264.88,259,263.67,1360062.0
2025-01-14,263.52,265.29,262.23,265.12,1096082.0
2025-01-15,267.53,267.85,264.02,266.09,1013606.0
2025-01-16,266,269.4,265.7,268.83,1753017.0
2025-01-17,268.42,268.81,266.13,266.67,1544177.0
2025-01-21,269.29,274.15,268.86,271.63,2444596.0
2025-01-22,271.63,271.68,266.71,268.84,2028955.0
2025-01-23,270.13,271,264.685,268.56,2210914.0
2025-01-24,268.56,269.03,265.74,266.43,1546530.0
2025-01-27,267.76,270.19,266.47,269.84,1694343.0
2025-01-28,269.99,270.02,261.275,262.57,2042648.0
2025-01-29,253.82,261.31,247.01,251.45,3497938.0
2025-01-30,253.85,257.09,252.5,256.93,2299411.0
2025-01-31,256.99,258.75,254.79,256.98,1902769.0
2025-02-03,256,258.07,253.83,256.59,1414586.0
2025-02-04,255.96,258.93,255.85,257.43,1356233.0
2025-02-05,258.71,259.23,256.83,258.58,1098240.0
2025-02-06,257.71,257.71,253.13,255.53,1154734.0
2025-02-07,256.02,257.21,253.92,254.83,1290620.0
2025-02-10,255.49,257.366,255.11,256.34,1410855.0
2025-02-11,255.87,257.69,254.35,256.99,1095642.0
2025-02-12,254.48,255.6299,250.97,251.33,1560987.0
2025-02-13,251.6,251.95,242.86,246.16,2825057.0
2025-02-14,245.75,247.05,239.87,241.94,2765005.0
2025-02-18,244.33,244.47,241.11,242.6,2113724.0
2025-02-19,242.58,246.28,242.04,244.18,1900157.0
2025-02-20,242.34,247.28,242.34,246.2,1567274.0
2025-02-21,245.2,245.33,241.645,243.06,1947507.0
2025-02-24,244.6,248.325,243.42,246.27,2204550.0
2025-02-25,247.17,250.82,246.71,249.91,1711617.0
2025-02-26,250.49,250.605,247.8775,249.24,1372148.0
2025-02-27,250.14,252.4925,249.555,251.62,1410372.0
2025-02-28,252.34,254.66,249.94,252.6,1755510.0
2025-03-03,255.17,255.9299,252.3,254.04,1333480.0
2025-03-04,252.98,257.49,250.41,250.8,2013526.0
2025-03-05,255.5,264.04,251.05,262.96,4141772.0
2025-03-06,261.49,266.15,259.235,264.55,2075968.0
2025-03-07,262.46,272.51,262.46,271.56,1979005.0
2025-03-10,270,279.25,268.1734,271.94,2274575.0
2025-03-11,270.77,272.2199,262.2601,264.12,1827897.0
2025-03-12,263.06,263.71,258.08,260.01,1123233.0
2025-03-13,259.32,263.175,258.65,261.16,1044621.0
2025-03-14,261.5,262.7555,259.44,262.03,956623
2025-03-17,262.03,267.005,262.01,265.18,974426
2025-03-18,264.68,268.66,263.68,267.52,1569855.0
2025-03-19,267.54,270.3,266.54,267.97,1495963.0
2025-03-20,266.15,267.45,264.55,265.7,1251485.0
2025-03-21,264.53,265.29,260.1877,263.41,3313675.0
2025-03-24,265,266.2075,263.6,265.88,1023224.0
2025-03-25,265.91,267.9975,264.51,267.54,911978
2025-03-26,269.15,270.57,268.5729,269.58,1139947.0
