date,open,high,low,close,volume,vwap,transactions
2024-10-01,187.49,188.22,184.92,186.3,3794022,186.2712,64389
2024-10-02,185.57,188.2,184.725,186.44,2879799,186.7336,47481
2024-10-03,186.5,186.71,183.7,183.89,3999527,184.6535,50362
2024-10-04,186.58,187.16,184.86,187.08,3978906,186.42,57644
2024-10-07,185.94,187.23,184.8,185.96,2514173,186.0221,43036
2024-10-08,187.62,189.88,186.561,187.47,3627186,187.6622,55772
2024-10-09,186.63,189.415,186.5,189.28,2312601,188.7572,44579
2024-10-10,188.15,189.75,187.3921,188.12,2301059,188.3466,40305
2024-10-11,189.41,191.765,189.06,191.16,2983933,190.8982,48142
2024-10-14,191.98,193.93,191.66,192.63,3132873,192.7738,48289
2024-10-15,193.85,194.3326,189.7601,190.57,3824316,190.9889,62165
2024-10-16,190.5,192.22,189.92,192.18,2912845,191.3468,48352
2024-10-17,194.09,194.8,192.2,192.62,2633322,192.9535,49022
2024-10-18,193.1,193.44,191.14,192.61,3075931,192.4907,47236
2024-10-21,192.91,194.39,192.02,194.23,4726283,193.3842,73765
2024-10-22,184.5,185,175.75,176.66,15636234,178.9245,227789
2024-10-23,179.7,184.98,179.615,181.69,9788582,181.9025,130566
2024-10-24,181.9,182.21,179.63,179.74,4366779,180.3733,64405
2024-10-25,180,181.42,178.3,179.1,3974941,179.3301,59175
2024-10-28,179.98,180.58,175.21,175.36,5687388,176.1802,89548
2024-10-29,174.56,174.9,172.77,174.05,5219331,174.0715,76552
2024-10-30,172.98,176.53,172.505,174.64,3690747,174.9119,57887
2024-10-31,172,173.62,170.43,171.78,5177127,171.6294,73000
2024-11-01,172.76,175.27,171.585,171.7,3984932,172.9114,59792
2024-11-04,172.3,174.68,171.45,171.76,4197434,172.4542,60432
2024-11-05,172.36,175.47,171.77,175.26,3607258,174.3442,55167
2024-11-06,181.5,182.06,178.5,180.76,5939501,180.6009,92853
2024-11-07,181.02,181.02,176.77,178.85,5070181,178.4573,81044
2024-11-08,179.65,186.42,179.45,184.81,4676543,184.0455,76708
2024-11-11,186.63,187.47,183.7,184.56,3371921,184.6391,60476
2024-11-12,185.07,185.7,180.59,182.64,3158423,182.4249,51742
2024-11-13,182.95,186.3,182.76,183.56,3935215,184.3519,58118
2024-11-14,183,183.8,177.49,178.4,5085580,179.5629,78549
2024-11-15,176.75,177.918,175.89,176.93,5302109,176.7754,68069
2024-11-18,177,178.5699,175.13,177.52,2835273,177.3992,52037
2024-11-19,176.5,177.88,175.7,177.56,3215966,177.1388,50593
2024-11-20,178.1,178.54,176,177.98,3225715,177.4009,52628
2024-11-21,178.41,180.94,177.34,178.7,4531958,179.3539,50566
2024-11-22,179.3,181.74,178.78,181.15,3405150,180.6383,46126
2024-11-25,182.24,183.7,179.55,180.21,9740668,180.4133,68345
2024-11-26,180.87,184.93,180.42,184.6,3918940,184.0603,59960
2024-11-27,184.64,184.69,180.4401,180.6,2726189,181.31,50266
2024-11-29,181.45,182.97,181.13,182.16,2054660,182.2018,30018
2024-12-02,180.8,181.64,179.42,180.44,2817711,180.3867,49415
2024-12-03,181,182.235,179.907,180.72,2882333,180.6992,43166
2024-12-04,180.5,182.9,178,182.65,3713391,181.7618,51274
2024-12-05,180.33,180.765,172.71,172.91,7547257,174.7175,106958
2024-12-06,173.3,175.83,172.44,175.58,6899599,174.377,86325
2024-12-09,175,176.37,170.771,171.32,6500779,172.2589,92996
2024-12-10,171.01,173.155,170.61,171.27,5100310,171.4103,66914
2024-12-11,173.17,173.17,167.93,168.64,7606440,169.1691,99684
2024-12-12,168.64,169.284,164.45,164.83,7808575,165.9543,101751
2024-12-13,165.65,167.87,165.54,166.01,4957058,166.1425,67514
2024-12-16,166.32,169.2,165.45,165.79,7436033,166.4331,71833
2024-12-17,165.8,166.51,163.53,165.8,4855069,165.5631,68037
2024-12-18,166,166.63,159.6,159.95,8059085,162.5236,86199
2024-12-19,163.03,165.77,162.18,164.8,6257586,164.4792,80497
2024-12-20,163.97,169.08,163.16,168.37,9281454,167.6118,73025
2024-12-23,168.12,169.33,166.55,169.02,4127655,168.4664,59177
2024-12-24,169.24,171.49,168.85,171.49,2235717,170.5566,31763
2024-12-26,171.02,172.67,170.13,172.15,3310314,171.7946,47645
