date,open,high,low,close,volume,vwap,transactions
2024-10-01,83.82,83.9799,82.82,83.94,6619022,83.6706,61503
2024-10-02,83.33,85.425,83.1,84.74,6042368,84.7962,73375
2024-10-03,84.25,84.93,84.01,84.17,4086080,84.2227,52453
2024-10-04,84.34,84.96,83.98,84.59,4054354,84.4731,50671
2024-10-07,85.05,85.66,84.34,84.43,4692539,84.8552,52602
2024-10-08,84.52,85.39,84.32,85.21,4593176,85.0058,44321
2024-10-09,85.18,86.845,85.0595,86.14,6162188,86.2555,72881
2024-10-10,85.83,85.94,84.59,84.67,3814849,84.9589,46012
2024-10-11,84.86,84.975,84.165,84.95,3982326,84.6629,42168
2024-10-14,84.92,85.34,84.34,85.05,3493271,84.9632,36020
2024-10-15,85.18,86.6414,84.8,85.82,5133455,85.8982,59491
2024-10-16,85.83,86.82,85.825,86.75,3181288,86.5072,44541
2024-10-17,86.92,87.65,86.59,87.36,4287742,87.295,51968
2024-10-18,86.79,87.17,86.01,86.72,4365082,86.7558,46639
2024-10-21,86.64,87.27,85.92,86.29,4451277,86.3736,56973
2024-10-22,85.68,88.36,85.6,88.16,6044365,87.6658,59777
2024-10-23,88.15,88.39,87.14,87.23,4373484,87.5428,53940
2024-10-24,87.72,89.215,87.615,88.78,7183811,88.7785,81092
2024-10-25,89.4451,89.74,88.45,89,5734995,89.0691,67025
2024-10-28,89.24,89.42,88.52,88.76,5961814,88.8194,53685
2024-10-29,88.38,88.52,86.81,88.08,6656244,87.8557,75141
2024-10-30,87.9,88.37,87.48,88.29,5846878,88.1215,63691
2024-10-31,87.94,89.28,87.74,88.82,5894539,88.8485,64626
2024-11-01,88.31,89.57,88.19,89.51,6485873,89.3449,63515
2024-11-04,89.49,90.71,89.37,89.84,6124270,90.0723,70149
2024-11-05,89.64,90.39,89.01,90.22,3960199,90.0627,50534
2024-11-06,91,91.98,90.5,91.69,8819291,91.4576,102022
2024-11-07,94,98.32,93.51,97.9,14389839,96.9632,141126
2024-11-08,96.05,97.32,94.91,96.565,7457030,96.4956,90691
2024-11-11,96.4,98.9,96.3,97.03,7094257,97.4862,67121
2024-11-12,96.35,96.84,94.225,94.35,9322666,95.0414,92403
2024-11-13,94.13,94.205,91.63,92.63,11060497,92.6925,110320
2024-11-14,92.31,92.66,91.295,92.11,8202705,92.1285,86109
2024-11-15,91.71,91.99,88.21,88.4,11454518,89.1264,112683
2024-11-18,88.385,89.04,87.63,88.46,9099775,88.4711,82188
2024-11-19,87.63,88.6,86.08,87.75,8179276,87.7728,64272
2024-11-20,88.11,89.08,87.77,88.63,4735738,88.5986,62219
2024-11-21,89.065,89.94,88.07,89.76,4057424,89.4173,58561
2024-11-22,89.805,90.49,89.27,90.19,4545876,90.1467,49259
2024-11-25,90.75,91.365,89.5,90.49,10754270,90.339,78352
2024-11-26,90.34,91.68,89.63,91.35,4406468,91.033,56936
2024-11-27,91.44,92.895,91.44,92.41,5527206,92.4348,53817
2024-11-29,92.84,93.1599,92.33,92.58,3850965,92.6616,35263
2024-12-02,92.53,94.36,92.49,94.02,5023289,93.7887,65271
2024-12-03,93.81,94.39,92.46,92.49,5532434,93.3401,54215
2024-12-04,92.59,92.6,89.86,91.59,9124340,91.3802,71871
2024-12-05,91.6,94.27,91.6,93.39,12428734,93.0067,68779
2024-12-06,93.5,94.218,92.03,92.13,4470730,92.477,52526
2024-12-09,91.86,92.15,90.5,90.59,7396365,90.8549,68351
2024-12-10,91.35,92.95,90.64,92.34,6748150,92.1463,68630
2024-12-11,92.4,94.65,91.94,92.38,7525424,92.8743,80264
2024-12-12,92.46,93.22,91.44,92.38,5782749,92.5336,66182
2024-12-13,91.66,92.11,89.15,91.855,7515462,91.4647,72873
2024-12-16,91.96,93.26,91.9,92.05,7068110,92.3686,66960
2024-12-17,91.88,93.59,91.88,92.8,6125604,92.7692,76375
2024-12-18,92.72,93.5,90.59,90.69,6616140,91.4018,72040
2024-12-19,90.4,91.48,90.27,91.09,8876288,90.9838,82150
2024-12-20,90.92,93.29,90.71,92.57,22530186,92.4327,83622
2024-12-23,92.62,93.52,91.79,93.4,4809523,93.0593,63273
2024-12-24,93,94.05,92.1,93.95,2109120,93.7161,27068
2024-12-26,93.17,94.55,92.975,94.41,2915678,94.15,35042
2024-12-27,93.43,94.38,93.43,94.11,3349328,94.03,42754
2024-12-30,93.93,94,91.72,92.01,3613206,92.1443,51210
2024-12-31,92.59,92.98,91.78,92.37,3482463,92.2802,42973
2025-01-02,92.62,92.83,91.4,91.88,3496093,91.9272,46246
2025-01-03,92.19,92.34,91.31,91.41,4265369,91.6261,45130
2025-01-06,90.75,91.53,90.325,91.23,6779637,91.0809,75289
2025-01-07,90.89,91.51,90.51,90.63,5811919,90.8702,63779
2025-01-08,90.68,90.68,89,89.14,8054161,89.4618,60825
2025-01-10,90.19,91.43,88.57,89.88,7869675,89.6694,80538
2025-01-13,90.3,90.37,89.02,89.94,6523268,89.9802,69340
2025-01-14,90.59,91.48,89.83,91,7418301,90.9486,70534
2025-01-15,91.35,92.66,91.04,92.38,8084466,92.2246,68695
2025-01-16,92.26,93.07,90.82,91.65,8955333,91.8155,95412
2025-01-17,92.01,92.8,91.685,91.84,6862211,92.1451,57882
2025-01-21,92.06,93.9,92.06,92.96,10546087,93.1097,86218
