date,open,high,low,close,volume
2024-06-03,68.69,69.21,67.67,67.75,4232568.0
2024-06-04,67.85,68.27,67.16,68.14,2511972.0
2024-06-05,67.8,68.105,66.77,67.46,3294160.0
2024-06-06,67.46,67.81,66.8,67.39,2805128.0
2024-06-07,67.3,68.025,67.26,67.46,3373922.0
2024-06-10,67.26,67.46,66.12,66.9,4002683.0
2024-06-11,66.71,67.29,66.42,66.98,2999615.0
2024-06-12,66.66,66.92,65.24,65.29,4019287.0
2024-06-13,65.19,66.05,65.07,65.61,3639741.0
2024-06-14,65.67,66.24,65.48,65.5,2904124.0
2024-06-17,65.17,66.3,64.91,66.29,2965027.0
2024-06-18,65.98,66.86,65.945,66.66,4662800.0
2024-06-20,66.43,67.34,66.37,66.69,4989802.0
2024-06-21,66.94,67.8,66.7267,67.08,6390787.0
2024-06-24,67.31,68.44,67.2,68.07,6248876.0
2024-06-25,67.71,68.435,67.095,67.26,6579158.0
2024-06-26,62.41,64.74,62.03,64.17,9908875.0
2024-06-27,64.48,64.85,63.36,63.71,6437018.0
2024-06-28,63.55,63.84,63.08,63.26,13274287.0
2024-07-01,63.43,64.23,63.21,63.3,3250478.0
2024-07-02,63.15,63.56,62.9,63.17,2949626.0
2024-07-03,63.01,63.26,62.755,63.08,2521769.0
2024-07-05,62.93,63.18,62.62,62.88,2671165.0
2024-07-08,63.1,63.33,62.485,62.5,2932955.0
2024-07-09,62.46,63.075,62.12,62.69,3826187.0
2024-07-10,62.29,62.86,62.22,62.66,3106139.0
2024-07-11,62.62,63.745,62.35,63.17,3377594.0
2024-07-12,63.52,64.05,62.98,63.03,3367872.0
2024-07-15,63.17,63.325,62.74,62.86,3719968.0
2024-07-16,62.65,63.04,62.2895,62.9,3960519.0
2024-07-17,63.53,65.66,63.415,65.34,4090493.0
2024-07-18,64.69,66.81,64.65,65.52,2988988.0
2024-07-19,65.57,65.72,64.16,64.38,2361482.0
2024-07-22,64.49,65.18,64.22,64.6,2778265.0
2024-07-23,64.56,64.64,63.56,63.99,2662220.0
2024-07-24,64.26,65.92,63.675,65.51,3621584.0
2024-07-25,65.63,67.25,65.4702,65.83,4020745.0
2024-07-26,65.6,66.64,65.6,66.32,2548167.0
2024-07-29,66.17,67.255,65.56,66.98,3135627.0
2024-07-30,66.45,68.14,66.45,68.05,3530825.0
2024-07-31,67.69,68.19,67.12,67.14,6477148.0
2024-08-01,67,67.88,66.44,67.67,4512455.0
2024-08-02,68.43,69.42,67.63,69.28,5271531.0
2024-08-05,70.01,70.83,67.61,68.28,3922918.0
2024-08-06,68.28,69.36,67.875,67.93,3475626.0
2024-08-07,67.82,69.235,67.66,68.85,2905319.0
2024-08-08,68.34,69.83,68.16,69.04,2440967.0
2024-08-09,68.83,69.21,68.46,69.12,1999644.0
2024-08-12,69.45,69.5,66,68.3,2099232.0
2024-08-13,68.37,69.34,68.22,69.2,2583805.0
2024-08-14,69.21,71.075,69.21,70.4,3857320.0
2024-08-15,70.76,70.78,68.685,68.75,3912425.0
2024-08-16,68.75,69.19,68.61,69.03,2320963.0
2024-08-19,69.15,70.005,69.06,69.82,4181211.0
2024-08-20,69.82,70.15,69.45,69.95,2962178.0
2024-08-21,70.13,70.87,69.98,70.63,2963862.0
2024-08-22,70.95,71,70.32,70.67,1823565.0
2024-08-23,70.69,70.92,70.31,70.83,1957481.0
