date,open,high,low,close,volume
2024-06-03,337.26,340,327.545,332.7,1109041.0
2024-06-04,331.47,333.69,328.12,332,728959
2024-06-05,334.73,337.62,331.66,336.91,647384
2024-06-06,336.14,338.99,333.95,336.82,927718
2024-06-07,335.15,338.2,332.78,337.44,908281
2024-06-10,335.35,342.28,333.67,341.26,1176548.0
2024-06-11,339.9,340.39,335.071,336.31,783361
2024-06-12,340.59,343.53,338.74,340.81,794720
2024-06-13,340.43,341.1,336.05,340.9,654240
2024-06-14,337.68,338.41,332.56,337.47,747441
2024-06-17,335.85,337.78,332.19,335.47,931098
2024-06-18,335.16,341.63,334.67,340.64,737589
2024-06-20,338.58,340.13,335.37,338.37,1007911.0
2024-06-21,339.62,340.97,337.29,338.92,2061389.0
2024-06-24,340.86,342.72,338.68,341.37,845509
2024-06-25,342,342.26,337.24,340.45,788284
2024-06-26,339.58,341.01,337.49,340.48,837494
2024-06-27,339.73,343.73,337.025,343.29,913990
2024-06-28,341.61,344.2,319.34,321.28,4016852.0
2024-07-01,321.13,324.93,313.38,315.12,2399989.0
2024-07-02,317.47,321.17,314.45,319.7,1588908.0
2024-07-03,318.7,326.55,317.07,326.55,945051
2024-07-05,325.47,326.015,316.42,320.3,942727
2024-07-08,321.07,321.29,313.24,316.21,1378092.0
2024-07-09,316.76,320.17,314.66,316.91,1202958.0
2024-07-10,319.37,319.37,312.64,315.35,1433185.0
2024-07-11,316.12,320,312.67,317.51,1674687.0
2024-07-12,318.79,326.04,317.185,324.32,1237281.0
2024-07-15,314.8,322.37,313.82,316.98,1693552.0
2024-07-16,318.81,322.03,314.29,318.91,1853116.0
2024-07-17,317.9,330.84,317.43,322.98,1976733.0
2024-07-18,322.53,327.64,319.225,321.73,1544962.0
2024-07-19,324.21,325.97,321.64,322.16,1239846.0
2024-07-22,323.18,331.04,320.3,325.38,1571687.0
2024-07-23,346.5,348,334.38,340.17,2767226.0
2024-07-24,344.2,344.95,337.16,343.94,1974293.0
2024-07-25,343.94,356.3,343.94,352.79,2152124.0
2024-07-26,356,356.09,351.18,354.78,1215941.0
2024-07-29,355.53,361.12,353.95,358.73,1196733.0
2024-07-30,358.65,364.19,358.12,361.35,1054020.0
2024-07-31,363.05,366.1,358.12,363.05,1243379.0
2024-08-01,364.11,369.41,360.93,363.12,1385289.0
2024-08-02,362.89,365.45,352.8221,356.36,1559458.0
2024-08-05,349.61,352.695,342.14,350.18,1418600.0
2024-08-06,351.34,358.32,348.91,352.93,1205495.0
2024-08-07,355.41,359.75,351.1,352.27,824082
2024-08-08,352.37,360.86,352.37,360.67,811503
2024-08-09,360.72,361.85,356.96,360.9,624240
2024-08-12,360.32,362.9705,358.5,361.4,808065
2024-08-13,363,369.27,361.41,368.86,884552
2024-08-14,370,374.71,369.85,371.58,1023115.0
2024-08-15,374.89,375.64,368.91,371.89,773146
2024-08-16,372.12,375.33,371.33,373.77,734590
2024-08-19,373.77,375.81,372.34,374.21,515451
2024-08-20,375.02,377.875,373.59,375.31,688754
2024-08-21,375.17,379.52,374.49,376.67,721932
2024-08-22,378.8,383.8699,378.8,383.12,979207
2024-08-23,386.58,388.82,383.85,388.78,795383
2024-08-26,389.37,391.34,387.615,388.5,929492
2024-08-27,388.86,391.88,387.57,390.18,762230
2024-08-28,390.88,392,388.2601,390.18,591975
2024-08-29,392,394.09,387.98,392.79,914990
2024-08-30,391.86,395.91,390.26,395.59,904652
2024-09-03,396,397.73,393.92,395.83,930147
2024-09-04,396.69,397.16,392.12,394.3,899054
2024-09-05,393.77,398.63,391.7,397.75,903558
2024-09-06,399,403.05,386.78,387.98,2246782.0
2024-09-09,390.15,390.15,379.26,384.95,1522618.0
2024-09-10,385.95,389.31,384.95,386.43,912010
2024-09-11,384.85,398.25,384.74,388.65,1823903.0
2024-09-12,385.42,392.9,385.42,391.67,1191748.0
2024-09-13,390.93,395.83,390.93,394.68,876337
2024-09-16,397,404.33,395.715,403.43,922870
2024-09-17,403.52,404.9,396.07,397.5,1394610.0
2024-09-18,397.45,403.7625,395.19,399.89,936097
2024-09-19,402.85,404.65,397.81,403.52,938095
2024-09-20,402.41,405.695,398.33,404.66,3447744.0
2024-09-23,406.28,409.42,404.225,405.7,957870
2024-09-24,403.86,405.99,400.61,401.8,1000520.0
2024-09-25,403.62,406.33,401.64,405.11,824625
2024-09-26,404.33,406.71,400.61,403.86,857776
2024-09-27,404.37,405.43,396.57,403.28,823099
2024-09-30,403.15,407.09,396,406.43,910759
2024-10-01,405.71,407.32,401.87,405.45,852064
2024-10-02,404.36,407.84,402.55,403.85,999642
2024-10-03,402.91,402.91,390.6,392.46,932553
2024-10-04,394.34,395.34,390.4,394.07,787871
2024-10-07,392.21,393.68,381.62,382.53,1641741.0
2024-10-08,382.7,385.63,370.46,378.58,1893747.0
2024-10-09,378.48,386.66,376.03,386.36,1435327.0
2024-10-10,386,388.41,383.14,387.25,956863
2024-10-11,391.05,395.75,390.04,394.54,754972
2024-10-14,394.61,397.985,393.2,395.78,865382
2024-10-15,397.28,411.87,397.28,401.26,1602874.0
2024-10-16,405,416.72,403.24,409.23,1769032.0
2024-10-17,406.73,410.51,404.12,406.48,1109839.0
2024-10-18,406.46,417.14,404.75,415.54,1093996.0
2024-10-21,414.18,415.98,410.57,410.76,962036
2024-10-22,408.07,411.355,405.15,408.17,976741
2024-10-23,408.18,410.79,406.33,410.03,905461
2024-10-24,405.57,408.51,394.12,398.9,2224324.0
2024-10-25,370,371,357.0301,363.55,4263823.0
2024-10-28,363.5,367.83,356.5,356.59,1969859.0
2024-10-29,357,361.9,355.27,360.67,1640148.0
2024-10-30,359.81,364.13,358.97,360.92,1266664.0
2024-10-31,358,361.4,357.26,358.74,1188214.0
2024-11-01,360.52,360.88,355.56,357.19,1317726.0
2024-11-04,357.85,368.405,357.61,363.16,1547717.0
2024-11-05,363,367.249,362.75,366.66,1000058.0
2024-11-06,349.255,357.73,345.89,348.75,3443852.0
2024-11-07,348.26,356.84,345.83,356.03,1670895.0
