date,open,high,low,close,volume,vwap,transactions
2024-10-01,404.02,410.56,401.41,409.05,3476191,407.2796,76830
2024-10-02,407.7,411.46,404.96,411.26,3431264,409.7588,65415
2024-10-03,409,412.97,406.8,411.58,3320682,410.3968,64454
2024-10-04,410.07,411.82,399.4501,408.36,3989606,406.6645,82294
2024-10-07,404.89,409.8099,401.24,408.06,3267812,407.4381,71974
2024-10-08,409.8,415.29,408.44,414.18,3693887,412.5968,65954
2024-10-09,420,420.03,410.75,416.07,3627800,415.0327,83905
2024-10-10,409.72,414.48,407.63,409.96,3040794,410.8756,63867
2024-10-11,410.56,413.14,408.84,411.9,2717431,411.4983,50020
2024-10-14,411.48,416.42,411.304,415.42,2088681,414.9058,45123
2024-10-15,417.95,421.56,415.02,415.58,3693034,417.0457,62926
2024-10-16,413.87,418.74,413.87,418.61,2429037,417.387,48445
2024-10-17,418.61,419,414.5607,415.6,2013819,415.9023,47781
2024-10-18,416.65,416.66,413.24,415,2436725,414.9645,46154
2024-10-21,416.07,416.555,404.371,406.4,3699527,407.8192,71949
2024-10-22,398.5,402.95,396.21,401.85,4486654,400.9297,78548
2024-10-23,400.56,404.2799,396.69,399.64,3159207,399.862,60050
2024-10-24,402.29,404.2,398.088,402.68,2550281,401.9661,48887
2024-10-25,403.52,403.52,397.83,398.91,1941426,399.7199,46161
2024-10-28,403.45,405.8399,401.95,402.89,2586529,403.2549,48419
2024-10-29,393.94,399.105,389.05,395.07,3822679,395.4005,81758
2024-10-30,395,397.69,391.94,392.52,2795609,393.735,58117
2024-10-31,390.5,395.67,390.5,393.75,2518637,393.7005,49786
2024-11-01,394.8,398.71,392.01,392.59,3277974,393.8039,64336
2024-11-04,391.95,400.48,391.07,395.57,2690877,395.8876,60985
2024-11-05,394.97,400.23,393.8601,400.09,2496489,399.0248,50713
2024-11-06,394.04,394.04,381.72,388.37,7113867,387.8384,151458
2024-11-07,391,399.76,390.8,399.44,4323070,397.9071,80598
2024-11-08,404,406.4,402.3001,405.9,3448699,404.7586,71373
2024-11-11,407.77,411.6,405.825,408.29,4071533,409.1577,81051
2024-11-12,414.25,416.02,402.19,403.08,5647107,406.2578,114567
2024-11-13,409.13,412.7399,406.7201,410.19,3083105,409.9856,68412
2024-11-14,408,411.5,404.39,405.72,3348056,406.9668,62686
2024-11-15,402.9,408.91,402.9,408.18,3239545,406.8171,59230
2024-11-18,405.5,412.54,403.95,410.44,3394375,410.2124,56482
2024-11-19,408.38,409.16,399.36,406.8,3239356,406.0863,60834
2024-11-20,406,406.7,399.92,400,4732195,401.0008,71313
