date,open,high,low,close,volume
2024-06-03,152.87,153.79,145,149.26,2563733.0
2024-06-04,147.36,148.46,145.65,148.04,1631256.0
2024-06-05,147.91,148.86,146.75,147.02,1638231.0
2024-06-06,146.55,147.99,145.82,147.98,1216861.0
2024-06-07,147.53,149.4,146.91,147.54,1166008.0
2024-06-10,147.6,149.47,147.57,147.81,2498356.0
2024-06-11,146.89,148.18,145.93,148,1314451.0
2024-06-12,148.44,148.93,144.1,145.89,1551138.0
2024-06-13,145.35,145.84,143.085,143.75,1869881.0
2024-06-14,143.81,144.21,142.72,143.45,2552153.0
2024-06-17,143.31,145.02,141.98,143.58,1956774.0
2024-06-18,144.3,146.215,142.82,143.33,2405331.0
2024-06-20,143.4,148.28,143.23,147.14,2228576.0
2024-06-21,148.24,148.34,146.12,146.18,4146266.0
2024-06-24,147.03,150.675,146.82,150.37,1973286.0
2024-06-25,150.72,150.89,148.94,149.92,1767622.0
2024-06-26,150.05,150.05,146.53,147.16,1292171.0
2024-06-27,147.99,147.99,146.53,147.54,783797
2024-06-28,148.82,149.87,147.07,147.52,3361421.0
2024-07-01,148.3,149.525,146.62,148.12,914643
2024-07-02,149.42,149.42,147.505,148.92,2895583.0
2024-07-03,149.18,149.875,148.9,149.2,623046
2024-07-05,149.37,149.37,146.21,146.88,1035910.0
2024-07-08,146.01,147.76,145.875,146.63,1411721.0
2024-07-09,145.11,147.14,144.55,145.78,1409445.0
2024-07-10,145.44,147.84,145.19,147.68,1107186.0
2024-07-11,148.03,149.27,146.85,147.74,3162765.0
2024-07-12,148.61,149.02,147.28,148.38,1206774.0
2024-07-15,149,152.5,148.79,150.61,1593965.0
2024-07-16,149.93,151.08,148.92,150.53,983666
2024-07-17,151.67,154.699,151.49,154.41,1676312.0
2024-07-18,154.34,157.6,153.485,155.44,2236857.0
2024-07-19,155.83,156.17,151.45,152.61,1725592.0
2024-07-22,151.82,152.24,150.135,150.22,1311260.0
2024-07-23,149.9,149.9,146.755,146.78,1390906.0
2024-07-24,147.84,148.44,146.05,147.01,2701977.0
2024-07-25,147.13,150.25,146.55,149.85,1239201.0
2024-07-26,149.72,151.115,149.22,150.25,1169120.0
2024-07-29,150.76,150.95,146.86,148.76,1142654.0
2024-07-30,148.89,152.32,148.89,151.69,1280432.0
2024-07-31,153,154.19,152.2,153.42,1302064.0
2024-08-01,148.75,149.75,140.83,141.23,6607069.0
2024-08-02,140.4,141.17,135.95,137.31,2986131.0
2024-08-05,134.55,134.735,132.095,132.44,2026159.0
2024-08-06,132.28,132.69,130.35,131.38,2493067.0
2024-08-07,133.37,134.51,131.08,131.11,1454607.0
2024-08-08,131.42,133.56,131.04,133.45,1469409.0
