date,open,high,low,close,volume,vwap,transactions
2024-10-01,208.9,209.09,206.19,207.04,8540064,207.4313,135878
2024-10-02,207.08,208.95,205.69,207.29,5810931,207.4325,103661
2024-10-03,206.17,206.49,204.34,205.23,7251325,205.2004,118393
2024-10-04,209.3,211.67,206.91,211.22,10113415,209.7759,135152
2024-10-07,211.03,213.33,209.69,210.93,6718898,211.169,118681
2024-10-08,210.58,211.33,208.38,210.75,6021772,210.3516,97284
2024-10-09,209.7,214.24,209.38,213.42,7022798,213.1078,108557
2024-10-10,214.81,214.81,211.47,212.84,7919051,212.8093,119507
2024-10-11,215.67,224.6299,215.16,222.29,18320650,221.9002,251286
2024-10-14,223.2,223.7,218.88,221.48,9048925,220.8399,135642
2024-10-15,223.66,225.45,221.82,222.39,9235825,223.2597,151091
2024-10-16,222.33,223.68,221.04,223.64,6382515,222.79,116237
2024-10-17,224.27,225.85,223.31,224.42,6453036,224.7891,116059
2024-10-18,225,225.92,223.1,225.37,7000543,225.1406,100385
2024-10-21,225.22,225.7,222.9,223,5869959,223.5469,99627
2024-10-22,223.02,225.28,221.1,224.12,9586793,223.7852,137632
2024-10-23,223.66,224.7999,222.53,223.41,6180528,223.642,97513
2024-10-24,221.83,225.06,221.66,224.98,6002202,223.8946,91620
2024-10-25,225,225.62,220.875,222.31,6369720,222.6167,100336
2024-10-28,223.35,225.64,222.95,225.5,6842956,224.9666,86006
2024-10-29,225.21,226.75,222.81,222.9,6580004,223.6559,96336
2024-10-30,222.54,226.31,221.58,224.41,7110941,224.7623,109454
2024-10-31,224.7,225.69,221.82,221.92,7829932,222.7962,109890
2024-11-01,223.56,226.15,222.7,222.94,6923452,224.0946,111216
2024-11-04,222.65,223.76,219.17,219.78,8229588,220.4825,115955
2024-11-05,220.03,221.96,220,221.49,5600686,221.0791,96449
2024-11-06,235,248,234.77,247.06,23987753,243.4471,334869
2024-11-07,244.5,244.57,235.22,236.38,16451071,238.1511,244024
2024-11-08,239.34,239.34,235.78,236.98,9502100,237.5861,141032
2024-11-11,240,242.1,239,239.29,9017079,240.1345,129737
2024-11-12,240.55,241.46,238.76,239.56,6860956,239.8147,120313
2024-11-13,240.58,244.09,240.31,241.16,11472557,241.6324,118090
2024-11-14,242.415,244.29,241.05,241.87,10172202,242.2416,114876
2024-11-15,241.46,246.42,241.46,245.31,11518836,244.9926,148014
2024-11-18,247.76,247.93,242.68,245.03,8993875,244.9528,116187
2024-11-19,242.25,245.1509,241.55,243.09,6792660,243.4791,104729
2024-11-20,244.4,244.61,238.64,240.78,9015290,240.741,104798
2024-11-21,243.23,245.49,242.105,244.76,8783516,244.2645,114974
2024-11-22,243.61,249.15,243.0347,248.55,7997307,248.1021,111280
2024-11-25,249.59,254.31,249.06,250.29,10295350,250.2072,114513
2024-11-26,250.49,251,248.34,249.97,6212142,249.6963,91630
2024-11-27,249.35,251.19,248.771,249.79,5472265,249.8734,82760
2024-11-29,249.86,251.77,249.445,249.72,5494825,250.3586,67560
2024-12-02,249.55,250.25,245.03,246.25,8899741,246.6101,122265
2024-12-03,248.23,249.04,244.63,244.82,6657694,245.9526,104470
2024-12-04,244.7,245.345,242.23,243.4,7346265,243.4167,103998
2024-12-05,245.39,247.18,244.62,245.48,6572536,245.9133,100872
2024-12-06,245.7,247.74,244.84,247.36,5476538,246.6845,89889
2024-12-09,247.13,247.8699,243.76,243.81,7076466,244.9042,111650
2024-12-10,243.89,247.96,242.22,242.86,9108339,243.6079,134293
