date,open,high,low,close,volume
2024-06-03,14.46,14.491,13.94,14.12,12323416.0
2024-06-04,13.91,14.12,13.695,13.87,12782631.0
2024-06-05,13.94,14,13.76,13.86,7736059.0
2024-06-06,13.89,13.995,13.81,13.93,8018328.0
2024-06-07,13.79,14.025,13.785,13.93,11586382.0
2024-06-10,13.75,13.79,13.51,13.67,13357260.0
2024-06-11,13.52,13.555,13.28,13.42,16128075.0
2024-06-12,13.83,14.115,13.625,13.73,16430309.0
2024-06-13,13.66,13.725,13.48,13.64,12395058.0
2024-06-14,13.37,13.505,13.105,13.36,14013216.0
2024-06-17,13.35,13.58,13.14,13.56,14812482.0
2024-06-18,13.54,13.71,13.46,13.58,13803904.0
2024-06-20,13.53,13.7,13.4,13.64,10498575.0
2024-06-21,13.63,13.64,13.435,13.6,17941671.0
2024-06-24,13.64,14.02,13.52,13.92,14916904.0
2024-06-25,13.85,13.955,13.625,13.65,14661696.0
2024-06-26,13.43,13.565,13.41,13.53,14474761.0
2024-06-27,13.5,13.67,13.4,13.62,8645662.0
2024-06-28,13.77,14.24,13.7,14.21,21144165.0
2024-07-01,14.2,14.495,14.18,14.22,12091070.0
2024-07-02,14.19,14.45,14.155,14.43,10372278.0
2024-07-03,14.43,14.475,14.26,14.27,5939996.0
2024-07-05,14.25,14.315,13.93,13.95,17588282.0
2024-07-08,13.82,14.13,13.82,14.03,12118712.0
2024-07-09,13.98,14.38,13.93,14.29,8560093.0
2024-07-10,14.37,14.705,14.27,14.67,10274055.0
2024-07-11,14.94,15.215,14.86,15.13,14400810.0
2024-07-12,15.12,15.35,14.98,15.21,14484838.0
2024-07-15,15.49,15.63,15.36,15.5,15322689.0
2024-07-16,15.54,16.01,15.45,15.99,16979687.0
2024-07-17,15.9,16.47,15.86,16.21,24453102.0
2024-07-18,15.85,16.13,15.5,15.56,30745833.0
2024-07-19,15.55,15.785,15.385,15.59,20292867.0
2024-07-22,15.5,15.78,15.23,15.77,18715774.0
2024-07-23,15.74,16.015,15.7,15.86,16692693.0
2024-07-24,15.93,16.13,15.75,15.79,13944844.0
2024-07-25,15.83,16.28,15.74,16.13,11788474.0
2024-07-26,16.25,16.47,16.13,16.46,14594331.0
2024-07-29,16.48,16.505,16.14,16.21,16565331.0
2024-07-30,16.29,16.49,16.16,16.25,12466859.0
2024-07-31,16.25,16.475,16.07,16.13,13059100.0
2024-08-01,16.09,16.14,15.1403,15.22,15198492.0
2024-08-02,14.79,14.83,14.27,14.45,19973460.0
2024-08-05,13.87,14.24,13.63,14.12,19477536.0
2024-08-06,14.14,14.535,14.04,14.26,13158235.0
2024-08-07,14.53,14.73,14.16,14.18,13258945.0
2024-08-08,14.43,14.58,14.35,14.54,12561875.0
2024-08-09,14.54,14.635,14.43,14.61,15510976.0
2024-08-12,17.04,17.09,15.745,15.94,45932624.0
2024-08-13,16.09,16.09,15.525,15.69,25942461.0
2024-08-14,15.78,15.855,15.6,15.64,14836178.0
2024-08-15,15.9,16.44,15.9,16.2,16595005.0
2024-08-16,16.19,16.51,16.165,16.39,12611080.0
2024-08-19,16.39,16.72,16.39,16.7,13903322.0
2024-08-20,16.63,16.74,16.47,16.66,13982192.0
2024-08-21,16.76,16.76,16.35,16.44,10389033.0
2024-08-22,16.48,16.655,16.35,16.42,12092181.0
2024-08-23,16.57,17.2,16.465,17.07,22895322.0
2024-08-26,17.19,17.19,16.85,16.95,10485697.0
2024-08-27,16.6,16.84,16.6,16.67,11204839.0
2024-08-28,16.64,16.895,16.615,16.74,8405336.0
2024-08-29,16.84,17,16.585,16.88,12771422.0
2024-08-30,16.89,17.08,16.81,17.06,12129062.0
2024-09-03,16.82,17,16.64,16.73,15732804.0
2024-09-04,16.68,16.695,16.3,16.46,17489951.0
2024-09-05,16.65,16.65,16.1401,16.24,14781562.0
2024-09-06,16.24,16.36,15.69,15.7,12443269.0
2024-09-09,15.81,16.645,15.75,16.18,21596244.0
2024-09-10,16.19,16.19,15.67,15.88,13781743.0
2024-09-11,15.75,16,15.395,15.92,11046623.0
2024-09-12,15.98,16.21,15.855,16.1,11579479.0
2024-09-13,16.24,16.49,15.85,16.09,13185865.0
2024-09-16,16.07,16.4,16.07,16.27,6398289.0
2024-09-17,16.42,16.685,16.38,16.57,8332745.0
2024-09-18,16.57,16.965,16.39,16.59,10038805.0
2024-09-19,16.98,17.39,16.87,17.34,14988241.0
2024-09-20,17.22,17.33,16.94,17.12,20004598.0
2024-09-23,17.13,17.235,16.784,16.81,10526082.0
2024-09-24,16.81,17.005,16.52,16.62,9853068.0
2024-09-25,16.63,16.67,16.35,16.38,10596176.0
2024-09-26,16.56,16.71,16.42,16.55,9291033.0
2024-09-27,16.64,16.76,16.44,16.61,5057173.0
2024-09-30,16.59,16.805,16.47,16.75,6175896.0
2024-10-01,16.59,16.635,16.05,16.24,9444593.0
2024-10-02,16.23,16.51,16.14,16.21,6980651.0
2024-10-03,16.12,16.38,15.945,16.37,8057160.0
2024-10-04,16.65,16.99,16.605,16.78,9477952.0
2024-10-07,16.69,16.87,16.55,16.77,6205124.0
2024-10-08,16.84,16.9,16.7,16.73,7104417.0
2024-10-09,16.73,17.006,16.645,16.87,7331867.0
2024-10-10,16.74,16.906,16.62,16.84,7297701.0
2024-10-11,16.98,17.47,16.93,17.22,10220343.0
2024-10-14,17.03,17.44,16.905,17.4,11829790.0
2024-10-15,17.48,17.936,17.46,17.49,11298923.0
2024-10-16,17.72,17.88,17.56,17.7,11862201.0
2024-10-17,17.2,17.52,16.9014,17.25,16550845.0
2024-10-18,17.16,17.4762,17.16,17.35,10728839.0
2024-10-21,17.36,17.53,17.06,17.09,7560391.0
2024-10-22,17.06,17.2275,17,17.17,8539145.0
2024-10-23,17.09,17.29,16.955,17.08,5979109.0
2024-10-24,17.17,17.2825,17.02,17.23,8355648.0
2024-10-25,17.44,17.445,16.985,17.04,7423181.0
2024-10-28,17.23,17.63,17.14,17.55,10705153.0
2024-10-29,17.5,17.58,17.35,17.38,10252672.0
2024-10-30,17.38,17.81,17.375,17.49,11124130.0
2024-10-31,17.51,17.59,17.25,17.25,9138918.0
2024-11-01,17.34,17.535,17.15,17.19,7053213.0
2024-11-04,17.22,17.27,17.02,17.04,8129962.0
2024-11-05,17.14,17.31,17.08,17.26,5585064.0
2024-11-06,18.49,20,18.49,19.97,27055786.0
2024-11-07,19.56,19.74,19.015,19.16,13881182.0
2024-11-08,19.05,19.28,18.8,18.97,15226271.0
2024-11-11,19.34,19.485,19.19,19.25,6623408.0
2024-11-12,19.12,19.356338,19.0446,19.18,8403852.0
2024-11-13,19.26,19.54,19.04,19.05,7669967.0
2024-11-14,19.09,19.31,18.94,19.14,4836350.0
2024-11-15,19.21,19.35,18.955,19.16,7951870.0
2024-11-18,19.14,19.28,19.09,19.23,7320361.0
2024-11-19,18.9,19.2,18.835,19,8823253.0
2024-11-20,19.12,19.16,18.85,19.02,5298800.0
2024-11-21,19.1,19.46,19.05,19.22,6311840.0
2024-11-22,19.18,19.63,19.18,19.6,7997185.0
2024-11-25,19.78,20.0395,19.77,19.81,8796105.0
2024-11-26,19.73,19.84,19.6,19.66,8209945.0
2024-11-27,19.69,19.77,19.44,19.52,5960293.0
2024-11-29,19.57,19.61,19.31,19.48,5524775.0
2024-12-02,19.55,19.58,19.03,19.11,10047632.0
2024-12-03,18.93,18.955,18.61,18.81,8780829.0
2024-12-04,18.77,18.9,18.6,18.75,8998192.0
2024-12-05,18.85,18.985,18.675,18.72,7767493.0
2024-12-06,18.73,18.89,18.5,18.87,7001343.0
2024-12-09,18.82,18.92,18.525,18.54,7998049.0
2024-12-10,18.61,18.83,18.14,18.41,12965850.0
2024-12-11,18.63,18.68,18.23,18.31,8812654.0
2024-12-12,18.38,18.44,18.03,18.06,7758950.0
2024-12-13,18.2,18.27,18.055,18.13,9028810.0
2024-12-16,18.12,18.34,18.025,18.2,10794770.0
2024-12-17,18.04,18.2,17.7,17.8,10380786.0
2024-12-18,17.92,17.97,16.885,16.96,14327513.0
2024-12-19,17.26,17.49,16.77,16.81,12267711.0
2024-12-20,16.76,17.26,16.67,17.09,29210516.0
2024-12-23,16.87,17.25,16.87,17.22,11099340.0
2024-12-24,17.21,17.38,17.15,17.37,4280164.0
2024-12-26,17.28,17.41,17.14,17.39,5443491.0
2024-12-27,17.27,17.49,17.125,17.2,6597113.0
2024-12-30,17.03,17.17,16.89,17.11,5863824.0
2024-12-31,17.18,17.36,17.07,17.14,6068136.0
2025-01-02,17.33,17.4,16.865,16.98,9115254.0
2025-01-03,17.06,17.3089,16.78,17.29,7008752.0
2025-01-06,17.45,17.69,17.31,17.38,9835984.0
2025-01-07,17.54,17.64,17.11,17.19,10890185.0
2025-01-08,17.07,17.14,16.8,17.11,9867429.0
2025-01-10,16.9,16.945,16.59,16.72,16167147.0
2025-01-13,16.6,17.02,16.55,17.02,14128241.0
2025-01-14,17.11,17.52,17.105,17.48,12195370.0
2025-01-15,18.07,18.3,17.97,18.14,17501910.0
2025-01-16,17.92,18.06,17.67,17.84,16416323.0
2025-01-17,17.9,18.37,17.84,18.3,17480460.0
2025-01-21,17.44,17.88,17.29,17.64,27286295.0
2025-01-22,17.5,17.58,17.225,17.3,17231410.0
2025-01-23,17.34,17.51,17.235,17.47,12095257.0
2025-01-24,17.39,17.96,17.39,17.68,11064937.0
2025-01-27,17.74,17.87,17.46,17.66,14825370.0
2025-01-28,17.63,17.79,17.34,17.65,13398259.0
2025-01-29,17.64,17.96,17.54,17.67,9128390.0
2025-01-30,17.83,18.17,17.77,18.03,16170290.0
2025-01-31,18.06,18.16,17.9,17.98,14669993.0
2025-02-03,17.44,17.75,17.29,17.47,11463605.0
2025-02-04,17.57,17.96,17.505,17.95,12009674.0
2025-02-05,18.05,18.06,17.74,17.85,11389599.0
2025-02-06,18.1,18.1,17.77,17.95,13387699.0
2025-02-07,17.99,17.99,17.62,17.84,13056287.0
2025-02-10,17.92,17.92,17.505,17.51,8149406.0
2025-02-11,17.42,17.64,17.3,17.56,9666238.0
2025-02-12,17.33,17.645,17.175,17.6,13884616.0
2025-02-13,17.68,17.705,17.31,17.48,10490200.0
2025-02-14,17.55,17.85,17.5307,17.72,8284051.0
2025-02-18,17.76,17.975,17.625,17.96,8580141.0
2025-02-19,17.71,18.06,17.69,18.03,7650493.0
2025-02-20,18.08,18.08,17.375,17.58,10336263.0
2025-02-21,17.7,17.7,16.93,16.93,14269070.0
2025-02-24,17.06,17.1,16.63,16.77,12384497.0
2025-02-25,16.91,16.975,16.57,16.67,12610553.0
2025-02-26,16.77,17.165,16.75,16.86,9897350.0
2025-02-27,16.92,17.44,16.9,16.98,11399336.0
2025-02-28,17.08,17.34,17,17.32,9814657.0
2025-03-03,17.35,17.6084,16.785,16.98,12074364.0
2025-03-04,16.47,16.69,15.6201,16.24,21059432.0
2025-03-05,16.24,16.39,15.83,16.26,16463747.0
2025-03-06,16,16.22,15.725,15.93,13562108.0
2025-03-07,15.83,15.865,15.23,15.73,18700032.0
2025-03-10,15.48,15.52,14.88,15.16,22089745.0
2025-03-11,15.19,15.345,14.87,15.16,15437068.0
2025-03-12,15.32,15.6251,15.215,15.48,14917982.0
2025-03-13,15.53,15.605,15.13,15.15,11744295.0
2025-03-14,15.425,15.71,15.39,15.68,18651730.0
2025-03-17,15.68,15.88,15.535,15.8,11350957.0
2025-03-18,15.85,15.895,15.67,15.85,10329412.0
2025-03-19,15.87,16.235,15.76,16.05,9796686.0
2025-03-20,15.84,16.31,15.84,16.09,15328557.0
2025-03-21,16,16.275,15.87,16.15,57103938.0
2025-03-24,16.35,16.655,16.3,16.57,12006280.0
2025-03-25,16.58,16.745,16.43,16.57,14952790.0
2025-03-26,16.66,16.855,16.28,16.4,12792844.0
2025-03-27,16.34,16.46,16.1,16.17,13081251.0
2025-03-28,16.1,16.28,15.64,15.8,10180711.0
2025-03-31,15.55,16.06,15.385,15.99,14387141.0
2025-04-01,15.81,15.93,15.6049,15.8,11185258.0
2025-04-02,15.53,16.1,15.53,16.07,12591673.0
2025-04-03,15.18,15.235,14.07,14.12,20373968.0
2025-04-04,13.6,13.655,12.725,13.47,23357967.0
2025-04-07,13.15,14.045,12.7819,13.51,36888545.0
2025-04-08,14.02,14.32,12.985,13.23,35693969.0
2025-04-09,12.97,14.79,12.8,14.52,28765683.0
2025-04-10,14.08,14.13,13.265,13.74,19867678.0
2025-04-11,13.56,13.79,13.21,13.73,15718983.0
2025-04-14,14.04,14.21,13.83,14.06,18741947.0
2025-04-15,14.14,14.595,14.12,14.25,15071677.0
2025-04-16,14.12,14.47,13.89,14.07,16943448.0
2025-04-17,14.5,14.73,14.215,14.27,19001762.0
2025-04-21,14.05,14.205,13.68,13.79,13122060.0
2025-04-22,14,14.195,13.9,14.17,17914240.0
2025-04-23,14.63,15.135,14.46,14.52,16244189.0
2025-04-24,14.5,14.925,14.425,14.87,8822722.0
2025-04-25,14.7,14.87,14.63,14.72,8052212.0
2025-04-28,14.74,14.94,14.74,14.87,10593981.0
2025-04-29,14.78,15.04,14.65,14.94,9756725.0
2025-04-30,14.625,14.88,14.44,14.84,9494725.0
2025-05-01,14.82,15.115,14.72,14.99,9889026.0
2025-05-02,15.29,15.55,15.14,15.49,12415293.0
2025-05-05,15.33,15.79,15.29,15.56,12782675.0
2025-05-06,15.36,15.49,15.27,15.3,9606233.0
2025-05-07,15.39,15.475,15.1601,15.23,11611433.0
2025-05-08,15.405,15.68,15.405,15.57,10822934.0
2025-05-09,15.64,15.64,15.39,15.49,12402675.0
2025-05-12,16.29,16.615,16.19,16.46,15649613.0
2025-05-13,16.56,16.67,16.4313,16.62,12244301.0
2025-05-14,16.6,16.67,16.52,16.59,11046815.0
2025-05-15,16.5,16.6,16.37,16.48,9587473.0
2025-05-16,16.505,16.71,16.34,16.63,14471001.0
2025-05-19,16.46,16.595,16.41,16.49,10158228.0
2025-05-20,16.43,16.535,16.265,16.29,10538706.0
2025-05-21,16.09,16.135,15.59,15.61,9809311.0
2025-05-22,15.57,15.8,15.485,15.69,11195104.0
2025-05-23,15.28,15.73,15.28,15.65,10025724.0
2025-05-27,15.75,15.77,15.445,15.76,12085175.0
2025-05-28,15.77,16.08,15.59,15.76,21884543.0
2025-05-29,15.87,15.96,15.73,15.95,15588915.0
2025-05-30,15.82,15.9,15.65,15.86,16412851.0
2025-06-02,15.79,15.86,15.465,15.8,10950410.0
2025-06-03,15.81,16.12,15.65,16.03,10399917.0
2025-06-04,16.04,16.13,15.88,15.9,9923020.0
2025-06-05,15.89,16.01,15.73,15.9,10979665.0
2025-06-06,16.23,16.35,16.095,16.33,8924086.0
2025-06-09,16.44,16.51,16.27,16.28,9965551.0
2025-06-10,16.3,16.43,16.23,16.35,9962741.0
2025-06-11,16.5,16.5,16.16,16.23,15996661.0
2025-06-12,16.12,16.17,15.88,16.11,10316323.0
2025-06-13,15.86,15.91,15.585,15.65,13459307.0
2025-06-16,15.9,16.095,15.8,15.93,10764207.0
2025-06-17,15.83,15.935,15.66,15.73,13936117.0
2025-06-18,15.71,16.15,15.68,16.01,14236673.0
2025-06-20,16.09,16.2,16.03,16.16,14385482.0
2025-06-23,16.01,16.51,16.01,16.49,12262084.0
2025-06-24,16.65,16.89,16.615,16.75,17234463.0
2025-06-25,16.73,16.82,16.615,16.77,11935677.0
2025-06-26,16.86,17.21,16.82,17.15,12325147.0
2025-06-27,17.16,17.31,17.06,17.22,21123186.0
2025-06-30,17.36,17.5,17.3,17.42,24094997.0
2025-07-01,17.39,17.97,17.335,17.87,18865010.0
2025-07-02,17.84,18.23,17.785,18.2,18038013.0
2025-07-03,18.37,18.55,18.21,18.46,13695000.0
2025-07-07,18.305,18.55,18.09,18.29,18626175.0
2025-07-08,18.69,18.69,18.3815,18.48,24580619.0
2025-07-09,18.56,18.73,18.39,18.46,16825555.0
2025-07-10,18.39,18.635,18.39,18.49,15976011.0
2025-07-11,18.315,18.43,18.18,18.33,14371457.0
2025-07-14,18.32,18.3899,18.17,18.36,17225538.0
2025-07-15,18.24,18.41,17.86,17.89,24816507.0
2025-07-16,17.97,18.07,17.64,17.97,24751336.0
2025-07-17,17.89,18.43,17.85,18.37,27655881.0
2025-07-18,18.45,18.58,18.34,18.5,33688093.0
2025-07-21,18.46,18.61,18.28,18.28,32000890.0
2025-07-22,18.5,18.81,18.155,18.71,40652150.0
2025-07-23,18.81,18.905,18.61,18.8,44310779.0
2025-07-24,18.8,18.8,18.46,18.5,37471035.0
2025-07-25,18.5,18.61,18.2299,18.57,39231161.0
2025-07-28,18.57,18.63,18.32,18.44,32397994.0
2025-07-29,18.59,18.625,18.28,18.39,34808627.0
2025-07-30,18.415,18.53,18.025,18.16,43720231.0
2025-07-31,18.11,18.215,17.88,17.92,47085677.0
2025-08-01,17.55,17.73,17.1801,17.65,52086188.0
2025-08-04,17.7,17.88,17.625,17.83,34804355.0
2025-08-05,17.9,17.92,17.46,17.81,37531755.0
2025-08-06,17.89,17.89,17.47,17.49,32012443.0
2025-08-07,17.71,17.71,17.33,17.41,20231661.0
2025-08-08,17.56,17.65,17.385,17.61,16691191.0
2025-08-11,17.63,17.705,17.34,17.37,17423736.0
2025-08-12,17.49,17.94,17.49,17.91,24622084.0
2025-08-13,18.015,18.23,17.835,18.22,27662376.0
2025-08-14,18.09,18.32,17.9,18.3,24619737.0
2025-08-15,18.36,18.36,18.04,18.04,23017462.0
2025-08-18,18,18.18,17.96,18.18,20244502.0
