date,open,high,low,close,volume,vwap,transactions
2024-10-01,778.47,786.91,746.16,753.69,1279568,755.1764,38276
2024-10-02,760.66,787.44,755,777.36,701970,777.5108,30875
2024-10-03,764.86,783.9863,764,774.56,584442,773.2594,26454
2024-10-04,800.46,800.46,777.2102,787.39,757463,785.8887,28615
2024-10-07,777.73,787.8956,771.84,781.67,748102,781.1139,28429
2024-10-08,781.9,793.67,774.24,783.9,653438,784.8871,25013
2024-10-09,782.03,806.78,780.35,804.63,628618,800.4744,27741
2024-10-10,791.35,799.82,787,797.98,461860,794.9824,22041
2024-10-11,792.78,806.42,792.665,803.73,570837,800.7055,24004
2024-10-14,809.37,832.9987,809.37,829.65,568010,827.5017,27833
2024-10-15,825.52,832.38,698.96,707.72,2870922,728.4333,103634
2024-10-16,720.57,720.76,682.01,682.59,2280605,692.7545,75951
2024-10-17,700.98,701.22,669.68,670.25,1936454,677.0585,62561
2024-10-18,667.93,681.8999,664.32,678.52,1192779,676.295,42477
2024-10-21,677.5,679.75,667.4,673.61,739303,672.8469,30343
2024-10-22,670,673.15,663.66,670.08,787359,669.2053,29533
2024-10-23,664.64,672.31,654.65,664.63,846801,663.6242,33872
2024-10-24,678.75,684.39,665.44,666.16,884710,669.1929,31043
2024-10-25,669.67,682.84,668,673.07,955127,675.8281,33677
2024-10-28,673.15,679.14,670.21,674.35,1051907,674.0931,32966
2024-10-29,675,700.4,673.77,696.23,1333889,691.5189,39418
2024-10-30,682,695.19,680.01,691.8,1656842,690.8153,48123
2024-10-31,677.65,681.05,656,666.23,2001239,665.0032,69963
2024-11-01,666.5,678.645,663.44,669.38,906447,671.4232,36402
2024-11-04,667.25,670.56,662.36,663.37,638075,665.1919,28659
2024-11-05,669.08,681.55,667.25,670.33,1016563,672.7122,35888
2024-11-06,675,678.64,657.48,669.66,1715366,668.4643,49712
2024-11-07,682.85,687.82,675.1,686.15,1122410,683.694,37071
2024-11-08,689.605,694.36,681.38,687.41,1278083,686.6118,34983
2024-11-11,684,685.205,656.74,666.03,1423059,664.754,39519
2024-11-12,663.01,669.26,654.86,664.78,1107502,662.6594,33527
2024-11-13,654.06,655.99,638.32,644.55,1505369,644.8405,42707
2024-11-14,660,660,642.74,645,1169870,646.7785,32670
2024-11-15,620.53,630,612.35,614.46,1712201,617.7722,55148
2024-11-18,614.23,623.7737,611.77,620.26,1223583,619.1052,32659
2024-11-19,616.48,618.41,609.4,615.66,1409149,614.7832,34281
2024-11-20,616.49,619.9499,609.89,616.83,1195320,615.2934,34131
2024-11-21,627.8,637.96,620,633.16,1386198,631.6302,36331
2024-11-22,630,643.03,630,639.55,982002,638.3066,29527
2024-11-25,646.69,646.69,632.105,644.67,1912957,641.0905,40759
2024-11-26,651.18,651.18,623.86,631.47,923437,630.8894,33813
2024-11-27,631.47,633.985,621.23,632.14,942793,628.7882,28875
2024-11-29,644.81,661.495,643.27,647.03,925673,651.3025,27548
2024-12-02,645.01,669.07,645,666.03,1380516,662.2878,39006
