date,open,high,low,close,volume,vwap,transactions
2024-10-01,72.1,72.745,71.63,71.71,13294498,71.958,176413
2024-10-02,71.39,71.43,70.41,71.01,11155480,70.8824,162023
2024-10-03,70.86,70.99,70.2,70.52,9374794,70.4881,134204
2024-10-04,69.96,70.28,69.72,70.17,12687289,70.0346,169409
2024-10-07,70.05,70.1,68.87,69.01,14511962,69.2191,194119
2024-10-08,69.04,69.44,68.86,69.18,13539842,69.1058,120636
2024-10-09,69.19,69.74,69.07,69.57,9037735,69.5093,132449
2024-10-10,69.83,69.91,68.985,69.25,8635150,69.2522,133541
2024-10-11,69.46,69.59,68.995,69.57,8786318,69.4537,131204
2024-10-14,69.57,70.47,69.47,70.34,7659318,70.1704,134119
2024-10-15,70.46,71.21,70.16,70.34,10358734,70.4913,152933
2024-10-16,70.09,70.7,69.97,70.57,7937347,70.4868,128251
2024-10-17,70.63,70.69,69.58,69.9,14674631,69.9079,147792
2024-10-18,69.87,70.55,69.605,70.44,14837519,70.2563,125491
2024-10-21,70,70.325,69.305,69.45,11981163,69.6476,171966
2024-10-22,69,69.745,68.68,69.45,18603251,69.4642,184446
2024-10-23,66.99,68.7,66.58,68.01,24655203,67.9402,289457
2024-10-24,67.65,68.04,66.952,67.3,17568831,67.3344,201470
2024-10-25,67.07,67.7,66.79,66.92,11138127,67.1518,163281
2024-10-28,66.96,67.395,66.6,66.67,10761416,66.8204,179327
2024-10-29,66.29,66.34,65.52,65.56,16525917,65.7992,210717
2024-10-30,65.51,66.535,65.32,65.92,14177766,66.0036,177098
2024-10-31,65.81,65.99,65.255,65.31,13383717,65.514,167397
2024-11-01,65.47,65.66,64.89,65.01,12163094,65.0884,178451
2024-11-04,65.08,65.42,64.6507,65.11,10984502,65.0311,172726
2024-11-05,64.64,65.46975,64.64,65.37,8780220,65.2384,101147
2024-11-06,64.42,64.86,63.18,63.7,22899263,63.7335,294425
2024-11-07,64.29,64.39,63.6,63.66,14856051,63.8162,195427
2024-11-08,63.91,64.24,63.74,63.92,14719308,63.9873,173083
2024-11-11,63.99,64.12,63.2509,63.36,13980873,63.583,158956
2024-11-12,63.68,63.75,63.12,63.2,15020975,63.3482,144222
2024-11-13,63.05,63.26,62.49,63,13177637,62.965,129589
2024-11-14,63.11,63.11,62.43,62.55,15910820,62.6805,153715
2024-11-15,62.49,62.63,61.39,61.74,26284331,61.7472,216616
2024-11-18,61.85,62.14,61.56,61.86,16079364,61.887,137407
2024-11-19,61.9,62.62,61.63,62.59,16254832,62.2928,142699
2024-11-20,62.7,63.01,62.02,62.99,18904909,62.7858,135614
2024-11-21,63.15,63.81,62.95,63.76,17292300,63.5372,142955
2024-11-22,64.24,64.48,63.65,63.92,19562231,63.9084,151738
2024-11-25,64.32,64.71,63.84,64.38,36805252,64.3279,141322
2024-11-26,64.31,64.64,64.06,64.55,14473271,64.4882,126516
2024-11-27,64.96,65.1,64.25,64.43,13263403,64.6342,119813
2024-11-29,64.02,64.25,63.77,64.08,10648354,64.0883,86331
2024-12-02,64.05,64.19,63.345,63.65,16500095,63.6845,130230
2024-12-03,63.72,64.08,63.025,63.52,24874490,63.5897,136859
2024-12-04,63.275,63.35,61.9,62.21,28137660,62.3023,192310
2024-12-05,62.47,63.12,62.1,62.92,21040359,62.733,156699
2024-12-06,62.83,63.36,62.51,62.53,15581148,62.7691,128436
2024-12-09,62.69,62.929,61.9,62.6,22348331,62.5597,177027
2024-12-10,62.7,63.04,61.79,62.91,14949415,62.6346,128565
2024-12-11,63,63.63,62.4,62.64,32819011,62.811,156803
2024-12-12,63.55,63.92,63.22,63.84,17542091,63.6955,135140
2024-12-13,63.57,63.835,63.11,63.12,13429033,63.3708,123919
2024-12-16,63.23,63.86,62.35,62.55,24559738,62.8408,154688
2024-12-17,62.45,63.55,62.32,63.4,21902382,63.3577,156807
2024-12-18,62.81,63.64,62.79,62.85,20946087,63.1292,149421
2024-12-19,62.7,63.17,62.4,62.45,21300647,62.6603,149874
2024-12-20,62.47,63.06,62.28,62.55,42458096,62.5887,132918
2024-12-23,62.5,62.76,61.5318,62.38,13010758,62.1143,129799
2024-12-24,62.2,62.84,62.01,62.84,5019131,62.5968,54378
2024-12-26,62.62,62.74,62.4,62.57,7945641,62.5808,94994
2024-12-27,62.45,62.95,62.209,62.45,8542773,62.5198,92383
2024-12-30,62.34,62.34,61.68,62.03,8972212,62.032,104606
2024-12-31,62.02,62.43,61.8,62.26,9256664,62.152,86578
2025-01-02,62.35,62.75,61.62,61.84,12990975,61.9384,112814
2025-01-03,61.9,62.075,61.62,61.75,10403204,61.8226,97672
2025-01-06,61.5,61.565,60.66,60.81,17924237,61.0544,181518
2025-01-07,61.11,61.7175,60.615,60.84,17799629,60.9945,153326
2025-01-08,60.99,61.77,60.93,61.71,13922797,61.4646,126247
2025-01-10,61.58,61.65,60.73,61.07,22424951,61.0332,167716
2025-01-13,61.13,61.845,60.71,61.65,18016173,61.527,139354
2025-01-14,61.655,62.065,61.3,62.04,16637287,61.7866,123209
2025-01-15,62.33,62.62,61.68,61.77,16187203,61.9869,125735
2025-01-16,61.42,62.3,61.32,62.25,12585528,61.9282,107933
2025-01-17,62.31,62.765,62.17,62.71,17948868,62.5693,119939
