date,open,high,low,close,volume,vwap,transactions
2024-10-01,81.751,82.185,78.687,79.738,14368020,79.7929,52444
2024-10-02,80.4,83.037,79.997,81.409,14324110,81.7653,43031
2024-10-03,79.93,82.121,79.88,81.11,6725809,81.0455,77263
2024-10-04,82.97,83.09,80.49,81.54,7589684,81.4564,96365
2024-10-07,80.58,81.42,80.06,80.61,7542706,80.6704,84229
2024-10-08,80.7,81.61,79.8,81.01,6913459,80.9145,74790
2024-10-09,80.76,83.46,80.72,82.86,9078571,82.5963,99879
2024-10-10,81.54,82.95,81.02,82.06,7159542,82.1228,94840
2024-10-11,81.49,83.74,81.28,82.89,6530339,82.9865,94987
2024-10-14,83.77,86.3,83.76,85.7,8155025,85.4798,101574
2024-10-15,85.795,86.56,75.91,76.36,25611343,78.4669,288905
2024-10-16,77.15,77.5,73.8701,74.14,20469238,74.9491,237002
2024-10-17,76.46,76.6,73.03,73.14,20940600,74.012,197315
2024-10-18,74.23,74.23,72.45,72.84,18493382,73.1022,167950
2024-10-21,72.62,73.1,72.085,72.84,12374947,72.7038,120396
2024-10-22,72.67,73.405,71.43,73,13306993,72.7396,141296
2024-10-23,72.37,73.465,71.56,72.86,20569103,72.9934,188833
2024-10-24,76.18,77.48,74.45,76.57,23196197,76.0693,228402
2024-10-25,77.47,79.6,77.08,77.68,14591080,78.4138,171627
2024-10-28,77.165,78.03,75.18,75.45,10175835,76.0464,120944
2024-10-29,75.85,78.74,75.44,78.31,12540791,77.7167,133696
2024-10-30,76.86,77.2,75.85,76.45,11076762,76.6051,127605
2024-10-31,76.1,76.1,73.45,74.35,13044874,74.2512,143814
2024-11-01,74.36,75.47,74.06,74.8,10317546,74.8478,117460
2024-11-04,74.43,74.98,73.76,74.17,7773046,74.2658,100097
2024-11-05,74.52,76.785,74.52,76.4,8004856,76.1573,99977
2024-11-06,77.68,78.09,75.23,76.78,15034807,76.5763,158790
2024-11-07,78.06,79.465,77.35,79.21,11523589,78.7672,133778
2024-11-08,78.83,79.36,77.47,78.2,7527071,78.2812,107361
2024-11-11,77.43,77.89,74.845,76.17,10306217,75.9443,122942
2024-11-12,76.415,76.67,74.66,75.7,9672261,75.6142,115345
2024-11-13,74.5,75.0687,73.51,73.85,11618097,73.9145,113545
2024-11-14,75.45,75.64,74.4958,74.79,9993894,74.9493,105156
2024-11-15,71.65,72.71,69.985,70.05,14577423,70.7611,177144
2024-11-18,69.89,70.8,69.6352,70.57,11520126,70.4694,115799
2024-11-19,70.05,70.52,69.56,70.17,7445949,70.0565,90926
2024-11-20,70.01,70.2156,68.87,70.05,8816927,69.7179,98216
2024-11-21,71.19,73.45,70.83,73.13,14509043,72.671,139881
2024-11-22,72.605,73.27,71.6,72.64,8654481,72.4397,101968
2024-11-25,74.013,74.03,71.64,73.71,16714213,73.4121,127191
2024-11-26,74.11,74.47,72,72.69,7385246,72.7821,105880
2024-11-27,72.73,72.87,70.42,71.57,7846714,71.3972,94069
2024-11-29,73.85,75.77,73.66,73.88,10736454,74.4622,110824
2024-12-02,73.88,78.855,73.855,78.51,20059294,78.0494,177243
2024-12-03,77.7,78.7,77.04,78.34,9884599,78.1494,107903
2024-12-04,79.54,79.829,77.615,78.26,9380428,78.2813,96731
2024-12-05,77.88,77.88,74.65,75.21,12921603,75.3693,105822
2024-12-06,75.14,76.69,74.69,76.59,8329999,76.2627,91804
2024-12-09,76.465,78.25,75.67,77.45,10742162,77.4923,119467
2024-12-10,78.14,78.25,74.42,75.13,10620138,75.2472,117450
2024-12-11,76.32,78.72,75.43,78.23,14116942,77.8,123773
2024-12-12,77.25,77.36,74.95,75.58,8641547,75.8339,101830
2024-12-13,76.38,77.32,75.4401,76.26,10818688,76.1904,108886
2024-12-16,76.27,78.125,75.3218,77.83,12749609,77.5848,118199
2024-12-17,77.89,78.74,77.42,77.81,14167937,77.9768,126240
2024-12-18,78.04,79.31,74.62,75.2,15804705,76.4607,149461
2024-12-19,72.75,72.91,70.1606,71.21,17426426,71.3025,194539
2024-12-20,70.54,73.475,70.3,71.79,29404476,71.7931,141609
2024-12-23,72.35,73.99,72,73.8,10406721,73.5225,105857
2024-12-24,74.065,74.17,73.23,73.83,5611688,73.6688,65062
2024-12-26,73.25,74.56,73,73.99,6298458,74.0473,64504
2024-12-27,73.3,73.76,72.64,73.4,5444088,73.2633,69541
2024-12-30,72,72.59,71.27,72.15,10381689,72.0682,90826
2024-12-31,72.4,72.8,71.54,72.23,7121643,72.0926,82261
2025-01-02,72.71,73.918,71.74,72.44,8075062,72.5799,102881
2025-01-03,73.18,75.275,72.97,75.11,8983435,74.7587,89932
2025-01-06,77.18,80.15,77,77.98,15164600,78.5074,157460
2025-01-07,78.86,80.14,76.89,77.52,10896611,78.1379,119130
2025-01-08,77.42,77.75,76.24,77.04,8690771,76.9686,102819
2025-01-10,76.02,76.23,74.32,74.65,11957584,74.8888,119594
2025-01-13,73.17,74.58,72.56,74.45,8321802,74.0865,100250
2025-01-14,75.04,75.13,73.59,75.06,9033070,74.7372,89325
2025-01-15,75.86,77.27,75.45,76.15,11085772,76.2872,103678
2025-01-16,78.89,82.83,78.31,79.22,19156574,80.6391,211414
2025-01-17,81.41,81.81,79.6,80.3,10350975,80.4598,112946
2025-01-21,80.82,82.43,79.915,81.5,10978304,81.4559,130264
2025-01-22,82.43,85.19,82.42,83.25,14716613,83.865,136246
2025-01-23,80.75,81.39,79.45,81.23,11383314,80.7696,136215
2025-01-24,81.7,81.7,78.98,79.68,9091926,79.8906,110753
2025-01-27,76.79,76.83,73.41,75.63,19881317,75.1383,242490
2025-01-28,75.11,75.67,73.6,74.51,13597666,74.5544,148152
2025-01-29,77.45,77.49,74.47,75.15,14558898,75.627,165707
2025-01-30,79.75,82.09,77.59,80.73,24878513,80.3909,263141
2025-01-31,81.09,84.215,80.845,81.05,18840940,82.1809,183046
2025-02-03,78.975,81.56,78.5,80.19,14537703,80.2402,139787
2025-02-04,79,80.585,78.972,79.91,9538804,79.917,99340
2025-02-05,79.1,82.105,78.62,81.94,10740981,81.1147,107541
2025-02-06,81.15,83.055,80.93,82.83,9903213,82.3449,117714
2025-02-07,83.19,83.51,81.79,82.33,9833594,82.4518,115502
2025-02-10,83.55,84.67,82.56,83.73,13613089,83.6081,122653
2025-02-11,83.06,84.5,82.98,83.26,8903373,83.5143,96037
2025-02-12,81.28,82.14,80.49,81.57,7973042,81.4283,92816
2025-02-13,81.575,83.66,81.45,83.3,7845934,82.7704,101877
2025-02-14,82.65,83.61,81.72,82.75,9149516,82.7222,114262
2025-02-18,84.91,86.81,83.37,86.58,16205484,86.0677,182222
2025-02-19,86.3,89.8,85.75,87.66,15588030,87.8753,185692
2025-02-20,89.98,91.72,88.56,89.02,16888441,89.6589,193425
2025-02-21,89.64,90.22,85.72,86.02,12860943,86.8204,126715
2025-02-24,86.45,86.71,83.22,83.34,11728673,84.353,133245
2025-02-25,83.06,83.6999,79.925,80.29,19088089,81.0976,151185
2025-02-26,81.69,82.93,80.65,81.3,12427523,81.5422,110780
2025-02-27,81.65,82.165,76.04,76.17,14830208,77.8097,139834
2025-02-28,76.75,78.18,75.37,76.74,22608252,76.6753,168576
2025-03-03,77.935,79.75,74.55,75.78,14787065,76.809,195471
2025-03-04,76.03,78.47,74.08,76.44,15417740,76.2331,167268
2025-03-05,76.76,79.41,75.52,79.05,15404767,78.1076,155573
2025-03-06,77.13,78.566,75.855,76.47,13195498,76.7833,137477
2025-03-07,76.65,79.485,75.34,79.01,14160264,77.9565,153521
2025-03-10,76.9,77.38,72.7,73.81,16652714,74.4631,191712
2025-03-11,74.08,75.385,72.45,73.36,12617543,73.542,154577
2025-03-12,75.305,77.66,75.17,76.59,12702064,76.4343,159700
2025-03-13,76.115,77.27,74.545,75.26,9746151,75.5871,119710
2025-03-14,76.755,79.08,76.52,78.69,11862048,78.3878,132633
