date,open,high,low,close,volume,vwap,transactions
2024-10-01,497.26,498.03,493.11,496.38,3748206,495.8489,51463
2024-10-02,492.94,495.91,489.68,495.57,1736490,494.7171,42668
2024-10-03,495.55,497.0875,493,494.97,1382289,494.7757,37150
2024-10-04,495.56,499.05,492.47,497.7,1935893,496.3446,43509
2024-10-07,497.33,498.53,490.75,491.3,1990708,493.0832,41861
2024-10-08,492.5,497.53,491.53,497.06,1750066,495.9379,40034
2024-10-09,498.38,500.7499,495.59,499.95,1707580,499.2967,44840
2024-10-10,500,500.7234,495.84,498.02,1491085,498.0576,39613
2024-10-11,496.51,502.92,496.465,502.26,1920085,500.8255,41735
2024-10-14,504.36,508.79,502.05,506.66,2127041,506.6012,41714
2024-10-15,505.62,509.88,504,507.23,2885897,507.5455,61335
2024-10-16,506.35,515.4025,506,514.07,2956878,511.7464,53175
2024-10-17,516.29,517.045,511.52,513.76,2227465,513.5517,45716
2024-10-18,514.54,518,512.58,516.34,2604684,516.0278,55925
2024-10-21,516.99,518.82,513.9401,515.01,2217572,515.5389,42713
2024-10-22,511.15,514.55,510.5,513.02,1855981,512.8372,38618
2024-10-23,512.66,514.7199,511.9,513.73,1759887,513.6727,41542
2024-10-24,511.9,513.34,509.46,510.62,1912122,511.1275,42059
2024-10-25,512.5,514.73,505.62,507.36,1582222,508.5292,41021
2024-10-28,507.4,510.8599,506.14,508.21,2186574,508.8375,46219
2024-10-29,507.54,511.39,505.7,506.28,2066616,508.1142,51750
2024-10-30,512.52,516.45,507,513.69,3120968,513.6846,70954
2024-10-31,521.25,527.8999,499.03,499.59,5523340,504.9561,114001
2024-11-01,500.44,510.55,498.53,508.08,3753713,507.7769,66687
2024-11-04,509.14,510,503.03,505.58,2165122,505.7348,54807
2024-11-05,505.58,508.15,503.61,505.56,2132859,505.3997,49889
2024-11-06,520.86,523,515.94,521.13,3674066,519.9928,87800
2024-11-07,523.99,524.03,516.5901,517.88,2382508,518.8214,56890
2024-11-08,520.34,528.84,519.53,524.76,2215681,525.4688,61260
2024-11-11,528.85,534.025,528.515,530.12,2213822,530.8248,54727
2024-11-12,529.1,530.9,527.3,529.17,2577628,529.3964,54242
2024-11-13,530.01,530.5,516.415,521.88,2681881,522.0696,69697
2024-11-14,520.62,522.36,517.65,520.4,2449233,520.3636,57836
2024-11-15,518.525,523.39,518,521.89,2408193,521.3423,59501
2024-11-18,518.59,523.49,517,521.63,2493483,521.232,57755
2024-11-19,518.78,522.65,516.756,519.46,2716216,519.8179,52866
2024-11-20,521.53,522.5,511,512.54,2409527,513.2559,60590
2024-11-21,513.23,520.12,511.58,515.1,3077464,515.9117,72106
2024-11-22,516.93,521.705,516.18,520.86,3130470,519.6628,62812
2024-11-25,521.64,528.25,521.02,526.6,4503575,525.6455,75835
2024-11-26,527.9,530.6499,525.06,528.48,2326797,528.3057,56157
2024-11-27,529.05,533.62,526.58,532.38,2086434,531.7976,52001
2024-11-29,533.01,535.7699,530.025,532.94,1760566,532.8077,34545
2024-12-02,532.93,534.82,526.23,531.36,2355191,530.5114,55290
2024-12-03,534.67,534.82,525.96,526.18,2319746,527.6982,50802
2024-12-04,523.64,526.275,518.17,521.14,2630030,520.7573,61741
2024-12-05,524.6,527.47,522.17,524.77,2538695,525.3057,58634
2024-12-06,522.93,531,522.5,528.57,2122791,528.5019,57546
2024-12-09,529.02,531.59,521.875,522.82,2942047,524.3065,64824
2024-12-10,522.51,529.66,520.2201,529.01,2003265,527.5186,54572
2024-12-11,529.19,535.89,527.2701,534.45,2181241,533.4019,55965
2024-12-12,536.29,536.75,531.97,532.41,1860815,533.391,49758
2024-12-13,534.17,534.68,528.91,529,1608196,530.5376,45729
2024-12-16,532,535,528.995,530.31,2923016,530.8988,52147
2024-12-17,529.4,531.78,524.87,531.01,4056007,529.7091,66835
2024-12-18,530.32,537.13,519.71,519.96,3190277,526.0042,69229
2024-12-19,524.16,529.22,522.2,523.28,3050813,524.417,58688
2024-12-20,522.87,532.08,519.42,528.03,7317151,527.3474,58609
2024-12-23,525.83,529.3999,521.13,528.96,2270286,526.4947,49514
2024-12-24,529.27,535.74,527.83,535.71,955015,533.4715,24526
2024-12-26,533.63,537.7,532.92,536.15,1109713,535.9902,31399
2024-12-27,533.61,537.56,530.8,532.2,1542157,532.7182,41282
2024-12-30,527,528.5652,521.33,525.55,2101731,525.7546,44881
2024-12-31,527.67,529.19,525.56,526.57,1942656,526.8418,43062
2025-01-02,529.19,530.56,517.66,522.4,2818795,523.7683,62161
2025-01-03,522.53,524.46,517.68,521.36,1627726,521.2666,47945
2025-01-06,520.97,521.36,511.01,511.93,2920787,515.5876,68204
2025-01-07,513.68,516.33,511.075,511.4,2211877,512.8666,54161
2025-01-08,512.04,517.45,511.5325,516.4,2456715,515.672,48150
2025-01-10,512.12,513.76,503.36,504.67,2815624,506.6427,70821
2025-01-13,501,506.15,499.92,504.91,2885549,504.5427,54051
2025-01-14,507.07,509.39,504.21,509.02,2704795,507.438,49528
2025-01-15,515.57,523.77,513.73,522.35,3025066,520.1943,65578
2025-01-16,523.62,527.12,520.72,523.14,3275700,522.8832,54341
2025-01-17,524.58,528.13,521.01,524.7,2374798,525.0889,50769
