date,open,high,low,close,volume,vwap,transactions
2024-10-01,304.51,305.23,302.25,302.98,3036208,303.3567,56361
2024-10-02,300.58,304.08,299.5801,303.76,2352436,302.8219,47891
2024-10-03,303.5,304.02,301.26,303.45,1802561,303.1896,45499
2024-10-04,303.05,305.89,301.38,303.76,2432634,303.4488,54092
2024-10-07,303.76,305.1199,300,300.85,2091776,301.9766,47464
2024-10-08,302.64,303.35,300.36,301.9,2038348,301.5908,45378
2024-10-09,302.94,305.01,301.965,303.83,1854155,303.7978,42697
2024-10-10,304.03,305.75,302.93,304.04,1739458,303.9382,41466
2024-10-11,304.42,305.5,302.97,305.04,1775710,304.6078,44172
2024-10-14,305.15,310.42,304.5,309.84,2376310,309.1217,55038
2024-10-15,312,315.36,311.01,313.34,3067090,313.3052,69990
2024-10-16,313.32,313.725,310.11,312.92,1821486,312.6223,43866
2024-10-17,313.98,315.05,312.48,314.7,3095192,314.3994,43711
2024-10-18,315.57,317.18,314.2299,316.56,2531197,315.9968,39706
2024-10-21,317.13,317.9,314.41,314.89,2404056,315.2572,44016
2024-10-22,314.09,315.74,313.3,314.69,5889115,296.35,102575
2024-10-23,292.77,301.6,290.83,298.57,18791952,297.4403,294343
2024-10-24,299.12,302.3899,298.28,301.58,5522591,300.8602,109704
2024-10-25,301,301.6,292.2,292.61,8863234,294.9585,168289
2024-10-28,299.2,299.92,296.5368,296.79,6655971,297.7141,113937
2024-10-29,297.5979,302.7,295,295,9048877,296.8689,150075
2024-10-30,294.5,295.37,289.84,291.52,4924013,292.3059,97649
2024-10-31,292.25,294.38,291.17,292.11,4277428,292.5806,74492
2024-11-01,294.51,296.88,293.28,295.21,4131804,295.0693,69519
2024-11-04,294.74,294.96,291.801,292.85,2583053,292.9003,62067
2024-11-05,293.75,297.38,292.56,297.32,3032122,296.2385,63462
2024-11-06,300.28,300.33,292.72,294,4646422,294.6277,86709
2024-11-07,294.84,296.54,293.81,294.66,3357377,295.0596,64422
2024-11-08,295.6,301.8321,295.25,298.97,3279284,299.223,66327
2024-11-11,300.49,303.81,300.02,301.53,2872440,301.4856,57296
2024-11-12,300.14,301.405,297.52,298.65,2453194,299.031,50850
2024-11-13,298.9,299.13,295.2172,297.35,2327101,297.132,50255
2024-11-14,298,300.11,296.5901,298.56,1932557,298.7039,44321
2024-11-15,297.72,299.495,289.72,292.63,4039432,293.3821,65052
2024-11-18,293.01,295.44,290.7886,291.1,2866132,291.9997,58418
2024-11-19,290,292.072,287.6,290.73,2353251,290.529,49947
2024-11-20,290.62,291.3199,288.255,290.91,2525012,290.0064,48000
2024-11-21,285,288.6,283.46,288.47,4475662,286.8693,81097
2024-11-22,288.47,290.6,288.14,290.28,2879063,289.9133,47802
2024-11-25,291.765,296.61,291.765,296.19,5021843,294.7705,72237
2024-11-26,297,297.28,294.83,296.33,2254326,296.1016,48036
2024-11-27,297,299.5,294.98,295.08,2240280,296.5333,53716
2024-11-29,294.16,297.05,294.018,296.01,1655907,295.8835,28043
2024-12-02,293.5,294.23,290.94,292.44,3145251,292.3406,54503
2024-12-03,292.32,294.85,290.29,294.5,3030992,293.2075,62344
2024-12-04,292.28,296.04,291.82,295.09,3742938,294.6348,54599
2024-12-05,295.54,299.74,294.9331,299.47,2594816,298.3042,54724
2024-12-06,300.56,303.7971,298.605,298.98,4158690,300.3535,64719
2024-12-09,297.585,302.6178,297.09,301.37,2391898,300.9111,58879
2024-12-10,300.13,302.82,295.84,300.71,3522974,300.2699,69544
2024-12-11,301.34,301.9,295.97,296.1,3037616,297.9017,52597
2024-12-12,296.2,298.55,295.09,296.63,2040653,296.7101,45590
2024-12-13,296.29,299.2,295.43,296.6,2547703,297.1992,47592
2024-12-16,297.18,302.12,297.17,297.71,3180071,299.3523,71094
2024-12-17,297.62,300,294.82,296.08,3295881,296.7564,63013
2024-12-18,295.02,298.9761,290.67,290.88,3800945,293.8982,60668
2024-12-19,290.88,292.86,288.847,290.23,3438533,290.8105,60239
2024-12-20,289.52,296.1,289.3001,292.68,7677952,292.6633,61727
2024-12-23,292.255,293.1,289.73,291.29,2491326,291.2563,52027
2024-12-24,291.28,294.27,290.791,293.99,1460985,293.0371,29198
2024-12-26,293,295.435,292.6,294.8,1434337,294.7271,36904
2024-12-27,293.34,296.4795,292.74,293.62,1617399,294.0173,40224
2024-12-30,291.47,291.47,289,289.6,1936678,289.9673,47655
2024-12-31,290.08,291.24,288.58,289.89,1915847,289.6548,42838
2025-01-02,290.95,295.7625,290.25,292.51,3118262,292.9698,57114
2025-01-03,292.83,294.96,290.7,294.78,2240254,293.7862,49651
2025-01-06,293.28,295.6,291.74,292.18,2838933,293.2902,58789
2025-01-07,293.78,294.93,288.28,289.34,3419450,290.4214,56397
2025-01-08,288.97,289.14,286.55,286.9,2724217,287.2805,63809
2025-01-10,287.5,287.77,281.78,282.31,3869002,283.5441,83547
2025-01-13,282.94,284.5,280.35,283.63,3394291,283.2685,60115
2025-01-14,285.02,285.35,279.38,281.58,2238889,281.0889,54730
2025-01-15,284.33,284.65,280.61,282.3,2867781,282.1918,51566
2025-01-16,280.24,280.945,276.53,279.74,3349681,278.9615,65349
2025-01-17,280.98,284.08,280,280.95,3312793,281.7497,56043
2025-01-21,280.76,282.9,278.73,282.61,3858590,281.007,78328
2025-01-22,283.3,283.53,280.405,281.35,3660600,281.7377,59446
2025-01-23,280.75,285,280.6501,284.43,2279408,283.5196,53736
2025-01-24,284.505,286.85,283.28,285.46,2523397,285.4726,48099
2025-01-27,286.605,293.43,285.81,293.09,4343019,290.0904,79723
2025-01-28,292.4,294.49,290,291.15,3180370,291.7848,67453
2025-01-29,291.38,293.14,290,290.11,2358272,291.1948,51493
2025-01-30,290.91,292.08,289.36,290.32,2125150,290.4677,51966
2025-01-31,289.83,291.25,287.35,288.7,2557033,288.8507,51829
2025-02-03,287.02,290.9,284.19,290.05,3049143,289.0754,66737
2025-02-04,289.76,290.64,288.37,289.77,2977102,289.639,51899
2025-02-05,290,290.27,286.34,288.83,2363168,288.9806,51633
2025-02-06,291.59,297.15,290.3201,294.36,3589988,294.5374,71854
2025-02-07,294.36,296.85,293.82,294.3,2858016,294.8897,61439
2025-02-10,302.27,310.28,301.51,308.42,8045897,307.4685,136618
2025-02-11,307.37,311.59,306.17,310.21,4180762,309.7564,81754
2025-02-12,309.58,310.09,305.77,307.6,3110228,307.6711,62569
2025-02-13,307.5,311.53,305.63,310.02,3097175,309.6633,60710
2025-02-14,310.2,311,307.78,308.55,2674354,308.8753,48659
2025-02-18,307.35,307.35,303.54,304.83,3368090,304.8036,63667
2025-02-19,303.32,303.79,299.51,301.94,2990851,301.0773,63550
2025-02-20,300.83,303.13,298.15,303.05,3020024,301.1531,56184
2025-02-21,303.92,305.96,301.59,304.81,3036654,304.6645,54177
2025-02-24,305,310.44,304.12,307.57,3397553,307.7531,64107
2025-02-25,309.18,311.71,307.991,310.72,3891555,310.1938,72858
2025-02-26,311.7,314.55,303.68,304.27,4140908,306.4948,70887
2025-02-27,305.19,311.7799,304.22,309.95,3350723,309.4838,66376
2025-02-28,307.605,308.52,303.88,308.33,4972872,306.9818,85724
2025-03-03,308.11,309.49,302.43,304.29,4371294,304.832,72065
2025-03-04,304.59,312.93,304.59,305.77,3954691,308.4957,88189
2025-03-05,304,308.46,303.37,307.45,2327472,306.9059,49507
2025-03-06,307.8,311.35,304.38,310.37,2954920,309.3882,63490
2025-03-07,310.82,323.17,310.35,321.29,7589616,319.7875,126435
2025-03-10,320.09,326.32,315.74,317.25,4707592,320.3907,99729
2025-03-11,317.62,317.7,306.31,306.76,4513135,309.1918,86341
2025-03-12,303.69,306.43,296.35,299.4,4546240,299.3388,96036
2025-03-13,300.43,303.465,297.27,297.5,4178882,299.6513,67232
2025-03-14,296.97,300.67,295.71,299.83,2696979,299.0552,58343
2025-03-17,301.3,305.23,300.03,303.97,2758628,303.332,58118
2025-03-18,304.97,304.97,302.27,303.6,2435418,303.528,56530
2025-03-19,303.99,308.08,303.63,306.92,2812212,306.6003,54629
2025-03-20,308.03,309.66,305.51,307,2723487,307.4648,53824
2025-03-21,306.39,307,301.64,305.44,6016138,305.2294,55621
2025-03-24,306.3,307.95,304.53,305.67,3443511,305.6339,62967
2025-03-25,306.93,308.66,304.03,306.92,2657170,306.9075,54787
2025-03-26,307.9,314.06,307.79,313.58,2624998,312.6419,53222
2025-03-27,315.16,316.64,310.68,312.69,3119455,313.2921,62754
2025-03-28,309,310,305.985,307.09,3211862,307.9479,57679
2025-03-31,305,313.2,304.44,312.37,4418823,310.697,70872
2025-04-01,313.08,314.78,310.95,313.63,2411454,313.3925,54813
2025-04-02,312.71,313.93,309.83,311.58,2776755,311.7811,58473
2025-04-03,311.38,319.72,311.2975,318.27,7023851,317.1083,130745
2025-04-04,314.57,314.96,299.3,300.11,8831090,305.7132,160033
2025-04-07,292.6,304.88,290.5,299.89,7725857,298.3374,135459
2025-04-08,303.78,308.25,294.92,299.83,5562462,301.8277,100701
2025-04-09,297.41,311.65,296.715,303.96,8265701,302.1277,144546
2025-04-10,301.34,307.63,296.915,306.78,6049543,303.6445,111370
2025-04-11,306.47,310.89,303.9601,309.9,4440059,308.2832,77008
2025-04-14,312.43,318.2,311.13,316.07,4068713,315.7727,80679
2025-04-15,316.13,317.195,311.84,312.48,2901367,313.2081,57497
2025-04-16,313.57,314.29,307.37,309.1,3099078,310.1345,59232
2025-04-17,309.22,312.99,307.13,311.3,2728460,310.6306,54575
2025-04-21,311,311.28,305.115,308.72,2669905,307.8263,59142
2025-04-22,311.76,320,311.19,319.08,4200708,317.7501,73272
2025-04-23,318.5,319.895,314.79,318.48,3210134,318.0473,72020
2025-04-24,318.43,318.89,313.53,316.22,2479485,315.954,61728
2025-04-25,316.5,321.78,315.03,316.74,2283147,316.7662,50316
2025-04-28,317.7,318.02,314.25,316.81,2578256,316.3334,53728
2025-04-29,316.06,316.7277,313,314.5,3164531,314.9676,59958
2025-04-30,316.79,321,313.1,319.65,5564594,318.0372,80208
2025-05-01,313.155,319.25,311.6,313.64,5186858,315.3027,103887
2025-05-02,313.55,315.97,310.68,311.96,3994458,312.4053,79217
2025-05-05,313,317.4,310.7,315.72,3534301,315.6448,65464
2025-05-06,315.11,317.24,312.87,316.79,2691660,316.2282,48588
2025-05-07,316.48,319.24,316.12,318.13,2726245,317.9657,52021
2025-05-08,318.08,319.66,313.18,313.49,2131496,314.9585,52457
2025-05-09,312.9,314.25,311.1675,313.68,1917830,313.2203,47398
2025-05-12,312.01,312.18,305.01,311.92,4137861,310.0694,92140
