date,open,high,low,close,volume
2024-06-03,97.888,98.1,94.19,95.62,4268513.0
2024-06-04,95.14,95.62,93.7,94,8083444.0
2024-06-05,94.5,94.985,93.72,94.3,16758250.0
2024-06-06,93.38,93.6782,92.64,93.36,12712331.0
2024-06-07,93.07,93.79,92.33,92.85,4605446.0
2024-06-10,92.16,94.86,91.93,94.3,4991149.0
2024-06-11,93.54,93.93,92.57,93.53,3535727.0
2024-06-12,95,96.2369,93.23,94.52,5878389.0
2024-06-13,91.88,93.52,91.76,92.81,3807923.0
2024-06-14,91.42,92.51,90.62,91.35,3857458.0
2024-06-17,91.4,91.4,89.89,91.02,5087319.0
2024-06-18,90.8,93.69,90.2,93.45,4947923.0
2024-06-20,92.5,92.77,88.36,89.02,8707064.0
2024-06-21,89.61,92.03,88.75,91.58,9784321.0
2024-06-24,90.83,91.46,89,89.18,4758639.0
2024-06-25,89.61,89.8,88.1684,89.15,4615103.0
2024-06-26,88.96,90.33,88.7,90.05,4596436.0
2024-06-27,89.65,90.05,88.3,89.43,5688070.0
2024-06-28,90.47,92.375,90.04,91.5,13568641.0
2024-07-01,91.5,91.7,90.16,91.59,8328388.0
2024-07-02,91.12,92.72,91.01,92.06,3377975.0
2024-07-03,92.28,93.83,91.77,93.58,2438229.0
2024-07-05,93.84,93.915,92.11,92.14,2740630.0
2024-07-08,92.28,93.72,92.145,93.26,4798199.0
2024-07-09,93.5,93.84,91.86,92.34,3226934.0
2024-07-10,93.28,96.21,92.79,95.98,6386783.0
2024-07-11,95.25,95.7,92.03,92.09,6610869.0
2024-07-12,92.93,94.44,92.2834,92.61,4775067.0
2024-07-15,92.49,93.315,91.73,92.09,4251452.0
2024-07-16,92.71,94.87,92.13,94.81,3601908.0
2024-07-17,94.07,96.98,91.4,91.52,9193820.0
2024-07-18,92.61,93.31,90.275,91.52,5882997.0
2024-07-19,91.65,91.775,88.68,88.77,5818946.0
2024-07-22,91.17,93.23,89.82,93.12,6739855.0
2024-07-23,91.77,91.77,89.6,89.71,6748342.0
2024-07-24,89.72,89.9,86.445,86.57,7969558.0
2024-07-25,84.64,87.94,82.94,85.03,10269414.0
2024-07-26,86.97,87.71,85.38,86.83,5590310.0
2024-07-29,87.76,89.3,87.15,87.96,4555233.0
2024-07-30,88.59,89.14,86.31,86.54,6957336.0
2024-07-31,87.96,89.11,87.15,88.78,10014658.0
2024-08-01,87.5,89.59,83.035,84.37,14052955.0
2024-08-02,79.45,79.64,74.6,75.43,17482866.0
2024-08-05,75.3,77.25,73.19,73.86,10756419.0
2024-08-06,74.68,76.89,73.73,74.67,9488568.0
2024-08-07,76.87,76.9099,71.765,72,8311927.0
2024-08-08,74.35,77.43,73.53,77.28,8582155.0
2024-08-09,75.93,76.95,74.98,76.09,5374828.0
2024-08-12,76.335,76.9,74.96,76.42,5303958.0
2024-08-13,76.93,79.44,76.16,79.14,7585603.0
2024-08-14,79.12,79.22,76.72,78.1,5321359.0
2024-08-15,80,81.565,79.25,81.3,9511324.0
2024-08-16,81.24,81.83,80.5,80.85,4192121.0
2024-08-19,80.545,82.125,79.85,82.03,5535433.0
2024-08-20,81.12,81.57,79.75,80.28,4826078.0
2024-08-21,80.9,82.87,80.795,82.81,5765841.0
2024-08-22,82.27,82.27,79.49,79.78,8336683.0
2024-08-23,81.5,82.56,80.455,81.79,4242619.0
2024-08-26,81.48,81.865,79.98,80.3,5543278.0
2024-08-27,80.12,80.99,79.03,80.94,3369813.0
2024-08-28,81.01,81.3,78.8,79.4,4751917.0
2024-08-29,80.21,82.65,80,80.98,4421920.0
2024-08-30,82.49,82.59,81.09,82.16,4872835.0
2024-09-03,80.27,80.42,76.14,76.4,9559101.0
2024-09-04,75.39,77.62,75.115,76.89,5875771.0
2024-09-05,75.81,77.44,75.43,76.75,4137167.0
2024-09-06,76.75,76.83,73.69,74.09,9621573.0
2024-09-09,74.95,75.7,74.21,75.41,5323685.0
2024-09-10,75.12,75.32,73.15,75.19,4748196.0
2024-09-11,75.19,77.64,73.6,77.45,6678217.0
2024-09-12,77.3,77.3,75.42,76.08,3351556.0
2024-09-13,76.89,78,76.75,77.62,3444754.0
2024-09-16,76.81,77.48,75.89,77,3831805.0
2024-09-17,78.25,78.85,76.32,77,4735840.0
2024-09-18,77.64,78.35,76.12,76.36,9379108.0
2024-09-19,79.48,80.65,77.885,78.83,12211846.0
2024-09-20,77.26,77.58,75.805,77.01,14159500.0
2024-09-23,76.52,77.33,76.32,77.06,4909249.0
2024-09-24,78.09,78.93,77.27,77.5,4434274.0
2024-09-25,76.67,77.17,75.87,76.11,6082263.0
2024-09-26,78.84,80.76,77.28,80.31,8061407.0
