date,open,high,low,close,volume,vwap,transactions
2024-10-01,90.25,90.35,89.21,90,4907093,89.9282,53320
2024-10-02,89.54,89.69,88.985,89.12,4438984,89.2073,48660
2024-10-03,89.02,89.2365,87.655,87.77,3435187,87.9908,43918
2024-10-04,87.96,88.285,87.21,88.26,3598594,87.9323,46058
2024-10-07,87.86,87.98,86.8814,87.04,3794463,87.2309,51660
2024-10-08,87.32,88.555,87.23,88.14,4608836,87.8882,45029
2024-10-09,87.96,88.44,87.6707,88.35,2773514,88.1497,40373
2024-10-10,89.26,89.44,88.79,88.85,3215827,88.9837,45248
2024-10-11,88.98,89.59,88.91,89.36,4482912,89.3188,53908
2024-10-14,89.53,90.06,89.15,90.01,3849199,89.8241,44300
2024-10-15,90.05,90.5,89.44,89.84,4173757,89.8693,55312
2024-10-16,89.82,90.24,89.49,89.99,3773313,89.9994,47200
2024-10-17,90.15,90.15,89.63,89.79,5392852,89.8719,46714
2024-10-18,89.97,92.25,89.84,92.24,7355589,91.4107,73708
2024-10-21,92,92.05,90.78,91.03,4411573,91.2484,55479
2024-10-22,90.7,91.3355,89.98,91.12,4400400,90.8976,44159
2024-10-23,90.74,92.39,90.68,92.27,6842268,91.8832,67729
2024-10-24,92.49,92.6799,90.94,90.99,3813834,91.4947,49507
2024-10-25,91.14,91.6,90.13,90.59,3446977,90.6304,52261
2024-10-28,90.68,91.3498,90.55,90.6,4241980,90.7364,48115
2024-10-29,90.37,91.43,90.31,90.32,7279759,90.5391,52009
2024-10-30,89.98,91.8,89.9516,90.5,5325699,90.572,55657
2024-10-31,89.825,89.93,88.99,89.25,6955679,89.3855,62958
2024-11-01,89.83,91,89.26,90.07,5052408,90.2171,52059
2024-11-04,90.03,90.518,89.215,89.31,4513845,89.5339,50957
2024-11-05,89.05,89.69,88.61,89.68,4578164,89.3891,50493
2024-11-06,91.865,92.03,88.9,90.11,6282042,89.9677,72963
2024-11-07,89.49,89.5,87.7,88.12,7077445,88.2635,77538
2024-11-08,88.36,88.69,87.57,87.72,8137674,88.0244,82090
2024-11-11,88.21,88.82,87.75,88.27,4544773,88.2396,48214
2024-11-12,88.23,88.82,87.8,88.3,7202797,88.3075,58543
2024-11-13,87.99,88.26,87.5,87.97,8338962,87.7797,66056
2024-11-14,87.7,88.15,85.9,86,7956078,86.4594,79902
2024-11-15,85.47,87.57,85.01,87.53,7952317,86.9801,87495
2024-11-18,87.5,88.72,87,87.59,10341890,87.8676,94084
2024-11-19,86,86.4799,84.5,85,12000798,85.1584,102530
2024-11-20,84.73,84.98,83.55,84.11,7389082,84.0217,74581
2024-11-21,84.2,85.13,83.92,84.74,5699821,84.6984,60476
2024-11-22,84.79,86.3,84.6238,86.21,6532130,85.7743,76381
2024-11-25,86.5,86.83,84.77,85.75,10635955,85.7039,82643
2024-11-26,86.34,86.56,85.02,85.68,5702542,85.6007,61186
2024-11-27,86.13,86.9,85.92,86.27,5106486,86.4068,44585
2024-11-29,85.65,86.75,85.53,86.54,3543192,86.4389,30762
2024-12-02,86.17,86.85,85.94,86.54,7058956,86.4718,57982
2024-12-03,86.51,86.53,85.475,85.71,4979401,85.7109,66971
2024-12-04,85.35,86.12,85.01,85.32,5352529,85.4887,47961
2024-12-05,84.57,85.335,84,84.14,6967690,84.4811,66815
2024-12-06,84,84.55,83.57,84.01,4310061,84.0273,50983
2024-12-09,84.13,84.407,83.655,83.96,5015090,83.9501,54357
2024-12-10,84,84.1,82.875,83.58,5095605,83.5852,58492
2024-12-11,83.4,83.97,82.89,82.92,6125595,83.1369,54562
2024-12-12,82.91,83.25,82.525,82.73,5482817,82.816,46657
2024-12-13,82.84,82.94,81.88,82.48,4301567,82.4738,52625
2024-12-16,82,82.51,81.12,81.35,6351880,81.727,67064
2024-12-17,80.96,82.2901,80.69,81.37,8021428,81.4929,73148
2024-12-18,81.37,81.66,80,80.03,7048610,80.723,71753
2024-12-19,79.79,80.59,79.52,79.99,7191234,80.0953,61361
2024-12-20,79.87,81.265,79.8,81.03,10707296,80.8633,62355
2024-12-23,80.69,81.6,80.42,81.4,7421726,81.086,57497
2024-12-24,81.3,81.78,81.09,81.54,2465929,81.4844,30441
2024-12-26,81.31,81.77,81.22,81.6,3320029,81.5447,40401
2024-12-27,80.54,81.265,80.45,80.74,3880783,80.771,44364
2024-12-30,80.2,80.37,79.29,79.61,5136445,79.6171,54780
2024-12-31,79.82,80.23,79.38,79.88,4803813,79.7636,52591
2025-01-02,80.37,80.67,79.8589,80.22,5575206,80.2003,55043
2025-01-03,80.5,81,79.98,80.95,5394979,80.7657,47460
2025-01-06,80.52,81.14,79.66,79.84,7886375,80.3618,61858
2025-01-07,80.37,81.07,79.74,79.87,7363342,80.099,60910
2025-01-08,80.41,83.22,80.35,82.68,11154164,82.5124,106733
2025-01-10,82,82.49,80.51,80.66,7068239,81.0721,72853
2025-01-13,80.91,82.12,80.0101,81.79,6487705,81.4201,65873
2025-01-14,83.39,85.31,83.11,85.25,13399703,84.9159,128253
2025-01-15,83.92,85.89,83.92,85.4,12261139,85.3164,107271
2025-01-16,85.43,87.22,85.03,87.16,7267463,86.4231,73421
2025-01-17,87.25,88.63,87.05,88.08,9578891,88.0807,83868
2025-01-21,88.45,88.7,87.765,88.38,8376553,88.313,76225
2025-01-22,88.24,88.46,87.42,87.84,5222894,88.0619,62227
2025-01-23,87.87,89.33,87.8,89.25,5694287,88.8339,59784
2025-01-24,89.11,90.3,88.822198,90.19,7349517,89.831,71177
2025-01-27,90.66,92.48,90.35,92.46,9164274,91.8501,98719
2025-01-28,92.46,93.08,91.67,91.98,7961373,92.1754,79823
2025-01-29,92.53,92.98,91.36,91.41,5514659,92.1047,67074
2025-01-30,91.72,92.815,91.46,91.99,5101862,92.131,56549
2025-01-31,91.72,92.1,90.65,90.82,7216805,91.089,63428
2025-02-03,90.27,91.21,89.25,90.53,5800340,90.419,65230
2025-02-04,89.86,91.105,89.7,90.97,5196286,90.7681,56205
2025-02-05,91.27,92.07,90.675,91.69,5181172,91.6503,51942
2025-02-06,91.26,91.94,90.76,90.82,4509493,91.112,53817
2025-02-07,91.12,91.17,89.55,90.01,6349592,90.0737,64046
2025-02-10,90.29,90.94,90.01,90.84,5029341,90.6795,53370
2025-02-11,90.84,91.47,90.5,91.2,6535110,91.1345,53980
2025-02-12,90.6,91.64,89.91,91.35,7053205,91.1862,58215
2025-02-13,91.27,92.475,90.87,92.2,5990974,91.827,69261
2025-02-14,92.42,93.05,91.86,92.81,10855448,92.6534,97653
2025-02-18,87.96,88.44,85.06,86.07,14516659,86.2961,157616
2025-02-19,86,87.17,85.695,87,8972062,86.4501,97932
2025-02-20,86.77,88.27,86.35,87.94,5804290,87.6335,69823
2025-02-21,87.64,91.15,87.58,89.94,11762989,89.858,104400
2025-02-24,89.54,91.07,89.12,90.17,7158499,90.3518,62673
2025-02-25,90.36,90.85,89.22,90.48,6290495,90.2228,66359
2025-02-26,90.46,91.19,90,90.58,5108476,90.7408,56821
2025-02-27,90.3,91.28,90.1,90.74,4735875,90.7616,58177
2025-02-28,91.55,92.4,90.295,92.02,7685318,91.4682,74002
2025-03-03,92.67,94.93,92.3,94.3,9306335,94.1811,89720
2025-03-04,94.75,95.57,92.95,93.03,7644253,93.7811,98844
2025-03-05,93.59,94.73,93.27,94.06,5820604,94.1545,65810
2025-03-06,93.74,93.98,92.0941,93.13,5334521,93.0773,66959
2025-03-07,92.6,95.03,92.44,94.5,7796339,94.2047,94385
2025-03-10,94.58,96.25,93.55,93.8,10771734,94.6525,121386
2025-03-11,93.4,93.94,92.67,93.28,7457625,93.3603,86570
2025-03-12,92.89,93,90.35,91.51,6301000,91.3798,83389
2025-03-13,91.77,92.74,91.56,92.33,6737600,92.3554,73595
2025-03-14,92.31,93.3,92.12,93.07,7788807,93.0362,81018
2025-03-17,93.07,93.68,92.815,93.35,8097851,93.3056,70853
2025-03-18,93.67,93.72,91.74,92.21,12259291,92.3804,85532
2025-03-19,92.26,92.82,91.14,91.87,11665315,91.8028,87534
2025-03-20,92,92,90.29,91.22,10469565,91.2224,92124
2025-03-21,90.56,90.84,89.63,90.33,14027974,90.2996,81364
2025-03-24,90.69,90.84,89.7,90.13,5420539,90.1559,62391
2025-03-25,90.275,90.5,87.52,88.59,8819832,88.7406,89233
2025-03-26,88.63,89.16,88.02,88.23,7466403,88.4222,80404
2025-03-27,88.66,89.45,88,88.98,7340176,88.9664,72626
2025-03-28,87.85,88.38,87.23,87.63,6320312,87.7754,62196
2025-03-31,87,90.305,86.925,89.86,8241412,89.4358,80129
2025-04-01,88.79,89.59,88.21,88.49,7059601,88.6906,71760
2025-04-02,88.43,88.99,87.46,88.86,5577162,88.4875,69725
2025-04-03,88.6,89.54,87.69,87.89,7663140,88.2083,96711
2025-04-04,87.99,88.1,82.68,82.88,12033961,84.1665,154132
2025-04-07,81.22,85.37,80.58,83.15,12129086,82.964,144148
2025-04-08,84.5,85.31,80.61,81.88,10183866,82.6659,111664
2025-04-09,80.5,85.5,79.55,85.28,11969644,83.3298,128270
2025-04-10,84.83,85.3,80.99,82.54,8838405,82.6537,93222
2025-04-11,83.16,83.4389,81.18,82.9,8014039,82.6234,89745
2025-04-14,83.97,84.26,83.12,84.22,5596036,83.8746,69791
2025-04-15,84.63,84.73,82.22,82.37,5829510,82.7804,64956
2025-04-16,83.2,84.49,82.2,82.7,7111766,82.9948,84126
2025-04-17,82.51,83.3195,82.12,82.6,5940495,82.6597,61811
2025-04-21,82.6,82.89,81.16,81.8,5220184,81.764,57616
2025-04-22,82.81,83.62,82.5,83.37,5284905,83.163,56781
2025-04-23,84.16,85.345,83.355,83.75,6468233,83.9305,66060
2025-04-24,84.03,84.54,83.26,84.3,5958950,84.181,63422
2025-04-25,84.41,84.66,83.5,84.16,5879954,83.9711,57502
2025-04-28,84.6,84.875,83.38,84.04,4513541,84.0095,52534
2025-04-29,84,85.08,83.81,84.6,4495711,84.6256,52628
2025-04-30,84.98,85,83.68,84.76,7469756,84.4738,65325
2025-05-01,84.2,84.48,82.95,83.56,6015162,83.6813,66885
2025-05-02,84.48,85.07,83.88,84.85,5727613,84.5783,69873
2025-05-05,84.63,84.8,83.23,83.45,7168668,83.6076,72987
2025-05-06,83.34,83.46,82.04,82.32,7415781,82.472,86975
2025-05-07,82.32,83.57,81.87,83.16,7557239,82.8578,69293
2025-05-08,83.47,84.5799,83.16,83.62,6252546,83.7835,60408
2025-05-09,83.5,84.24,83.35,83.48,6588594,83.7639,61325
2025-05-12,84.445,86.25,84.06,85.81,7720307,85.696,91076
2025-05-13,85.49,85.8,84.805,85.11,5532722,85.2199,71044
2025-05-14,84.9,85.11,84.09,84.25,5684923,84.3352,66605
2025-05-15,84.8,86.12,84.6952,86.11,6567764,85.6471,72948
2025-05-16,86.13,86.45,85.84,86.44,6506996,86.2079,67007
2025-05-19,85.79,87.07,85.69,86.97,7296876,86.6569,81287
2025-05-20,85.42,86.865,85.39,86.37,9253531,86.3554,103403
2025-05-21,86.59,88.28,84.21,84.41,12936879,85.2685,153784
2025-05-22,83.28,83.625,80.87,80.91,14683385,81.3644,150436
2025-05-23,80.62,80.815,79.93,80.68,10571900,80.4996,102836
2025-05-27,81.15,81.599,80.71,81.18,8294453,81.1895,84063
2025-05-28,81.5,82.3,81.135,81.24,7515926,81.5433,72205
2025-05-29,81.28,82.42,81.2501,82.41,8093554,82.0957,84994
2025-05-30,82.2,83.27,81.51,82.98,11026172,82.8426,82674
2025-06-02,82.4,83.77,82.21,83.74,7904393,83.3725,89030
2025-06-03,83.14,85.62,83.14,85.54,11977725,85.1003,114473
2025-06-04,85.54,86.35,85.54,85.6,9070714,85.8328,87138
2025-06-05,85.85,87.21,85.49,87,10364300,86.8875,90399
2025-06-06,87.29,87.45,86.7901,87.44,7577543,87.2244,70368
2025-06-09,87.4,87.81,86.38,87.45,8624992,87.4309,77452
2025-06-10,87.72,88.5039,87.46,87.96,6628034,88.0574,67320
2025-06-11,87.93,88.465,87.76,88.06,4643328,88.1447,64026
2025-06-12,88.03,88.53,87.65,88.49,5855307,88.2383,67426
2025-06-13,88.21,88.63,87.075,87.27,6011709,87.7422,72332
2025-06-16,88.21,88.77,87.58,87.92,8414689,88.0407,83468
2025-06-17,88.105,88.135,85.96,86.17,6939254,86.4689,72845
2025-06-18,86.31,86.4,85.41,85.73,8514790,85.8187,80568
2025-06-20,86.14,86.425,85.73,86.34,13089624,86.2558,66531
2025-06-23,86.24,86.34,84.58,85.96,6747004,85.7089,77205
2025-06-24,85.82,86.39,84.94,86.08,11144175,85.8158,92983
2025-06-25,85.86,86.425,85.44,85.97,8461705,86.0034,75065
2025-06-26,85.89,86.68,85.5,86.18,11117679,86.1638,97727
2025-06-27,85.5,86.52,85.22,86.02,10134011,85.9971,76751
2025-06-30,86.65,87.41,86.18,87.17,8205656,87.0741,77345
2025-07-01,86.83,88.75,86.71,88.75,10089402,88.3445,81003
2025-07-02,88.82,89.17,88.025,88.28,8663002,88.4342,65534
2025-07-03,88.37,88.7012,88.06,88.39,2989471,88.4329,38783
2025-07-07,88.49,88.645,87.32,87.67,7218269,87.8507,71986
2025-07-08,87.56,89.04,87.305,88.58,5403110,88.6467,65359
2025-07-09,88.83,89.145,87.98,89,4673255,88.7091,63580
2025-07-10,89.23,90.485,88.5,89.4,7962916,89.6235,71928
2025-07-11,91.77,91.85,89.065,89.92,12259488,89.9287,138987
2025-07-14,89.75,90.239,88.98,89.73,8911898,89.688,84534
2025-07-15,89.7,90.12,88.41,89.22,8617505,89.0518,81304
2025-07-16,89.59,89.92,89.02,89.78,5173559,89.5975,62819
2025-07-17,89.535,89.69,88.35,89.53,6952025,89.2299,78958
2025-07-18,89.98,90.5208,89.305,89.61,6413567,89.6916,67947
2025-07-21,89.43,90.455,89.18,89.7,6016191,89.8724,54505
2025-07-22,89.97,91.92,89.805,91.65,7457148,91.3389,78421
2025-07-23,91.85,92.77,90.89,92.01,7818824,91.7917,87242
2025-07-24,92.04,92.5,91.32,92.32,6684945,92.103,73645
2025-07-25,91.965,93.1,91.93,92.94,5376597,92.6476,56599
2025-07-28,92.72,92.75,91.87,91.97,4311524,92.2485,57778
2025-07-29,91.815,92.71,91.75,92.44,4676829,92.3574,54934
2025-07-30,92.26,92.38,91.22,91.64,5424024,91.9042,65932
2025-07-31,91.425,91.69,90.145,90.24,8310198,90.6394,77306
2025-08-01,89.61,89.96,88.69,89.34,6658193,89.3845,73709
2025-08-04,89.45,90.115,88.25,89.64,8078844,89.5708,66477
2025-08-05,90.14,90.2,89.29,89.67,5596977,89.6969,59064
2025-08-06,89.68,90,88.96,89.36,5545019,89.3366,67897
2025-08-07,89.99,91.73,89.725,91.24,8206997,91.0512,84291
2025-08-08,91.205,92.96,91.2,92.88,6637029,92.3575,83028
2025-08-11,92.85,93.28,92.35,92.74,6782958,92.7709,69166
2025-08-12,92.84,93.12,91.45,92.08,5445260,92.0359,66790
2025-08-13,92,93.1558,91.66,92.91,6596944,92.7511,71518
2025-08-14,92.85,92.91,91.72,91.98,6873526,92.1188,88217
2025-08-15,92.52,93.18,92.0227,93.02,6641183,92.7395,72896
2025-08-18,92.77,93.32,92.51,92.81,11581758,92.8635,104142
2025-08-19,87.835,90.15,87.5,89.9,19583908,89.435,194785
2025-08-20,90.355,94.44,90.29,93.22,13227390,93.4248,139836
2025-08-21,93.315,93.79,91.025,91.1,6808601,91.8047,77794
2025-08-22,91.68,92.96,91.68,92.71,4876003,92.6254,59465
2025-08-25,92.74,93.05,91.92,92.04,5106523,92.2391,61380
2025-08-26,92.43,92.5,91.86,92.18,6251652,92.1294,52855
2025-08-27,92.04,92.18,91.33,92.05,4223306,91.8991,54827
