date,open,high,low,close,volume,vwap,transactions
2024-10-01,160.7,166.8799,160.61,165.82,2556550,164.9552,47111
2024-10-02,166.39,166.87,162.44,165.38,2847062,164.8294,34665
2024-10-03,165.79,175.625,164.47,174.84,3325776,172.5413,51584
2024-10-04,176.71,177.64,170.28,171.98,2241691,172.3169,44835
2024-10-07,171.22,174.46,170.92,173.27,2201327,173.1951,36339
2024-10-08,170.77,171.02,157.15,159.99,5060638,160.3469,82075
2024-10-09,159,163.43,158.4,162.61,2243382,161.9031,33793
2024-10-10,162.58,167.2345,161.9501,164.85,1990190,165.0104,36626
2024-10-11,164.01,166.85,163.4,164.26,1839445,165.0706,29518
2024-10-14,163.33,163.87,162.05,162.5,2086132,162.7851,33991
2024-10-15,157.94,159.8,156.81,157.02,2557761,158.112,49528
2024-10-16,157.43,158.8,157.01,157.9,1504950,157.8688,29249
2024-10-17,158.42,159.777825,157.25,158.31,2409107,158.3007,35418
2024-10-18,158.2,159.22,156.95,158.3,2214886,158.0568,31932
2024-10-21,158.79,159.04,156.16,156.91,2203808,156.9616,30838
2024-10-22,157.5,158.57,156.75,158.24,1867192,157.8541,27433
2024-10-23,157,158.63,152.3803,153.76,3439062,153.8804,43396
2024-10-24,154.5,154.72,151.86,152.88,1550664,153.0393,32232
2024-10-25,154.28,154.61,151.93,152.36,1046293,152.7076,23952
2024-10-28,150,151.54,148.29,151.07,3899330,150.9016,40916
2024-10-29,150.58,150.67,144.9,145.28,2827885,146.3912,47602
2024-10-30,145.23,146.44,144.27,144.76,2541191,145.1028,35962
2024-10-31,145.97,146.63,144.69,145.47,2316216,145.6056,39871
2024-11-01,146.4,147.48,142.835,143.13,2149700,144.1283,36326
2024-11-04,143.72,146.3799,143.4,144.94,2377947,145.1173,41301
2024-11-05,152.36,152.4,146.49,149.56,4008716,149.3184,60001
2024-11-06,155,156.97,152.29,155.25,3094237,155.1287,57653
2024-11-07,155.2,155.7,152.39,154,1772064,153.6401,34672
2024-11-08,153.31,154,151.28,153.75,1718368,153.2876,28930
2024-11-11,153.47,156.14,152.65,156.06,1992444,155.2065,34785
2024-11-12,155.76,156.43,154.38,155.21,1785629,155.1448,30931
2024-11-13,154.4,159.2,154.1,159.11,2448115,157.7122,39112
2024-11-14,159.16,159.86,156.53,158.14,1863206,157.9419,36313
2024-11-15,156.01,160.01,156.01,157.52,2258883,157.6866,35058
2024-11-18,158.46,160.19,157.26,159.92,2099671,159.3323,35299
2024-11-19,158.22,161.1,157.96,158.8,1637077,159.4517,36890
2024-11-20,158.33,159.45,156.61,159.38,1606792,158.6023,28557
2024-11-21,160.29,161.61,158.46,159.29,1505501,159.904,29368
2024-11-22,159.34,160.655,158.07,158.48,1421230,159.0159,31023
2024-11-25,158.62,160,156.19,156.5,3721225,156.9288,43061
2024-11-26,156.85,157.945,155.83,157.14,2072299,156.9904,35741
2024-11-27,157.16,158.99,155.04,155.36,1286082,155.8727,26816
2024-11-29,155.72,156.55,154.23,156.15,965504,155.6654,17917
2024-12-02,156.15,157.58,153.55,157.41,2267112,156.371,36467
2024-12-03,158,159.1,155.295,155.49,2035763,155.9716,27807
2024-12-04,154.62,154.8999,149.08,150.4,2240921,150.46,38230
2024-12-05,150.96,151.5,148.13,150.1,2199233,150.1598,35163
2024-12-06,150.27,151.21,149.02,150.94,2684444,150.374,41643
2024-12-09,151.89,155.75,151.52,152.98,2527970,153.6102,40774
2024-12-10,152.82,153.79,149.77,151.06,3431484,151.671,45882
2024-12-11,151.06,153.17,149.61,151.97,2796187,151.4785,37240
2024-12-12,151.65,151.89,146.18,146.28,2723225,147.3653,38953
2024-12-13,145.98,146.435,144.35,145.56,2014740,145.444,33496
2024-12-16,144.32,145.01,137.8905,138.19,3518542,140.041,54015
2024-12-17,137.17,140.11,136.4335,137.99,4076676,138.0034,48219
2024-12-18,137.52,138.2903,134.16,135.06,3959547,135.934,45751
2024-12-19,135.83,136.81,130.71,131.65,3897329,132.2092,51518
2024-12-20,132,133.42,130.54,133.38,11493714,133.0063,56934
2024-12-23,133.6,134.54,131.88,133.98,3509363,133.5186,46549
2024-12-24,133.82,135.35,132.719,135.35,1419547,134.4333,19602
2024-12-26,135.47,135.805,134.01,135.39,1566545,135.1037,25785
2024-12-27,135.19,137,133.9413,135.67,1770112,135.3703,29862
2024-12-30,135.57,137.16,134.52,135.6,2010943,135.8566,32694
2024-12-31,135.85,139.75,135.7,139.5,2179421,138.982,33405
2025-01-02,140.5,142.405,139.55,141.49,2586798,141.2723,39113
2025-01-03,141.875,143.01,140.84,142.74,2531130,142.3923,34310
2025-01-06,142.315,144.51,139.71,140.53,3757679,141.5181,43352
2025-01-07,141.7,143.03,140.51,141.66,3064944,141.5176,36867
2025-01-08,140,142.76,138.94,142.33,2691945,141.3644,37937
2025-01-10,144.26,145.31,140.9103,142.27,3593076,142.8546,47275
2025-01-13,143.35,151.26,142.78,146.75,3673313,147.955,58160
2025-01-14,146.42,150.14,144.85,149.42,2511227,148.3635,37060
2025-01-15,151.37,153.13,150.44,151.95,2456265,151.9084,35303
2025-01-16,151,152.955,150.72,151.7,1862238,151.7612,31002
2025-01-17,151.5,153.54,149.9501,152.7,2486506,152.4734,31808
2025-01-21,152.25,152.69,149.47,150.82,2669412,150.687,36961
2025-01-22,149.32,150.5899,147.42,147.61,3310183,148.648,38458
2025-01-23,148.8,154.43,148.708,154.31,2949561,152.9342,41201
2025-01-24,153.87,155.72,151.18,151.61,4319391,152.1429,37699
2025-01-27,153.11,154.85,150.9,152.6,2291902,152.2405,40547
2025-01-28,152.6,153.05,149.2,150.64,2204692,150.6072,39940
2025-01-29,150.5,153.09,150.07,151.39,1785432,151.4708,31018
2025-01-30,154.82,155.045,148.35,149.96,2084474,150.3517,36352
2025-01-31,150.18,150.18,145.23,145.71,2721088,146.9654,46957
