date,open,high,low,close,volume,vwap,transactions
2024-10-01,113.96,114.79,113.11,114.74,7715526,114.3088,91319
2024-10-02,114.55,114.6,111.98,112.08,9041754,112.763,112557
2024-10-03,111.82,112.08,109.825,110.18,10280553,110.6749,104320
2024-10-04,109.49,110.3,109.39,109.77,9721325,109.7615,110346
2024-10-07,109.695,110.98,108.18,108.59,8654772,109.1212,111319
2024-10-08,107.97,108.75,107.81,108.52,8832415,108.3746,106747
2024-10-09,108.41,110.3,108.2,110.27,8627785,109.6365,105024
2024-10-10,110.7,110.83,109.17,109.4,6006681,109.558,72795
2024-10-11,109.1,109.915,107.9,109.73,8578442,109.2233,96550
2024-10-14,109.43,110.065,108.68,109.69,8130716,109.5223,84256
2024-10-15,109.96,111.58,109.89,111.53,9109498,111.1257,103499
2024-10-16,111,111.2,109.02,110.42,8729248,110.3433,102099
2024-10-17,110.135,110.19,109.5,109.75,8541678,109.8475,84099
2024-10-18,109.9,109.92,108.555,108.7,9523037,108.9532,91520
2024-10-21,109.08,109.17,106.18,106.34,11444855,106.9344,113653
2024-10-22,105.91,106.9,105.71,106.64,11576051,106.5099,92533
2024-10-23,106.74,107.3623,106.2,106.38,8271659,106.5056,87882
2024-10-24,106.05,106.62,105.26,105.88,8295933,105.7611,85991
2024-10-25,106.49,106.49,103.86,103.98,9625498,104.5239,120538
2024-10-28,104.6,105,103.93,104.23,6968944,104.246,83042
2024-10-29,104.315,105.11,103.7,103.73,9296241,104.1443,85786
2024-10-30,103.46,105,102.9,104.83,13870792,104.236,117597
2024-10-31,100.93,103.23,98.6,102.32,17406301,101.7807,176739
2024-11-01,101.78,102.72,101.21,101.88,10180978,101.9948,101855
2024-11-04,102,102.53,100.945,101.87,9182560,101.6035,92683
2024-11-05,101.36,101.73,100.52,101.65,6741403,101.3886,84338
2024-11-06,103.18,103.23,100.6,100.73,9551335,101.3151,115716
2024-11-07,101.44,101.69,100.85,101.17,8676105,101.2366,95000
2024-11-08,101.48,103.23,101,102.92,9208036,102.6613,98708
2024-11-11,102.53,103.4,100.46,100.73,10075257,101.1149,113685
2024-11-12,100.76,100.77,98.5,98.58,12282887,99.417,120643
2024-11-13,98.51,99.45,97.9,98.5,8869661,98.5475,100245
2024-11-14,99.18,99.4,97.95,98.36,8704483,98.5961,104297
2024-11-15,97.92,97.92,94.48,96.31,16451008,96.2381,182067
2024-11-18,96.56,97.29,95.42,96.56,14140329,96.4089,126596
2024-11-19,96.73,97.55,95.26,96.54,13093069,96.3122,125834
2024-11-20,96.98,98.84,96.66,97.44,12136771,97.4737,107588
2024-11-21,97.72,100.48,96.95,99.86,15662302,99.1645,142051
2024-11-22,100.33,101.785,98.93,99.18,14031186,100.0462,134903
2024-11-25,100.085,101.74,99.51,101.16,34659091,101.1597,137319
2024-11-26,101.48,101.8,99.7,101.62,9324084,101.0442,100951
2024-11-27,101.65,103.45,101.64,103.12,9802172,102.9274,98007
2024-11-29,102.875,103.04,101.53,101.64,6081177,101.879,64552
2024-12-02,101.73,101.85,100.46,100.61,13703135,100.6977,92432
2024-12-03,100.75,102.45,100.62,101.85,11395586,101.8519,102262
2024-12-04,102.03,102.09,101.05,101.37,11314989,101.4874,84180
2024-12-05,101.49,104.14,101.35,103.55,11062662,103.3619,104058
2024-12-06,103.605,103.945,102.69,103.09,11470665,103.2525,93011
2024-12-09,102.86,105.0681,102.33,103.79,19162467,103.7994,111056
2024-12-10,103.77,103.77,100.74,101,11359439,101.393,119784
2024-12-11,100.7,101.45,99.26,99.75,21612980,99.8774,103198
2024-12-12,101.69,103,100.12,101.25,9545999,101.0171,105694
2024-12-13,101.13,102.57,100.53,102,10111476,101.8954,113249
2024-12-16,101.253,102.28,100.05,100.06,11701064,100.8468,110594
2024-12-17,99.9,100.8,99.36,100.06,13975079,100.0976,119304
2024-12-18,100.19,101.5,98.27,98.34,11993415,99.2158,110969
2024-12-19,98.56,99.935,97.82,99.52,12110776,99.2687,115587
2024-12-20,98.83,99.68,97.9,98.05,29289741,98.3634,112193
2024-12-23,99.09,99.59,98.2009,99.37,8460460,99.054,84785
2024-12-24,99.22,99.64,98.795,99.45,3713479,99.4128,41159
2024-12-26,99.09,99.94,98.92,99.87,4760750,99.6625,58494
2024-12-27,99.5,100.35,99.24,99.7,6173658,99.6632,70285
2024-12-30,99.57,99.57,98.27,98.37,6848715,98.562,79514
2024-12-31,98.5,99.53,98.434,99.48,6598522,99.2611,68598
2025-01-02,100.28,100.35,98.83,99.17,6153261,99.3676,66020
2025-01-03,99.34,99.75,98.69,99.14,6072551,99.0979,63966
2025-01-06,98.77,100.33,98.42,99.72,10111144,99.5606,89515
2025-01-07,100.13,102.97,100.05,101.02,10890890,101.2416,97252
2025-01-08,100.7,100.77,98.05,99.85,8654722,99.5953,96634
2025-01-10,99.21,100.405,98.81,99.25,11317970,99.4593,94237
2025-01-13,99.46,101.159,98.99,100.98,8168081,100.6096,84410
2025-01-14,101.26,101.49,99.01,99.65,10925100,99.6068,103856
2025-01-15,100.095,100.82,99.61,100.09,9170335,100.0981,90281
2025-01-16,100.44,100.895,99.95,100.7,7749642,100.5297,82093
2025-01-17,100.47,100.47,97.92,97.92,15961960,98.6068,125370
2025-01-21,98.08,98.27,95.76,96.24,17756056,96.4544,163130
2025-01-22,95.955,97,95.15,95.68,13070881,95.9001,124177
2025-01-23,96.11,97.155,95.22,96.63,11522811,96.4316,101285
2025-01-24,96.79,97.1,95.405,95.55,12244790,95.8449,123370
2025-01-27,96.63,98.62,95.98,97.94,15093381,97.6532,158437
2025-01-28,97.35,98.88,96.59,97.45,12840948,97.4658,131213
2025-01-29,97.42,99.15,97.39,98.28,10225477,98.232,101482
2025-01-30,99.41,99.41,98.23,98.95,10164720,98.8189,103283
