date,open,high,low,close,volume
2024-06-03,29,29.02,28.1495,28.41,10525003.0
2024-06-04,28.1,28.2,27.685,27.89,11910584.0
2024-06-05,27.86,28.07,27.73,27.96,8186939.0
2024-06-06,27.85,28.02,27.78,27.88,11307543.0
2024-06-07,27.865,28.12,27.64,27.87,6630200.0
2024-06-10,28,28.48,27.93,28.28,6907068.0
2024-06-11,28.12,28.38,28.11,28.37,5186185.0
2024-06-12,28.58,28.68,27.84,28.03,5685230.0
2024-06-13,27.91,27.96,27.475,27.68,6682074.0
2024-06-14,27.63,27.73,27.23,27.3,5786074.0
2024-06-17,27.26,27.51,27.06,27.32,7118091.0
2024-06-18,27.41,27.77,27.245,27.32,6085901.0
2024-06-20,27.34,27.96,27.29,27.83,6691827.0
2024-06-21,27.93,28.07,27.65,27.76,17916214.0
2024-06-24,27.86,28.98,27.86,28.74,8501577.0
2024-06-25,28.7,28.855,28.4599,28.83,7046692.0
2024-06-26,28.86,28.9,28.24,28.49,5282734.0
2024-06-27,28.7,28.73,28.385,28.58,4915237.0
2024-06-28,28.81,28.99,28.485,28.67,11422660.0
2024-07-01,28.85,28.95,28.47,28.71,5424177.0
2024-07-02,28.86,29.04,28.41,28.58,7744870.0
2024-07-03,28.6,29,28.54,28.77,4463009.0
2024-07-05,28.6,28.71,28.07,28.18,9961532.0
2024-07-08,28.11,28.2,27.88,28.19,6568243.0
2024-07-09,27.79,28.26,27.74,27.89,5528020.0
2024-07-10,27.81,28.2,27.7098,28.16,5162964.0
2024-07-11,28.2,28.7,28.02,28.61,5904373.0
2024-07-12,28.66,28.74,28.28,28.45,5686474.0
2024-07-15,28.65,28.99,28.42,28.74,5042104.0
2024-07-16,28.54,28.99,28.435,28.97,4487112.0
2024-07-17,28.99,29.485,28.99,29.11,6925964.0
2024-07-18,29.22,29.74,29.08,29.26,5292259.0
2024-07-19,29.33,29.37,28.705,28.72,3845406.0
2024-07-22,28.69,28.69,28.195,28.28,3777022.0
2024-07-23,28.12,28.165,27.69,27.84,3739610.0
2024-07-24,28.03,28.24,27.765,27.86,4783695.0
2024-07-25,27.8,28.22,27.74,27.89,5705853.0
2024-07-26,27.84,28.04,27.63,27.87,4426487.0
2024-07-29,27.96,27.99,27.24,27.45,4580161.0
2024-07-30,27.41,27.72,27.395,27.64,4371413.0
2024-07-31,28.09,28.27,27.945,28.05,6680010.0
2024-08-01,28.22,28.3301,27.2,27.41,6479502.0
2024-08-02,27.14,27.2,26.22,26.65,8301524.0
2024-08-05,26,26.55,25.74,26.39,6972945.0
2024-08-06,26.33,26.79,26.23,26.6,5211748.0
2024-08-07,27.02,27.285,26.84,26.86,5979098.0
2024-08-08,27.19,27.376,26.88,27.27,4904013.0
2024-08-09,27.23,27.44,26.96,27.3,6615858.0
2024-08-12,27.45,27.91,27.39,27.86,6000483.0
2024-08-13,27.54,27.57,27.3,27.42,4946400.0
2024-08-14,27.47,27.81,27.41,27.65,6257633.0
2024-08-15,27.8,28.2,27.765,28.16,5069362.0
2024-08-16,27.88,28.23,27.835,28.16,3530992.0
2024-08-19,28.25,28.57,28.17,28.38,3666376.0
2024-08-20,28.26,28.31,27.53,27.79,6982201.0
2024-08-21,27.92,28,27.47,27.63,6834247.0
2024-08-22,27.68,27.87,27.61,27.67,5111657.0
2024-08-23,27.89,28.11,27.81,28.09,3963084.0
2024-08-26,28.57,28.99,28.48,28.6,5864727.0
2024-08-27,28.55,28.67,28.26,28.33,4989264.0
2024-08-28,28.13,28.29,27.905,28.26,4322593.0
2024-08-29,28.44,29.045,28.26,28.85,4461135.0
2024-08-30,28.48,28.74,28.33,28.65,7338712.0
2024-09-03,28.12,28.2,27.49,27.71,7215901.0
2024-09-04,27.89,28.0751,27.3201,27.35,6541297.0
2024-09-05,27.57,27.6,27.05,27.07,5101667.0
2024-09-06,27.09,27.36,26.645,26.72,5639076.0
2024-09-09,26.73,26.91,26.62,26.63,5165918.0
2024-09-10,26.65,26.67,26.04,26.22,7016208.0
2024-09-11,26.2,26.25,25.5438,25.89,5878441.0
2024-09-12,25.88,26.135,25.735,25.98,5568985.0
2024-09-13,26.13,26.34,26.055,26.13,4298780.0
2024-09-16,26.4,26.72,26.35,26.66,6215278.0
2024-09-17,26.62,27.4099,26.605,27.36,5308851.0
2024-09-18,27.17,27.79,27.17,27.43,6908022.0
