date,open,high,low,close,volume,vwap,transactions
2024-10-01,104.18,105.19,103.06,104.42,5437427,104.3058,72728
2024-10-02,104.83,105.395,103.91,104.52,3293681,104.5328,54784
2024-10-03,103.58,104.7,103.16,104.57,4587217,104.1762,58306
2024-10-04,107.612,108.08,106.62,107.88,5609161,107.5216,88131
2024-10-07,107.69,108.92,107.27,107.64,4439928,107.9162,65829
2024-10-08,107.65,108.21,107.39,107.49,3679612,107.6609,54919
2024-10-09,107.22,109.365,107.22,109.04,4445976,108.8719,58635
2024-10-10,108.44,109.03,107.65,108.08,4065520,108.1115,58726
2024-10-11,109,111.475,109,110.46,5826183,110.5742,79109
2024-10-14,111.05,112.44,110.55,112.28,7179255,111.5883,80088
2024-10-15,115.425,116.06,112.03,112.22,8892397,112.9534,128606
2024-10-16,116.88,121.45,116.5,119.51,21458547,119.5965,232162
2024-10-17,119.77,120.355,118.73,119.44,9357154,119.5813,115027
2024-10-18,119.53,121.12,119.11,121.06,6852874,120.4463,85840
2024-10-21,120.37,120.69,117.88,118.28,7469088,118.4696,81429
2024-10-22,117.65,118.61,117.25,118.32,4429614,118.0679,56577
2024-10-23,117.89,118.74,117.2,118.28,5661570,118.1383,60657
2024-10-24,118.4,119.34,117.94,119.17,5611946,118.822,66654
2024-10-25,120,120,116.33,116.88,7214149,117.6454,80720
2024-10-28,118.12,119.68,117.51,119.13,5994033,119.0737,69559
2024-10-29,118.89,120.09,118.82,119.3,4622285,119.4502,65289
2024-10-30,118.61,119.32,117.79,117.92,5672997,118.3204,70052
2024-10-31,117.13,117.91,115.7,116.25,5374550,116.4448,74864
2024-11-01,116.67,118.024,116.3,116.85,4372177,117.1224,65907
2024-11-04,117.005,117.45,115.94,116.14,4366558,116.4482,60409
2024-11-05,116.09,117.9,116.09,117.81,4795872,117.4793,68619
2024-11-06,129.51,133.52,127.66,131.49,22598669,130.8638,272821
2024-11-07,130.74,131.55,128.08,128.44,7780327,129.2625,104502
2024-11-08,128.98,130.52,127.76,129.53,6979341,129.4842,84324
2024-11-11,130.55,133.99,130.55,133.52,6711327,133.2097,95165
2024-11-12,133.19,133.82,131.705,132.31,5683256,132.3654,74888
2024-11-13,133.46,134.65,132.465,132.76,6134840,133.1823,70401
2024-11-14,133.1,134.91,131.98,132.43,7344210,132.9206,94159
2024-11-15,133.37,134.4,132.54,134.06,7281941,133.596,78034
2024-11-18,134.69,135.505,133.42,133.78,6434278,134.172,80986
2024-11-19,133.26,134.09,131.9301,132.24,7244809,132.7822,67749
2024-11-20,133.16,133.65,131.05,131.69,5125625,131.8367,56358
2024-11-21,133.2,135.575,133.14,134.99,5547725,134.8113,71493
2024-11-22,134.68,135.67,133.96,134.69,6334100,134.7417,70270
2024-11-25,135.44,136.24,133.58,133.66,8012309,134.0264,77443
2024-11-26,130.75,131.79,128.53,131.28,8806290,130.7225,115607
2024-11-27,131.49,132.43,130.57,131.21,5507859,131.2657,69514
2024-11-29,132.28,132.73,131.42,131.61,4068225,131.8798,39409
2024-12-02,132.3,133,130.83,131.03,5512303,131.5331,73174
2024-12-03,133.19,133.19,130.01,130.44,4791691,130.8239,63727
2024-12-04,130.19,131.2,129.64,129.99,6203831,130.2473,76347
2024-12-05,129.935,131.8564,129.42,130.32,4992087,130.7398,66968
2024-12-06,130.52,130.57,129.18,129.96,5013286,129.8983,72676
2024-12-09,130.52,130.77,128.33,128.58,7754300,128.9825,94656
2024-12-10,127.63,128.61,126.53,126.79,6539580,127.1659,84278
2024-12-11,127.75,127.95,126.28,127.59,8835372,127.3825,66389
2024-12-12,127.89,128.83,127.36,127.91,3610681,127.9212,57750
2024-12-13,128,128.81,126.71,127.4,6083279,127.6075,74570
2024-12-16,127.74,129.31,127.39,129.03,5659958,128.6303,77095
2024-12-17,128.096,128.7,127.18,127.74,7141600,127.7931,87422
2024-12-18,128.16,128.39,120.29,121.04,7858762,123.1802,95976
2024-12-19,124.78,124.94,120.3,120.5,8634571,121.2982,108557
2024-12-20,121.2,124.54,120.529,123.44,14883963,123.2779,92316
2024-12-23,123.1,124.67,122.79,124.45,5074141,124.1678,53909
2024-12-24,125.07,127.22,124.59,127.06,2902782,126.5613,43141
2024-12-26,126.53,128.17,126.49,128.03,3013544,127.6998,42206
2024-12-27,127.05,127.86,125.82,126.76,3088468,126.6624,44302
2024-12-30,124.55,126.16,124.02,125.75,2637914,125.5322,44136
2024-12-31,126.33,126.83,125.2001,125.72,2970313,125.7779,44048
2025-01-02,126.51,127.28,124.21,124.78,5018435,125.4088,65036
2025-01-03,125.65,126,124.08,125.94,3988482,125.463,58551
2025-01-06,127.63,129.9453,127.63,128.64,6665362,128.8298,87027
2025-01-07,129.65,129.66,125.46,126.88,7268845,126.8063,99902
2025-01-08,126.91,128,125.76,127.86,5744779,127.1456,75288
2025-01-10,126.31,126.5,123.29,123.45,6873811,123.9454,88422
2025-01-13,122.45,124.3,122.45,123.99,5432980,123.66,66831
2025-01-14,125.4,125.4,123.69,124.62,8999863,124.5482,82596
2025-01-15,129.705,131.44,128.46,130.55,11349540,130.4072,142160
2025-01-16,132.35,136.15,131.9,135.81,16235685,134.3889,168527
2025-01-17,136.16,138.0799,134.5297,137.87,12481481,137.0531,127677
2025-01-21,136.44,137.62,135.29,137.3,11213345,136.6226,114224
2025-01-22,137.26,138.38,135.815,136,7177465,136.6075,82572
2025-01-23,135.97,138.2,135.97,137.8,6910993,137.4757,83608
2025-01-24,136.47,139.035,136.47,137.82,6475889,138.0301,82826
2025-01-27,135.26,136.76,134.12,136.65,6460728,135.6554,98330
2025-01-28,136.07,138.84,135.64,138.54,5885130,138.0013,87757
2025-01-29,138.465,141.48,138.18,138.71,5719769,139.3547,81217
2025-01-30,139.81,140.485,138.89,139.94,4545692,139.9071,70353
2025-01-31,139.14,139.755,137.77,138.43,5503432,138.5557,70356
2025-02-03,135.81,138,133.91,137.16,5307011,136.6498,85658
2025-02-04,137.73,137.88,136.29,136.77,5997273,136.9678,66459
2025-02-05,137.47,139.22,136.51,138.93,5871169,138.3392,61655
2025-02-06,140.01,141.4,140.0001,141.08,4576614,140.96,74009
2025-02-07,142.02,142.03,139.82,139.98,3529061,140.7048,64624
2025-02-10,140.25,140.31,135.61,137.31,5517701,137.0231,87647
2025-02-11,136.81,138.21,135.435,137.79,5097106,137.0284,78951
2025-02-12,136.08,137.2788,135.6,137.11,4688899,136.7327,64396
2025-02-13,137.97,138.1001,136.35,136.84,4699959,137.0285,59021
2025-02-14,136.45,139.58,136.45,138.95,5044743,138.7674,76417
2025-02-18,139.41,140.78,138.89,140.71,3797260,140.1575,56416
2025-02-19,140.01,140.93,139.255,140.69,3623164,140.2927,62796
2025-02-20,140.25,141.07,132.43,134.34,8859984,134.3851,122193
2025-02-21,135.175,135.6,130.91,131.69,6704065,132.4305,89363
2025-02-24,132.76,132.97,128.9,129.97,7784731,130.5909,105203
2025-02-25,131.03,131.295,126.38,129.6,7458583,128.9557,111606
2025-02-26,130.41,132.24,130.15,131.05,5493770,131.2743,80110
2025-02-27,131.8,132.865,128.81,129.24,5538736,130.5512,90103
2025-02-28,129.9,133.41,128.99,133.11,7424217,131.9447,86172
2025-03-03,133.33,133.99,127.73,129.13,5969382,130.7869,91047
2025-03-04,126.47,126.57,119.25,121.72,12996533,121.9549,179528
2025-03-05,122,124.38,121.44,123.75,7291923,123.202,103819
2025-03-06,120.8,123.125,118.6,119.37,8611537,120.0982,114904
2025-03-07,118.725,119.49,115.454,119.29,8513464,118.0896,117439
2025-03-10,116,116.28,109.215,111.69,16765708,112.031,213988
2025-03-11,111.71,113.51,110.34,112.04,13490397,112.1221,149497
2025-03-12,115,115.6026,112.545,114,7925487,114.3507,119169
2025-03-13,114,114.8499,111.225,111.68,7435493,112.1138,97167
2025-03-14,113.99,115.77,112.54,115.34,6879448,115.0536,95406
2025-03-17,114.97,119.3,114.84,117.96,8297083,117.8073,114489
2025-03-18,118.28,119.2087,117.2835,118.11,7234853,118.1041,95611
2025-03-19,117.23,121.25,116.23,119.85,8430838,119.5968,85229
2025-03-20,118.82,121.81,118.82,120.47,7026044,120.639,76033
2025-03-21,119.35,120.88,118.3,120.14,10990077,119.919,73124
2025-03-24,122.31,124.82,122,124.27,6184381,123.9771,87070
2025-03-25,124.9,126.05,124.15,125.2,4326253,124.9408,68859
2025-03-26,125.77,126.34,121.605,122.2,5085723,123.1601,79898
