date,open,high,low,close,volume,vwap,transactions
2024-10-01,103.4,104.2,98.94,100.31,34309766,100.4913,343258
2024-10-02,100.59,102.12,99.33,99.85,26301893,100.358,220079
2024-10-03,99.47,102.53,99.4,101.82,22176651,101.585,216210
2024-10-04,103.65,104.2399,101.4,102.25,21941005,102.5856,206983
2024-10-07,102.16,104.5932,100.81,102.91,21749278,102.7511,197565
2024-10-08,102.18,102.94,101.26,102.54,18858267,102.216,181332
2024-10-09,102.25,102.29,100.322,101.7,18442718,101.2317,196747
2024-10-10,101.37,106.58,100.845,105.69,27605588,104.6816,261896
2024-10-11,105.04,107.65,104.9915,106.92,19133928,106.5971,190677
2024-10-14,107.805,108.71,106.8,108.34,15021917,107.9611,168926
2024-10-15,107.86,109.49,102.71,104.32,23419132,105.0754,261919
2024-10-16,106.02,109.63,105.61,109.24,20450884,108.3404,221576
2024-10-17,111.34,114.14,111.01,112.05,26184811,112.5436,269205
2024-10-18,111.75,112.9,109.86,111.15,16700370,111.0416,173135
2024-10-21,111.1,111.14,107.69,109.08,14829420,108.9936,149792
2024-10-22,108.24,108.515,106.37,107.82,13758061,107.3895,142283
2024-10-23,106.564,107.1,103.54,105.05,15174706,105.1958,175268
2024-10-24,106.775,107.53,105.545,106.85,13206263,106.6587,148414
2024-10-25,108.34,109.88,107.72,107.91,12252200,108.6148,138804
2024-10-28,106.78,108.18,106.32,106.39,12381045,106.8786,129459
2024-10-29,106.585,108.75,105.6037,108.18,15164581,107.4135,143228
2024-10-30,106.26,106.8,103.64,104.08,14321780,104.7837,168936
2024-10-31,102.2,102.49,99.0707,99.65,19830324,99.9467,212304
2024-11-01,100,100.61,99.37,99.73,13049450,99.9751,152570
2024-11-04,101.5,103.7867,101.0011,101.73,15765848,102.1759,154552
2024-11-05,102,105.62,101.79,105.49,12071905,104.3636,129852
2024-11-06,108.38,112.32,107,111.83,20304531,110.359,227964
2024-11-07,112.5586,113.86,111.37,113.41,13569838,112.9722,166254
2024-11-08,112.14,114.3,110.565,111.9,13045721,112.0441,136834
2024-11-11,110.945,111.51,106.77,108.65,14479681,108.2249,170479
2024-11-12,105,105.09,102.07,104.1,21859729,103.6274,252084
2024-11-13,102.8,103.3402,99.82,99.92,18416175,100.8871,209938
2024-11-14,101.29,102.29,98.56,99.18,18459749,99.8966,210737
2024-11-15,97.55,98.2,95.6374,96.34,18518298,96.6007,197846
2024-11-18,96.545,98.07,95.53,97.51,14251141,97.2366,133389
2024-11-19,97,98.18,96.51,97.73,14160307,97.5186,139698
2024-11-20,97.975,98.53,96.53,98.37,10490585,97.7778,143504
2024-11-21,100.095,103.2864,98.062,102.76,18915150,101.5911,195822
2024-11-22,102.36,103.71,101.65,102.64,12063730,102.7096,139404
2024-11-25,103.85,106.4,103.81,104.48,22837895,104.8524,185908
2024-11-26,104,104.72,100.31,101.8,19267357,101.4344,188004
2024-11-27,100.94,101.04,96.635,98.2,17046441,98.1856,195525
2024-11-29,97.24,98.2,96.1,97.95,13729436,97.4052,142990
2024-12-02,97.6,100.09,97.53,98.55,16525553,98.8191,171838
2024-12-03,101.12,103.68,99.63,99.84,23479706,101.2122,230095
