date,open,high,low,close,volume
2024-06-03,68.56,68.77,66.24,67.43,3072402.0
2024-06-04,67.11,68.62,67.01,68.02,3440378.0
2024-06-05,69.02,69.88,68.16,69.85,4689752.0
2024-06-06,69.82,71.53,69.82,71.25,2431803.0
2024-06-07,70.65,71.3,70.19,70.73,2312724.0
2024-06-10,70.53,72.145,70.37,71.72,2734048.0
2024-06-11,71.67,72.98,70.88,72.63,2936991.0
2024-06-12,74.26,75.885,73.64,75.42,4113311.0
2024-06-13,76.04,76.56,73.5,73.51,2933228.0
2024-06-14,73.66,75.82,73.61,75.59,2535988.0
2024-06-17,77.03,77.94,75.02,77.68,3829751.0
2024-06-18,77.37,79.89,77.03,79.08,3802938.0
2024-06-20,80,80.0975,77.47,78.45,4150238.0
2024-06-21,76.96,78.21,75.82,77.94,6598149.0
2024-06-24,77.43,78.94,77.1,78.6,3392368.0
2024-06-25,80.58,80.84,78.92,80.66,4186202.0
2024-06-26,80.5,81.1,79.27,79.28,1976573.0
2024-06-27,79.25,82.362,79.05,81.79,2741080.0
2024-06-28,82.01,84.22,81.8,82.83,3732275.0
2024-07-01,82.65,84.13,81.19,83.95,1983036.0
2024-07-02,83.88,85.18,83.5,85.05,2222879.0
2024-07-03,85.38,85.61,84.53,84.53,1629124.0
2024-07-05,84.69,87.18,84.55,86.96,2077069.0
2024-07-08,86.26,86.865,84.53,84.88,2803111.0
2024-07-09,84.88,85.205,81.94,82.58,3136043.0
2024-07-10,82.9,82.9,79.9,82.37,2700764.0
2024-07-11,83.86,84.5,81.87,82.02,1917711.0
2024-07-12,81.69,82.99,81.2601,82.21,1399643.0
2024-07-15,82.57,84.66,81.635,83.43,2415059.0
2024-07-16,83.78,84.69,82.72,83.95,2009215.0
2024-07-17,82.3,82.66,79.28,80.58,3124991.0
2024-07-18,81.01,81.21,77.68,78.52,3148752.0
2024-07-19,78.79,79.67,78.19,78.66,2336597.0
2024-07-22,79.37,79.59,77.72,78.66,1718439.0
2024-07-23,81.12,83.42,79.21,80.97,3313615.0
2024-07-24,79.5,80.25,75.59,76,3020747.0
2024-07-25,75.82,79.59,74.785,78.04,2449140.0
2024-07-26,79.09,79.225,77.22,78.06,1931743.0
2024-07-29,78.61,78.9699,77.16,77.37,1841151.0
2024-07-30,77.23,78.5,75.55,76.03,2103448.0
2024-07-31,77.805,78.34,76.52,77.5,2308737.0
2024-08-01,77.17,78.8,73.9,74.4,5095901.0
2024-08-02,79.5,80.73,75.31,79.46,10348642.0
2024-08-05,69.26,80.15,69.26,77.7,5549533.0
2024-08-06,78.67,78.67,76.18,76.24,2462058.0
2024-08-07,78.75,79.98,76.18,76.37,2442776.0
2024-08-08,77.45,77.47,75.13,76.82,1762439.0
2024-08-09,77.51,78.9,76.87,77.71,1914730.0
2024-08-12,78,79,76.5,76.63,1429574.0
2024-08-13,77.14,81.77,77.14,81.75,2143267.0
2024-08-14,82.3,83.36,80.7,81.46,1518489.0
2024-08-15,82.36,83.45,81.25,82.16,1654902.0
2024-08-16,81.28,82.84,80.8,82.38,1547525.0
2024-08-19,82.55,84.31,81.81,84.07,2054638.0
2024-08-20,84.3,84.9199,82.23,82.33,1189586.0
2024-08-21,82.33,82.515,81.09,82.37,1419903.0
2024-08-22,82.12,82.55,80.61,80.63,1567809.0
2024-08-23,81.18,82.7,80.675,82.39,1333278.0
2024-08-26,83,84.18,81.53,81.64,1254749.0
2024-08-27,80.65,82.7,80.21,81.26,1378558.0
2024-08-28,80.55,81.0999,79.11,79.85,1105617.0
2024-08-29,80.44,82.59,80.33,81.28,1454487.0
2024-08-30,82.1,83.69,81.66,82.14,2420858.0
2024-09-03,81.6,81.76,77.19,78.11,2240226.0
2024-09-04,77,79.64,76.5,78.03,1690440.0
2024-09-05,77.27,79.38,77.15,78.4,1236046.0
2024-09-06,78.64,79.21,75.71,76.05,1927634.0
2024-09-09,77.01,77.71,76.09,76.24,1291772.0
2024-09-10,76.65,77.21,74.88,76.81,1603392.0
2024-09-11,76.49,78.7,75.22,78.56,2335375.0
2024-09-12,78.89,79.84,77.7727,78.86,1361390.0
2024-09-13,79.05,80.26,77.91,78.59,1339767.0
2024-09-16,78.15,80.3099,77.87,79.93,1698406.0
2024-09-17,80.8,80.8,77.81,79.11,2119380.0
2024-09-18,79.34,79.69,77.6,78.09,1582150.0
2024-09-19,80.09,82.9,79.2,82.83,3410876.0
2024-09-20,82.95,83.34,81.4198,82.45,3090071.0
2024-09-23,82.67,86.12,82.5,85.61,3228792.0
2024-09-24,86.1,86.4547,83.76,85.5,1906825.0
2024-09-25,85.31,85.34,83.4,83.41,2322718.0
2024-09-26,84.81,84.81,81.18,82.36,3099596.0
2024-09-27,82.2,82.69,81.2401,81.59,1462681.0
2024-09-30,80.85,81.7708,79.39,80.89,2196132.0
2024-10-01,80.05,80.3,78.01,78.11,2199074.0
2024-10-02,78.87,79.8,77.8,79.34,2505464.0
2024-10-03,78.76,79.87,78.1,79.43,1531199.0
2024-10-04,80,83.46,79.5,83.43,2515147.0
