date,open,high,low,close,volume
2024-06-03,64.5215,64.678,62.727,63.379,23235060.0
2024-06-04,63.378,63.523,62.644,63.162,30081510.0
2024-06-05,63.402,65.125,62.825,65.027,26826140.0
2024-06-06,64.489,65.799,64.4237,64.852,24666640.0
2024-06-07,64.938,65.04,64.024,64.147,18766310.0
2024-06-10,64.101,64.479,63.559,64.45,20667590.0
2024-06-11,64.072,65.019,64.052,64.855,21674170.0
2024-06-12,65.221,65.578,64.311,65.006,20943810.0
2024-06-13,64.4,65.525,64.235,65.326,18635870.0
2024-06-14,65.505,67.558,65.264,66.938,44471160.0
2024-06-17,66.911,68.271,66.511,67.583,36311840.0
2024-06-18,67.563,68.706,67.464,68.567,29277000.0
2024-06-20,68.18,68.988,67.372,67.903,25710890.0
2024-06-21,68.326,68.69,67.81,68.612,45570860.0
2024-06-24,68.5,68.55,66.45,66.902,39163350.0
2024-06-25,67.344,67.3665,66.23,67.241,22787680.0
2024-06-26,67.241,68.296,67.002,67.769,35458150.0
2024-06-27,67.935,68.857,67.814,68.434,24048490.0
2024-06-28,67.9,68.7,67.308,67.488,34123910.0
2024-07-01,67.489,67.502,66.378,67.361,21951760.0
2024-07-02,67.354,68.174,67.007,67.958,23918260.0
2024-07-03,67.748,68.375,67.55,68.251,14035450.0
2024-07-05,68.251,69.749,67.723,69.065,26590650.0
2024-07-08,68.7,68.886,68.1485,68.574,19307860.0
2024-07-09,69,69.527,68.472,68.574,25994740.0
2024-07-10,68.502,68.722,67.316,67.765,26515080.0
2024-07-11,67.2485,67.2485,64.744,65.275,51078780.0
2024-07-12,65.275,65.592,64.3708,64.76,33551970.0
2024-07-15,64.75,66.754,64.663,65.645,31951630.0
2024-07-16,66.18,66.3675,64.913,65.632,26857060.0
2024-07-17,65,65.045,63.947,64.746,40172770.0
2024-07-18,65.66,65.704,63.9165,64.304,75619630.0
2024-07-19,66.064,67.897,62.912,63.334,98156310.0
2024-07-22,63.95,65.629,63.26,64.75,52190770.0
2024-07-23,64.75,64.991,64.1,64.276,24635790.0
2024-07-24,63.574,65.242,63.2674,63.599,48881630.0
2024-07-25,64.1,64.998,62.17,63.409,45545390.0
2024-07-26,64.5,64.699,62.977,63.137,31206590.0
2024-07-29,63.461,63.461,62.393,62.696,23927370.0
2024-07-30,63.017,63.469,61.7,62.258,34966090.0
2024-07-31,62.657,63.36,62.258,62.835,31348770.0
2024-08-01,62.925,64.671,61.761,62.485,37205730.0
2024-08-02,62.098,62.527,60.835,61.364,35230030.0
2024-08-05,58.704,60.4563,58.704,59.855,40406350.0
2024-08-06,60.062,62.245,60.062,60.957,43162570.0
2024-08-07,61.6065,63.2,61.064,61.148,31877910.0
2024-08-08,62.199,63.229,61.602,63.035,32751420.0
2024-08-09,62.299,63.662,62.299,63.394,19764360.0
2024-08-12,63.1,63.9,62.707,63.314,23317120.0
2024-08-13,63.856,65.097,63.55,64.802,26395710.0
2024-08-14,64.87,66.357,64.87,66.168,40143440.0
2024-08-15,66.849,67.319,65.98,66.322,32101730.0
2024-08-16,66.943,68.023,66.536,67.407,35110140.0
2024-08-19,67.407,68.884,67.291,68.853,30162270.0
2024-08-20,68.886,71.133,68.8245,69.854,48131180.0
2024-08-21,69.7,70.1,69.138,69.712,22353430.0
2024-08-22,69.1,70.15,68.624,68.896,27293890.0
2024-08-23,69.413,69.607,67.863,68.673,23544500.0
2024-08-26,68.726,69.059,68.1638,68.844,13541540.0
2024-08-27,68.853,70.789,68.692,69.572,31073780.0
2024-08-28,69.583,69.667,67.71,68.384,24305830.0
2024-08-29,69,69.98,68.607,69.248,21869740.0
2024-08-30,70.036,70.186,68.816,70.135,32667230.0
2024-09-03,70.01,70.386,67.101,67.532,31609640.0
2024-09-04,67.331,68.465,67.306,67.968,17853370.0
2024-09-05,67.314,68.731,67.186,68.362,18080720.0
2024-09-06,68.186,68.3152,66.234,66.577,29912650.0
2024-09-09,67.4,68.35,67.214,67.542,26831110.0
2024-09-10,67.687,68.059,66.5805,67.362,20791820.0
2024-09-11,67.746,68.297,66.08,68.147,23919240.0
2024-09-12,68.492,69.488,68.22,68.68,25884370.0
2024-09-13,68.001,69.964,68,69.706,22611820.0
2024-09-16,70,70.302,68.8632,69.65,18437450.0
2024-09-17,70.082,70.763,69.837,70.691,22975900.0
2024-09-18,70.755,70.755,68.8,69.047,29844110.0
