date,open,high,low,close,volume
2024-06-03,5.54,5.63,5.19,5.34,53566741.0
2024-06-04,5.31,5.37,5.2,5.21,29404534.0
2024-06-05,5.33,5.35,5.15,5.27,49656079.0
2024-06-06,4.95,5,4.74,4.91,84453807.0
2024-06-07,4.82,4.96,4.8,4.83,34658602.0
2024-06-10,4.82,4.85,4.67,4.72,38316347.0
2024-06-11,4.79,4.8,4.35,4.46,66199175.0
2024-06-12,4.47,4.625,4.31,4.45,62311432.0
2024-06-13,4.47,4.61,4.4,4.41,27306325.0
2024-06-14,4.36,4.38,4.29,4.33,23556994.0
2024-06-17,4.32,4.48,4.235,4.43,31751380.0
2024-06-18,4.355,4.47,4.32,4.43,28884896.0
2024-06-20,4.37,4.45,4.25,4.33,28737152.0
2024-06-21,4.31,4.3498,4.2402,4.3,22036714.0
2024-06-24,4.3,4.53,4.29,4.44,28749721.0
2024-06-25,4.4,4.43,4.32,4.37,23318423.0
2024-06-26,4.38,4.68,4.335,4.64,53248083.0
2024-06-27,4.57,4.58,4.37,4.39,37306080.0
2024-06-28,4.35,4.36,4.14,4.16,47669527.0
2024-07-01,4.35,4.51,4.25,4.44,55633161.0
2024-07-02,4.45,4.54,4.38,4.53,35412308.0
2024-07-03,4.59,5.04,4.59,4.87,72459848.0
2024-07-05,4.725,4.75,4.405,4.62,61604007.0
2024-07-08,4.54,4.61,4.44,4.46,39272450.0
2024-07-09,4.47,4.54,4.42,4.5,27018324.0
2024-07-10,4.51,4.77,4.5,4.62,43456568.0
2024-07-11,4.79,4.8,4.6,4.68,56422755.0
2024-07-12,4.71,4.92,4.7,4.87,51797736.0
2024-07-15,4.81,4.81,4.53,4.63,58503295.0
2024-07-16,4.62,4.92,4.62,4.9,50004834.0
2024-07-17,4.83,4.865,4.55,4.59,54980517.0
2024-07-18,4.63,4.71,4.51,4.54,36332685.0
2024-07-19,4.51,4.515,4.41,4.46,22403649.0
2024-07-22,4.63,4.7,4.58,4.69,34131522.0
2024-07-23,4.58,4.5983,4.47,4.48,37498742.0
2024-07-24,4.39,4.42,4.26,4.3,43266712.0
2024-07-25,4.39,4.44,4.27,4.27,40111284.0
