date,open,high,low,close,volume,vwap,transactions
2024-10-01,88,89.635,87.71,89.13,20623383,87.8043,213680
2024-10-02,82.885,85.23,81.77,83.1,33208794,83.2289,319512
2024-10-03,82.4,83.78,81.98,82.1,18143750,82.4368,170097
2024-10-04,82.63,83.54,82.1,82.25,10342355,82.4986,112450
2024-10-07,82.14,82.47,80.09,80.83,12767399,80.8927,151502
2024-10-08,80.75,81.42,79.93,80.77,10569618,80.531,115406
2024-10-09,81.14,82.925,81.07,82.45,11750639,82.3717,127201
2024-10-10,83.4,83.45,82.03,82.1,8370188,82.4057,96029
2024-10-11,82.04,82.27,81.18,82.15,10171112,81.8668,108699
2024-10-14,82,82.04,80.8,81.6,8177686,81.4797,106133
2024-10-15,81.05,82.72,81.05,82.12,11804387,82.1842,106001
2024-10-16,82.14,84.09,82.05,83.94,11220587,83.554,113660
2024-10-17,84.11,84.762,83.38,83.4,9204490,83.84,96429
2024-10-18,83.78,83.95,82.63,82.92,7214787,82.9959,82110
2024-10-21,82.85,83.09,81.44,81.48,7550197,81.8142,89000
2024-10-22,81.35,82.42,81.23,81.42,7308823,81.6074,90318
2024-10-23,81,81.0375,79.791,80.05,7253085,80.3139,97956
2024-10-24,80.5,80.8,79.03,79.04,7410054,79.4415,99737
2024-10-25,79.22,79.58,78.5201,78.85,9385379,78.9769,109329
2024-10-28,79.32,79.64,78.82,78.91,6617243,79.0989,82879
2024-10-29,78.88,79.47,78.2,78.4,7241111,78.7681,89003
2024-10-30,78,78.11,76.42,76.45,15691330,76.9126,166611
2024-10-31,76.2,77.34,75.2,77.13,13990086,76.4284,143273
2024-11-01,77.05,78.13,76.96,78.06,9623692,77.7376,102741
2024-11-04,77.99,78.55,77.115,77.19,6593781,77.5883,90063
2024-11-05,77.25,78,77,77.98,5629199,77.6392,79264
2024-11-06,76.87,76.95,75.12,75.32,16193704,75.5759,179506
2024-11-07,75.7,76.37,75.21,75.92,11831058,76.0392,136078
2024-11-08,75.5,76.555,75.25,75.88,8140788,75.9758,114847
2024-11-11,76.15,77.4,76.1,76.6,9877188,76.5632,97313
2024-11-12,76.46,77.43,76.14,76.66,9013905,76.6422,99519
2024-11-13,76.91,77.29,76.47,76.52,6835348,76.6386,82704
2024-11-14,76.68,76.98,75.67,75.68,6991574,76.1719,91744
2024-11-15,76,77.65,75.61,76.66,13584939,76.7412,123850
2024-11-18,76.16,76.2,74.25,74.89,12609186,74.7984,153403
2024-11-19,74.5,74.73,73.6,73.91,12002518,73.9941,124586
2024-11-20,73.66,73.84,72.71,73.36,12262317,73.1265,127911
2024-11-21,73.36,75.56,73.2,75.1,12318637,74.7299,127697
2024-11-22,76.125,77.5,75.83,77.4,12248575,76.8479,131960
2024-11-25,78.5,79.8599,78.41,79.26,18328919,78.9106,132071
2024-11-26,78.9,78.9,77.573,77.61,9495649,78.0076,102185
2024-11-27,77.61,79.045,77.59,78.34,8713504,78.4959,97044
2024-11-29,78.2,79.18,78.03,78.77,7123471,78.776,63054
2024-12-02,77.915,79.1,77.2,79.09,11221029,78.6296,111876
2024-12-03,79,79.4,77.6101,78.86,9408425,78.7865,96359
2024-12-04,77.82,78.51,77.1,78.37,15042588,78.1708,112012
2024-12-05,78.26,78.9,78.1,78.58,8316548,78.5933,91669
2024-12-06,79.22,81.18,78.84,78.89,13931061,79.761,138090
2024-12-09,79.44,79.45,77.52,77.64,12043377,78.2656,141596
2024-12-10,77.5,78.0795,76.62,76.74,12193110,77.1723,118877
2024-12-11,76.79,78.98,76.31,78.85,12028372,78.446,117386
2024-12-12,78.71,79.37,77.855,77.96,6983241,78.3888,87374
2024-12-13,77.35,77.83,76.765,77.25,8037339,77.2412,98671
2024-12-16,76.76,79.02,76.66,77.2,13034009,77.6814,126253
2024-12-17,77.36,78.77,77.25,78,12452416,78.102,129093
2024-12-18,77.98,79,76.84,76.9,14376890,77.8865,134684
