date,open,high,low,close,volume
2024-06-03,449.2,453.4,448.84,449.33,1085656.0
2024-06-04,449.29,450.25,447.35,448.39,530701
2024-06-05,447.66,448.18,441.3,442.37,993902
2024-06-06,442.4,446.37,441.5,444.78,673554
2024-06-07,443.85,445.85,439.82,440.04,716688
2024-06-10,440,441.87,435.07,435.77,1013997.0
2024-06-11,434.25,436,428.97,429.82,1385091.0
2024-06-12,430.23,432.31,424.4,427.15,1326191.0
2024-06-13,426.58,426.81,420.25,423.42,1393804.0
2024-06-14,422.09,424.11,418.6,424.09,1085612.0
2024-06-17,423.04,431.04,422.19,429.78,1033523.0
2024-06-18,430.29,432.89,424.95,425.83,963090
2024-06-20,425.56,436.8,425.56,434.48,863827
2024-06-21,431.74,433.53,427.015,432.09,1889011.0
2024-06-24,433.9,437.7,428.84,430.67,1077528.0
2024-06-25,430.91,431.555,428.43,428.48,724367
2024-06-26,430.33,433.229,427.11,431.49,779469
2024-06-27,432.54,437.6,431.99,434.91,981633
2024-06-28,436.31,438.1,433.95,435.95,1103091.0
2024-07-01,437.6,440.5,433.225,435,719103
2024-07-02,434.72,437.48,433.66,437.37,504040
2024-07-03,436.98,438.51,434.85,437.09,303984
2024-07-05,437.09,437.09,432.49,434.73,436706
2024-07-08,435.15,436.1268,429.41,430.25,728019
2024-07-09,430,430.39,423.68,423.73,910409
2024-07-10,422.69,426.59,422.69,426.24,717706
2024-07-11,425.06,433.2,424.66,432.02,761214
2024-07-12,435,437.69,431.63,432.24,692103
2024-07-15,434.01,436.45,431.065,431.92,624407
2024-07-16,431.21,436.05,431.2,435.16,641320
2024-07-17,434.71,441.83,433.94,440.17,1140202.0
2024-07-18,437.44,445.86,437.44,439.61,891221
2024-07-19,442.55,442.55,434.8,437.94,720019
2024-07-22,437.6,438.87,435.105,438.1,790727
2024-07-23,439.44,443.64,437,442.3,681265
2024-07-24,444.44,445.9533,437.02,442.12,1298692.0
2024-07-25,460.93,472.83,458.93,470.57,2050784.0
2024-07-26,477.56,484.445,472.1101,480.3,1164624.0
2024-07-29,481.05,482.54,475.24,477.29,877422
2024-07-30,476.58,489.06,475.02,486.73,745118
2024-07-31,486.54,489.38,482.85,484.32,1454434.0
2024-08-01,485.8,494.65,483.405,493.36,997831
2024-08-02,495.98,505,485.7,494.55,1045802.0
2024-08-05,497.48,506.83,486.2881,492.63,967467
2024-08-06,493.23,495.5,485.955,486.53,741621
2024-08-07,483.36,495.045,480.68,489.75,739967
2024-08-08,487.67,495.3199,484.86,491.32,544388
2024-08-09,492.47,495.8582,487,494.34,519172
2024-08-12,495.49,502.69,492,501.66,922796
2024-08-13,501.49,502.51,496.45,502.38,780962
2024-08-14,501.47,507.5299,500.825,505,720133
2024-08-15,504.63,505.235,501.32,503.7,611761
2024-08-16,504.42,507.73,502.12,506.66,580332
2024-08-19,506.75,508.47,503.52,504.87,344265
2024-08-20,504.5,508.06,500.52,508.04,452948
2024-08-21,508.91,509.42,504.87,506.86,527255
2024-08-22,506.21,511.87,506.21,509.63,500873
2024-08-23,510,510.4,505.241,509.34,555059
2024-08-26,510.36,512.335,508.81,512,515215
2024-08-27,512.05,513.9085,508,512.44,433961
2024-08-28,515.56,517.475,510.14,513.56,638763
2024-08-29,514,521.52,512.195,519.35,509560
2024-08-30,516.5,523.62,516.17,523.21,712851
2024-09-03,522.65,526.66,520.51,522.69,810744
2024-09-04,524.01,528.76,520.2,523.68,580085
2024-09-05,524.74,525.802,516.33,519.39,384348
2024-09-06,519.39,522.89,514.73,515,535692
2024-09-09,517,525.0987,517,524.21,642061
2024-09-10,525.52,527.01,519.32,519.97,561552
2024-09-11,517.47,518.45,508.13,515.93,650279
2024-09-12,512.59,519.05,512.59,518.54,473592
2024-09-13,517.34,521.525,516.09,519.78,292828
2024-09-16,524.16,527.5,519.545,521.27,338525
2024-09-17,515,521.9072,513.22,520.75,423048
2024-09-18,520.75,526.715,516.9401,521.63,532791
2024-09-19,522.73,523.17,517.44,522.26,468507
2024-09-20,521.09,526.82,518.23,525.13,1330363.0
2024-09-23,525.24,534.61,523.55,533.14,524045
2024-09-24,531.03,533.77,526.52,529.86,528096
2024-09-25,532.18,533,525.09,528.11,437258
2024-09-26,524.33,530.6,523.205,524.31,426076
2024-09-27,523.49,528.93,521.97,526.79,528782
2024-09-30,526.72,528.94,521.895,528.07,957185
2024-10-01,528.18,555.5657,525.7801,543.88,1200760.0
2024-10-02,544.49,547.2299,538.29,538.87,691043
2024-10-03,539.85,543.6,535,537.58,443737
2024-10-04,535.82,538.56,534.06,536.74,393951
2024-10-07,536.26,539.3,531.46,533.97,436202
2024-10-08,536.01,536.62,531.64,532.65,422542
2024-10-09,531.55,534.53,528.77,532.23,428542
2024-10-10,532.21,532.21,525.88,527.09,372883
2024-10-11,529.01,531,526.53,528.7,325156
2024-10-14,530.65,535,527.8301,534.07,334134
2024-10-15,535.27,536.12,525.875,526.93,710690
2024-10-16,525.08,531.67,525,531.43,541216
2024-10-17,525.17,529.435,522.12,527.97,909233
2024-10-18,528.21,530.93,525.6,530.79,1245937.0
2024-10-21,533.73,536.89,525.83,529.65,579743
2024-10-22,529.8,529.8,517.82,520.2,677435
2024-10-23,522.11,522.9,515.44,516.4,919711
2024-10-24,515.91,531,515.7401,523.68,1310520.0
2024-10-25,525.83,527.7464,518.57,519.35,516098
2024-10-28,519.27,519.27,511.45,512.15,680701
2024-10-29,512.5,512.6575,504.01,504.05,582072
2024-10-30,504.05,509.37,501.85,505.34,799181
2024-10-31,505.61,511.695,504.06,509.02,908242
2024-11-01,513.9,513.9,506.33,506.95,497886
2024-11-04,507.79,510.9899,502.14,507.44,455730
2024-11-05,508.94,513.19,505.48,512.9,695563
2024-11-06,529.35,529.35,515.44,523.14,965807
2024-11-07,525.92,525.92,517.45,520.58,671768
2024-11-08,523.37,531.2699,522.2336,528.99,495835
2024-11-11,532.93,539.76,532.505,533.7,538462
2024-11-12,536.15,536.15,529.91,531.39,650229
2024-11-13,528.75,529.9,518.84,520.42,773461
2024-11-14,521,521,492.13,500.34,1187626.0
2024-11-15,497.56,504.235,490.87,493.99,1428579.0
2024-11-18,494.85,498.32,487.64,488.68,876011
2024-11-19,494.12,497.94,489.65,491.02,795309
2024-11-20,490.32,492.9499,487.44,491.98,533501
2024-11-21,493.9,496.9,489.17,496.41,609791
2024-11-22,497.98,500,494.31,496.87,507535
2024-11-25,493.5,493.99,478.42,485.27,1805930.0
2024-11-26,486.56,491.74,482.565,488.43,849287
2024-11-27,488.27,492.42,488,489.08,583432
2024-11-29,489.9,490.62,486.6,489.65,336736
2024-12-02,487,489.18,481.91,484.75,479605
2024-12-03,485.68,486.295,483.13,485.21,683900
2024-12-04,482.74,487.8429,481.06,486.62,804726
2024-12-05,485.8,486.59,478.14,479.57,932686
2024-12-06,479.61,480.05,470.55,473.65,915772
2024-12-09,471.45,482.0068,470.5979,479.17,930263
2024-12-10,477.71,480.68,473.29,480.18,789633
2024-12-11,480.3,480.855,474,475.62,1058530.0
2024-12-12,477,486.22,473.77,481.51,1317362.0
2024-12-13,479.99,484.015,477.67,480,699634
2024-12-16,478.84,484.65,477.485,482.6,859441
2024-12-17,480.95,486.89,478.39,480.29,747294
2024-12-18,480.88,483.5,467.12,467.66,839191
2024-12-19,466.28,470.97,462.81,467.13,730309
2024-12-20,467.49,474.4,464.35,469.54,1283886.0
2024-12-23,469.37,470.255,464.1225,467.2,581858
2024-12-24,466.69,471.79,465.9,471.09,235079
2024-12-26,471.09,474.02,469.67,472.23,294709
2024-12-27,469.62,474.65,469.0264,471.35,376022
2024-12-30,467.82,469.055,465.1835,466.52,440216
2024-12-31,466.52,470.5183,465.31,469.29,439907
2025-01-02,471.99,476.09,466.2783,468.01,598346
2025-01-03,467.56,469.61,466.46,467.82,624523
2025-01-06,465.27,466.22,453.96,455.14,873418
2025-01-07,454.19,458.545,450.81,452.39,1100021.0
2025-01-08,456.02,464.62,453.96,462.21,746599
2025-01-10,461.36,464.375,455.425,458.69,626425
2025-01-13,458.69,477.39,458.69,472.38,964536
2025-01-14,473.51,475.98,471.575,475.5,554115
2025-01-15,476.53,477.7,470.19,472.3,646439
2025-01-16,471.33,481.33,470.77,481.19,706639
2025-01-17,480.42,483.43,477.355,482.38,1091623.0
2025-01-21,490,507.67,489.54,504.45,1310320.0
2025-01-22,504,505.26,497.17,502.41,1326544.0
2025-01-23,506,507.64,493.23,499.77,780191
2025-01-24,497.93,500,496.66,497.02,556443
2025-01-27,502.39,507.38,497,503.23,738231
2025-01-28,501.11,502.912,485.48,486.64,1036746.0
2025-01-29,486.64,492.76,480.245,481.54,873545
2025-01-30,472,485,469.7273,483.37,1468496.0
2025-01-31,484,488.1,478.5,487.27,795031
2025-02-03,488.41,493.33,481.66,487.75,763381
2025-02-04,486.6,487.785,481.42,482.39,525931
2025-02-05,484.99,486.0043,470.93,472.34,1079969.0
2025-02-06,470.85,472.745,462.24,466.55,789945
2025-02-07,468.36,474.145,465.87,468.58,820005
2025-02-10,469.81,477.08,468.53,474.37,804829
2025-02-11,475.62,475.83,468.42,473.84,539054
2025-02-12,472.24,477.47,469.26,470.86,807079
2025-02-13,472.26,474.74,453.62,455.06,1245401.0
2025-02-14,453.74,453.995,434.15,438.9,2036150.0
2025-02-18,445.35,448.9499,439.445,441.36,1074602.0
2025-02-19,443.47,451.08,430,433.45,1784680.0
2025-02-20,429.08,439,426.24,438.11,1218926.0
2025-02-21,437.83,450.09,437.83,447.96,1677678.0
2025-02-24,450.23,456.51,449.205,449.94,1507574.0
2025-02-25,451.85,462.56,450.84,461.01,1241318.0
2025-02-26,458.27,458.905,452.7301,454.87,738919
2025-02-27,455.97,464,455.88,459.97,1131008.0
2025-02-28,460.75,464.93,455.93,461.74,901027
2025-03-03,466.36,473.8099,463.16,473.41,1255892.0
2025-03-04,471.43,480.88,463.14,463.83,1335757.0
2025-03-05,466.74,479.635,466.59,474.2,1188734.0
2025-03-06,475.65,477.065,465.1972,475.2,941680
2025-03-07,473.12,491.1,472.225,486.52,1027327.0
2025-03-10,486.44,510.21,483.71,495.45,1567057.0
2025-03-11,494,495.45,484.805,494.11,1555026.0
2025-03-12,489.04,492,474.5,475.1,1136643.0
2025-03-13,474.61,492.6,471.89,490.59,1330620.0
2025-03-14,487.29,497.36,483.07,484.93,1402947.0
2025-03-17,484.48,492.99,484.19,490.5,748298
2025-03-18,491,494.2,488.23,489.81,620073
2025-03-19,490.58,497.66,486,491.52,846818
2025-03-20,490.5,492.835,487.015,489.23,685626
2025-03-21,490.21,494.79,483.9877,490.72,2084847.0
2025-03-24,491,495.5,489.0949,495.08,626701
2025-03-25,498,509.42,496,506.62,991509
2025-03-26,508.81,510.91,504.7702,507.14,821127
2025-03-27,514.06,518.69,511.91,513.82,928995
2025-03-28,513.64,516.85,507.13,512.19,730609
2025-03-31,512,518.89,508.475,512.01,981890
2025-04-01,514.54,517.31,509.38,513.1,710782
2025-04-02,510.61,514.5,508.04,512.18,750845
2025-04-03,512.56,525,512.5,515.17,1056006.0
2025-04-04,513.5,516.775,484.89,485.52,1692564.0
2025-04-07,480.14,495,472.9637,481.57,1967372.0
2025-04-08,500,503.01,487.58,491.97,1226373.0
2025-04-09,483.11,519.5,480.9,512.3,1608385.0
2025-04-10,511.47,521.55,503.285,516.09,1071871.0
2025-04-11,516.09,537.75,514.19,533.99,1179025.0
2025-04-14,529.84,538.685,525.71,535.82,714372
2025-04-15,534.61,536.5475,528,529.36,927069
2025-04-16,537.11,544,534.13,537.51,1381558.0
2025-04-17,530.08,544.76,530.08,540.39,1102427.0
2025-04-21,540,540,526.445,531.33,1342948.0
2025-04-22,484.75,494.2,450.13,464.08,4788433.0
2025-04-23,466.67,478.8199,460.36,472.65,1929171.0
2025-04-24,469.56,471.245,462.48,463.07,1805297.0
2025-04-25,465.3,473.49,458.35,473.2,1329484.0
2025-04-28,475.55,487,475.55,483.31,1817329.0
2025-04-29,483.79,487.115,480,482.1,977355
2025-04-30,484.09,487.82,475.54,486.5,1312646.0
2025-05-01,485.17,488.17,482.088,486.67,1194027.0
2025-05-02,492.72,498.53,478.77,491.42,1728644.0
2025-05-05,493.58,496.21,489.48,493.33,830409
2025-05-06,491.48,493.09,484.98,487.48,655190
2025-05-07,486.73,488.7,481,486.04,875412
2025-05-08,486.68,489.84,483.63,484.37,920966
2025-05-09,484.86,485.12,475.88,482.62,639686
2025-05-12,479.95,482.79,471.55,479.16,1292098.0
2025-05-13,478.7,479.98,470.63,470.67,883925
2025-05-14,461.375,465,453.01,456.3,1272823.0
2025-05-15,461.44,470.89,459.25,469.05,1116163.0
2025-05-16,469.61,473.56,466.38,473.17,1148389.0
2025-05-19,476.12,476.12,469.28,471.12,959074
2025-05-20,469.89,477.87,469.89,476.6,1001786.0
2025-05-21,481.11,481.11,472.34,473.9,902975
2025-05-22,471.53,475.651,468.98,472.88,922364
2025-05-23,472.07,472.97,468.2864,471.46,679237
2025-05-27,471.62,475.66,470.3,475.47,868705
2025-05-28,477.74,478.09,473.7,475.32,924352
2025-05-29,471.18,480.25,468.5,479.39,864033
2025-05-30,480,485.99,475.0601,484.77,1304485.0
2025-06-02,481.13,483.85,478.92,483.38,765350
2025-06-03,483,488.63,481.75,488.22,578461
2025-06-04,490,495.9,488.05,491.29,766889
2025-06-05,492.95,492.95,484.53,488.12,634320
2025-06-06,488.59,491.43,486.56,489.41,372476
2025-06-09,490,492.11,483.76,491.36,617716
2025-06-10,491.53,491.53,486.635,488.8,535908
2025-06-11,483.57,488.71,472.02,488.46,895249
2025-06-12,488.82,497.32,487.945,497.13,635177
2025-06-13,504,519.43,503.2,516.72,1843953.0
2025-06-16,510.81,515,495.58,497.52,1168662.0
2025-06-17,502,505.85,498.059,503.97,764299
2025-06-18,504.42,506.5999,493.58,494.65,792680
2025-06-20,496.62,499.86,488,497.7,916352
2025-06-23,500.81,508.32,496.4412,499.67,978833
2025-06-24,494.8,495.12,481.28,484,930618
2025-06-25,488,488.46,483.84,486.92,724829
2025-06-26,489.19,497.04,487.68,493.66,876453
2025-06-27,490.95,494.68,489.26,494,874362
2025-06-30,495.31,501.08,493.96,499.98,644139
2025-07-01,499.95,504.81,496.38,503.53,651573
2025-07-02,493,499.02,489.52,498.9,817524
2025-07-03,500.26,505.19,498.61,504.2,381821
2025-07-07,506.2,509.6,503.2001,507.92,653555
2025-07-08,501,506.93,500.835,504.85,669571
2025-07-09,505.81,508.405,502.2955,507.94,608961
2025-07-10,506.55,514.93,504.9796,513.87,624131
2025-07-11,513.7,515.195,508.02,514.6,748973
2025-07-14,517,523.76,513.33,521.11,790441
2025-07-15,519.4,523.46,516.15,516.82,539574
2025-07-16,516.84,520.78,514.0601,519.7,483661
2025-07-17,519,525.52,518.64,523.83,621049
2025-07-18,523.35,528.27,515.64,519.04,874064
2025-07-21,518.31,523.98,514.39,515.29,832867
2025-07-22,536.01,567.1234,535.52,563.79,2395123.0
2025-07-23,562.35,568.67,551.805,568.5,1251078.0
2025-07-24,568.25,576.86,566.5801,568.48,974954
2025-07-25,568,570.155,563.305,569.74,635756
2025-07-28,569.24,570,563.64,568.62,679713
2025-07-29,571.4,573.3,568.19,573.22,682782
2025-07-30,572.94,573.8099,568.711,572.81,661769
2025-07-31,572,577.38,568.8901,576.61,850666
2025-08-01,577.135,587.88,572.95,586.44,1006502.0
2025-08-04,585.69,592.16,584.125,589.75,970347
2025-08-05,590.22,594.68,586.01,589.95,905822
2025-08-06,590,593.48,586.7,589.29,992555
2025-08-07,583.21,588.23,580,587.38,626641
2025-08-08,587.71,591.07,579.15,581.11,749480
2025-08-11,579.81,583.775,575.45,580.24,744795
2025-08-12,579.21,581.625,577.62,580.8,643893
2025-08-13,582.49,586.8866,576.22,582.09,745676
2025-08-14,583.89,585.285,580.935,583.72,543334
2025-08-15,583.41,586.75,580.9186,583.96,667579
2025-08-18,587.47,592.225,583.5403,584.82,922401
2025-08-19,584,589.48,582.2225,586.23,470841
2025-08-20,589.84,595.32,587.77,592.54,610481
2025-08-21,593,598.83,591.313,597.21,610288
2025-08-22,599.79,600.99,591.3674,592.44,616735
2025-08-25,592,595.4,586.05,586.74,478197
2025-08-26,588.39,595.85,588.115,593.02,1002304.0
2025-08-27,594.55,594.55,585.037573,586.61,679475
2025-08-28,586.61,587.94,580.9,587.9,479159
2025-08-29,587.9,591.5718,587.08,590.04,528588
2025-09-02,591.88,596.1647,585.26,589.32,635899
2025-09-03,586.53,588,577.69,581.01,463170
2025-09-04,581.71,581.94,576,579.76,505548
2025-09-05,579.34,581.165,574.82,580.8,633710
2025-09-08,574.99,582.13,571.365,581.9,814129
2025-09-09,580.46,580.49,571.44,571.63,482591
2025-09-10,571.24,580.84,570,579.87,547458
2025-09-11,579.31,585.76,578,582.95,901131
2025-09-12,582.34,583.13,575.18,575.96,717913
2025-09-15,574,576.47,571.115,574.54,804620
2025-09-16,578,587.24,575.95,579.36,1104597.0
2025-09-17,579.1,585,576.3901,577.08,790271
2025-09-18,572,576.98,568.32,573.75,798950
2025-09-19,571.91,576.15,565.5,573.03,1478380.0
2025-09-22,573.69,577.6475,570.26,576.15,566750
2025-09-23,576,580.665,571.08,577.08,656281
2025-09-24,580.64,589.6,577,586.27,784174
2025-09-25,590,593.75,582.485,585.77,1074102.0
2025-09-26,589.49,594.96,586.85,594.52,511016
2025-09-29,598.31,604.125,591.51,593.99,777141
2025-09-30,593.1,610.12,593.1,609.32,803097
2025-10-01,607.22,610.85,603.01,605.42,558360
2025-10-02,603.8,607.2635,601.96,605.01,453946
2025-10-03,607,610.64,605.3,609.54,435952
2025-10-06,609.12,619.71,609,618.52,540307
2025-10-07,622.85,627.8099,618.395,621.63,838233
2025-10-08,630,638.54,625.55,637.95,939163
2025-10-09,638,640.901,631.37,635.01,1007665.0
2025-10-10,633.36,635.245,619.4101,623.49,660101
2025-10-13,619.97,624.055,616.9,618.88,452758
2025-10-14,619.48,627.41,618.07,626.93,437591
2025-10-15,625.05,627.05,600.0838,608.93,666900
2025-10-16,611,611.8,597.595,598.98,781930
2025-10-17,597,601.645,591.68,594.5,825196
2025-10-20,599.66,602.9,596.21,602,1084102.0
2025-10-21,589.96,604.89,571.36,599.35,1750875.0
2025-10-22,597.07,605.9599,595.65,596.48,1122830.0
2025-10-23,599.73,609.82,598.01,605.74,655583
2025-10-24,606.35,608.5,597.08,605.58,564834
2025-10-27,604.87,605.65,595,595.95,501263
2025-10-28,594.5,598.945,591.24,595.05,714928
2025-10-29,590,594.215,582.51,584.99,723541
2025-10-30,585.94,591.73,577.74,578.6,1103098.0
2025-10-31,579.15,586.63,575.82,583.45,840195
2025-11-03,580.44,581.19,571.68,575.41,657827
2025-11-04,574.49,579.59,568.4,577.14,494370
2025-11-05,572.77,579.53,569.74,570.5,535803
2025-11-06,570,578.04,569.95,571.96,610823
2025-11-07,571.97,571.97,562.44,568.61,646062
2025-11-10,564.8,567.06,557.39,562.98,1075772.0
2025-11-11,564.48,570.79,559,566.74,743405
2025-11-12,565.18,569.1501,558.4,558.57,669774
2025-11-13,563.24,563.41,556.84,558,828402
2025-11-14,557.75,562.03,553.365,558,742576
2025-11-17,559.98,563.08,556.29,563.03,913005
2025-11-18,565,573.305,564.175,566.76,1047053.0
2025-11-19,560.39,567.2,557.46,565,665424
2025-11-20,570.88,573.2632,563.51,567.35,688174
2025-11-21,568.28,571.67,563.08,566.7,943949
2025-11-24,562.92,566.27,560,565.56,731697
2025-11-25,565.7,574.5,565.7,569.42,919543
2025-11-26,569.61,582.6,567.08,567.11,445835
2025-11-28,567.35,573.68,566.63,572.25,421752
2025-12-01,567.73,568.5,543.66,545.51,795036
2025-12-02,546.68,551.275,545.17,546.97,779359
2025-12-03,549.56,554.52,546.49,553.32,889964
2025-12-04,552.84,560,551.555,553,753134
2025-12-05,551.5,552.28,544.16,548.97,785551
2025-12-08,549,553.615,546.51,553.56,706019
2025-12-09,554.12,557.7382,550.25,550.63,411023
2025-12-10,549,558.61,546.52,555.36,680045
2025-12-11,557.56,568.66,556.93,560.04,618246
2025-12-12,563.19,571.6,560.5,569.76,784474
2025-12-15,569.14,575.79,568.571,575.79,448889
2025-12-16,573.5,574.2,565.84,568.72,488152
2025-12-17,562.79,572.3,557.59,564.19,761812
2025-12-18,564,569.93,558.06,559.52,950163
2025-12-19,558.47,570.96,557.975,568.46,1329782.0
2025-12-22,568.9,585.28,568.9,584.66,530052
2025-12-23,585.28,586,576.7,580.06,564760
2025-12-24,581.23,587.2911,581.14,582.35,202613
2025-12-26,582.71,582.71,575.4501,577.37,230390
2025-12-29,577.92,580.7589,576.88,577.78,250063
2025-12-30,578.89,580.12,574.31,574.57,526276
2025-12-31,575.21,577,570.02,570.21,419626
2026-01-02,569.59,585.85,564.5,585.66,477415
2026-01-05,593.96,611.37,591.195,611.32,941893
2026-01-06,614.56,619.2,606.82,610.61,997986
2026-01-07,616.42,617.99,574.51,577.01,1674529.0
2026-01-08,617.88,638.84,585.95,590.79,3608001.0
2026-01-09,590.68,619.785,590.68,618.82,1450100.0
2026-01-12,623.63,635.76,623.38,629.32,1262566.0
2026-01-13,639.16,639.79,619.68,625.5,1153772.0
2026-01-14,625,654.52,624.855,653.14,1480940.0
2026-01-15,640.37,658.41,632.98,654.61,965718
2026-01-16,657.6,669.68,657.26,666.9,969323
2026-01-20,665.93,674.75,653.02,657.3,1000516.0
2026-01-21,658.97,669.63,654.655,664.16,1011259.0
2026-01-22,661.18,671.1,660,670.44,602166
2026-01-23,674.2,677.3,668.51,672.95,597948
2026-01-26,670,671.45,659.11,660.97,1024553.0
2026-01-27,649.65,683.01,636,678.74,1363626.0
2026-01-28,674.46,690.74,664,689.13,1222584.0
2026-01-29,695.45,705.445,686.05,695.35,1064621.0
2026-01-30,688,697.67,681.1,692.26,953190
2026-02-02,685,690.47,675.4,685.02,1180269.0
2026-02-03,694.2,707.66,685.5,704.98,942708
2026-02-04,705.75,709.39,677.39,689.75,1732021.0
2026-02-05,680.25,704.1799,679,696.5,845704
2026-02-06,702,711.88,699.53,709.11,635159
2026-02-09,712.15,715.61,698,698.02,694076
2026-02-10,702.32,702.32,684.37,685,956318
2026-02-11,682.34,688.1099,674.75,678.83,865349
2026-02-12,680.75,696.72,679.92,695.06,887441
2026-02-13,696.8,709,696.26,702.57,676157
2026-02-17,702.56,708,698.7336,701.12,614507
2026-02-18,709.97,725.55,702.49,724.83,1194639.0
2026-02-19,727.255,745.55,727.255,736.87,1008423.0
2026-02-20,735,737.7471,718.01,723.56,744144
2026-02-23,721.26,731.4525,719.42,725.39,567191.489852
2026-02-24,726.56,734.58,710.47,727.73,734963.404502
2026-02-25,727.4,728.5,691.0303,703.65,1634856.895519
2026-02-26,703,713.81,700.17,710.9,588073.404605
2026-02-27,720,727.29,714.81,724.38,896416.305289
2026-03-02,745,768.22,739.81,768.02,1474378.610283
2026-03-03,768.85,774,751.87,759.11,1304764.410569
2026-03-04,757.5,758.2772,737.75,753.84,1205145.307328
2026-03-05,749.64,751.94,734.355,740.01,919555.617252
2026-03-06,742.27,758.68,738.01,756.13,772869.430267
2026-03-09,763,765.58,744.57,747.34,910397.775567
2026-03-10,738,744.97,730.19,734.98,642315.155399
2026-03-11,730.74,742.1,728.5701,733.18,622720.913452
2026-03-12,736.44,746.18,726.575,736.3,753636.783219
2026-03-13,739.95,746.89,728.3379,733.71,481854.814631
2026-03-16,733.53,737.395,726.17,735.96,604690.413589
2026-03-17,734.44,736.87,720.8001,724.03,764799.702979
2026-03-18,729.99,731.175,720,724.84,545689.380968
2026-03-19,719.08,728,707.01,714.15,849922.595798
2026-03-20,714.72,717.34,701,706.95,1718136.840591
2026-03-23,705.85,706.73,678.745,680,1226263.254912
2026-03-24,670,689.29,668.2,682.16,730962.59473
2026-03-25,685.48,692.79,681.8001,691.21,579723.407117
2026-03-26,689.65,696.93,687.475,691.99,543200.024652
2026-03-27,692.26,693.845,677.96,679,581874.642639
2026-03-30,689.04,693.01,663.925,671.59,927445.63718
2026-03-31,679.86,685.52,667.2801,682.24,551308.063111
2026-04-01,689.34,702.18,684.75,697,551454.019756
2026-04-02,700.7,708.55,698.19,702.5,613281.921806
2026-04-06,701,703.06,687.95,695.79,792547.208324
2026-04-07,690.14,696.785,686.39,690.5,608490.578479
2026-04-08,677.47,690.79,673.5,687.47,1300699.403574
2026-04-09,689.7,698.53,685,690.57,777224.68171
2026-04-10,685.34,687,665,673.73,499988.888151
