date,open,high,low,close,volume
2024-06-03,226.16,226.2799,221.345,223.79,980917
2024-06-04,224.1,225.85,221.48,221.71,1041581.0
2024-06-05,223.67,224,220.42,223.3,569595
2024-06-06,223.55,225.22,222.34,224.7,760816
2024-06-07,224.45,226.85,222.5,224.07,781452
2024-06-10,223.99,225.68,223.56,225.11,752547
2024-06-11,223.32,225.46,223.1325,224.93,999470
2024-06-12,227.36,229.685,223.28,224.13,944439
2024-06-13,223.13,223.13,220.14,221.84,843317
2024-06-14,220,221.04,216.7244,219.9,925758
2024-06-17,218.77,221.98,218.32,220.9,807177
2024-06-18,221.53,222.51,220.9,221.94,801174
2024-06-20,220.97,225.18,220.846,224.5,798546
2024-06-21,225.35,225.35,222.3773,224.87,1231012.0
2024-06-24,225.26,228.9603,218.44,218.68,1893642.0
2024-06-25,213.19,215.5,206.71,213.37,2971942.0
2024-06-26,214.98,214.98,211.72,212.49,1521283.0
2024-06-27,212.85,213.3,208.82,209.9,2031527.0
2024-06-28,210.85,215.16,210.175,214.69,1584755.0
2024-07-01,214.9,216.36,212.16,214.06,749268
2024-07-02,214.08,215.58,213.715,215.55,1051082.0
2024-07-03,215.22,217.43,214.695,216.3,410016
2024-07-05,216.53,217.15,214.04,215.86,945731
2024-07-08,213.14,215.03,211.83,214.25,1120420.0
2024-07-09,212.75,214.37,210.89,213.75,1288342.0
2024-07-10,214.25,215.6,213.27,214.83,1034964.0
2024-07-11,216.15,221.18,215.09,220.94,1200928.0
2024-07-12,221.62,223.5,220.92,221.35,942825
2024-07-15,222.18,229.05,221.31,227.76,1058357.0
2024-07-16,228.26,235.76,228.26,234.79,1133377.0
2024-07-17,233.95,236.25,232.94,234.45,1056948.0
2024-07-18,233.32,234.44,230.19,230.38,991419
2024-07-19,231.94,231.94,226.39,227.95,1205008.0
2024-07-22,229.2,230.48,225.23,228.03,897853
2024-07-23,226.83,227.49,223.91,224.28,839979
2024-07-24,224.26,224.58,220.12,221.34,1539860.0
2024-07-25,223.12,229.54,220.525,222.9,2155143.0
2024-07-26,242,249.93,240.6,247.22,2993456.0
2024-07-29,247.48,250.075,245.47,247.63,2284731.0
2024-07-30,247.7,251.11,244.58,249.71,1227920.0
2024-07-31,249.03,252.62,246.94,249.56,918297
2024-08-01,250.35,251.3294,244.675,246.46,959226
2024-08-02,244.41,244.41,237.34,243.41,1254989.0
2024-08-05,241.77,241.82,234.43,239.68,1630489.0
2024-08-06,240.21,246.77,239.91,243.85,940773
2024-08-07,243.85,247.055,239.63,239.98,909904
2024-08-08,240.43,243.335,239.54,242.03,625208
2024-08-09,241.6,241.85,237.64,239.62,710920
2024-08-12,240.14,240.9,236.24,237.18,719742
2024-08-13,237.92,239.54,235.16,239.37,705928
2024-08-14,239.35,242.795,237.38,241.97,929061
2024-08-15,244.62,245.415,240.55,241.15,1022149.0
2024-08-16,240.69,241.42,239.15,240.44,853084
2024-08-19,241.12,242.1099,240.02,241.17,636029
2024-08-20,241.65,242.42,240.21,240.77,628882
2024-08-21,241.98,243.24,238.88,241.53,803935
2024-08-22,241.65,241.94,236.405,237.1,1178711.0
2024-08-23,238.56,240.83,237.915,240.65,637175
2024-08-26,242,243.905,240.46,242.37,772160
2024-08-27,242.1,249.71,240.91,248.89,1570706.0
2024-08-28,248.72,251.53,247.73,250.29,1219505.0
2024-08-29,252.13,253.83,249.2807,252.02,824392
2024-08-30,252.62,256.51,252.025,256.16,1453504.0
2024-09-03,254.73,256.47,253.37,254.56,1300229.0
2024-09-04,255.27,259.95,255.19,259.69,1289948.0
2024-09-05,260.25,260.69,251.69,252.76,1039115.0
2024-09-06,252.82,254.52,248.975,250.01,732941
