date,open,high,low,close,volume,vwap,transactions
2024-10-01,121.765,122.4351,115.79,117,301394485,117.868,2009324
2024-10-02,116.44,119.38,115.14,118.85,221821887,118.2269,1327166
2024-10-03,120.92,124.36,120.3401,122.85,277109873,122.6236,1713952
2024-10-04,124.94,125.04,121.83,124.92,244465552,123.9913,1511342
2024-10-07,124.99,130.64,124.95,127.72,346129233,128.1377,2250020
2024-10-08,130.26,133.48,129.42,132.89,285722485,131.9217,1852695
2024-10-09,134.11,134.52,131.38,132.65,245598762,132.7606,1577935
2024-10-10,131.91,135,131,134.81,242311337,133.9104,1536673
2024-10-11,134.01,135.78,133.66,134.8,170186254,134.8547,1203771
2024-10-14,136.47,139.6,136.3,138.07,232347668,138.3571,1590610
2024-10-15,137.87,138.57,128.74,131.6,377750221,132.4299,2604625
2024-10-16,133.98,136.62,131.58,135.72,264863170,134.4792,1616786
2024-10-17,139.34,140.89,136.87,136.93,303995921,138.9543,1992536
2024-10-18,138.665,138.9,137.28,138,176007854,138.1008,1081507
2024-10-21,138.13,143.71,138,143.71,264516114,141.4974,1782068
2024-10-22,142.91,144.42,141.78,143.59,226311589,143.3149,1502933
2024-10-23,142.03,142.43,137.46,139.56,285917538,139.7034,1916980
2024-10-24,140.82,141.35,138.46,140.41,172354817,140.003,1226517
2024-10-25,140.93,144.13,140.8,141.54,202730559,142.5404,1410931
2024-10-28,143,143.14,140.05,140.52,173586745,141.1529,1258121
2024-10-29,140.285,142.2598,138.9,141.25,157593634,140.9995,1163074
2024-10-30,139.54,140.33,136.81,139.335,179308582,139.3028,1306259
2024-10-31,137.6,137.61,132.1106,132.76,270039641,133.7021,1998937
2024-11-01,134.7,137.31,134.57,135.4,207127838,136.0156,1423974
2024-11-04,137.21,138.96,135.57,136.05,187504773,137.3873,1369190
2024-11-05,137.45,140.3701,137.33,139.91,160427873,139.3232,1158210
2024-11-06,142.96,146.49,141.96,145.61,242043691,144.6175,1849162
2024-11-07,146.39,148.93,146.17,148.88,207323303,148.0286,1460795
2024-11-08,148.77,149.77,146.26,147.63,175580530,147.7013,1367277
2024-11-11,148.68,148.85,143.57,145.26,182325620,145.5616,1521436
2024-11-12,146.78,149.65,146.01,148.29,198634738,147.9869,1464181
2024-11-13,149.07,149.33,145.9,146.27,191903267,147.1075,1330924
2024-11-14,147.64,149,145.55,146.76,194388301,147.3098,1304855
2024-11-15,144.87,145.24,140.08,141.98,250032869,142.3477,1862709
2024-11-18,139.5,141.55,137.15,140.15,221859993,139.6735,1762598
2024-11-19,141.32,147.13,140.99,147.01,227821412,144.6168,1573488
2024-11-20,147.41,147.56,142.73,145.89,309821654,144.7235,2398910
2024-11-21,149.35,152.89,140.7,146.67,400416570,145.9736,2913665
2024-11-22,145.93,147.16,141.1,141.95,235598654,142.8844,1870211
2024-11-25,141.99,142.05,135.82,136.02,344941875,137.258,2405587
2024-11-26,137.7,139.3,135.67,136.92,190283654,137.0172,1421363
2024-11-27,135.01,137.22,131.8,135.34,226090912,133.767,1739342
2024-11-29,136.78,139.35,136.05,138.25,141863156,138.1544,905022
2024-12-02,138.83,140.45,137.825,138.63,171679277,138.88,1190902
2024-12-03,138.26,140.54,137.95,140.26,162451965,139.4212,1062098
2024-12-04,141.995,145.79,140.29,145.14,231213095,143.7471,1466016
2024-12-05,145.11,146.54,143.95,145.06,172558660,145.2419,1149172
2024-12-06,144.6,145.7,141.31,142.44,188475973,143.1122,1299247
2024-12-09,138.97,139.95,137.13,138.81,188405025,138.8302,1525736
2024-12-10,139.01,141.82,133.79,135.07,209987888,137.0004,1646615
2024-12-11,137.36,140.17,135.21,139.31,184742692,138.2151,1305189
2024-12-12,137.08,138.44,135.8,137.34,159211393,137.2999,1106707
2024-12-13,138.94,139.6,132.54,134.25,231337881,134.9835,1756972
2024-12-16,134.18,134.4,130.42,132,237683653,131.796,1985328
2024-12-17,129.09,131.59,126.86,130.39,259136513,129.3205,2135429
2024-12-18,133.86,136.7,128.28,128.91,277212733,132.9208,2090820
2024-12-19,131.76,134.03,129.55,130.68,209716290,131.4594,1598150
2024-12-20,129.81,135.28,128.22,134.7,304366553,133.2038,1568945
2024-12-23,136.28,139.79,135.1201,139.67,175415306,138.0151,1304143
2024-12-24,140,141.9,138.65,140.22,105156989,140.6896,835243
2024-12-26,139.7,140.85,137.73,139.93,116519090,139.5938,941316
2024-12-27,138.55,139.02,134.71,137.01,170555003,136.4387,1342998
2024-12-30,134.83,140.27,134.02,137.49,167025700,137.9466,1347919
2024-12-31,138.03,138.07,133.83,134.29,154668311,135.491,1200144
2025-01-02,136,138.88,134.63,138.31,198226166,137.1925,1566998
2025-01-03,140.01,144.9,139.73,144.47,229300628,143.4879,1745661
2025-01-06,148.59,152.156,147.8201,149.43,265356909,150.2312,2139589
2025-01-07,153.03,153.13,140.01,140.14,351724174,143.8269,3297977
2025-01-08,142.58,143.95,137.56,140.11,227288848,140.6542,1983809
2025-01-10,137.45,139.92,134.22,135.91,207559414,135.9072,1832774
2025-01-13,129.99,133.49,129.51,133.23,204581014,131.968,1886117
2025-01-14,136.05,136.38,130.05,131.76,195464885,132.2854,1712993
2025-01-15,133.65,136.45,131.29,136.24,185129838,134.8017,1417206
2025-01-16,138.64,138.75,133.49,133.57,208706783,135.6789,1535424
2025-01-17,136.69,138.5,135.4649,137.71,200876684,137.4125,1181513
2025-01-21,139.16,141.83,137.09,140.83,197696885,140.1354,1541529
2025-01-22,144.66,147.79,143.67,147.07,237617040,146.5479,1837716
