date,open,high,low,close,volume
2024-06-03,53.17,53.33,52.6701,53.31,4398670.0
2024-06-04,53.2,54.65,53.2,54.43,5815901.0
2024-06-05,54.34,54.51,53.78,54.03,4729337.0
2024-06-06,53.8,54.37,53.562,54.26,3350683.0
2024-06-07,53.35,53.98,53.13,53.32,3968819.0
2024-06-10,53.08,53.21,52.38,52.71,4341189.0
2024-06-11,52.5,52.84,52.125,52.24,5218043.0
2024-06-12,53.28,53.45,52.62,52.69,4344270.0
2024-06-13,52.74,53.5,52.65,53.22,4314121.0
2024-06-14,53.07,53.455,53.01,53.37,3374700.0
2024-06-17,53.1,53.45,52.81,53.07,3624423.0
2024-06-18,53.28,53.5985,52.92,53.1,3597708.0
2024-06-20,52.91,53.22,52.68,53.01,4471029.0
2024-06-21,53.01,53.215,52.78,53.15,16277798.0
2024-06-24,53.15,54.15,53.02,53.64,4265490.0
2024-06-25,53.6,53.73,52.74,52.92,5556115.0
2024-06-26,52.66,52.91,52.43,52.68,4776786.0
2024-06-27,52.68,52.69,51.87,52.43,6201660.0
2024-06-28,52.71,52.86,52.125,52.82,8379400.0
2024-07-01,52.36,52.62,51.81,52.36,4417409.0
2024-07-02,52.35,52.68,52.29,52.43,4590238.0
2024-07-03,52.57,52.83,52.32,52.45,2125731.0
2024-07-05,52.69,53.15,52.38,53.09,3378469.0
2024-07-08,53.04,53.23,52.73,53.16,5347705.0
2024-07-09,53.1,53.15,52.61,52.76,3619107.0
2024-07-10,52.96,53.63,52.82,53.58,3279363.0
2024-07-11,54.13,55.445,54.08,55,5900452.0
2024-07-12,55.31,56.02,55.27,55.75,5273841.0
2024-07-15,55.93,56.18,55.635,55.98,4621488.0
2024-07-16,56.13,56.42,55.845,56.37,5127557.0
2024-07-17,56.4,57.74,56.4,57.63,5270183.0
2024-07-18,57.34,58.57,57.26,57.73,4518529.0
2024-07-19,57.67,57.78,57.1902,57.58,3722330.0
2024-07-22,57.41,57.66,56.95,57.56,4000809.0
2024-07-23,57.26,57.8175,57.13,57.49,3275421.0
2024-07-24,57.49,57.9382,57.14,57.26,4859994.0
2024-07-25,57.46,58.18,57.12,57.36,4755034.0
2024-07-26,57.62,58.28,57.41,58.07,3138632.0
2024-07-29,58.18,58.325,57.67,58.21,2744888.0
2024-07-30,58.26,58.53,58.11,58.37,4091496.0
2024-07-31,58.26,58.29,57.35,57.43,7681918.0
2024-08-01,57.64,58.055,57.49,58.01,5966565.0
