date,open,high,low,close,volume,vwap,transactions
2024-10-01,170.22,170.51,165.97,167.16,7595053,167.3465,101439
2024-10-02,167.6,169.18,167.27,167.71,7073025,168.0366,76786
2024-10-03,166.89,167.86,166.24,166.86,4735708,166.9499,72032
2024-10-04,168.71,170.9,168.165,170.86,6389504,169.8822,97651
2024-10-07,170.42,172.33,169.55,169.97,6790956,170.7183,91759
2024-10-08,170.6,174.64,170.442,174.37,7845377,173.3588,110540
2024-10-09,174.56,178.61,173.81,178.29,8120894,177.0295,119622
2024-10-10,177.65,178.3,174.1801,175.41,7115887,175.5285,105585
2024-10-11,175.495,177,174.4,175.77,5869413,175.714,85490
2024-10-14,176.55,177.22,175.5,176.12,4688662,176.2477,63070
2024-10-15,176.94,178.2199,173.75,174.09,5848630,174.7794,94948
2024-10-16,173.5,174.912,171.64,174.77,6383034,173.7822,85258
2024-10-17,177.5,177.75,175.14,175.68,5473951,176.4678,85806
2024-10-18,176.8,176.97,174.58,174.69,5001257,175.3235,75629
2024-10-21,174.45,175.15,173.16,173.76,4198362,173.8781,65177
2024-10-22,175.45,175.85,174.28,175.31,5510114,175.146,65652
2024-10-23,174.5,176.07,173.01,173.1,4830414,174.0766,72477
2024-10-24,173.315,174.954233,172.91,174.38,3488036,174.2881,60705
2024-10-25,174.78,176.29,173.1,173.52,3674717,174.3649,69523
2024-10-28,174.045,174.17,172.135,172.42,4329971,172.6769,61453
2024-10-29,172.29,174.0231,172.29,173.43,4122913,173.3592,60033
2024-10-30,173.98,176.16,172.79,174.56,5807451,174.9281,89917
2024-10-31,170.52,170.88,167.3975,167.84,9477476,168.4494,136297
2024-11-01,170.15,172.27,169.1,170.02,5680595,170.6348,93324
2024-11-04,170.31,170.48,168.73,169.59,4804405,169.5966,71804
2024-11-05,170.47,171.89,170.32,171.78,5456754,171.2938,63764
2024-11-06,178.52,182.1,177.4153,181.24,11084987,180.3221,147545
2024-11-07,181.08,186.67,180.54,186.37,7759399,184.2565,119676
2024-11-08,186.26,190.16,186.26,189.25,8520419,189.0614,121061
2024-11-11,191.05,191.5,187.84,189.13,5973638,189.2802,99444
2024-11-12,188.54,190.61,187.2,189.58,6629891,189.1712,91526
2024-11-13,189,191.77,188.7895,189.63,5695426,190.1034,83878
2024-11-14,188.66,189.59,186.71,187.05,7804318,187.5393,92477
2024-11-15,184.52,185.8,182.33,183.74,8986276,183.8846,125066
2024-11-18,184.3,186.18,182.88,185.73,6291406,185.276,73636
2024-11-19,184.89,189.32,184.32,188.9,8116958,188.0284,93766
2024-11-20,190.9,190.97,187.82,190.75,4860222,189.6616,76164
2024-11-21,191.94,196.04,191.6401,192.43,11394263,193.4886,134231
2024-11-22,193,194.2,191.06,192.29,6879447,192.5538,95945
2024-11-25,194.5,194.75,187.99,187.99,15138474,188.9107,120547
2024-11-26,188.32,192.4,188.32,190.37,6427210,190.5965,100191
2024-11-27,188.955,188.955,182.22,182.7,8368797,184.0959,127041
2024-11-29,184.01,185.93,184,184.84,4628044,184.9687,62886
2024-12-02,185.29,185.29,181,181.41,8859696,181.9196,122352
2024-12-03,181.18,183.04,179.11,182.89,8917062,182.0164,99881
2024-12-04,188,189.79,185.9,188.19,8906283,188.3656,118036
2024-12-05,189.02,189.02,185.85,186.24,6398073,186.9346,103293
2024-12-06,187,192.63,186.38,191.69,10503383,191.1739,153321
2024-12-09,196.3,198.3099,188.93,190.45,20157957,187.9613,298944
2024-12-10,173.46,177.8,171.0592,177.74,26493616,175.6253,366846
2024-12-11,178,181.38,174.8301,178.58,13188714,178.7321,169230
2024-12-12,178,178.1699,174.81,175.32,8154218,175.8159,127933
2024-12-13,175,176.14,171.64,173.39,8276206,173.0274,130194
2024-12-16,173.84,174.27,170.93,171.23,9569055,171.8449,136842
2024-12-17,170.75,172.99,169.27,169.71,8940204,170.5263,129978
2024-12-18,169.41,171.23,165.36,165.41,8817934,167.8866,123063
2024-12-19,167.55,171,167.4,168.79,8386394,169.2738,126214
2024-12-20,167.73,171.26,165.63,169.66,13810525,169.3025,99967
2024-12-23,169.59,169.62,167.1683,169.14,6518229,168.7153,79905
