date,open,high,low,close,volume,vwap,transactions
2024-10-01,171.29,171.94,169.77,171.38,7095860,171.1253,106089
2024-10-02,171.5,171.74,168.52,169.55,5785972,169.4218,94537
2024-10-03,168.14,169.105,167.17,168.53,5090330,168.461,89939
2024-10-04,167.15,168.5,166.82,167.97,4391321,167.8521,90116
2024-10-07,167.72,167.93,166.455,167.21,5459506,167.1676,99460
2024-10-08,167.72,170.65,166.85,170.42,8297792,169.4654,123888
2024-10-09,169.38,173.28,169.1,172.54,7177529,172.0981,99915
2024-10-10,172.07,173.06,171.22,172.99,5252804,172.4921,86947
2024-10-11,174,175.175,172.87,174.81,4720299,174.2679,84424
2024-10-14,174.955,176.27,174.44,176.1,4536048,175.5801,75266
2024-10-15,176.355,177.39,175.12,175.9,5802290,176.0123,99368
2024-10-16,175.01,175.33,173.63,174.48,4400852,174.388,75514
2024-10-17,174.38,175.47,173.695,174.67,4125910,174.559,66939
2024-10-18,172.3,175.33,172.12,175.06,5097170,174.5841,65979
2024-10-21,174.46,177.5,174.348731,175.01,6436516,175.4745,84775
2024-10-22,174.51,174.95,173.505,174.37,3790452,174.2943,64825
2024-10-23,173.7,173.84,172.47,172.95,3800654,173.1137,74519
2024-10-24,172.92,173.535,171.7,172.16,4244903,172.2343,68901
2024-10-25,172.47,174,171.6,171.79,4442863,172.3304,74477
2024-10-28,172.98,172.98,169.725,169.84,5186635,170.2572,77130
2024-10-29,169.2,169.2,166.97,167.5,5127890,167.7642,86475
2024-10-30,167,167.6399,166.08,166.21,4801541,166.5135,84390
2024-10-31,166.1,167.5048,165.81,166.08,5582423,166.4499,85231
2024-11-01,166.09,166.25,165.21,165.59,6339121,165.6576,76971
2024-11-04,165.59,166.65,165.1852,166.34,4885472,166.1421,74308
2024-11-05,165.95,167.96,165.67,167.85,3678708,167.5155,61034
2024-11-06,167.37,167.41,163.6,164.71,7849309,164.8206,125202
2024-11-07,164.5,164.9,163.47,164,5333532,164.1841,90487
2024-11-08,163.84,165.82,163.645,165.11,4618265,165.1423,69693
2024-11-11,164.41,166.15,163.98,164.26,3761969,164.5358,71923
2024-11-12,164.09,165,163.15,164.34,5386925,164.1986,79574
2024-11-13,163.49,164.8,162.37,164.74,4145443,163.9016,80425
2024-11-14,164.74,166.885,163.83,165.15,5422685,165.5256,94526
2024-11-15,164.38,164.38,158.05,158.62,9108948,159.5077,159000
2024-11-18,159.405,159.85,157.76,158.33,6992040,158.7022,115427
2024-11-19,157.75,157.87,155.85,156.72,8248864,156.6994,98166
2024-11-20,156.45,159.11,156.2,158.74,5067255,158.1434,85010
2024-11-21,158.39,160.5,157.95,160.34,5976987,159.8998,79904
2024-11-22,160.9,162.06,159.89,162,5846256,161.2404,83987
2024-11-25,162.7,163.59,162,163.05,8580393,162.8894,83617
2024-11-26,163.27,163.68,161.9,162.16,4653842,162.2517,75461
2024-11-27,161.94,165.13,161.68,162.72,3622893,163.1549,63382
2024-11-29,161.43,163.585,160.95,163.45,2799312,163.0152,44207
2024-12-02,163.315,163.65,161.76,163.05,4967612,162.8476,69819
2024-12-03,162.84,163.05,161.42,161.7,4277392,162.0988,68267
2024-12-04,160.6,161.0327,159.41,160.18,6964605,160.066,81682
2024-12-05,160.93,161.01,158.83,160.49,5229646,160.218,74164
2024-12-06,159.35,160.8,157.69,157.79,8077266,158.4832,90413
2024-12-09,157.91,161.5,157.14,159.47,8380406,159.6622,102888
2024-12-10,159,160.42,157.35,159.84,5329401,159.4374,83483
2024-12-11,160.21,160.515,156.26,156.77,7925928,157.3946,101428
2024-12-12,159.09,159.4,157.97,158.9,6849507,158.7578,82232
2024-12-13,157.53,159.57,157.06,157.97,4353854,158.2776,66168
2024-12-16,157.85,158.82,155.88,156.02,6696490,156.926,95355
2024-12-17,155.74,158.5,155.24,156.14,6572560,156.4631,94120
2024-12-18,155.03,155.83,154.11,154.43,7620865,154.7355,110126
2024-12-19,153.09,154.0794,151.41,151.47,9829489,152.1847,121742
2024-12-20,150.86,153.49,150.51,152.79,19205164,152.4507,102747
2024-12-23,152.41,152.41,149.7056,151.29,6822232,150.9219,98874
2024-12-24,150.5,152.83,150.41,152.81,3399800,152.2921,49946
2024-12-26,152.53,153.1799,152.24,152.44,5529590,152.5319,56356
2024-12-27,151.29,153.47,151.26,152.89,4287007,152.8608,69951
2024-12-30,152.66,153.09,151.09,151.72,5397016,151.8906,87488
2024-12-31,151.8,153.15,150.94,152.06,4274960,151.7722,66685
2025-01-02,152.88,153.66,149.89,150.21,4970233,150.7522,77045
2025-01-03,150.96,150.96,149.56,149.65,5221639,150.175,81184
2025-01-06,149.6,149.95,146.1,146.27,9470626,147.2732,137337
2025-01-07,146.46,147.97,145.34,145.4,7473300,146.1247,100598
2025-01-08,145.4,146.67,144.56,146.54,6791848,145.9914,81321
2025-01-10,145,145.575,141.51,142.64,9632651,142.8045,144429
2025-01-13,142.79,145.14,142.14,144.5,8101358,144.2243,105741
2025-01-14,144.19,145.14,143.56,144.95,6996448,144.4361,85744
2025-01-15,145.49,146.2,144.17,144.78,7141555,144.8263,89171
2025-01-16,144.05,146.79,143.69,146.54,5068040,145.833,77237
2025-01-17,147.72,148.62,147.17,148.25,7338870,148.0044,86590
2025-01-21,148.33,149.78,147.77,148.55,7456182,148.6588,89818
2025-01-22,148.23,149.45,147.79,148.09,5905060,148.5238,72558
2025-01-23,148.49,148.9399,146.61,148.62,4759125,148.1676,72782
