date,open,high,low,close,volume,vwap,transactions
2024-10-01,173.24,174,172.2,173.04,7130825,173.0678,106075
2024-10-02,172.01,172.45,171.08,171.92,6212890,171.7395,105804
2024-10-03,171.37,171.37,169.77,170.12,4794348,170.2936,86852
2024-10-04,168.85,170.09,168.26,168.88,6003668,168.9982,103743
2024-10-07,169.16,169.58,166.87,167.12,6325281,167.6286,107200
2024-10-08,166.85,168.59,166.27,168.16,7472965,167.7642,96673
2024-10-09,168.38,169.805,168,169.27,8758806,168.9703,95634
2024-10-10,168.8,169.79,168.37,168.95,6932308,168.8961,84365
2024-10-11,169.46,171.41,168.97,171.09,7036480,170.7154,103362
2024-10-14,171.02,172.84,170.74,172.51,5909158,172.1161,98822
2024-10-15,172.89,174.905,172.815,173.57,7172262,173.6064,130151
2024-10-16,171.88,172.59,170.89,172.38,6117053,171.9793,104666
2024-10-17,172.18,173.68,171.76,172.28,7045586,172.4287,106880
2024-10-18,170.3,172.21,168.46,171.28,8372536,171.0022,119260
2024-10-21,170.975,171.48,168.45,169.54,5522460,169.4579,102056
2024-10-22,168.57,170.73,168.57,169.7,7511671,169.8134,88760
2024-10-23,169.55,170.1656,168.725,169.58,4837810,169.3815,86045
2024-10-24,169.42,169.96,168.93,169.62,5861303,169.4546,80469
2024-10-25,168.92,169.4,168.041,168.22,4877911,168.6632,89700
2024-10-28,169.28,169.66,168.375,169.3,5754043,169.1635,90718
2024-10-29,168.86,168.86,166.83,167.17,5681358,167.5245,99354
2024-10-30,167.09,167.32,165.96,166.16,5518085,166.425,89318
2024-10-31,165.76,167.04,165.09,165.18,6056514,165.632,92413
2024-11-01,165.31,166.35,164.985,165.1,5455095,165.4753,93015
2024-11-04,165.72,166.27,164.58,165.08,5130338,165.1312,95028
2024-11-05,164.33,166.32,164.33,165.76,4397441,165.6957,70375
2024-11-06,165.61,166.04,159.81,161.05,11473688,161.675,184478
2024-11-07,161.96,163.9534,161.475,163.41,9053225,163.2558,124936
2024-11-08,164.015,167.75,163.93,167.71,7506566,166.787,110416
2024-11-11,167,168.52,165.775,166.03,6364403,166.5295,86709
2024-11-12,166.14,167.06,165.57,165.84,6507823,166.0802,98489
2024-11-13,166.06,166.795,165.68,166.58,5412566,166.4058,78898
2024-11-14,166.71,168.04,166.51,167.08,7444273,167.2679,93064
2024-11-15,167.94,170.57,166.88,169.54,9939416,169.2937,132295
2024-11-18,169.11,171.45,168.8301,170.75,6681087,170.4862,97903
2024-11-19,170.69,171.17,169.66,170.76,5683673,170.6309,82905
2024-11-20,170.01,171.07,169.505487,170.89,7081237,170.5434,92897
2024-11-21,171.66,173.51,170.22,172.75,6240403,172.549,90074
2024-11-22,174.145,177.4,173.88,176.28,10609785,176.286,137331
2024-11-25,177.48,178.82,176.904,177.39,19269505,177.5824,135271
2024-11-26,177.2,179.46,177.2,179.31,6276933,178.7222,96614
2024-11-27,180,180.43,178.725,179.36,5522912,179.5833,85920
2024-11-29,178.7,179.63,178.28,179.26,3823708,179.0819,53335
2024-12-02,179.12,180.16,178.01,179.7,5728297,179.3583,83616
2024-12-03,178.77,179.62,175.2,175.42,8127329,176.6021,102593
2024-12-04,174.17,175.15,173.46,175.11,6823659,174.8595,82549
2024-12-05,174.86,176.459,174.45,176.03,5022189,175.8161,70148
2024-12-06,175.37,176.74,173.75,173.82,5741167,174.7118,83650
2024-12-09,173.635,173.76,170.43,170.79,7164286,171.1955,114759
2024-12-10,170.42,172.93,169.93,172.28,6187588,172.0497,87900
2024-12-11,173.01,173.39,170.395,170.63,5237533,171.4354,75098
2024-12-12,171.43,171.8177,170.02,170.85,4071710,170.7699,65848
2024-12-13,170.77,171.7875,170.12,171.06,3884513,171.0593,61087
2024-12-16,171.445,172.78,171.0975,171.14,5943680,171.629,82326
2024-12-17,170.67,171.954,170.02,170.33,6069344,170.565,88552
2024-12-18,169.76,170.56,169.02,169.08,7517081,169.5744,107810
2024-12-19,169.01,170.1,167.35,169.19,8585220,169.2182,95018
2024-12-20,168.87,169.865,167.5,168.06,21999342,168.3474,102223
2024-12-23,168.06,168.68,166.36,168.11,6984079,167.724,72936
2024-12-24,167.62,169.18,167.42,168.94,2460756,168.6597,40594
2024-12-26,168.31,170.3,168.07,170.16,3629533,169.8324,58135
2024-12-27,169.42,170.76,169.26,169.53,4367879,169.7508,68581
2024-12-30,168.665,168.98,166.71,167.09,4354543,167.319,70037
2024-12-31,167.36,168.08,166.59,167.65,3957920,167.3867,65329
2025-01-02,168.085,168.7052,165.91,165.98,5401712,166.4744,78857
2025-01-03,166.25,166.5,164.25,165.13,5256807,165.3566,75976
2025-01-06,162.81,163.5,160.44,160.6,8731671,161.2042,116708
2025-01-07,161.46,162.61,160.74,161.3,8447744,161.3715,95683
2025-01-08,160.99,162.4,160.565,162.1,4974783,161.753,72806
2025-01-10,160.15,161.21,157.47,158.56,8501525,159.1621,112747
2025-01-13,159.35,160.09,158.41,158.84,6772198,158.9587,101317
2025-01-14,158.85,160.07,158.31,159.74,5982254,159.5469,85356
2025-01-15,160.59,161.15,159.335,159.65,8059231,159.7661,73991
2025-01-16,159.62,160.58,159.135,160.5,5774429,160.1777,82295
2025-01-17,159.74,161.75,159.6,161.13,7262739,161.0013,78612
2025-01-21,160.96,162.35,160.96,161.72,13914694,161.7277,114795
2025-01-22,167.1,168.14,164.44,164.74,14356691,165.7791,169459
2025-01-23,163.88,166.48,163.32,166.15,7614308,165.4627,99861
2025-01-24,165.91,165.91,163.2,164.12,6199939,164.1559,87282
2025-01-27,166.72,169.94,166.11,169.66,9170829,168.5554,119007
2025-01-28,168.91,169.59,166.11,166.19,6716387,167.0463,89896
2025-01-29,166.72,167.29,165.8805,166.23,4850295,166.4485,80841
2025-01-30,167.48,167.6,165.93,167.41,4136546,167.0116,67823
2025-01-31,166,166.62,165.21,165.99,5464903,166.0333,77028
2025-02-03,165.47,169.38,165.23,168.76,8668729,168.325,121862
2025-02-04,169.29,169.29,166.28,168.13,6410938,167.9396,81617
2025-02-05,168.09,169.14,166.61,169.01,7537232,168.5748,71885
2025-02-06,169.37,169.93,168.03,168.88,4957889,168.7271,73319
2025-02-07,169.09,169.12,167.87,167.97,4535617,168.2674,76066
2025-02-10,167.69,168.48,166.4,167.53,7063167,167.5285,83793
2025-02-11,167.69,169.57,166.5,169.43,5438081,168.3463,83186
2025-02-12,168.35,170.08,167.97,169.58,6037671,169.5215,76162
2025-02-13,169.63,171.38,169.14,171.02,6328365,170.5997,80935
2025-02-14,169.79,170,162.3,162.89,13179478,164.3181,160852
2025-02-18,163.35,165.76,162.2,165.43,7075681,164.844,104005
2025-02-19,166.1,166.87,165.24,166.49,7910823,166.3105,83829
2025-02-20,163.15,167.78,162.8,167.21,6153101,166.2987,94430
2025-02-21,167.44,170.5491,165.92,170.23,9663720,169.2065,94138
2025-02-24,170.22,172.98,169.79,170.54,8564057,170.9798,105913
2025-02-25,171.28,173.95,170.8,172.65,7314856,172.6301,98960
2025-02-26,172.28,172.65,170.65,171.3,5519041,171.5172,83678
2025-02-27,170.85,173.09,170.63,171.97,5466965,172.1417,86638
2025-02-28,173.58,174.65,171.85,173.84,10240069,173.553,93010
2025-03-03,173.58,176.29,173.51,175.59,7615570,175.2548,102462
2025-03-04,176.75,179.99,172.91,173.18,12118023,176.5829,166457
2025-03-05,173.38,175.87,173.02,174.61,6989086,174.766,105559
