date,open,high,low,close,volume,vwap,transactions
2024-10-01,126.64,126.72,123.48,124.61,3401519,124.4895,43743
2024-10-02,122.56,124.25,121.95,124.18,3848941,123.5855,40842
2024-10-03,123.73,123.75,121.4977,122.04,3400637,122.1814,40884
2024-10-04,121.59,122.78,120.3601,122.42,2773995,122.054,41064
2024-10-07,121.36,121.73,119.3111,120,3186533,120.3367,45192
2024-10-08,120.29,120.68,118.22,119.34,3035396,119.0165,41081
2024-10-09,118.19,119.47,117.9,118.84,3661744,118.5672,47673
2024-10-10,118.06,119.14,117.465,118.28,2767078,118.1555,33587
2024-10-11,118.78,120.42,118.145,120.24,2711999,119.8625,34825
2024-10-14,120.04,120.97,119.5,120.46,1978980,120.5298,32433
2024-10-15,120.74,123.05,120.74,121.39,5453625,121.9274,66042
2024-10-16,123.04,127.65,121.77,126.97,5565193,125.7863,72251
2024-10-17,126.04,126.92,122.7,122.7,5446792,124.1399,55169
2024-10-18,123.01,123.35,121.61,122.5,3690933,122.3158,41726
2024-10-21,120.72,121.46,117.57,117.77,3866160,118.2314,50725
2024-10-22,117.35,119.6,117.35,118.94,3374588,118.8193,36966
2024-10-23,118.93,121.11,118.9,120.83,4133260,120.5297,48403
2024-10-24,120.05,121.14,119.795,120.39,4332908,120.3645,43986
2024-10-25,119.8,120.33,117.44,117.54,3247349,118.2673,41417
2024-10-28,118.44,118.8,117.1,117.81,3648661,117.6667,44629
2024-10-29,117.78,118.14,115.31,115.31,3595926,115.8726,41335
2024-10-30,115.9,117.255,115.317,115.87,3780230,116.1713,44065
2024-10-31,115.17,115.675,112.86,112.94,5021280,113.7033,49246
2024-11-01,114.81,115.37,113.38,113.4,3941791,114.0801,46191
2024-11-04,114.035,115.09,113.12,113.86,2439949,113.8064,39902
2024-11-05,112.98,114.43,112.41,114.43,2370206,113.9399,37706
2024-11-06,115.71,115.71,111.4,113.74,5768134,113.0395,73532
2024-11-07,114.16,114.69,113.38,114.21,3035798,114.2126,42293
2024-11-08,114.5,116,113.94,115.83,3250928,115.3595,44452
2024-11-11,115.72,116.48,113.8,114.1,3547088,114.829,45172
2024-11-12,113.81,115.115,112.47,112.75,2708257,113.1338,43728
2024-11-13,113.92,117.14,113.86,116.57,4772355,116.1395,55242
2024-11-14,116.4,116.7,114.27,114.75,4757159,115.0401,59840
2024-11-15,114.36,114.98,112.67,113.42,3889491,113.4267,49651
2024-11-18,112.85,114.69,112.41,114.65,2411412,114.1064,37243
2024-11-19,113.82,115.44,112.89,115.13,2950840,114.7625,36450
2024-11-20,114.42,114.715,113.6,114.54,2821839,114.2791,34992
2024-11-21,114.51,114.99,113.6,113.97,2626646,114.3156,37737
2024-11-22,114.32,115.94,113.96,115.8,2432985,115.3051,35555
2024-11-25,116.52,119.46,116.32,118.07,9970791,117.9463,56220
2024-11-26,117.6,118.07,115.515,116.17,3367172,116.455,45719
2024-11-27,117.13,118.72,116.92,117.8,2655068,118.0652,36298
2024-11-29,117.92,118.62,116.66,116.78,3124312,117.1442,31618
2024-12-02,116.1,116.64,114.82,115.84,3386484,115.6561,43539
2024-12-03,115.95,117.1,115.59,116.4,4520322,116.4852,39877
2024-12-04,116.38,116.38,114.37,115.05,3761301,115.0918,39189
2024-12-05,114.04,114.39,112.89,113.79,2510271,113.5941,34705
2024-12-06,113.02,114.44,111.72,112,3650844,112.2613,44215
2024-12-09,113,115.45,112.5,115.42,4717444,114.4344,48543
2024-12-10,115.1,115.255,112.56,113.15,2908516,113.3201,41051
2024-12-11,113.04,114.0759,111.29,111.96,2804249,112.0269,34303
2024-12-12,111.62,113.33,111.3,111.65,2868471,112.0234,37546
2024-12-13,111.11,111.72,110.63,111.13,4664790,111.1544,45081
2024-12-16,110.3,111.315,108.52,108.87,5587066,109.4392,49404
2024-12-17,108.47,109.811,107.9282,108.87,4687405,108.8287,51277
2024-12-18,108.49,109.12,103.84,103.91,5422777,106.2166,61477
2024-12-19,104.63,104.92,101.37,101.4,7787143,102.0782,69891
2024-12-20,100.82,104.81,100.82,103.32,11067206,103.2551,62740
2024-12-23,102.96,104.4178,102.56,104.14,4626320,103.8443,48851
2024-12-24,103.74,104.8,103.44,104.7,1883658,104.1939,23640
2024-12-26,103.99,107.47,103.57,106.89,4799034,106.5995,48571
2024-12-27,106.16,107.23,104.8137,105.24,3655299,105.6848,42983
2024-12-30,104.86,105.47,103.63,105.1,4038546,104.803,49639
2024-12-31,106.09,106.41,104.79,105.7,4602661,105.635,47360
2025-01-02,106.39,106.565,103.775,104.26,4180083,104.5626,42870
2025-01-03,104.51,105.925,103.64,105.63,3558791,105.4549,34864
2025-01-06,106.5,108.8391,105.75,106.66,4450283,107.4166,48866
2025-01-07,107.53,108.29,106.07,106.58,4958873,106.7192,46593
2025-01-08,106.41,106.625,104.91,105.5,3571520,105.6115,38967
2025-01-10,104,105,103.5,103.59,4230874,103.9542,48268
2025-01-13,103.59,105.46,103.225,105.37,5774741,104.5693,54136
2025-01-14,105.58,108.58,105.37,108.12,4444445,107.6992,56827
2025-01-15,111.49,112,107.74,107.85,4571140,109.1756,56420
2025-01-16,108.22,111.06,107.77,110.93,5499890,110.096,47399
2025-01-17,111.2,111.605,109.42,109.48,5270766,110.3265,51746
2025-01-21,110.255,117.89,110.17,117.27,8040357,115.7954,82311
2025-01-22,116.26,117.475,114.52,115.13,5429457,115.5182,59906
2025-01-23,115.29,118.58,114.5,118.54,4788661,117.6626,57165
2025-01-24,118.53,120.07,117.21,118.93,4166063,119.1177,54953
2025-01-27,117.99,122.09,117.99,121.25,5253579,121.2337,66025
2025-01-28,121.1,121.56,119.81,120.21,3494633,120.4456,45582
2025-01-29,120.5,121.01,118.46,119.17,2758344,119.7176,39883
2025-01-30,120.78,122.25,119.38,120.65,2844084,121.0677,38695
2025-01-31,119.77,120.685,118.45,119.25,3753760,119.3859,42864
2025-02-03,116.025,118.51,114.46,117.84,3704128,117.3793,46718
2025-02-04,116.26,118.8099,116.18,118.31,2273404,118.0209,32842
2025-02-05,119.44,119.44,117.49,118.78,2798008,118.6277,33910
2025-02-06,119.23,119.23,116.84,118.54,3476416,118.1047,38519
