date,open,high,low,close,volume,vwap,transactions
2024-10-01,183.49,183.71,178.3879,179.89,1664915,180.2607,32467
2024-10-02,179.55,182.07,178.75,179.4,1393969,179.6963,28532
2024-10-03,178.37,179.45,176.925,178.39,1706128,178.2633,34197
2024-10-04,181.35,182.9,179.94,182.26,1103791,182.0143,25944
2024-10-07,181.98,183.249,180.42,182.23,1427644,182.0036,24858
2024-10-08,183.14,183.4,180.44,180.86,1449473,181.2468,30179
2024-10-09,180.77,184.04,180.5,183.27,1085335,183.1418,24390
2024-10-10,182.68,184.425,182.23,183.37,1123912,183.0357,22769
2024-10-11,185,189.17,184.705,187.77,1386809,187.8643,32012
2024-10-14,187.26,189.69,186.125,188.52,2205755,188.5402,45540
2024-10-15,190.5,196.64,189.6841,192.34,2972480,193.5576,57603
2024-10-16,192.76,193.85,189.62,189.93,2920392,190.7847,53614
2024-10-17,190.96,192.929,188.74,188.8,2842933,190.206,49183
2024-10-18,190.57,191.49,188.01,189.38,1852617,189.4274,29732
2024-10-21,188.49,189.805,185.34,185.64,1681152,186.0608,26904
2024-10-22,185.8,186.81,183.86,186.28,1870925,186.011,24678
2024-10-23,185.85,188.53,185.8,188.21,2014666,187.8903,35200
2024-10-24,188.93,189.69,186.96,188.94,1223001,188.6407,24755
2024-10-25,190.27,190.64,185.63,185.82,1319036,186.5087,24719
2024-10-28,187.5,190.12,186.272,189.83,1189180,189.1665,23253
2024-10-29,189.5,189.9999,187.415,187.85,1005986,188.0046,22635
2024-10-30,187.26,191.87,186.77,190.22,1634894,190.1314,26657
2024-10-31,189.93,191.84,188.18,188.27,1802504,189.0338,32211
2024-11-01,189.5,191.37,187,187.15,1971479,187.7854,28672
2024-11-04,187.26,188.3,185.54,185.95,1429462,186.277,30262
2024-11-05,186.21,188.86,185.7,188.8,1524103,188.3195,30678
2024-11-06,200.09,205.06,198.45,204.97,3940724,202.992,70733
2024-11-07,202.88,203.835,200.88,203.21,3634289,202.7241,49454
2024-11-08,203.8,205.2,201.66,203.97,1888935,203.8056,40286
2024-11-11,206.28,210.43,206.28,209.71,2578705,209.6501,43966
2024-11-12,209.12,211.4,208.81,211.04,2207154,210.6209,39711
2024-11-13,212.11,214.19,208.69,209.3,1653217,210.4347,33500
2024-11-14,209.3,210.4,207.17,207.96,1482863,208.4743,31181
2024-11-15,208.12,210.04,206.4,207.68,2511633,207.4874,48500
2024-11-18,207.63,208.41,206.41,206.83,1652501,207.2067,34646
2024-11-19,204.5,206.8999,204.36,204.86,1841920,205.1229,28736
2024-11-20,205.21,205.62,203.4663,203.95,1606178,204.109,29317
2024-11-21,203.95,207.905,203.95,205.75,3183070,205.9704,41764
2024-11-22,205.98,210.71,205.72,210.07,1675397,209.7994,32407
2024-11-25,211.97,214.64,211.75,212.47,2315146,212.6874,37929
2024-11-26,211.84,214.81,210.45,214.2,1897517,213.8322,38265
2024-11-27,214.2,216.18,214.04,215,1565734,215.1608,30462
2024-11-29,216.01,216.26,213.633,214.72,1112919,214.9373,19973
2024-12-02,215.69,216.13,211.2,211.36,1774180,212.3042,37256
2024-12-03,212.3,212.625,208.29,209.01,1447131,209.4893,29736
2024-12-04,209.13,209.965,206.64,207.92,1458359,207.7212,30857
2024-12-05,208.29,210.825,207.725,208.83,1727008,209.3304,31842
2024-12-06,209.24,209.855,207.13,208.63,1485962,208.5342,27044
2024-12-09,208,209.16,204.4,204.5,1598838,205.3862,33355
2024-12-10,205.88,206.365,203.31,204.44,2146196,204.9045,38617
2024-12-11,206.18,206.465,203.16,203.38,1697503,204.2983,31950
